SYMBOL	CTRL_R1	CTRL_R2	CTRL_R3	DMSO	SMZ_R1	SMZ_R2	SMZ_R3	TMP_R1	TMP_R2	TMP_R3	CTX_R1	CTX_R2	CTX_R3
TSPAN6	5977.588022	5491.214268	5303.438947	5791.2684	6555.285385	6078.807483	6405.591305	5613.781165	5285.878121	5374.678046	5355.903833	5482.573455	5371.474956
DPM1	3560.8011	3190.349295	3721.044116	4035.664506	4239.624516	3694.420196	3918.934878	3700.656514	3780.903901	4063.343458	4138.351569	3530.338474	3843.874556
SCYL3	1128.061788	1086.055444	1128.960055	1249.969439	970.6124401	1020.212014	1030.313559	1177.973753	1262.920925	1300.005563	1246.561338	1135.521884	1206.064176
C1orf112	2113.691533	1956.86551	1961.79944	2097.826875	2097.903769	1902.414078	1977.738571	1504.948085	1747.813402	1784.321361	1987.535963	2110.701701	1934.070721
FGR	1.139456352	2.948566816	0	0.855557453	2.655574391	0	0.891274705	0	0	0	0	1.875345803	0
FUCA2	6805.97279	6625.429636	6728.519672	6647.681411	7321.418597	7171.209317	7182.782848	6209.26422	6562.945017	5722.101464	6208.7706	6899.39721	6248.722843
GCLC	4045.070049	3798.736915	4190.93004	3269.085028	2897.231661	2857.867577	3090.940677	3874.970644	3617.439338	3751.795284	3694.927157	3530.338474	3540.538496
NFYA	2152.433049	2063.996771	1856.923369	2292.038417	2301.05521	2361.031757	2255.816279	2113.423498	2102.248584	2004.293253	2130.094839	2006.620009	2110.005636
STPG1	909.2861689	816.7530081	803.0216785	958.2243475	1062.229757	943.775734	894.8398039	911.6304226	924.2034894	853.4531799	882.7046708	920.7947893	922.1416234
NIPAL3	1249.983618	1115.541112	1258.512848	1516.047807	1525.627488	1642.318403	1756.702444	1498.451906	1465.679854	1511.480687	1374.201262	1278.985838	1409.906008
LAS1L	5010.18958	5191.443308	5115.278938	4545.576749	5401.438312	5221.022564	4688.104949	5348.520532	4769.550151	4995.155725	4929.056035	5070.935052	4775.722934
SEMA3F	542.3812235	521.8963265	502.7882212	512.4789144	613.4376844	607.2437793	610.523173	569.49834	572.911857	565.5071402	498.1272368	517.5954417	512.0312698
CFTR	2.278912704	0.982855605	0	4.277787266	0	1.061614999	0	5.413482319	1.571774642	0.944085376	1.657661354	0	2.426688483
ANKIB1	4699.117995	4610.575645	4832.524826	5240.2894	4899.534752	5318.691144	5368.147549	4593.881096	5004.53046	5173.587861	5437.12924	5018.425369	4877.64385
CYP51A1	2582.008094	2593.755943	2510.856516	2672.761484	2640.968732	2679.516257	2722.844224	2719.733517	2501.479343	2404.585453	2614.131955	2771.761097	2601.410053
KRIT1	3590.426965	3605.114361	3497.925416	3128.773606	2982.210042	3159.366237	3294.15131	3429.982398	3387.174353	3486.507294	3345.989442	3326.863455	3579.365512
RAD52	1594.099436	1492.957665	1730.455166	1765.870583	1785.873778	1779.266738	1886.828551	1868.734097	1899.489655	2090.205023	1616.21982	1683.122858	1776.335969
MYH16	1.139456352	0.982855605	1.028196771	5.133344719	3.983361587	1.061614999	0	1.082696464	1.571774642	4.72042688	2.48649203	1.875345803	1.213344241
BAD	1069.949514	1048.706931	1112.508907	1216.602698	1368.948599	1193.255259	1385.040892	1645.698625	1606.353684	1511.480687	1127.20972	1188.969239	1140.543587
CD99	2491.991042	4352.084621	2857.358828	4285.487283	3992.656097	11125.72519	4050.843535	2890.799559	10710.8583	4509.895841	11490.9085	3008.054668	3108.587946
MAD1L1	2431.599855	2675.332958	2621.901767	2308.294009	2135.081811	2193.296588	2225.512939	2493.449956	2426.820047	2192.166243	2512.185781	2419.196086	2359.954549
LASP1	43931.73965	42937.02998	41016.82561	38299.88495	39546.81384	38387.99836	39158.15417	41701.137	38635.00659	37956.95254	38131.18412	38961.24673	38479.99927
SNX11	1867.568961	1761.277245	1666.706966	1670.048149	1934.585944	1776.081893	1844.047365	1865.486007	1779.248895	1686.136482	1763.75168	1755.323672	1853.990001
M6PR	20277.76524	19803.55759	19559.38718	19363.83184	19506.52169	19191.87595	19963.66212	22277.56244	20764.71479	19148.88368	19344.908	19647.06031	19566.38924
CYP26B1	4155.597316	3834.119717	3910.232322	2846.439647	2504.206651	2162.509753	2523.19869	3167.969853	2929.787933	2906.838873	3462.025737	3520.024072	3271.176075
ICA1	19.37075798	32.43423498	40.09967409	53.90011955	99.58403968	84.92919991	101.6053164	46.55594795	37.72259141	46.26018343	62.99113144	45.00829927	74.01399872
DBNDD1	1340.00067	1292.455121	1219.441371	1630.692506	1955.830539	1832.347488	1960.804351	1181.221842	1150.539038	1098.915378	1219.209926	1379.316838	1333.465321
ALS2	1905.17102	1953.916944	1911.417798	2141.460305	2200.143383	2365.278217	2164.014984	1957.515207	2047.236471	2043.944839	2165.734558	2114.452393	1896.457049
CASP10	102.5510717	124.8226619	130.58099	140.3114223	108.87855	166.6735548	123.887184	56.30021612	79.37461942	96.29670836	130.9552469	123.772823	129.8278338
CFLAR	4182.944268	4165.342056	4308.144472	3791.830632	2909.181746	3540.486021	3223.740608	3476.538346	3420.181621	3449.687964	3736.368691	3756.317644	3976.129079
TFPI	1.139456352	0.982855605	2.056393543	5.988902172	2.655574391	9.55453499	2.673824115	10.82696464	3.143549284	2.832256128	0.828830677	0	1.213344241
NDUFAF7	1278.470027	1388.774971	1300.668916	1474.125492	1370.276386	1305.786449	1530.318669	1300.318453	1358.013291	1281.123855	1481.120419	1399.007969	1441.452959
RBM5	6873.200715	6955.66912	7248.787239	8148.329184	7966.723174	7637.258302	7945.713996	8297.785699	8970.903769	9294.520527	8067.008977	7478.879063	7595.534951
MTMR7	43.29934137	52.09134709	27.76131283	27.3778385	9.29451037	28.66360497	23.17314233	33.56359038	29.07783088	19.8257929	37.29738046	31.88087865	55.8138351
SLC7A2	43510.1408	43060.86979	41312.94628	35593.75672	29113.06205	31637.18858	32931.70908	41362.25301	40194.20703	38723.54987	39478.03397	39203.16634	38270.09072
ARF5	9267.19851	9109.105752	8773.603051	9524.065568	11114.90662	9583.198595	10049.1223	9335.008912	8611.753263	8314.559907	8766.542068	8760.677919	9369.444231
SARM1	1900.613195	1918.534142	2006.011901	1529.736726	1353.015152	1471.398388	1377.910694	1693.33727	1789.46543	1869.289045	1730.598453	1852.841653	1741.148986
POLDIP2	11048.16879	10604.02913	10972.91594	9263.120545	10108.44392	9375.122055	9671.221825	10335.42044	9496.662386	9941.21901	9786.832632	10413.79524	10087.74402
