GENEID	CTRL_R1	CTRL_R2	CTRL_R3	DMSO	SMZ_R1	SMZ_R2	SMZ_R3	TMP_R1	TMP_R2	TMP_R3	CTX_R1	CTX_R2	CTX_R3
ENSG00000290825	0	1	1	2	0	1	2	1	3	5	1	0	2
ENSG00000223972	0	1	1	2	0	1	2	1	3	5	1	0	2
ENSG00000227232	410	477	480	566	373	432	522	386	639	484	550	432	404
ENSG00000278267	39	44	32	47	30	45	40	17	60	44	49	43	52
ENSG00000243485	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290826	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	2	4	4	7	4	3	1	6	5	4	5	8	5
ENSG00000239945	0	1	2	1	1	0	0	0	0	1	0	0	0
ENSG00000233750	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	170	168	133	140	117	129	200	143	178	176	159	146	128
ENSG00000269981	176	172	157	154	131	147	212	155	189	179	192	156	151
ENSG00000239906	43	49	47	45	32	29	42	44	47	54	42	44	37
ENSG00000241860	30	16	26	21	11	17	14	24	31	24	23	22	27
ENSG00000222623	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	7	20	16	24	8	16	16	17	23	21	20	12	9
ENSG00000279457	285	385	348	411	288	336	398	351	480	387	425	365	277
ENSG00000273874	5	11	5	5	6	8	7	5	15	13	11	7	2
ENSG00000228463	41	28	47	53	22	37	41	38	50	44	44	34	36
ENSG00000286448	0	0	0	0	0	0	1	0	1	0	1	1	0
ENSG00000236679	4	1	1	2	1	3	1	1	2	2	5	5	2
ENSG00000236601	0	0	1	1	0	0	0	0	1	0	0	0	0
ENSG00000290385	197	241	169	191	134	149	201	178	242	236	223	195	146
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	0	1	0	0	1	0	0	2
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	98	135	73	88	76	77	155	74	122	83	79	107	120
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	87	136	115	95	59	123	107	91	137	104	125	127	105
ENSG00000235146	0	1	0	0	0	1	0	2	0	0	1	0	0
ENSG00000225972	15	32	25	32	18	18	19	21	27	18	28	25	20
ENSG00000225630	3620	5234	4162	5064	3208	4612	5399	4679	6971	5996	5033	5615	4816
ENSG00000237973	2627	3335	2805	3230	1809	2736	3351	2582	3908	3230	3566	3075	2813
ENSG00000278791	2	1	0	1	2	3	2	1	0	1	1	1	2
ENSG00000229344	47	69	45	77	39	38	39	48	57	41	62	56	44
ENSG00000240409	31	51	22	31	17	39	24	26	40	30	30	41	37
ENSG00000248527	28325	40425	24270	28290	20331	26406	28809	25700	35281	28621	29770	31869	27017
ENSG00000198744	180	198	165	186	111	179	200	133	218	166	206	195	133
ENSG00000268663	1	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000284662	0	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000229376	1	0	1	0	1	0	0	0	1	0	0	0	0
ENSG00000291215	527	680	531	556	317	510	618	522	689	644	646	610	489
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000228327	104	147	110	93	54	87	111	120	148	129	146	103	91
ENSG00000237491	36	50	33	80	34	56	75	40	74	49	43	49	47
ENSG00000285268	1	2	2	7	2	3	7	7	5	5	3	3	5
ENSG00000290784	11	6	6	4	6	9	5	8	10	6	7	4	7
ENSG00000230092	7	5	4	4	3	3	3	5	8	3	6	4	3
ENSG00000177757	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000225880	53	56	50	45	44	52	51	43	62	41	53	43	36
ENSG00000228794	381	420	441	466	329	381	420	396	547	462	524	443	331
ENSG00000288531	5	11	8	10	8	6	6	6	4	3	5	8	3
ENSG00000230368	1	2	0	2	0	0	2	1	2	0	1	1	0
ENSG00000234711	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	2	0	1	0	0	0	0	0	0	0	0	0
ENSG00000272438	9	11	3	12	8	16	14	5	9	5	5	9	9
ENSG00000230699	22	13	15	47	34	48	32	23	32	26	22	19	20
ENSG00000241180	4	2	5	10	9	10	10	6	3	7	7	3	4
ENSG00000223764	1	6	1	1	4	3	3	0	4	1	1	0	1
ENSG00000187634	10	19	17	13	21	22	33	19	28	17	26	20	12
ENSG00000188976	4155	4654	4353	4623	3157	3565	4398	4140	5455	4389	5216	4834	3676
ENSG00000187961	897	1107	1106	1292	732	979	1094	760	1250	1047	1155	1081	897
ENSG00000187583	142	198	175	172	108	106	142	132	238	149	161	148	141
ENSG00000187642	6	10	11	5	2	0	3	8	11	5	4	3	8
ENSG00000272512	9	15	13	16	17	24	26	10	13	8	18	18	11
ENSG00000188290	335	464	394	548	355	465	519	358	561	406	423	505	383
ENSG00000187608	826	828	902	834	481	485	620	550	743	619	839	794	577
ENSG00000231702	1	9	5	3	2	7	4	3	7	1	5	6	7
ENSG00000224969	0	0	1	0	1	3	2	0	2	1	2	1	1
ENSG00000188157	11435	13898	11923	16052	11148	14912	17480	13288	17793	12963	15308	14614	11184
ENSG00000242590	1704	2216	1783	2467	2042	2254	2793	2017	2851	1925	2304	2295	1664
ENSG00000291156	90	108	111	134	102	139	150	106	164	105	129	120	88
ENSG00000273443	6	16	7	6	2	3	3	4	10	4	5	3	8
ENSG00000217801	40	60	74	87	56	73	104	55	96	52	73	63	54
ENSG00000237330	1087	1252	1226	941	599	625	835	1005	1217	1002	1169	1220	779
ENSG00000131591	892	997	994	950	584	730	903	765	1211	904	1035	945	834
ENSG00000285812	0	1	0	1	0	0	0	0	0	0	0	0	1
ENSG00000223823	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000207730	9	9	11	14	10	7	8	13	13	8	10	5	10
ENSG00000207607	13	17	19	28	13	22	29	14	18	17	20	15	15
ENSG00000198976	27	34	25	42	27	35	45	23	35	31	44	27	40
ENSG00000272141	59	58	71	95	71	99	111	64	126	85	105	92	90
ENSG00000205231	20	26	27	16	14	14	27	11	18	19	30	26	14
ENSG00000162571	152	191	162	202	100	112	155	134	195	131	152	150	127
ENSG00000186891	0	0	0	1	0	0	0	1	0	0	1	0	1
ENSG00000186827	0	3	1	2	0	0	0	0	2	0	0	1	0
ENSG00000078808	4315	4593	4413	5211	3739	4337	5388	4821	5605	4765	5292	4746	3712
ENSG00000176022	505	601	568	692	543	627	887	635	940	742	701	624	581
ENSG00000184163	53	69	63	68	47	64	65	54	73	57	59	57	55
ENSG00000260179	6	11	6	10	17	7	10	3	13	10	9	3	11
ENSG00000160087	1404	1506	1510	1717	1048	1243	1630	1455	1898	1548	1689	1506	1305
ENSG00000230415	6	7	10	16	14	19	16	10	12	13	12	8	7
ENSG00000162572	50	91	93	117	108	145	155	76	141	119	102	102	83
ENSG00000131584	487	663	581	851	690	852	986	636	968	757	816	736	620
ENSG00000278073	0	0	0	0	0	0	0	0	1	0	2	0	0
ENSG00000169972	206	251	194	219	175	178	261	221	295	247	268	263	176
ENSG00000127054	2230	2598	2585	2855	1800	2105	2567	2297	3425	2932	2928	2708	2184
ENSG00000283712	12	22	8	14	7	12	12	6	19	10	10	5	16
ENSG00000240731	69	92	87	104	50	83	85	70	98	90	103	84	87
ENSG00000224051	344	429	347	465	348	408	502	443	569	449	421	419	355
ENSG00000169962	8	10	7	8	7	13	11	8	7	4	7	8	5
ENSG00000107404	2534	3154	2897	3173	1942	2519	2949	2808	3905	3024	3347	3079	2539
ENSG00000284372	5	10	9	11	3	11	7	16	10	10	13	7	9
ENSG00000162576	1944	2173	2110	2844	2140	2519	3048	1907	2664	2232	2428	2187	1833
ENSG00000175756	1309	1636	1558	1783	1286	1475	1843	1530	2011	1672	1827	1767	1312
ENSG00000223663	0	0	0	0	0	0	1	0	1	1	1	0	0
