"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"TSPAN6"	5699.03718372198	-0.048820840020106	0.053865638863049	-0.906344769143663	0.364753396358652	0.643147881369671	FALSE	FALSE	FALSE
"DPM1"	3801.40823698546	0.137146601963363	0.0720985732684073	1.90220965195519	0.057143751498664	0.233304186214057	FALSE	FALSE	FALSE
"SCYL3"	1149.47941364689	0.102659893573963	0.0705039475779687	1.45608717101172	0.145368523533494	0.401775581322632	FALSE	FALSE	FALSE
"C1orf112"	1936.74084679991	0.0010266131666011	0.0712055170988709	0.0144176070679414	0.988496812441084	0.993851136824967	FALSE	FALSE	FALSE
"FUCA2"	6641.09350973407	-0.0584365475807344	0.0566958609747906	-1.03070218135884	0.302680501515167	0.588291566578925	FALSE	FALSE	FALSE
"GCLC"	3550.75933408887	-0.160158549430778	0.0558924639903332	-2.86547663131255	0.00416382003702761	0.0445841858036997	TRUE	FALSE	FALSE
"NFYA"	2134.6138977982	0.0410207579065663	0.0633334851324669	0.647694625059211	0.517182481354819	0.757737800648079	FALSE	FALSE	FALSE
"STPG1"	907.927590225865	0.108349229876874	0.0829966987049146	1.30546433252842	0.191734784722592	0.463544819369571	FALSE	FALSE	FALSE
"NIPAL3"	1431.03379039914	0.164856568217445	0.0734926204188753	2.24317172632893	0.0248857427892837	0.141813062935391	FALSE	FALSE	FALSE
"LAS1L"	5004.76883281801	-0.0516838141975521	0.0596578204194315	-0.866337620687158	0.386305041192911	0.660254016646552	FALSE	FALSE	FALSE
"SEMA3F"	549.724662146672	-0.0366413591980566	0.0873428180962526	-0.419511987324218	0.674841995848948	0.851548519020912	FALSE	FALSE	FALSE
"ANKIB1"	5005.69839906052	0.117393943100899	0.0596797883182886	1.96706366441525	0.0491758715951931	0.214353517043607	FALSE	FALSE	FALSE
"CYP51A1"	2616.60097437054	0.0556885135676443	0.0581013534627938	0.958471881439137	0.337824863808024	0.620143484817945	FALSE	FALSE	FALSE
"KRIT1"	3370.29618384192	-0.0617983398027794	0.0537530224030477	-1.14967190755167	0.250279029037421	0.532507734219868	FALSE	FALSE	FALSE
"RAD52"	1766.88148760997	0.0740502814889627	0.0709077298825887	1.04431888612959	0.296337877819758	0.581759133330408	FALSE	FALSE	FALSE
"BAD"	1278.097564798	0.097428811194668	0.0738714994696375	1.31889581089	0.187203946836146	0.459273525807814	FALSE	FALSE	FALSE
"CD99"	5298.09626216466	0.859958531687176	0.751501070582531	1.14432109992947	0.252490495915297	0.53493950365001	FALSE	FALSE	FALSE
"MAD1L1"	2384.21481454694	-0.0837814095031085	0.06248323104491	-1.34086230980742	0.17996516123353	0.452490529091075	FALSE	FALSE	FALSE
"LASP1"	39780.3055997334	-0.146039881237538	0.0454155366977932	-3.21563702327963	0.00130155342436017	0.0197675254349173	TRUE	FALSE	FALSE
"SNX11"	1786.48101992937	0.0205598464683409	0.0656793940366163	0.31303343719765	0.75425525862605	0.893277877322792	FALSE	FALSE	FALSE
"M6PR"	19878.1630822856	-0.0264129388535785	0.0509034025209403	-0.518883562699231	0.603841940930093	0.810846863702988	FALSE	FALSE	FALSE
"CYP26B1"	3168.77897210367	-0.213997409594981	0.0647382701952411	-3.30557812171373	0.000947806779367999	0.0155857715775149	TRUE	FALSE	FALSE
"DBNDD1"	1430.32618375384	0.0288505426011309	0.0703357243009359	0.410183344066978	0.681671458116951	0.855062462821717	FALSE	FALSE	FALSE
"ALS2"	2066.67255151215	0.100153685020418	0.0636603878855624	1.57324968236853	0.115661015405001	0.352670865154388	FALSE	FALSE	FALSE
"CASP10"	116.479452491097	0.101062691441735	0.206816371942561	0.488659048084467	0.625083101112606	0.822364947134155	FALSE	FALSE	FALSE
"CFLAR"	3687.45331904766	-0.142780665808178	0.0617826331872036	-2.31101619407427	0.0208319604251555	0.126954738082429	FALSE	FALSE	FALSE
"NDUFAF7"	1377.65060419008	0.122877720451529	0.0717389621527987	1.71284496965273	0.0867410645047237	0.298738667763985	FALSE	FALSE	FALSE
"RBM5"	7883.10113189409	0.134986481858799	0.0526256861768011	2.56503034288804	0.0103166782669317	0.0799437093603905	FALSE	FALSE	FALSE
"SLC7A2"	38030.07494068	-0.128870388289306	0.0492785609481891	-2.61514106357122	0.00891906109453591	0.0728893281830967	FALSE	FALSE	FALSE
"ARF5"	9275.32205315945	-0.0137791507066377	0.0597903583983198	-0.230457737263286	0.817736100428391	0.924501410964416	FALSE	FALSE	FALSE
"SARM1"	1710.30007968336	-0.129571094050947	0.0636153884616197	-2.03678853787271	0.0416712374326964	0.195038128939666	FALSE	FALSE	FALSE
