"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"TSPAN6"	5699.03718372198	0.0511863657397518	0.0756684351597049	0.676455983683533	0.498751183203619	0.69582306175442	FALSE	FALSE	FALSE
"DPM1"	3801.40823698546	0.209501815279785	0.101343675114204	2.06724114794237	0.0387114366850665	0.135317356313963	FALSE	FALSE	FALSE
"SCYL3"	1149.47941364689	0.165977689054647	0.097815618133463	1.6968424084197	0.0897264586313213	0.239323878394758	FALSE	FALSE	FALSE
"C1orf112"	1936.74084679991	0.0615846251579585	0.0997212349312075	0.617567814923698	0.536860265921369	0.724842841600457	FALSE	FALSE	FALSE
"FUCA2"	6641.09350973407	-0.0155408127062927	0.0798442465687948	-0.194639105184649	0.845675486978609	0.922546042234801	FALSE	FALSE	FALSE
"GCLC"	3550.75933408887	-0.295104244107042	0.0789200273031271	-3.73928208328622	0.000184546549062876	0.00250377787133368	TRUE	FALSE	FALSE
"NFYA"	2134.6138977982	0.179594477122762	0.0882062636612393	2.03607396649861	0.04174292845143	0.142849526621997	FALSE	FALSE	FALSE
"STPG1"	907.927590225865	0.185934045949636	0.115161602608771	1.61454896195995	0.106408405665524	0.266992265360323	FALSE	FALSE	FALSE
"NIPAL3"	1431.03379039914	0.328418545808049	0.101788243357733	3.22648800071957	0.00125319486526504	0.0109759594984922	TRUE	FALSE	FALSE
"LAS1L"	5004.76883281801	-0.167731725317616	0.0841903697869188	-1.99229111051699	0.0463391264898593	0.153348683821358	FALSE	FALSE	FALSE
"SEMA3F"	549.724662146672	-0.0268385882022376	0.12106173427976	-0.22169340594623	0.824552563687783	0.911065345267489	FALSE	FALSE	FALSE
"ANKIB1"	5005.69839906052	0.152698221771786	0.0839027709595133	1.81994253617047	0.0687677563175972	0.200221019778752	FALSE	FALSE	FALSE
"CYP51A1"	2616.60097437054	0.0609659341331256	0.0813519693967316	0.749409443744517	0.453610460701095	0.659283524839522	FALSE	FALSE	FALSE
"KRIT1"	3370.29618384192	-0.188079869058702	0.0757728014714407	-2.48215540941285	0.0130590306655156	0.0625290857324382	FALSE	FALSE	FALSE
"RAD52"	1766.88148760997	0.137252918088074	0.0989889450601275	1.38654794234553	0.165579651605046	0.355388479001386	FALSE	FALSE	FALSE
"BAD"	1278.097564798	0.175821495446453	0.102531155465733	1.71481043637721	0.0863799874887307	0.232774759145577	FALSE	FALSE	FALSE
"CD99"	5298.09626216466	0.406210679664391	1.06276172495306	0.382221781352101	0.702296866985914	0.839664754167421	FALSE	FALSE	FALSE
"MAD1L1"	2384.21481454694	-0.158988773252065	0.087935253055455	-1.80802087590287	0.0706032515614276	0.203845212446739	FALSE	FALSE	FALSE
"LASP1"	39780.3055997334	-0.154455988123603	0.0641777626470826	-2.40669013304446	0.0160978220559917	0.0726609592911288	FALSE	FALSE	FALSE
"SNX11"	1786.48101992937	-0.0793651636321091	0.0922756372515399	-0.86008794949595	0.389740563365276	0.606903142965193	FALSE	FALSE	FALSE
"M6PR"	19878.1630822856	-0.0379394207254845	0.0718823266347399	-0.527799008486028	0.597638845402215	0.770294536255936	FALSE	FALSE	FALSE
"CYP26B1"	3168.77897210367	-0.478488488473144	0.0917712103626167	-5.21392805633147	1.84883195838229e-07	7.9858864932014e-06	TRUE	FALSE	FALSE
