"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"GO:0007156"	"GO:0007156"	"homophilic cell adhesion via plasma membrane adhesion molecules"	73	0.52081665213165	2.21108496642861	0.000176087339320303	0.000176087339320303	0.0267707581244744	2375	"tags=68%, list=28%, signal=50%"	"PCDH1/CADM4/PCDHA2/ROBO3/PCDHA9/PCDHAC2/PCDHA13/PCDHA6/PCDHA1/PCDHA11/PCDHA5/PCDHAC1/PCDHA3/PCDHA8/PCDHA7/PCDHA10/CDH26/PCDHA12/PCDHA4/AMIGO1/CELSR3/PCDHB6/IGSF11/PCDHB13/CDH24/TENM3/PCDHB11/PCDHGB4/PCDHGA8/PCDHGA10/PCDHGA12/PCDHGA5/PCDHGB2/PCDHGB3/PCDHGC5/PCDHGA2/PCDHGA7/PCDHGA11/PCDHGB1/PCDHGB5/PCDHGA3/PCDHGA9/PCDHGA1/PCDHGA4/CDH3/PCDHGA6/PCDHGB7/PCDHGB6/PCDHGC4/PCDHGC3"
"GO:2000660"	"GO:2000660"	"negative regulation of interleukin-1-mediated signaling pathway"	5	-0.933808507735585	-1.99190761500623	0.000210570646451885	0.000210570646451885	0.0267707581244744	90	"tags=60%, list=1%, signal=59%"	"IL1R2/IL6/MIR27A"
"GO:0006721"	"GO:0006721"	"terpenoid metabolic process"	27	-0.593964237727152	-2.09161513565261	0.000217013888888889	0.000217013888888889	0.0267707581244744	807	"tags=41%, list=10%, signal=37%"	"CYP26B1/AKR1B1/RDH13/CYP3A7/DHRS3/AKR1B15/CYP1A1/PLB1/HMGCS2/AKR1B10/CYP1A2"
"GO:0046427"	"GO:0046427"	"positive regulation of receptor signaling pathway via JAK-STAT"	13	-0.819118582800184	-2.34333036637847	0.000217864923747277	0.000217864923747277	0.0267707581244744	924	"tags=77%, list=11%, signal=69%"	"HES1/CSH2/CSH1/LEP/GH2/OCIAD2/F2/IL6/IL10RA/IL10"
"GO:0010575"	"GO:0010575"	"positive regulation of vascular endothelial growth factor production"	13	-0.762228297776855	-2.18057892202549	0.000217864923747277	0.000217864923747277	0.0267707581244744	1820	"tags=92%, list=22%, signal=73%"	"SULF2/ARNT/EIF2AK3/ADORA2B/ATF4/HIF1A/C3/IL6ST/RORA/FLT4/C5AR1/IL6"
"GO:1905953"	"GO:1905953"	"negative regulation of lipid localization"	24	-0.640899556655745	-2.18751540130256	0.000218292949137743	0.000218292949137743	0.0267707581244744	308	"tags=33%, list=4%, signal=32%"	"PLA2G10/PPARG/LEP/APOA2/ITGB3/IL6/CYP4F2/MIR27A"
"GO:0042572"	"GO:0042572"	"retinol metabolic process"	16	-0.724255770937657	-2.20341803723819	0.000219346347883308	0.000219346347883308	0.0267707581244744	669	"tags=56%, list=8%, signal=52%"	"AKR1B1/RDH13/CYP3A7/DHRS3/AKR1B15/CYP1A1/PLB1/AKR1B10/CYP1A2"
"GO:0010574"	"GO:0010574"	"regulation of vascular endothelial growth factor production"	15	-0.768345096852478	-2.29745710421927	0.00021982853374368	0.00021982853374368	0.0267707581244744	1820	"tags=93%, list=22%, signal=73%"	"SULF2/ARNT/EIF2AK3/ADORA2B/ATF4/HIF1A/C3/IL6ST/RORA/FLT4/NDRG2/C5AR1/MIR520G/IL6"
"GO:1904894"	"GO:1904894"	"positive regulation of receptor signaling pathway via STAT"	14	-0.807895835582906	-2.36454405108825	0.00021997360316762	0.00021997360316762	0.0267707581244744	924	"tags=71%, list=11%, signal=64%"	"HES1/CSH2/CSH1/LEP/GH2/OCIAD2/F2/IL6/IL10RA/IL10"
"GO:1902895"	"GO:1902895"	"positive regulation of miRNA transcription"	30	-0.569059538901346	-2.04595764791844	0.000221092195445501	0.000221092195445501	0.0267707581244744	1526	"tags=60%, list=18%, signal=49%"	"FOXO3/PDGFB/HIF1A/POU2F1/GATA3/GATA2/TERT/PPARG/MYC/KLF4/EGFR/FOSL1/FOS/KLF5/SMAD3/APLN/NR3C1/IL10"
