"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"hsa04061"	"hsa04061"	"Viral protein interaction with cytokine and cytokine receptor"	19	-0.765117366425859	-2.44122356594119	0.000195121951219512	0.000195121951219512	0.014333218667584	1139	"tags=74%, list=16%, signal=62%"	"1436/1236/8740/1435/146433/3572/56477/8809/8743/57007/3560/3569/3587/3586"
"hsa04630"	"hsa04630"	"JAK-STAT signaling pathway"	58	-0.506030703906599	-2.09340291398066	0.000196193839513439	0.000196193839513439	0.014333218667584	1459	"tags=43%, list=20%, signal=35%"	"1489/5291/3716/8554/3976/5155/598/9021/2056/1439/3572/4609/596/3977/1443/1956/595/1442/3952/2689/3560/3581/3569/3587/3586"
"hsa04060"	"hsa04060"	"Cytokine-cytokine receptor interaction"	76	-0.493772540160763	-2.15502766336159	0.00019782393669634	0.00019782393669634	0.014333218667584	1027	"tags=42%, list=14%, signal=37%"	"93/1236/8740/1435/146433/84957/2056/1439/3572/3977/1443/3554/56477/8809/10148/8200/8743/57007/1442/9518/3952/55504/2689/10663/10913/3560/3581/7850/83729/3569/3587/3586"
"hsa05202"	"hsa05202"	"Transcriptional misregulation in cancer"	67	-0.474039285956513	-2.01507052296999	0.000198059021588433	0.000198059021588433	0.014333218667584	1285	"tags=42%, list=18%, signal=35%"	"1051/604/5966/598/861/1436/4613/4299/3480/1647/4616/3684/5468/5218/4609/8864/2308/26471/1649/4005/2118/3560/7850/2119/3569/171558/3087/7704"
"hsa04151"	"hsa04151"	"PI3K-Akt signaling pathway"	152	-0.355759552226726	-1.7658834803685	0.000388424936880948	0.000388424936880948	0.0189980760130292	1431	"tags=36%, list=20%, signal=30%"	"2065/5291/5520/3716/5228/2263/2309/468/2997/5155/1017/598/3914/1436/3691/3480/5522/1435/3643/2056/5106/2260/3678/1293/930/4609/596/1443/3655/64764/23533/7422/1298/2324/7448/1956/1944/595/7450/1442/1978/90993/54541/3694/28227/1280/2689/22798/2246/51378/3560/26291/3690/1969/3569"
"hsa04066"	"hsa04066"	"HIF-1 signaling pathway"	47	-0.521717709964803	-2.06388634330733	0.000393778302815515	0.000393778302815515	0.0189980760130292	1748	"tags=70%, list=24%, signal=54%"	"5211/3939/1387/5230/2064/1027/5595/2872/2033/5604/226/230/5214/2023/405/5291/8453/3091/3480/3643/5163/2056/3098/596/7422/1956/7037/6513/1978/3099/5054/51378/3569"
"hsa04640"	"hsa04640"	"Hematopoietic cell lineage"	30	-0.543700406218549	-1.93349467723462	0.000985221674876847	0.000985221674876847	0.0318326827890523	843	"tags=57%, list=12%, signal=50%"	"1436/1435/2056/290/3684/1604/3678/930/3655/3554/7037/933/4311/3581/7850/3690/3569"
"hsa04261"	"hsa04261"	"Adrenergic signaling in cardiomyocytes"	65	-0.454005109920146	-1.91768741567569	0.000987947046038332	0.000987947046038332	0.0318326827890523	1279	"tags=34%, list=18%, signal=28%"	"476/468/91860/7171/5522/6543/6547/27092/1390/596/64764/23533/779/776/492/90993/28227/4634/491/6331/477/111"
"hsa05320"	"hsa05320"	"Autoimmune thyroid disease"	5	-0.880504851135016	-1.88074144103956	0.000989707046714173	0.000989707046714173	0.0318326827890523	15	"tags=60%, list=0%, signal=60%"	"1081/7038/3586"
"hsa05150"	"hsa05150"	"Staphylococcus aureus infection"	15	-0.665610876392785	-1.9805328131199	0.00137066771098492	0.00137066771098492	0.0396772232127214	202	"tags=53%, list=3%, signal=52%"	"718/3684/3861/3857/3872/728/192666/3586"
