"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"GCLC"	3550.75933408887	-0.160158549430778	0.0558924639903332	-2.86547663131255	0.00416382003702761	0.0445841858036997	TRUE	FALSE	FALSE
"LASP1"	39780.3055997334	-0.146039881237538	0.0454155366977932	-3.21563702327963	0.00130155342436017	0.0197675254349173	TRUE	FALSE	FALSE
"CYP26B1"	3168.77897210367	-0.213997409594981	0.0647382701952411	-3.30557812171373	0.000947806779367999	0.0155857715775149	TRUE	FALSE	FALSE
"FKBP4"	29883.4210729391	-0.173673484098576	0.0576145002630631	-3.01440580592728	0.00257483150796913	0.0319595936576848	TRUE	FALSE	FALSE
"PRSS22"	10228.4379298452	-0.473954843598974	0.0520214678656166	-9.11075490648031	8.18107094913998e-20	1.57976480027893e-16	TRUE	FALSE	FALSE
"MCUB"	2127.3670061469	0.207127037456536	0.0579124462689363	3.57655479609116	0.000348152364094415	0.0074724258478025	TRUE	FALSE	FALSE
"MAP3K9"	2484.82191034391	-0.172653575637028	0.0583009847136637	-2.96141782999017	0.00306226193152918	0.036056267010871	TRUE	FALSE	FALSE
"ALDH3B1"	4912.5202912303	-0.323366355992594	0.053288939205798	-6.06817025844287	1.29375714098977e-09	2.46305848940263e-07	TRUE	FALSE	FALSE
"GAS7"	700.266630551139	-0.391748049512413	0.0824848300180381	-4.74933450704504	2.04087127962931e-06	0.000125392986757952	TRUE	FALSE	FALSE
"TKTL1"	145.305418231912	-0.92844953668837	0.178080059397283	-5.21366367369112	1.85147020063922e-07	1.61460146464776e-05	TRUE	FALSE	FALSE
"CRAMP1"	4255.15876136608	-0.152333479914526	0.0540129970698181	-2.82031155793146	0.0047977042995903	0.0495319490438526	TRUE	FALSE	FALSE
"CELSR3"	433.479214859613	0.39090117580215	0.113751670727806	3.43644337969794	0.000589405535469506	0.0111582557744276	TRUE	FALSE	FALSE
"PLEKHG6"	18181.0333005984	-0.217395288581759	0.047216487725186	-4.60422405510262	4.14006557759924e-06	0.000226563831629186	TRUE	FALSE	FALSE
"ST3GAL1"	6463.97096326072	-0.267228395171027	0.0572394630395773	-4.6686041583978	3.03253023456448e-06	0.000173689454155119	TRUE	FALSE	FALSE
"MAPK8IP2"	329.471345424175	-0.395858367839758	0.113226119125087	-3.49617536040807	0.000471978414442291	0.00955049734733002	TRUE	FALSE	FALSE
"CD9"	21216.0916454111	-0.173064505875861	0.0514714391175239	-3.36234052987533	0.000772847513817444	0.0135846291863074	TRUE	FALSE	FALSE
"BRCA1"	2417.38180162809	0.164668804027839	0.0584154412222125	2.81892596516456	0.00481846304328303	0.049680522468388	TRUE	FALSE	FALSE
"ELOVL5"	9028.92824278725	0.196028225186744	0.0476826593189494	4.11110093242726	3.93777005014716e-05	0.00134737177680958	TRUE	FALSE	FALSE
"PSMC4"	6541.19586919858	-0.137473532170979	0.0469469295321618	-2.92827525763534	0.00340848146536495	0.0386625195418317	TRUE	FALSE	FALSE
"GPRC5A"	1730.80100156201	-0.581882772205007	0.144450418077979	-4.02825260007824	5.61929508342256e-05	0.00181279264063539	TRUE	FALSE	FALSE
"CAPN1"	30342.5547875257	-0.139009513527616	0.0490573967429345	-2.83360966453314	0.00460255128168971	0.0480233499711538	TRUE	FALSE	FALSE
"MTMR11"	1807.77165146831	-0.335369199124855	0.0841195364667054	-3.9868170131631	6.69656326510707e-05	0.00207705849211504	TRUE	FALSE	FALSE
"DPEP1"	9381.00598905671	-0.422465420604338	0.0636824592781022	-6.63393696464242	3.26849455434873e-11	9.20421685231911e-09	TRUE	FALSE	FALSE
"SLC7A9"	2480.96081193951	-0.193339502926769	0.0675072745941195	-2.86398027603992	0.00418354060942708	0.0447000520861581	TRUE	FALSE	FALSE
"GRAMD1B"	2137.303477005	-0.357057103300686	0.0703922304233452	-5.07239365983024	3.92842668953333e-07	3.1438686934636e-05	TRUE	FALSE	FALSE
"TOMM34"	8546.27011388713	-0.315569846404069	0.0553143531587146	-5.70502642412898	1.16325041524848e-08	1.63788081905351e-06	TRUE	FALSE	FALSE
"IFNGR1"	1205.69752928198	0.24764385220817	0.0808110489470704	3.06448011051523	0.00218048672534213	0.0285597277775674	TRUE	FALSE	FALSE
"HMGB3"	17540.5915354908	-0.370508903278495	0.0511307211738055	-7.24630701020325	4.28288707749182e-13	1.99626843539507e-10	TRUE	FALSE	FALSE
"RANBP3"	4178.76952481188	-0.180375223208343	0.0549915005777647	-3.28005639622927	0.00103786337836622	0.0167009515302098	TRUE	FALSE	FALSE
"GAB2"	16592.6549263509	-0.376180645109831	0.0465596769733867	-8.07953726407625	6.50129934917907e-16	5.85853755352357e-13	TRUE	FALSE	FALSE
"DEPDC1B"	3387.74677180489	0.178913307457601	0.0632739524827811	2.82759809427566	0.00468986445189045	0.0488013070024659	TRUE	FALSE	FALSE
"RAI14"	7885.90632201487	-0.198430521750878	0.0568820160134045	-3.48845796365792	0.000485815204283136	0.00980022594234846	TRUE	FALSE	FALSE
"PHLPP2"	325.918257059446	0.625122294716944	0.139712468851911	4.47434863798409	7.66445974616465e-06	0.000362239518842334	TRUE	FALSE	FALSE
"CAPG"	2637.62011900903	-0.195036963925701	0.0585451232267147	-3.33139556595387	0.000864117164018949	0.01469216566798	TRUE	FALSE	FALSE
"BARX2"	345.951179490065	-0.388003225427312	0.116893755458282	-3.31928103350042	0.000902495525096136	0.0151286912559424	TRUE	FALSE	FALSE
"JADE2"	4519.5004667296	-0.221902107192538	0.0621195314699253	-3.57217934426904	0.000354022824896162	0.00758371873870272	TRUE	FALSE	FALSE
"TRIT1"	3568.52077886992	-0.177920456383895	0.0622022016226708	-2.86035625335565	0.00423165344156353	0.0450742786206574	TRUE	FALSE	FALSE
"CTNNA1"	45483.766630526	-0.167664532958174	0.0461661569941901	-3.63176282962592	0.000281491768108823	0.00630999043039296	TRUE	FALSE	FALSE
"PHKA2"	7924.13629716835	-0.209642872044581	0.0434133177503443	-4.82899909309323	1.37221033344166e-06	9.00396460054899e-05	TRUE	FALSE	FALSE
"COL9A2"	1300.07381134054	-0.534212378569586	0.0743953678561587	-7.18072097717792	6.93447479763227e-13	3.12444319465318e-10	TRUE	FALSE	FALSE
"NEDD4L"	9798.12064006703	-0.172676881739654	0.0586446721508959	-2.94445983593099	0.00323518933912565	0.0373441966669184	TRUE	FALSE	FALSE
"HEXB"	6614.84465512629	0.197482844144187	0.0607307602788715	3.25177625370339	0.00114686264618555	0.0179839238845592	TRUE	FALSE	FALSE
"NFE2L3"	20021.7765696845	-0.311778438534386	0.0573396030276994	-5.43740141318686	5.4063246268257e-08	5.89332983716154e-06	TRUE	FALSE	FALSE
"LIMA1"	11934.6669242495	-0.23631890696386	0.0497980848246697	-4.74554207849352	2.07948677125113e-06	0.000127187432972858	TRUE	FALSE	FALSE
