"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"GCLC"	3550.75933408887	-0.295104244107042	0.0789200273031271	-3.73928208328622	0.000184546549062876	0.00250377787133368	TRUE	FALSE	FALSE
"NIPAL3"	1431.03379039914	0.328418545808049	0.101788243357733	3.22648800071957	0.00125319486526504	0.0109759594984922	TRUE	FALSE	FALSE
"CYP26B1"	3168.77897210367	-0.478488488473144	0.0917712103626167	-5.21392805633147	1.84883195838229e-07	7.9858864932014e-06	TRUE	FALSE	FALSE
"DBNDD1"	1430.32618375384	0.34534470081457	0.0968115019327544	3.56718668670638	0.000360834418161452	0.00421750853670668	TRUE	FALSE	FALSE
"RBM5"	7883.10113189409	0.213757646149425	0.0739963912605944	2.88875771517872	0.0038676695162446	0.0257068809486419	TRUE	FALSE	FALSE
"SLC7A2"	38030.07494068	-0.260164792684484	0.0696731750480949	-3.73407401779658	0.000188407083500633	0.00254566122591947	TRUE	FALSE	FALSE
"SARM1"	1710.30007968336	-0.34420290023671	0.0900579912834113	-3.82201396379704	0.000132366192344387	0.00192094393951638	TRUE	FALSE	FALSE
"POLDIP2"	10084.9766111744	-0.231375092269489	0.0687650983141114	-3.364716955869	0.000766222176895133	0.00748795627384988	TRUE	FALSE	FALSE
"RECQL"	3858.58104638977	0.28648663111064	0.107846527465873	2.65642888874004	0.00789731047362892	0.0429639796576896	TRUE	FALSE	FALSE
"VPS50"	1125.18288239159	0.308011405407127	0.118705940151946	2.59474298432637	0.00946616760190194	0.0493133566638651	TRUE	FALSE	FALSE
"ARHGAP33"	725.375015508893	0.408714649749379	0.115236164431901	3.54675679951937	0.000390004437560558	0.00444788844693978	TRUE	FALSE	FALSE
"DVL2"	6236.67704149769	-0.206692836841274	0.0700902443844594	-2.94895300560691	0.00318852457249594	0.0223425708361058	TRUE	FALSE	FALSE
"PRSS22"	10228.4379298452	-0.814321725538919	0.0737891095673912	-11.0357982405954	2.56761290083943e-28	6.0364579298735e-25	TRUE	FALSE	FALSE
"SKAP2"	1876.86735703663	0.279252669012871	0.0851292148732257	3.28033882878791	0.00103682485456506	0.00949000368830763	TRUE	FALSE	FALSE
"MCUB"	2127.3670061469	0.335484631932139	0.0801964625767262	4.18328466310059	2.87327243753839e-05	0.000570391369174538	TRUE	FALSE	FALSE
"LIG3"	6724.89204998769	-0.24010222690024	0.0652753828164949	-3.6782967259683	0.000234796710371449	0.00303167349017204	TRUE	FALSE	FALSE
"KMT2E"	4734.69102928576	-0.383535936514089	0.106145421557622	-3.61330645152587	0.000302317042724138	0.00370732605969534	TRUE	FALSE	FALSE
"RHBDD2"	2814.21933636042	-0.300877125617769	0.111767555350326	-2.69198985944262	0.00710271048771603	0.039636929975023	TRUE	FALSE	FALSE
"ZNF195"	1654.93037178457	0.377932132440869	0.112757882203133	3.35171364570351	0.000803130433526243	0.00779770946580612	TRUE	FALSE	FALSE
"LAMP2"	12107.8365115528	0.269337215429888	0.0782365597317344	3.44260044605003	0.000576149857834939	0.00600107481670227	TRUE	FALSE	FALSE
"MAP3K14"	1062.45717430141	-0.479686089819678	0.111998703540729	-4.28296109378834	1.84422428771139e-05	0.000393649793811497	TRUE	FALSE	FALSE
"DLX6"	4154.83229675971	-0.338364463138715	0.0845038196835301	-4.00413217302961	6.22455578494175e-05	0.00104849042530999	TRUE	FALSE	FALSE
"MAP3K9"	2484.82191034391	-0.280131142074179	0.0822106526109548	-3.40747984813893	0.000655657498243289	0.00660756610446406	TRUE	FALSE	FALSE
"ALDH3B1"	4912.5202912303	-0.459358744030254	0.0753617915837374	-6.09537982546292	1.09177906108437e-09	8.49039391198388e-08	TRUE	FALSE	FALSE
