Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Pval_threshold	FC1.2_threshold	FC1.5_threshold
TSPAN6	5699.037184	0.183026522	0.053791883	3.402493331	0.00066774	0.002340593	TRUE	FALSE	FALSE
DPM1	3801.408237	0.178241213	0.072185358	2.469215634	0.013540959	0.034497448	TRUE	FALSE	FALSE
GCLC	3550.759334	-0.443021195	0.056468247	-7.845492261	4.31E-15	7.02E-14	TRUE	FALSE	FALSE
NFYA	2134.613898	0.188096511	0.063318323	2.970648978	0.002971712	0.009052416	TRUE	FALSE	FALSE
STPG1	907.9275902	0.19511458	0.083161843	2.346203189	0.018965765	0.046214593	TRUE	FALSE	FALSE
NIPAL3	1431.03379	0.445540711	0.073169872	6.089127964	1.14E-09	1.02E-08	TRUE	FALSE	FALSE
SEMA3F	549.7246621	0.225248571	0.086714035	2.597602234	0.009387717	0.025116087	TRUE	FALSE	FALSE
ANKIB1	5005.698399	0.141047668	0.059773059	2.359719754	0.018288745	0.044832949	TRUE	FALSE	FALSE
KRIT1	3370.296184	-0.178953649	0.054113261	-3.307020242	0.000942941	0.003208644	TRUE	FALSE	FALSE
RAD52	1766.881488	0.179510638	0.070974001	2.529245	0.01143082	0.029788259	TRUE	FALSE	FALSE
BAD	1278.097565	0.288756905	0.073727432	3.916546357	8.98E-05	0.000377928	TRUE	FALSE	FALSE
MAD1L1	2384.214815	-0.237733847	0.062987106	-3.774325626	0.000160441	0.000642774	TRUE	FALSE	FALSE
LASP1	39780.3056	-0.127200427	0.045432585	-2.79976207	0.005114029	0.014676542	TRUE	FALSE	FALSE
CYP26B1	3168.778972	-0.726782924	0.065615498	-11.07639119	1.63E-28	7.83E-27	TRUE	FALSE	FALSE
ICA1	57.26734575	1.629271581	0.289918431	5.619758543	1.91E-08	1.44E-07	TRUE	TRUE	TRUE
DBNDD1	1430.326184	0.578112899	0.069411306	8.328800228	8.17E-17	1.58E-15	TRUE	FALSE	FALSE
ALS2	2066.672552	0.221542715	0.063691649	3.478363625	0.000504485	0.001817752	TRUE	FALSE	FALSE
CFLAR	3687.453319	-0.386454483	0.062221592	-6.210938536	5.27E-10	4.91E-09	TRUE	FALSE	FALSE
RBM5	7883.101132	0.159872138	0.052695064	3.03391105	0.002414056	0.007505158	TRUE	FALSE	FALSE
MTMR7	32.24003122	-0.983345451	0.404262719	-2.432441592	0.01499741	0.037740796	TRUE	FALSE	FALSE
SLC7A2	38030.07494	-0.44874151	0.049345573	-9.093855464	9.56E-20	2.38E-18	TRUE	FALSE	FALSE
ARF5	9275.322053	0.179088939	0.059766725	2.996465658	0.00273129	0.008390286	TRUE	FALSE	FALSE
SARM1	1710.30008	-0.470636238	0.064795463	-7.263413461	3.77E-13	5.07E-12	TRUE	FALSE	FALSE
POLDIP2	10084.97661	-0.162502303	0.048781583	-3.331222393	0.000864655	0.002966028	TRUE	FALSE	FALSE
AK2	8699.958202	-0.15084841	0.058783059	-2.566188507	0.010282293	0.027138861	TRUE	FALSE	FALSE
FKBP4	29883.42107	-0.140010101	0.057629801	-2.429473984	0.01512075	0.038008932	TRUE	FALSE	FALSE
CAMKK1	71.39869468	0.768107176	0.25910832	2.964424984	0.003032492	0.009219643	TRUE	FALSE	FALSE
VPS50	1125.182882	0.22160399	0.085573168	2.589643386	0.00960754	0.025640241	TRUE	FALSE	FALSE
ARHGAP33	725.3750155	0.69779496	0.083122175	8.394811127	4.67E-17	9.26E-16	TRUE	FALSE	FALSE
ZMYND10	31.81535999	1.164373698	0.431483268	2.698537313	0.006964493	0.01935996	TRUE	FALSE	FALSE
SLC25A13	7316.210224	-0.131895089	0.047691624	-2.765581822	0.005682135	0.016107287	TRUE	FALSE	FALSE
ST7	1866.779732	-0.244853195	0.075082957	-3.2611022	0.0011098	0.003724192	TRUE	FALSE	FALSE
DVL2	6236.677041	-0.270271069	0.049936346	-5.412311685	6.22E-08	4.34E-07	TRUE	FALSE	FALSE
PRSS22	10228.43793	-1.275984105	0.052574322	-24.27010077	4.06E-130	1.38E-126	TRUE	TRUE	FALSE
SKAP2	1876.867357	0.480116835	0.061073692	7.861270886	3.80E-15	6.22E-14	TRUE	FALSE	FALSE
MCUB	2127.367006	0.525208178	0.057584271	9.120688202	7.46E-20	1.87E-18	TRUE	FALSE	FALSE
DHX33	5789.705857	-0.218108485	0.051957319	-4.197839485	2.69E-05	0.000125075	TRUE	FALSE	FALSE
LIG3	6724.89205	-0.375381278	0.046582035	-8.058498871	7.72E-16	1.36E-14	TRUE	FALSE	FALSE
ACSM3	271.6714673	0.389560647	0.136028415	2.863818175	0.004185682	0.012273343	TRUE	FALSE	FALSE
CIAPIN1	3192.519746	0.179681251	0.060121367	2.988642168	0.002802201	0.008588695	TRUE	FALSE	FALSE
SPPL2B	5421.214808	0.230671095	0.062867314	3.669173682	0.000243336	0.000943163	TRUE	FALSE	FALSE
FAM214B	699.1864292	0.223323169	0.094696672	2.358300075	0.018358846	0.044977738	TRUE	FALSE	FALSE
PRKAR2B	27.57824821	1.060472555	0.437786812	2.422349246	0.015420523	0.038662307	TRUE	FALSE	FALSE
CREBBP	10204.38504	-0.314940263	0.074607328	-4.221304705	2.43E-05	0.000113696	TRUE	FALSE	FALSE
TSPOAP1	12.86127218	-1.556621047	0.593151071	-2.624324766	0.008682096	0.023462385	TRUE	TRUE	TRUE
KMT2E	4734.691029	-0.584176802	0.075461589	-7.741379502	9.83E-15	1.54E-13	TRUE	FALSE	FALSE
RHBDD2	2814.219336	-0.229225079	0.079371656	-2.887996668	0.00387704	0.011486644	TRUE	FALSE	FALSE
IBTK	2006.592086	0.312873035	0.088274288	3.544328074	0.000393615	0.001457707	TRUE	FALSE	FALSE
ZNF195	1654.930372	0.392630147	0.080798382	4.859381326	1.18E-06	6.77E-06	TRUE	FALSE	FALSE
FBXL3	3344.491259	-0.269862837	0.068535106	-3.937585449	8.23E-05	0.000348806	TRUE	FALSE	FALSE
ITGAL	116.3797749	0.520534757	0.208354492	2.498313099	0.012478593	0.032160865	TRUE	FALSE	FALSE
ITGA3	3645.912658	0.380611417	0.059845319	6.3599196	2.02E-10	2.00E-09	TRUE	FALSE	FALSE
ZFX	1144.41031	-0.168814299	0.072200631	-2.338127738	0.019380623	0.047101571	TRUE	FALSE	FALSE
LAMP2	12107.83651	0.454107131	0.055480514	8.184984207	2.72E-16	5.01E-15	TRUE	FALSE	FALSE
OSBPL7	579.6752734	0.708377499	0.099035849	7.152738189	8.51E-13	1.10E-11	TRUE	FALSE	FALSE
YBX2	933.8321945	0.368396837	0.082389378	4.471411784	7.77E-06	3.98E-05	TRUE	FALSE	FALSE
MAP3K14	1062.457174	-0.593334612	0.080462853	-7.374019045	1.66E-13	2.29E-12	TRUE	FALSE	FALSE
TMEM132A	8471.13627	0.252143571	0.053242689	4.735740735	2.18E-06	1.21E-05	TRUE	FALSE	FALSE
SPATA20	2536.641611	0.143823516	0.057195794	2.514582058	0.011917357	0.030898086	TRUE	FALSE	FALSE
DLX6	4154.832297	-0.671365216	0.060514752	-11.09424057	1.34E-28	6.43E-27	TRUE	FALSE	FALSE
MAP3K9	2484.82191	-0.514238737	0.059205046	-8.685724848	3.76E-18	8.19E-17	TRUE	FALSE	FALSE
BAIAP2L1	5283.398844	-0.228830203	0.051429188	-4.449422804	8.61E-06	4.38E-05	TRUE	FALSE	FALSE
KDM7A	2431.767719	-0.398989824	0.069056809	-5.777704317	7.57E-09	6.01E-08	TRUE	FALSE	FALSE
ALDH3B1	4912.520291	-0.635970758	0.053759523	-11.82991809	2.73E-32	1.62E-30	TRUE	FALSE	FALSE
GGCT	8506.721873	-0.180743439	0.054531527	-3.314476031	0.000918151	0.003129514	TRUE	FALSE	FALSE
IFRD1	1135.74256	-0.503015426	0.102634561	-4.90103356	9.53E-07	5.55E-06	TRUE	FALSE	FALSE
COX10	4789.463917	-0.636667466	0.055267662	-11.51971051	1.05E-30	5.58E-29	TRUE	FALSE	FALSE
PAF1	3683.518946	-0.297568943	0.054813607	-5.428742226	5.68E-08	3.98E-07	TRUE	FALSE	FALSE
VPS41	2615.486009	0.151663839	0.063625707	2.383688087	0.017140123	0.042389507	TRUE	FALSE	FALSE
ARHGAP44	449.8088197	0.57261475	0.104644143	5.472019121	4.45E-08	3.17E-07	TRUE	FALSE	FALSE
PNPLA4	500.1530177	0.348136169	0.100195976	3.474552386	0.000511706	0.001840842	TRUE	FALSE	FALSE
ADIPOR2	19011.40361	-0.303580575	0.047352381	-6.411094198	1.44E-10	1.46E-09	TRUE	FALSE	FALSE
CDKL3	159.8242033	0.470727933	0.165786146	2.839368341	0.004520294	0.013146663	TRUE	FALSE	FALSE
MARK4	4565.054109	-0.12512632	0.049734459	-2.515887815	0.011873297	0.030807373	TRUE	FALSE	FALSE
CCDC124	5681.579871	-0.172375796	0.05989964	-2.877743446	0.004005307	0.011827862	TRUE	FALSE	FALSE
KIAA0100	13343.75456	-0.18268236	0.052173238	-3.501457192	0.000462721	0.001684547	TRUE	FALSE	FALSE
GAS7	700.2666306	-1.179934403	0.087264018	-13.52143109	1.17E-41	1.14E-39	TRUE	FALSE	FALSE
TRAPPC6A	2623.714319	0.383678753	0.068266026	5.620346986	1.91E-08	1.43E-07	TRUE	FALSE	FALSE
TKTL1	145.3054182	-1.796871958	0.191611464	-9.377685035	6.74E-21	1.86E-19	TRUE	TRUE	TRUE
PAX6	522.9542912	0.440410264	0.102242016	4.307527215	1.65E-05	7.94E-05	TRUE	FALSE	FALSE
RPUSD1	1963.1942	0.192780543	0.065174982	2.957891775	0.003097509	0.009397682	TRUE	FALSE	FALSE
BAIAP3	888.5514844	0.448268114	0.084571709	5.300449981	1.16E-07	7.75E-07	TRUE	FALSE	FALSE
PIGQ	2102.846049	0.354399384	0.061854588	5.729556911	1.01E-08	7.83E-08	TRUE	FALSE	FALSE
CRAMP1	4255.158761	-0.296207212	0.054336251	-5.451373742	5.00E-08	3.53E-07	TRUE	FALSE	FALSE
TEAD3	15912.04792	-0.361876249	0.046022938	-7.862954174	3.75E-15	6.16E-14	TRUE	FALSE	FALSE
DNAJC11	5691.062236	-0.202181692	0.046980647	-4.303510185	1.68E-05	8.08E-05	TRUE	FALSE	FALSE
MYLIP	1861.679873	-0.176310233	0.074970624	-2.351724222	0.018686623	0.045621692	TRUE	FALSE	FALSE
JARID2	7604.10176	-0.513191996	0.061809999	-8.30273421	1.02E-16	1.95E-15	TRUE	FALSE	FALSE
SYPL1	3414.04522	0.2568594	0.058106287	4.420509619	9.85E-06	4.95E-05	TRUE	FALSE	FALSE
CYB561	7224.706614	-0.160408646	0.051490173	-3.11532542	0.001837421	0.00585721	TRUE	FALSE	FALSE
SPAG9	15366.35548	-0.459508785	0.058492324	-7.855881834	3.97E-15	6.47E-14	TRUE	FALSE	FALSE
CELSR3	433.4792149	0.666790526	0.113120561	5.894512172	3.76E-09	3.10E-08	TRUE	FALSE	FALSE
