"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"TSPAN6"	5699.03718372198	0.183026522475123	0.0537918827964679	3.40249333096668	0.0006677398489596	0.00234059300918644	TRUE	FALSE	FALSE
"DPM1"	3801.40823698546	0.178241213444896	0.0721853575512771	2.46921563446274	0.0135409593781854	0.0344974478982129	TRUE	FALSE	FALSE
"SCYL3"	1149.47941364689	-0.144108437486744	0.0717290001913528	-2.00906797951042	0.044529924908895	0.0949400177821121	FALSE	FALSE	FALSE
"C1orf112"	1936.74084679991	-0.0135768070910603	0.071472723613291	-0.189957880498842	0.84934213600658	0.905041071188687	FALSE	FALSE	FALSE
"FUCA2"	6641.09350973407	0.104502876396734	0.0566802249210208	1.84372727070772	0.0652228966179339	0.131236951032495	FALSE	FALSE	FALSE
"GCLC"	3550.75933408887	-0.443021195452437	0.0564682470800722	-7.8454922608848	4.31258441677433e-15	7.01862780161291e-14	TRUE	FALSE	FALSE
"NFYA"	2134.6138977982	0.188096511429363	0.0633183229671048	2.97064897829153	0.00297171231182612	0.00905241591654494	TRUE	FALSE	FALSE
"STPG1"	907.927590225865	0.195114580466535	0.0831618426631339	2.34620318908626	0.0189657650975774	0.0462145933542498	TRUE	FALSE	FALSE
"NIPAL3"	1431.03379039914	0.445540711459254	0.0731698716284339	6.08912796405831	1.13527353029275e-09	1.01591275596157e-08	TRUE	FALSE	FALSE
"LAS1L"	5004.76883281801	-0.00177905013735651	0.0597318909675238	-0.0297839246094483	0.976239379383061	0.985623505812568	FALSE	FALSE	FALSE
"SEMA3F"	549.724662146672	0.225248570680243	0.0867140348798058	2.59760223350764	0.00938771702441811	0.0251160874592363	TRUE	FALSE	FALSE
"ANKIB1"	5005.69839906052	0.141047668163731	0.0597730590258315	2.35971975439262	0.0182887452374005	0.0448329491045804	TRUE	FALSE	FALSE
"CYP51A1"	2616.60097437054	0.0659488432348573	0.0583066025236738	1.13106990255659	0.258025670957349	0.389417900261236	FALSE	FALSE	FALSE
"KRIT1"	3370.29618384192	-0.178953649132977	0.0541132608914654	-3.30702024207898	0.0009429407798112	0.00320864417659202	TRUE	FALSE	FALSE
"RAD52"	1766.88148760997	0.179510637911575	0.0709740012933669	2.52924500014559	0.0114308203355236	0.0297882587487695	TRUE	FALSE	FALSE
"BAD"	1278.097564798	0.288756905310121	0.0737274320298845	3.9165463567628	8.98265495573756e-05	0.000377928097002083	TRUE	FALSE	FALSE
