"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"C1orf112"	1936.74084679991	-0.258090683602835	0.0715183191437316	-3.60873530995808	0.0003076933484889	0.00242878611823911	TRUE	FALSE	FALSE
"NIPAL3"	1431.03379039914	0.304927382914176	0.0730031317148251	4.17690824696843	2.95498150966319e-05	0.000324601542360155	TRUE	FALSE	FALSE
"RAD52"	1766.88148760997	0.282525176769097	0.0703862949388167	4.01392312260052	5.97178036669068e-05	0.000591700774802344	TRUE	FALSE	FALSE
"BAD"	1278.097564798	0.559778730273639	0.0726016672896086	7.71027376052781	1.25548131725562e-14	9.23535965086284e-13	TRUE	FALSE	FALSE
"CYP26B1"	3168.77897210367	-0.402546018051964	0.0648570287535105	-6.20666758543384	5.41199044536416e-10	1.81729448258631e-08	TRUE	FALSE	FALSE
"CASP10"	116.479452491097	-0.620940963566245	0.213902101457648	-2.90292128658301	0.00369699544399053	0.0193928132265929	TRUE	FALSE	FALSE
"CFLAR"	3687.45331904766	-0.290878004287572	0.0618507576504253	-4.70290123092084	2.56490514399899e-06	3.80608569445062e-05	TRUE	FALSE	FALSE
"RBM5"	7883.10113189409	0.333945472199416	0.0524754967455593	6.36383632190535	1.96775832889294e-10	7.1539367707156e-09	TRUE	FALSE	FALSE
"POLDIP2"	10084.9766111744	-0.132245827311822	0.0486537798458853	-2.71809975978682	0.00656580385449552	0.0309311043780807	TRUE	FALSE	FALSE
"FKBP4"	29883.4210729391	-0.335368005795311	0.0576258403813322	-5.81975036851615	5.89355816512129e-09	1.5803931505194e-07	TRUE	FALSE	FALSE
"KDM1A"	22523.6533889931	-0.113694921288839	0.0392518317838718	-2.89655071169328	0.00377289658647597	0.0197278023251605	TRUE	FALSE	FALSE
"RBM6"	5989.3970584817	0.230845305923407	0.0585049812803139	3.94573762561109	7.95546905885353e-05	0.00075691063189545	TRUE	FALSE	FALSE
"CAMKK1"	71.3986946757832	0.753406798593726	0.256856251636943	2.93318458784737	0.00335504357097621	0.0179426021808501	TRUE	FALSE	FALSE
"ARHGAP33"	725.375015508893	0.21111511995262	0.0840888487914856	2.51061969555702	0.0120519456484737	0.0498342153290452	TRUE	FALSE	FALSE
"PRSS22"	10228.4379298452	-0.738413525744137	0.0521026937842222	-14.172271568188	1.36028130869732e-45	1.28580590704614e-42	TRUE	FALSE	FALSE
"SKAP2"	1876.86735703663	0.178486516790306	0.0612345681648807	2.91479995922747	0.00355916595841028	0.0188054869881907	TRUE	FALSE	FALSE
