"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"TSPAN6"	5699.03718372198	-0.043506987914835	0.0537962650510631	-0.808736217533659	0.418666890989178	0.633343808446059	FALSE	FALSE	FALSE
"DPM1"	3801.40823698546	0.141000267479362	0.0720265425330283	1.95761538067311	0.050275161203489	0.150530871484314	FALSE	FALSE	FALSE
"SCYL3"	1149.47941364689	0.163568005705313	0.0701258955252935	2.33249079359445	0.0196748866808835	0.0731904235934875	FALSE	FALSE	FALSE
"C1orf112"	1936.74084679991	-0.258090683602835	0.0715183191437316	-3.60873530995808	0.0003076933484889	0.00242878611823911	TRUE	FALSE	FALSE
"FUCA2"	6641.09350973407	-0.124030385667405	0.05668500248377	-2.18806351297095	0.0286649762314461	0.098350521897548	FALSE	FALSE	FALSE
"GCLC"	3550.75933408887	-0.0984313839481837	0.0557305997044563	-1.76619997757377	0.077362304824521	0.206600719481674	FALSE	FALSE	FALSE
"NFYA"	2134.6138977982	0.0348787114037512	0.0632020621241839	0.551860338594951	0.581044043495067	0.76558667704727	FALSE	FALSE	FALSE
"STPG1"	907.927590225865	0.0900697465860038	0.0828058666132033	1.08772180365832	0.276717939231684	0.494690557085106	FALSE	FALSE	FALSE
"NIPAL3"	1431.03379039914	0.304927382914176	0.0730031317148251	4.17690824696843	2.95498150966319e-05	0.000324601542360155	TRUE	FALSE	FALSE
"LAS1L"	5004.76883281801	-0.0200539833651096	0.0595690892122364	-0.336650830662528	0.736380133209246	0.865435196204103	FALSE	FALSE	FALSE
"SEMA3F"	549.724662146672	0.125037030872318	0.0861608646690791	1.45120445752898	0.146722936036596	0.325677715835606	FALSE	FALSE	FALSE
"ANKIB1"	5005.69839906052	0.0633342949279801	0.0596580158950945	1.06162254942152	0.288407072629222	0.507409990918309	FALSE	FALSE	FALSE
"CYP51A1"	2616.60097437054	-0.0123844317928005	0.0580813411710373	-0.213225651183415	0.831150961541517	0.915832506409605	FALSE	FALSE	FALSE
"KRIT1"	3370.29618384192	-0.0536930115209295	0.0536406542130256	-1.00097607511825	0.316838375186769	0.538634571892369	FALSE	FALSE	FALSE
"RAD52"	1766.88148760997	0.282525176769097	0.0703862949388167	4.01392312260052	5.97178036669068e-05	0.000591700774802344	TRUE	FALSE	FALSE
"BAD"	1278.097564798	0.559778730273639	0.0726016672896086	7.71027376052781	1.25548131725562e-14	9.23535965086284e-13	TRUE	FALSE	FALSE
"CD99"	5298.09626216466	0.900665536152059	0.751494636906584	1.19849895384419	0.230722830036215	0.439293451154769	FALSE	FALSE	FALSE
"MAD1L1"	2384.21481454694	-0.120665282319544	0.0624148436820847	-1.93327861132142	0.0532018852035374	0.157202506997949	FALSE	FALSE	FALSE
"LASP1"	39780.3055997334	-0.112556245026883	0.0454002623212493	-2.47919812071662	0.0131678142087076	0.0534200703037806	FALSE	FALSE	FALSE
"SNX11"	1786.48101992937	0.00957892177903001	0.0655416753329781	0.146150090463285	0.883802904432256	0.942921372366826	FALSE	FALSE	FALSE
"M6PR"	19878.1630822856	0.060317957310025	0.0508649588357964	1.18584500391999	0.235683515143855	0.44511457080865	FALSE	FALSE	FALSE
"CYP26B1"	3168.77897210367	-0.402546018051964	0.0648570287535105	-6.20666758543384	5.41199044536416e-10	1.81729448258631e-08	TRUE	FALSE	FALSE
"ICA1"	57.2673457517389	0.491225717200561	0.301770229969095	1.62781370863146	0.103564392863571	0.255198754833918	FALSE	FALSE	FALSE
"DBNDD1"	1430.32618375384	-0.167006800361627	0.0706441056331439	-2.36405852781116	0.0180759566669185	0.0686334526587859	FALSE	FALSE	FALSE
"ALS2"	2066.67255151215	0.068309430589067	0.06357295890695	1.07450450259913	0.28259662782576	0.501043909585668	FALSE	FALSE	FALSE
"CASP10"	116.479452491097	-0.620940963566245	0.213902101457648	-2.90292128658301	0.00369699544399053	0.0193928132265929	TRUE	FALSE	FALSE
"CFLAR"	3687.45331904766	-0.290878004287572	0.0618507576504253	-4.70290123092084	2.56490514399899e-06	3.80608569445062e-05	TRUE	FALSE	FALSE
"NDUFAF7"	1377.65060419008	-0.0102775336493589	0.0718612990983773	-0.143019034978606	0.886275147993582	0.944279733314212	FALSE	FALSE	FALSE
"RBM5"	7883.10113189409	0.333945472199416	0.0524754967455593	6.36383632190535	1.96775832889294e-10	7.1539367707156e-09	TRUE	FALSE	FALSE
"MTMR7"	32.2400312173988	-0.582305773906089	0.388442228907981	-1.49907947841591	0.133853014686504	0.306391965449613	FALSE	FALSE	FALSE
"SLC7A2"	38030.07494068	-0.0884538114946809	0.049263851847646	-1.79551147905029	0.0725722455071655	0.197350158416709	FALSE	FALSE	FALSE
"ARF5"	9275.32205315945	-0.0482096431877583	0.0597692406720051	-0.806596213131061	0.419899156198977	0.634446415276667	FALSE	FALSE	FALSE
"SARM1"	1710.30007968336	-0.121662847347643	0.0634347429559461	-1.91792134212847	0.0551209856279204	0.161359899859993	FALSE	FALSE	FALSE
