"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"CASP14"	-0.831472599234407	5.119962918468	4.19153827291227e-25	8.82989452571699e-21	TRUE	FALSE	FALSE
"OLR1"	-0.957951515746553	3.07791789214296	7.59377191743782e-23	7.99851996063726e-19	TRUE	FALSE	FALSE
"NMNAT2"	-0.593813231144446	5.38989817041318	3.0700724941747e-22	2.15580490540948e-18	TRUE	FALSE	FALSE
"NEURL1"	-0.652954571201437	4.78982242567431	2.75289571273422e-19	1.44981252711148e-15	TRUE	FALSE	FALSE
"RNF144B"	-0.562364625663832	4.47671086589148	5.3150223344645e-18	2.23932520995658e-14	TRUE	FALSE	FALSE
"HAVCR1"	-0.478475329237917	7.50771460361584	8.92600566838135e-18	3.13392059016869e-14	TRUE	FALSE	FALSE
"TGM2"	-0.748744392149023	3.04771900614088	3.28291121653413e-17	9.43393296988802e-14	TRUE	FALSE	FALSE
"PRSS22"	-0.467824035528958	6.81872331847199	3.58261956513359e-17	9.43393296988802e-14	TRUE	FALSE	FALSE
"ADARB1"	0.520561548595469	5.26709770209087	6.74248174686468e-17	1.57819022754946e-13	TRUE	FALSE	FALSE
"DUSP4"	-0.69761855242056	3.94273709662008	1.67337011517522e-16	3.52512148462813e-13	TRUE	FALSE	FALSE
"AKR1B10"	-0.666795850327738	3.71908014706748	2.38908245668714e-16	4.57531009387012e-13	TRUE	FALSE	FALSE
"FGD3"	-0.512932578152665	4.44528910126329	8.5900616204855e-16	1.50798531747623e-12	TRUE	FALSE	FALSE
"NUAK1"	-0.423616346787497	5.25476893084971	1.28006052855833e-15	2.07428885343152e-12	TRUE	FALSE	FALSE
"SERPINE1"	-0.402161517062439	6.64976063541541	1.11078842121881e-14	1.67141920581397e-11	TRUE	FALSE	FALSE
"COL17A1"	-0.417808041361474	7.06179096644055	1.40317074932299e-13	1.9706130003492e-10	TRUE	FALSE	FALSE
"PADI1"	-0.644041862315401	4.82668309125914	2.08171459604084e-13	2.74083748001227e-10	TRUE	FALSE	FALSE
"SYDE1"	-0.544293506525562	6.6770902242754	2.31588664506032e-13	2.86979223910828e-10	TRUE	FALSE	FALSE
"GAB2"	-0.369610368840388	7.51685033820553	3.9067217880096e-13	4.57216673256723e-10	TRUE	FALSE	FALSE
"SPRY4"	-0.729667136647001	2.94357157275221	5.36210789466581e-13	5.94516657415947e-10	TRUE	FALSE	FALSE
"HSPB8"	-0.405657359123566	6.43037516387705	5.86505941671489e-13	6.17766708362579e-10	TRUE	FALSE	FALSE
"KRT17"	-0.548080362266966	4.49847282051379	8.32140110541363e-13	8.34755408031636e-10	TRUE	FALSE	FALSE
"ETV4"	-0.527219306290423	3.62259953828924	9.13604896613248e-13	8.74818216002486e-10	TRUE	FALSE	FALSE
"ITGAM"	-0.405904973442374	5.23308742088858	2.02354027951116e-12	1.85338693600792e-09	TRUE	FALSE	FALSE
"ADCY5"	-0.787010205770741	2.41969414838653	2.38668811360744e-12	2.09491549171893e-09	TRUE	FALSE	FALSE
"SLC15A2"	-0.79766363444852	3.01571013889165	3.14250178285576e-12	2.64799770230557e-09	TRUE	FALSE	FALSE
"FAM89A"	-0.351985343860289	6.46471496253504	4.15035704762318e-12	3.36274698327807e-09	TRUE	FALSE	FALSE
"ANXA8"	-0.49467743705513	4.84389105235726	7.13357744540525e-12	5.56577564684841e-09	TRUE	FALSE	FALSE
"SLC6A19"	-0.417412262294863	5.58852250583716	1.26257493782374e-11	9.49907272864107e-09	TRUE	FALSE	FALSE
"PLB1"	-0.536317584170328	4.26870866609004	1.45214787229838e-11	1.02063162232884e-08	TRUE	FALSE	FALSE
"HMGB3"	-0.364111434047544	7.5971886012594	1.45347710385765e-11	1.02063162232884e-08	TRUE	FALSE	FALSE
"ETS2"	-0.358936502129651	7.48275613269511	1.73036096857919e-11	1.14804231426999e-08	TRUE	FALSE	FALSE
"CCDC113"	-0.405962888385185	5.71692492065062	1.74391693043956e-11	1.14804231426999e-08	TRUE	FALSE	FALSE
"SOX15"	-0.676281481994142	3.49352654628654	1.98793326859633e-11	1.2690243101894e-08	TRUE	FALSE	FALSE
"S100A16"	-0.370147365440772	5.71955876018654	3.49608940391597e-11	2.16613586420276e-08	TRUE	FALSE	FALSE
"NPAS2"	-0.375684822940701	5.30159222516802	4.41230762254441e-11	2.65570492504344e-08	TRUE	FALSE	FALSE
"CEBPD"	-0.48408966553529	6.08924178432634	4.78975091080114e-11	2.80280257463713e-08	TRUE	FALSE	FALSE
"ANGPT4"	-0.408329380979888	7.1528510596394	5.91631175219857e-11	3.36846009113014e-08	TRUE	FALSE	FALSE
"ALPL"	-0.495237292265524	3.95048987895065	6.08590670893089e-11	3.37383449290364e-08	TRUE	FALSE	FALSE
"COL9A2"	-0.527458096468613	3.84347870906335	7.43395271645564e-11	4.01547815191934e-08	TRUE	FALSE	FALSE
"IL2RB"	-0.518796186124288	4.61722025079614	1.07967912831512e-10	5.68613012927159e-08	TRUE	FALSE	FALSE
"GH2"	-0.40564550628825	5.00036226651951	1.55578796262111e-10	7.99371444404298e-08	TRUE	FALSE	FALSE
"WLS"	-0.31922105354795	8.130803748536	1.74587517132597e-10	8.75681103789352e-08	TRUE	FALSE	FALSE
"SLC2A10"	-0.316293699266808	7.84698265254065	2.22350397819847e-10	1.08931011173788e-07	TRUE	FALSE	FALSE
"RP11-40A7.2"	-0.44839564075585	4.449797179643	2.9324693220935e-10	1.40398633498231e-07	TRUE	FALSE	FALSE
"SLC41A1"	-0.352755017989357	5.75242309106639	3.08519129843931e-10	1.44428088650939e-07	TRUE	FALSE	FALSE
"DPEP1"	-0.416214494625112	6.6940494376394	4.09879643450286e-10	1.87707055846168e-07	TRUE	FALSE	FALSE
"ISM2"	-0.363287157492253	8.7436406654857	4.85840761289478e-10	2.17760031432428e-07	TRUE	FALSE	FALSE
"GRIK4"	-0.655973063678536	2.43476839560641	5.37025069700277e-10	2.35686877464709e-07	TRUE	FALSE	FALSE
"GCH1"	-0.32108806228891	5.71306943837854	7.43654818851523e-10	3.1971086559033e-07	TRUE	FALSE	FALSE
"PRPF31"	-1.14770676544666	2.27171978039986	1.10488859977941e-09	4.65511664859061e-07	TRUE	FALSE	FALSE
"SAA1"	-0.786251743717505	2.2755368204411	1.21629522195214e-09	5.02401473443994e-07	TRUE	FALSE	FALSE
"PTGFRN"	-0.376998241803394	5.56119405201212	1.26222943613379e-09	5.11348563492201e-07	TRUE	FALSE	FALSE
"ACKR3"	-0.419036900357614	4.49563808874359	1.30912104972075e-09	5.20338566668252e-07	TRUE	FALSE	FALSE
"MYADM"	-0.336329289140969	6.47415078692655	1.8756065063921e-09	7.21396933212118e-07	TRUE	FALSE	FALSE
"NOCT"	-0.350026779420694	7.33868456825495	1.8834534950473e-09	7.21396933212118e-07	TRUE	FALSE	FALSE
"OLFML1"	-0.409188285447198	4.4626068088123	2.0994278555023e-09	7.89759771500205e-07	TRUE	FALSE	FALSE
"PLCD4"	-0.49611300595418	3.53783405720848	3.34944313806582e-09	1.23788366923675e-06	TRUE	FALSE	FALSE
"FOSL2"	-0.331060491766904	9.32718054786086	3.89188524676431e-09	1.41355956221271e-06	TRUE	FALSE	FALSE
"STAB2"	-0.365050971569431	5.13243894283633	4.14636971277078e-09	1.47835730742785e-06	TRUE	FALSE	FALSE
"P2RY2"	-0.553768244317138	3.80986631557511	4.21064456686941e-09	1.47835730742785e-06	TRUE	FALSE	FALSE
"VPS37C"	-0.296081898752402	6.10127709224232	5.55721931182844e-09	1.91915380365538e-06	TRUE	FALSE	FALSE
"IL6"	-0.99385650992534	1.31648271253328	5.94230726298766e-09	2.01904265809836e-06	TRUE	FALSE	FALSE
"FOXO1"	-0.367876240654925	5.44983776822238	6.2283953334218e-09	2.08265676339466e-06	TRUE	FALSE	FALSE
"KCNS1"	-0.506386106381713	3.04314818702656	7.68038760187726e-09	2.52804758158041e-06	TRUE	FALSE	FALSE
"ADAM19"	-0.463257770734131	4.43224556983515	8.04816427841727e-09	2.60834813367905e-06	TRUE	FALSE	FALSE
"C3orf52"	-0.323252582844007	5.30344943375083	8.98651029931953e-09	2.86833069644644e-06	TRUE	FALSE	FALSE
"DPP7"	-0.467600248012905	5.65553910817016	1.00445312002203e-08	3.15818051140062e-06	TRUE	FALSE	FALSE
"FER1L4"	-0.379853399139672	6.20357859456075	1.10293388109062e-08	3.41682428515516e-06	TRUE	FALSE	FALSE
"EPHA2"	-0.890443518313074	0.86311009641918	1.20338023123055e-08	3.62006958358149e-06	TRUE	FALSE	FALSE
"GLB1L2"	-0.382563503486006	4.32185564403437	1.20714324084796e-08	3.62006958358149e-06	TRUE	FALSE	FALSE
"GRM4"	-0.309934689592618	6.44273964073053	1.22009370755856e-08	3.62006958358149e-06	TRUE	FALSE	FALSE
"GBP2"	-0.45084655443617	4.02179221842961	1.29777385263147e-08	3.79706999715756e-06	TRUE	FALSE	FALSE
"ALDH3B1"	-0.316763510690651	5.76123141081522	1.32455607035139e-08	3.82234221616746e-06	TRUE	FALSE	FALSE
"MAFF"	-0.433215290968818	3.73235703107251	1.34487589837158e-08	3.82853455068862e-06	TRUE	FALSE	FALSE
"TMEM52B"	-0.895902110513447	0.747621138104123	1.4030534128689e-08	3.94089642606616e-06	TRUE	FALSE	FALSE
"SEPT3"	-0.341836278867673	6.15239538635784	1.54673460156727e-08	4.2873040942916e-06	TRUE	FALSE	FALSE
"COL16A1"	-0.360132516183241	5.48867177909479	1.74160782374436e-08	4.76476758636347e-06	TRUE	FALSE	FALSE
"CDH5"	-0.310465141006444	8.19470307912023	1.78275963862992e-08	4.81482237786896e-06	TRUE	FALSE	FALSE
"PLEKHA6"	-0.315103544186458	6.77628624817726	2.20733732015549e-08	5.8860465805564e-06	TRUE	FALSE	FALSE
"CYR61"	-0.451940747274751	5.01804383540152	2.41678706064749e-08	6.36400452745e-06	TRUE	FALSE	FALSE
"ZFP36L2"	-0.482408256173808	3.33566465871274	2.60367055360505e-08	6.77147208422765e-06	TRUE	FALSE	FALSE
"AKR1B1"	-0.310555010301853	9.39328338534379	2.78997348664432e-08	7.16750993532306e-06	TRUE	FALSE	FALSE
"COLQ"	-0.39143121222825	4.10685844840828	2.84870026222048e-08	7.23020719565501e-06	TRUE	FALSE	FALSE
"MYBPC2"	-0.608871646109787	2.51418325626404	2.90335552560594e-08	7.28120089314461e-06	TRUE	FALSE	FALSE
"TNFSF10"	-0.323582498064129	7.58081663405974	3.21601190740731e-08	7.97041256958146e-06	TRUE	FALSE	FALSE
"NFATC2"	-0.396556461353289	4.84574241180738	3.99341587360998e-08	9.78201148761255e-06	TRUE	FALSE	FALSE
"CYP11A1"	-0.297267964288501	7.31995346989026	4.23713644685341e-08	1.02597145275189e-05	TRUE	FALSE	FALSE
"PITPNC1"	-0.405982117487866	4.66655185648276	4.75832687976184e-08	1.13907856873935e-05	TRUE	FALSE	FALSE
"TMEM106B"	0.319529857147833	5.46418182183254	4.94445790877635e-08	1.17033652029531e-05	TRUE	FALSE	FALSE
