	logFC	logCPM	PValue	FDR	Pval_threshold	FC1.2_threshold	FC1.5_threshold
CASP14	-0.831472599	5.119962918	4.19E-25	8.83E-21	TRUE	FALSE	FALSE
OLR1	-0.957951516	3.077917892	7.59E-23	8.00E-19	TRUE	FALSE	FALSE
NMNAT2	-0.593813231	5.38989817	3.07E-22	2.16E-18	TRUE	FALSE	FALSE
NEURL1	-0.652954571	4.789822426	2.75E-19	1.45E-15	TRUE	FALSE	FALSE
RNF144B	-0.562364626	4.476710866	5.32E-18	2.24E-14	TRUE	FALSE	FALSE
HAVCR1	-0.478475329	7.507714604	8.93E-18	3.13E-14	TRUE	FALSE	FALSE
TGM2	-0.748744392	3.047719006	3.28E-17	9.43E-14	TRUE	FALSE	FALSE
PRSS22	-0.467824036	6.818723318	3.58E-17	9.43E-14	TRUE	FALSE	FALSE
ADARB1	0.520561549	5.267097702	6.74E-17	1.58E-13	TRUE	FALSE	FALSE
DUSP4	-0.697618552	3.942737097	1.67E-16	3.53E-13	TRUE	FALSE	FALSE
AKR1B10	-0.66679585	3.719080147	2.39E-16	4.58E-13	TRUE	FALSE	FALSE
FGD3	-0.512932578	4.445289101	8.59E-16	1.51E-12	TRUE	FALSE	FALSE
NUAK1	-0.423616347	5.254768931	1.28E-15	2.07E-12	TRUE	FALSE	FALSE
SERPINE1	-0.402161517	6.649760635	1.11E-14	1.67E-11	TRUE	FALSE	FALSE
COL17A1	-0.417808041	7.061790966	1.40E-13	1.97E-10	TRUE	FALSE	FALSE
PADI1	-0.644041862	4.826683091	2.08E-13	2.74E-10	TRUE	FALSE	FALSE
SYDE1	-0.544293507	6.677090224	2.32E-13	2.87E-10	TRUE	FALSE	FALSE
GAB2	-0.369610369	7.516850338	3.91E-13	4.57E-10	TRUE	FALSE	FALSE
SPRY4	-0.729667137	2.943571573	5.36E-13	5.95E-10	TRUE	FALSE	FALSE
HSPB8	-0.405657359	6.430375164	5.87E-13	6.18E-10	TRUE	FALSE	FALSE
KRT17	-0.548080362	4.498472821	8.32E-13	8.35E-10	TRUE	FALSE	FALSE
ETV4	-0.527219306	3.622599538	9.14E-13	8.75E-10	TRUE	FALSE	FALSE
ITGAM	-0.405904973	5.233087421	2.02E-12	1.85E-09	TRUE	FALSE	FALSE
ADCY5	-0.787010206	2.419694148	2.39E-12	2.09E-09	TRUE	FALSE	FALSE
SLC15A2	-0.797663634	3.015710139	3.14E-12	2.65E-09	TRUE	FALSE	FALSE
FAM89A	-0.351985344	6.464714963	4.15E-12	3.36E-09	TRUE	FALSE	FALSE
ANXA8	-0.494677437	4.843891052	7.13E-12	5.57E-09	TRUE	FALSE	FALSE
SLC6A19	-0.417412262	5.588522506	1.26E-11	9.50E-09	TRUE	FALSE	FALSE
PLB1	-0.536317584	4.268708666	1.45E-11	1.02E-08	TRUE	FALSE	FALSE
HMGB3	-0.364111434	7.597188601	1.45E-11	1.02E-08	TRUE	FALSE	FALSE
ETS2	-0.358936502	7.482756133	1.73E-11	1.15E-08	TRUE	FALSE	FALSE
CCDC113	-0.405962888	5.716924921	1.74E-11	1.15E-08	TRUE	FALSE	FALSE
SOX15	-0.676281482	3.493526546	1.99E-11	1.27E-08	TRUE	FALSE	FALSE
S100A16	-0.370147365	5.71955876	3.50E-11	2.17E-08	TRUE	FALSE	FALSE
NPAS2	-0.375684823	5.301592225	4.41E-11	2.66E-08	TRUE	FALSE	FALSE
CEBPD	-0.484089666	6.089241784	4.79E-11	2.80E-08	TRUE	FALSE	FALSE
ANGPT4	-0.408329381	7.15285106	5.92E-11	3.37E-08	TRUE	FALSE	FALSE
ALPL	-0.495237292	3.950489879	6.09E-11	3.37E-08	TRUE	FALSE	FALSE
COL9A2	-0.527458096	3.843478709	7.43E-11	4.02E-08	TRUE	FALSE	FALSE
