"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"SERPINE1"	-0.877698283810826	6.64976063541541	8.89668166411603e-30	1.85429445673735e-25	TRUE	FALSE	FALSE
"RNF144B"	-1.09734301937423	4.47671086589148	1.76046184063168e-29	1.85429445673735e-25	TRUE	FALSE	FALSE
"NMNAT2"	-0.971104460872009	5.38989817041318	1.69024484327392e-26	1.18688992894694e-22	TRUE	FALSE	FALSE
"GH2"	-0.994989180325608	5.00036226651951	7.87644434916819e-26	4.14812941648943e-22	TRUE	FALSE	FALSE
"SYDE1"	-1.15230940808101	6.6770902242754	1.40076821506483e-24	5.29954041976197e-21	TRUE	FALSE	FALSE
"ANGPT4"	-0.955162883006583	7.1528510596394	1.50941054393676e-24	5.29954041976197e-21	TRUE	FALSE	FALSE
"NEURL1"	-1.09459906057449	4.78982242567431	1.02477010913245e-23	3.08397244556916e-20	TRUE	FALSE	FALSE
"PRSS22"	-0.79998879258654	6.81872331847199	2.02298726451237e-22	5.32703121427719e-19	TRUE	FALSE	FALSE
"KRT17"	-1.11502183623892	4.49847282051379	3.60353906511443e-22	8.43468377174451e-19	TRUE	FALSE	FALSE
"CASP14"	-1.14386933671296	5.119962918468	2.90053741787245e-21	6.11027212449011e-18	TRUE	FALSE	FALSE
"MYL3"	-1.4060099288865	2.69197798453534	5.17069206563753e-20	9.90234536861093e-17	TRUE	TRUE	FALSE
"HAVCR1"	-0.733578570075624	7.50771460361584	4.52952532270453e-19	7.95158170400781e-16	TRUE	FALSE	FALSE
"CRISPLD2"	-0.798329161624539	7.87352472894194	5.5576155937321e-19	9.00590231519695e-16	TRUE	FALSE	FALSE
"GDF15"	-0.86459741489363	7.42261032142579	1.60962985925039e-18	2.42203304392633e-15	TRUE	FALSE	FALSE
"PADI1"	-1.16129198388565	4.82668309125914	1.77783246704499e-18	2.49678791671799e-15	TRUE	FALSE	FALSE
"NOL4L"	-0.957302218118756	5.03810929985493	2.0622931617061e-18	2.71526673403129e-15	TRUE	FALSE	FALSE
"HSPB8"	-0.717824090155499	6.43037516387705	4.567253187983e-18	5.65963268576764e-15	TRUE	FALSE	FALSE
"SEPT3"	-0.767215004425949	6.15239538635784	8.63884974310884e-18	1.01103338160184e-14	TRUE	FALSE	FALSE
"DUSP4"	-1.07250400998896	3.94273709662008	2.38282421889688e-17	2.64192499975166e-14	TRUE	FALSE	FALSE
"MAP2K6"	0.894399039586293	4.35980128392205	2.51299009720588e-17	2.64693246938695e-14	TRUE	FALSE	FALSE
"AKR1B10"	-1.02019352540592	3.71908014706748	3.3575334116545e-17	3.3680856595197e-14	TRUE	FALSE	FALSE
"IL2RB"	-1.01082073998005	4.61722025079614	3.9679224463711e-17	3.79946610251153e-14	TRUE	FALSE	FALSE
"ST3GAL1"	-0.714860943110377	6.15696118501764	4.97838410082857e-17	4.55976693339368e-14	TRUE	FALSE	FALSE
"SLC2A10"	-0.609685200715259	7.84698265254065	7.14991972808093e-17	6.14395487722366e-14	TRUE	FALSE	FALSE
"SPNS2"	-0.754903346046702	5.45872914359087	7.29131643076955e-17	6.14395487722366e-14	TRUE	FALSE	FALSE
"ISM2"	-0.715033440205145	8.7436406654857	1.06779205185305e-16	8.651579755514e-14	TRUE	FALSE	FALSE
"HSD17B1"	-0.866532732843077	6.2981971887264	1.96385629226761e-16	1.53224432047813e-13	TRUE	FALSE	FALSE
"ADARB1"	0.692775881712557	5.26709770209087	2.07676070088915e-16	1.56246574731896e-13	TRUE	FALSE	FALSE
"NAV2"	-0.771248433476067	8.11928577858366	2.39630193110371e-16	1.74070677519417e-13	TRUE	FALSE	FALSE
"MYEOV"	-1.13170864985928	4.59680633397097	3.12909950439033e-16	2.19725367198289e-13	TRUE	FALSE	FALSE
"DDIT4"	-0.6742672527433	8.79110659979735	9.13565274404468e-16	6.20811808729178e-13	TRUE	FALSE	FALSE
"CCDC113"	-0.697595068183104	5.71692492065062	3.80171908082163e-15	2.50271919239339e-12	TRUE	FALSE	FALSE
"TRIB1"	-0.609964507277725	6.09241367796209	3.96964665310479e-15	2.53407807255471e-12	TRUE	FALSE	FALSE
"COL17A1"	-0.64478609748756	7.06179096644055	7.39101203232136e-15	4.47658243494608e-12	TRUE	FALSE	FALSE
"FOSL2"	-0.642905488954748	9.32718054786086	7.43759542500299e-15	4.47658243494608e-12	TRUE	FALSE	FALSE
"PTGIS"	-1.52184725246882	1.65719432609715	7.79411036364078e-15	4.56085358112379e-12	TRUE	TRUE	TRUE
"DPEP1"	-0.755965214212413	6.6940494376394	1.5554560913679e-14	8.85601027588002e-12	TRUE	FALSE	FALSE
"GRAMD1B"	-0.810262384505794	4.56047452619209	2.39254040867353e-14	1.32634884866096e-11	TRUE	FALSE	FALSE
"GAB2"	-0.56474166012141	7.51685033820553	3.1084978249171e-14	1.67906705588983e-11	TRUE	FALSE	FALSE
"MEX3B"	-0.621748422726343	5.53228290103207	3.26434235012029e-14	1.71916589869085e-11	TRUE	FALSE	FALSE
"WNT6"	0.772943585131608	4.23522867492014	6.64307205668033e-14	3.4132428279519e-11	TRUE	FALSE	FALSE
"NTN1"	-0.581821540513311	6.66893260787334	9.84645170527372e-14	4.93869884817372e-11	TRUE	FALSE	FALSE
"FYTTD1"	0.709561718038314	4.20322585483837	1.18330032169576e-13	5.766080615397e-11	TRUE	FALSE	FALSE
"CYP11A1"	-0.588376171755439	7.31995346989026	1.23134235658581e-13	5.766080615397e-11	TRUE	FALSE	FALSE
"CDH5"	-0.598906618527932	8.19470307912023	1.24534558212961e-13	5.766080615397e-11	TRUE	FALSE	FALSE
"MTSS1L"	-0.59560737552591	8.49289585353447	1.25908909289026e-13	5.766080615397e-11	TRUE	FALSE	FALSE
"RP11-40A7.2"	-0.772559542356228	4.449797179643	1.41645685828042e-13	6.34874046309261e-11	TRUE	FALSE	FALSE
"PALM2-AKAP2"	-0.790704556527361	6.92795324328251	1.51325103056804e-13	6.64128046040547e-11	TRUE	FALSE	FALSE
"SMAD3"	-0.640518258614457	6.47157104936047	2.03331208062335e-13	8.74158210008399e-11	TRUE	FALSE	FALSE
"CTD-2562J17.6"	0.909005316914832	2.96382320359516	2.87360215844251e-13	1.210706061395e-10	TRUE	FALSE	FALSE
"HEY1"	-0.621022583021749	8.04442024522383	3.4826656711258e-13	1.43854578486149e-10	TRUE	FALSE	FALSE
"CCDC14"	0.633872058544439	5.29261105941548	4.63395690574147e-13	1.87728723416057e-10	TRUE	FALSE	FALSE
"PTGFRN"	-0.657198474958793	5.56119405201212	5.45281420076884e-13	2.1673393198754e-10	TRUE	FALSE	FALSE
"NPAS2"	-0.597017041032536	5.30159222516802	6.03957391169723e-13	2.35610488932989e-10	TRUE	FALSE	FALSE
"PPP1R15A"	-0.635522320415342	6.49048069859331	6.50129962514117e-13	2.4901159618768e-10	TRUE	FALSE	FALSE
"TANC2"	-0.675429184676248	8.31389827535131	9.0208574273272e-13	3.39345326007276e-10	TRUE	FALSE	FALSE
"USP18"	-0.567399464030029	5.48893137537213	1.40516998373342e-12	5.19321243461898e-10	TRUE	FALSE	FALSE
"NEK6"	-0.510646572726182	7.64194962702194	1.47083492525409e-12	5.34217388541426e-10	TRUE	FALSE	FALSE
"KCNS1"	-0.924855879126621	3.04314818702656	1.74063259390897e-12	6.21494342767564e-10	TRUE	FALSE	FALSE
"PLB1"	-0.820187447843439	4.26870866609004	2.68070666785897e-12	9.41196111085284e-10	TRUE	FALSE	FALSE
"EFNA3"	-0.668752564116012	6.04097157282465	2.72542200468128e-12	9.41208851649441e-10	TRUE	FALSE	FALSE
"NOCT"	-0.596070016073133	7.33868456825495	2.81422280641823e-12	9.56200284516232e-10	TRUE	FALSE	FALSE
"MAFF"	-0.780374540357404	3.73235703107251	2.93784415163776e-12	9.82359125371447e-10	TRUE	FALSE	FALSE
"SPRY4"	-1.0521643020841	2.94357157275221	3.9201575165494e-12	1.29034434755671e-09	TRUE	FALSE	FALSE
"ETV4"	-0.744323861392234	3.62259953828924	4.28005487065602e-12	1.38713286008061e-09	TRUE	FALSE	FALSE
"RGL1"	-0.548351998172642	4.98618737455761	5.17020700580147e-12	1.64353049775136e-09	TRUE	FALSE	FALSE
"CALHM2"	-0.746105481655595	4.95413998500018	5.22721652659931e-12	1.64353049775136e-09	TRUE	FALSE	FALSE
"SLC2A1"	-0.647577073134191	11.3262413141556	5.78450700546468e-12	1.79200624378116e-09	TRUE	FALSE	FALSE
"SOX15"	-1.04016917098927	3.49352654628654	6.44809538318313e-12	1.96863155568313e-09	TRUE	FALSE	FALSE
"TNFSF10"	-0.588071667971989	7.58081663405974	6.65096701870051e-12	2.00156101737064e-09	TRUE	FALSE	FALSE
"AVPI1"	-0.702436609949929	4.57911233688363	7.45895311977234e-12	2.21310290733978e-09	TRUE	FALSE	FALSE
"ADGRE2"	-0.712146273616118	5.55829870045654	7.82242274089039e-12	2.28871052027218e-09	TRUE	FALSE	FALSE
"NUAK1"	-0.522665987794008	5.25476893084971	8.58326949323488e-12	2.47691993348611e-09	TRUE	FALSE	FALSE
"FAM43A"	-0.669255640980491	5.40677668812035	9.38548646773176e-12	2.67181970174645e-09	TRUE	FALSE	FALSE
"TMOD1"	-0.861618074578707	4.26757394493508	1.01586990962118e-11	2.85337540214398e-09	TRUE	FALSE	FALSE
"EAF1"	-0.508443381111257	7.48715817808335	1.13361013447186e-11	3.14218830168214e-09	TRUE	FALSE	FALSE
"AC106706.1"	-1.06995389597106	2.23472253936284	1.22630237685162e-11	3.3549721910073e-09	TRUE	FALSE	FALSE
"NDRG1"	-0.647485266886007	8.87293260061757	1.2794733382067e-11	3.45556222341824e-09	TRUE	FALSE	FALSE
