"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"RP11-40A7.2"	-1.94018087654754	4.449797179643	1.63545210499826e-146	3.12204688042855e-142	TRUE	TRUE	TRUE
"ANGPT4"	-1.65206357366677	7.1528510596394	2.96406235681055e-146	3.12204688042855e-142	TRUE	TRUE	TRUE
"CASP14"	-2.01764891277156	5.119962918468	4.64545526421871e-129	3.26203868653438e-125	TRUE	TRUE	TRUE
"NMNAT2"	-1.51385872648527	5.38989817041318	1.25646506904565e-127	6.6171732861289e-124	TRUE	TRUE	TRUE
"SYDE1"	-1.75963662636055	6.6770902242754	6.43242647179032e-117	2.7101099210947e-113	TRUE	TRUE	TRUE
"HSPB8"	-1.30458596051392	6.43037516387705	6.82347453840547e-114	2.39572191043416e-110	TRUE	TRUE	FALSE
"HAVCR1"	-1.28110878366547	7.50771460361584	3.67866805803769e-113	1.10706887586603e-109	TRUE	TRUE	FALSE
"PRSS22"	-1.26650605536058	6.81872331847199	3.60537674795496e-111	9.49385832155239e-108	TRUE	TRUE	FALSE
"AKR1B10"	-1.92303439013333	3.71908014706748	6.1925059117201e-111	1.44945921706995e-107	TRUE	TRUE	TRUE
"SERPINE1"	-1.14514493421986	6.64976063541541	1.42890090900112e-103	3.01012265490176e-100	TRUE	FALSE	FALSE
"PTGFRN"	-1.36733028830158	5.56119405201212	1.55053720815841e-101	2.96941971155137e-98	TRUE	TRUE	FALSE
"GH2"	-1.39801521859964	5.00036226651951	3.94992042822105e-101	6.93408531174206e-98	TRUE	TRUE	FALSE
"KRT17"	-1.69013593254879	4.49847282051379	7.13685509744727e-100	1.15649991909865e-96	TRUE	TRUE	TRUE
"PADI1"	-1.90955380580473	4.82668309125914	1.42782957837551e-97	2.14847556414703e-94	TRUE	TRUE	TRUE
"SPRY4"	-2.29555524658245	2.94357157275221	1.65571392608813e-94	2.32528463779817e-91	TRUE	TRUE	TRUE
"CRISPLD2"	-1.26677146311774	7.87352472894194	2.1255758016635e-94	2.7985862398652e-91	TRUE	TRUE	FALSE
