"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"NMNAT2"	-1.32053024258702	5.38989817041318	1.38326962844029e-99	2.91399579927231e-95	TRUE	TRUE	FALSE
"ADARB1"	1.22683665595439	5.26709770209087	6.95423165777278e-88	7.32489220513207e-84	TRUE	TRUE	FALSE
"CASP14"	-1.51164741616184	5.119962918468	3.09673340025973e-76	2.17452619366238e-72	TRUE	TRUE	TRUE
"ITGAM"	-1.03127922773573	5.23308742088858	3.27869429260806e-69	1.72672434920203e-65	TRUE	FALSE	FALSE
"CDH5"	-0.945702558031667	8.19470307912023	7.84563765731334e-65	3.30552405777925e-61	TRUE	FALSE	FALSE
"PADI1"	-1.44718769534948	4.82668309125914	4.96882857158341e-59	1.74455571148293e-55	TRUE	TRUE	FALSE
"NEURL1"	-1.14555356616548	4.78982242567431	1.30086972192601e-54	3.91487450887049e-51	TRUE	FALSE	FALSE
"COL17A1"	-0.868016777599998	7.06179096644055	1.56266652963717e-52	4.11489163916707e-49	TRUE	FALSE	FALSE
"SYDE1"	-1.13755735628553	6.6770902242754	7.71741597612551e-52	1.80638983281178e-48	TRUE	FALSE	FALSE
"FGD3"	-0.945530477584465	4.44528910126329	1.27618239405668e-48	2.6884058313198e-45	TRUE	FALSE	FALSE
"GH2"	-0.935582707785687	5.00036226651951	3.16851455774829e-48	6.06799342486594e-45	TRUE	FALSE	FALSE
"HAVCR1"	-0.80951769474967	7.50771460361584	2.37290733569121e-47	4.16563882780591e-44	TRUE	FALSE	FALSE
"KCNS1"	-1.29880340151888	3.04314818702656	3.77183648934729e-47	6.11211596035307e-44	TRUE	TRUE	FALSE
"SERPINE1"	-0.744604763635149	6.64976063541541	6.4152180975385e-46	9.653070317339e-43	TRUE	FALSE	FALSE
"DUSP4"	-1.21771733100375	3.94273709662008	1.42525393786105e-45	2.00162663033206e-42	TRUE	TRUE	FALSE
"SLC6A19"	-0.876378018763757	5.58852250583716	4.42113877708668e-45	5.82098184238175e-42	TRUE	FALSE	FALSE
"TNFAIP2"	-0.811545299082748	7.73786339150573	4.35412863541136e-42	5.39553375491621e-39	TRUE	FALSE	FALSE
"OLR1"	-1.32513936790487	3.07791789214296	1.93128331712053e-41	2.26024524213672e-38	TRUE	TRUE	FALSE
"PTGFRN"	-0.837001960268477	5.56119405201212	1.25915373877952e-40	1.39607014005944e-37	TRUE	FALSE	FALSE
"CCDC113"	-0.806171697189404	5.71692492065062	4.97610615601414e-40	5.24133261412969e-37	TRUE	FALSE	FALSE
"PRSS22"	-0.732173756565595	6.81872331847199	1.87135580656507e-39	1.87723721052856e-36	TRUE	FALSE	FALSE
"PLB1"	-1.05572387913361	4.26870866609004	3.4017001635222e-39	3.25728252930722e-36	TRUE	FALSE	FALSE
"COL9A2"	-1.07041228033567	3.84347870906335	5.88439049977462e-39	5.38959001166314e-36	TRUE	FALSE	FALSE
"UCA1"	-1.08208273180939	4.1370224825965	4.75939918384758e-38	4.17756263362221e-35	TRUE	FALSE	FALSE
"HMGB3"	-0.684907860973187	7.5971886012594	1.15629770867039e-36	9.74342701234014e-34	TRUE	FALSE	FALSE
"HAPLN3"	-0.798371353820712	6.96632245801373	1.60016439475164e-36	1.29650242845531e-33	TRUE	FALSE	FALSE
"MYBPC2"	-1.43259083582631	2.51418325626404	1.72665686695706e-36	1.3471760577525e-33	TRUE	TRUE	FALSE
"SEPT3"	-0.761409284278943	6.15239538635784	6.37486798670031e-36	4.79617746456531e-33	TRUE	FALSE	FALSE
"TGM2"	-1.12462999812982	3.04771900614088	6.91331314424571e-36	5.02192602402345e-33	TRUE	FALSE	FALSE
