"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"CASP14"	-0.830661603810438	4.92966578752082	-12.1193812875412	2.85239959611949e-10	4.13191500784682e-06	13.5200349347278	TRUE	FALSE	FALSE
"NMNAT2"	-0.593688374343725	5.26912990006057	-11.3364931923677	8.58023251069706e-10	6.02503926901147e-06	12.54744912094	TRUE	FALSE	FALSE
"OLR1"	-0.957599789225431	2.93112602670967	-11.8886772462901	3.92282826150842e-10	4.13191500784682e-06	12.4197578948376	TRUE	FALSE	FALSE
"RNF144B"	-0.561768975790387	4.39581749808581	-10.5959133129462	2.56830993873077e-09	1.08290477810683e-05	11.4051873806449	TRUE	FALSE	FALSE
"NEURL1"	-0.651092698997008	4.68351869834699	-10.5422469090481	2.78675345949894e-09	1.08290477810683e-05	11.3914991939271	TRUE	FALSE	FALSE
"TGM2"	-0.743627528314974	2.93801546836298	-10.475823296433	3.08432007435725e-09	1.08290477810683e-05	10.7452842297459	TRUE	FALSE	FALSE
"HAVCR1"	-0.478401768760845	7.43674233778545	-9.94324172800624	7.07792239184718e-09	1.7272860353094e-05	10.6378213172021	TRUE	FALSE	FALSE
"DUSP4"	-0.693119211662633	3.79749304885327	-10.0290118861736	6.17868604900638e-09	1.7272860353094e-05	10.523644072284	TRUE	FALSE	FALSE
"FGD3"	-0.511863885774943	4.39404083347769	-9.86822642874819	7.97644463348278e-09	1.7272860353094e-05	10.363058577797	TRUE	FALSE	FALSE
"PRSS22"	-0.469368417962326	6.75060285258974	-9.72052828841259	1.01113805347599e-08	1.93642129404775e-05	10.2854534350023	TRUE	FALSE	FALSE
"AKR1B10"	-0.660977989413843	3.56807568517007	-9.85097855344685	8.19940204741955e-09	1.7272860353094e-05	10.2110579793481	TRUE	FALSE	FALSE
"NUAK1"	-0.423334316840935	5.21501716773248	-9.64512221097029	1.14238899847773e-08	2.00546388682766e-05	10.1131475247611	TRUE	FALSE	FALSE
"SERPINE1"	-0.401217623671956	6.58949464685981	-9.04812505127279	3.07372963118769e-08	4.39422408147609e-05	9.21328047330503	TRUE	FALSE	FALSE
"ADARB1"	0.520999267138169	5.19963466020875	9.05547349698718	3.03572238297699e-08	4.39422408147609e-05	9.1343641621622	TRUE	FALSE	FALSE
"ETV4"	-0.526838114186548	3.56208114359575	-8.9995997247984	3.33749099513991e-08	4.39422408147609e-05	8.89442488426296	TRUE	FALSE	FALSE
"SPRY4"	-0.741036285467791	2.74061307523599	-9.00025438047151	3.33377977834957e-08	4.39422408147609e-05	8.72009816616733	TRUE	FALSE	FALSE
"GAB2"	-0.369429789154465	7.47771486882084	-8.59560417885479	6.69878475401419e-08	7.83981109044794e-05	8.46045601523293	TRUE	FALSE	FALSE
"COL17A1"	-0.416436199216803	6.99949058349074	-8.47084037393571	8.34134882413859e-08	8.96984131097047e-05	8.24676453175462	TRUE	FALSE	FALSE
"ADCY5"	-0.776816302825575	2.20997422240328	-8.73297335119947	5.27377033783295e-08	6.53513211392876e-05	8.10412285266143	TRUE	FALSE	FALSE
"HSPB8"	-0.407463976004203	6.35939663528897	-8.36625284563432	1.00401188115156e-07	0.000100716734706375	8.06586395357011	TRUE	FALSE	FALSE
"PADI1"	-0.64785463505764	4.649937247356	-8.2991850559392	1.1315739723594e-07	0.000108353351371469	7.93178620661311	TRUE	FALSE	FALSE
"SLC15A2"	-0.801469899605062	2.88322685140361	-8.45911311505975	8.51594162249167e-08	8.96984131097047e-05	7.91470523236149	TRUE	FALSE	FALSE
"ITGAM"	-0.404764602027654	5.1870909159923	-8.25016881436968	1.23539423636856e-07	0.000113025837569009	7.85292836430885	TRUE	FALSE	FALSE
"PLB1"	-0.533740140110996	4.14429053436824	-8.22708373925869	1.28767687347205e-07	0.000113025837569009	7.77672539189998	TRUE	FALSE	FALSE
"KRT17"	-0.542539470266635	4.38020815205513	-8.20211359290854	1.34682749193981e-07	0.000113489071780816	7.74644467055193	TRUE	FALSE	FALSE
"FAM89A"	-0.352155796822453	6.44654272925932	-8.15582933798646	1.46406166613034e-07	0.000118622780995006	7.69932188887169	TRUE	FALSE	FALSE
"SYDE1"	-0.543154556889979	6.53659070996846	-8.09549325094205	1.63302765146772e-07	0.000127412446317848	7.59221378994654	TRUE	FALSE	FALSE
"ALPL"	-0.498625141879156	3.90369237781013	-8.03459907775011	1.82421556704395e-07	0.000137246161197671	7.40722029913449	TRUE	FALSE	FALSE
"COL9A2"	-0.533265465561362	3.79088022887452	-7.93375553635327	2.1936559116773e-07	0.00015403851811798	7.22373778504084	TRUE	FALSE	FALSE
"SOX15"	-0.690481650368965	3.3995633834009	-7.93551406754008	2.18658746054484e-07	0.00015403851811798	7.17932115169473	TRUE	FALSE	FALSE
"ANXA8"	-0.499421858182254	4.81280339899977	-7.86345553653702	2.49658974118264e-07	0.000168976607641896	7.16760444943341	TRUE	FALSE	FALSE
"HMGB3"	-0.363467488023415	7.57001256390634	-7.84170858181628	2.59886264178175e-07	0.000168976607641896	7.1342400556167	TRUE	FALSE	FALSE
"ETS2"	-0.358500570738708	7.44568198802255	-7.83177304618643	2.64702746234813e-07	0.000168976607641896	7.11667567755928	TRUE	FALSE	FALSE
"NPAS2"	-0.376419386442287	5.26509229955931	-7.7670186784978	2.98452635348215e-07	0.000181544318043224	7.00634927598554	TRUE	FALSE	FALSE
"IL2RB"	-0.522180108349151	4.50391516259074	-7.73535666322064	3.16553057101989e-07	0.000181544318043224	6.93890448969346	TRUE	FALSE	FALSE
"S100A16"	-0.371480664867315	5.69960754858954	-7.6999926603094	3.38124044564235e-07	0.000181544318043224	6.88704535119229	TRUE	FALSE	FALSE
"SLC6A19"	-0.416818036570403	5.54534191208702	-7.69835239794163	3.3916085171944e-07	0.000181544318043224	6.88407809317758	TRUE	FALSE	FALSE
"CCDC113"	-0.405262958484141	5.65945561803148	-7.69565984077084	3.40869975584237e-07	0.000181544318043224	6.87903940556734	TRUE	FALSE	FALSE
"RP11-40A7.2"	-0.451281998780513	4.30268693634056	-7.68965279221937	3.44715310060237e-07	0.000181544318043224	6.85265787656202	TRUE	FALSE	FALSE
"WLS"	-0.31867369479515	8.09982606218947	-7.64287029587617	3.76247553821953e-07	0.000193317828507641	6.76656467606505	TRUE	FALSE	FALSE
"GH2"	-0.407444759330693	4.90816440514806	-7.59178528697187	4.14121819127257e-07	0.000207711672422257	6.68968645353051	TRUE	FALSE	FALSE
"SLC2A10"	-0.315660191483622	7.81598952342954	-7.56474372988995	4.35751758033366e-07	0.00021347782638909	6.62402660591134	TRUE	FALSE	FALSE
"GRIK4"	-0.648355799726138	2.27993812575598	-7.71935688268969	3.26129764051196e-07	0.000181544318043224	6.57428146101798	TRUE	FALSE	FALSE
"ANGPT4"	-0.409494778978906	7.041578012443	-7.40851886551584	5.8588860585786e-07	0.000274273986022259	6.33846474613093	TRUE	FALSE	FALSE
"ACKR3"	-0.423882107324252	4.45024573951459	-7.35257149734956	6.51940685324895e-07	0.000292208137809665	6.24520298326005	TRUE	FALSE	FALSE
"KCNS1"	-0.506978003186049	2.88890327065967	-7.38996685241921	6.0698581076873e-07	0.000277973110644654	6.20273830684399	TRUE	FALSE	FALSE
"CEBPD"	-0.490366399243436	6.02730728953721	-7.31025037550418	7.07007188253894e-07	0.000301317212083233	6.16700662909378	TRUE	FALSE	FALSE
"SAA1"	-0.803195340576071	2.17231639260394	-7.53820270225171	4.58123286874651e-07	0.000219336935484123	6.14722379420007	TRUE	FALSE	FALSE
"SLC41A1"	-0.35343551990967	5.73205650059373	-7.29395420652344	7.29477727914407e-07	0.000301317212083233	6.14036369305483	TRUE	FALSE	FALSE
"PLCD4"	-0.491272379913969	3.45282153993087	-7.30503900445964	7.1411395875248e-07	0.000301317212083233	6.10395886482458	TRUE	FALSE	FALSE
"GCH1"	-0.32038568970519	5.68931846931551	-7.27369445227607	7.58449973513079e-07	0.000307259752731279	6.1027509544055	TRUE	FALSE	FALSE
"ISM2"	-0.362992395978532	8.71446328400984	-7.1858208147716	8.98611534987592e-07	0.000357172652755634	5.900919965633	TRUE	FALSE	FALSE
"OLFML1"	-0.40847993113621	4.4403050547369	-7.06367498344997	1.13944737393691e-06	0.000436429061442818	5.70839442222213	TRUE	FALSE	FALSE
"FOSL2"	-0.331271361090094	9.28161071728833	-7.01268904488566	1.25892300293736e-06	0.000473579856783544	5.55902115702716	TRUE	FALSE	FALSE
"MAFF"	-0.433950281695147	3.67639152775462	-6.98962439508011	1.31716257470444e-06	0.000486795557872345	5.54533933746501	TRUE	FALSE	FALSE
"DPEP1"	-0.417546423038043	6.63215742478056	-6.97082967373434	1.36667980120806e-06	0.000496387529176708	5.51203195466101	TRUE	FALSE	FALSE
"PTGFRN"	-0.376777478367991	5.47829082636619	-6.95980629965172	1.3966151283271e-06	0.000498662615141334	5.50773197056363	TRUE	FALSE	FALSE
"STAB2"	-0.364883679187219	5.08360430606628	-6.90468626814846	1.5568131774511e-06	0.00054659710660308	5.40995822181113	TRUE	FALSE	FALSE
"VPS37C"	-0.295882575844253	6.08794542250281	-6.87696921052633	1.64444079806132e-06	0.000567898194294423	5.34304714211514	TRUE	FALSE	FALSE
"IL6"	-0.98643296170658	1.02599813083439	-7.30165725424128	7.18765253018747e-07	0.000301317212083233	5.3187231701652	TRUE	FALSE	FALSE
"MYADM"	-0.335224639716924	6.45974000410916	-6.85173920938523	1.72864295700292e-06	0.000587348266648766	5.28742175215257	TRUE	FALSE	FALSE
"COLQ"	-0.390051919301513	4.04790041151867	-6.83727752867067	1.77890620291586e-06	0.00058745094351442	5.28082616571296	TRUE	FALSE	FALSE
"NOCT"	-0.350222140282926	7.29717548643784	-6.8356328133563	1.78471757262522e-06	0.00058745094351442	5.24133994950796	TRUE	FALSE	FALSE
"GLB1L2"	-0.379388912500908	4.30430975235376	-6.7966670287251	1.92829641643649e-06	0.00062494603551771	5.20484806720573	TRUE	FALSE	FALSE
"C3orf52"	-0.321993007182969	5.25887241144609	-6.76010056123419	2.07391012505834e-06	0.000657720191078405	5.12835953496977	TRUE	FALSE	FALSE
"GBP2"	-0.449219288084405	3.98575321177311	-6.75105926050959	2.11163727311902e-06	0.000657720191078405	5.11315379742995	TRUE	FALSE	FALSE
"ZFP36L2"	-0.483865548150684	3.30845137887634	-6.70948496698739	2.29447088590837e-06	0.0007005119374282	4.9837343334596	TRUE	FALSE	FALSE
"FOXO1"	-0.368230062959233	5.40752128601336	-6.65096583681951	2.57997670515783e-06	0.000776425561012211	4.91333418269397	TRUE	FALSE	FALSE
"P2RY2"	-0.54252169173039	3.74617232323648	-6.63266134392313	2.67663114401197e-06	0.000783137662218837	4.88357074644308	TRUE	FALSE	FALSE
"ALDH3B1"	-0.31730470577215	5.74267048326562	-6.61657896203317	2.76463855909828e-06	0.000787025349810329	4.84076350904039	TRUE	FALSE	FALSE
"GRM4"	-0.311110805691166	6.41735139519688	-6.60974767852782	2.80292093364377e-06	0.000787284431841863	4.81200459627227	TRUE	FALSE	FALSE
"AKR1B1"	-0.310863632320032	9.3626314794552	-6.622181884263	2.73364328962804e-06	0.000787025349810329	4.7890801028256	TRUE	FALSE	FALSE
"ADAM19"	-0.459141821727434	4.39403360537953	-6.56277073352652	3.08145404336094e-06	0.000843037803603137	4.75800129215027	TRUE	FALSE	FALSE
"CDH5"	-0.309710662540686	8.149581245355	-6.58559973219922	2.9426920991251e-06	0.000815667786318019	4.732733784131	TRUE	FALSE	FALSE
"MYBPC2"	-0.601091536267629	2.41963775857203	-6.63591467323398	2.65918284098953e-06	0.000783137662218837	4.72715914226716	TRUE	FALSE	FALSE
"EPHA2"	-0.885993416997581	0.630833344958343	-7.0869445006587	1.08888285253842e-06	0.0004247852994736	4.63561188556739	TRUE	FALSE	FALSE
"CYP1A1"	-0.543081659909914	3.2976485512172	-6.50572131231742	3.45855814335791e-06	0.000925047661564721	4.62542246504411	TRUE	FALSE	FALSE
"CSF2RB"	-0.472716174426349	3.34319595664507	-6.50422906043213	3.4690385105674e-06	0.000925047661564721	4.60550221191217	TRUE	FALSE	FALSE
"COL16A1"	-0.364363607511382	5.46498569530472	-6.46311340862352	3.77107593498586e-06	0.000980759082054472	4.54383699997926	TRUE	FALSE	FALSE
"SEPT3"	-0.342482177178574	6.09116605502556	-6.4541162197542	3.84071538178766e-06	0.000986689149179743	4.50603762861375	TRUE	FALSE	FALSE
"FER1L4"	-0.382749573093908	6.1578092015412	-6.41293602217454	4.17680847575515e-06	0.00104338702359853	4.42380729556376	TRUE	FALSE	FALSE
"MYL3"	-0.510973636711692	2.57995007962443	-6.42367575599604	4.08633159808522e-06	0.00103714049934052	4.39071570280489	TRUE	FALSE	FALSE
"PLEKHA6"	-0.315430002784421	6.75951796664851	-6.38092993363099	4.45890372977376e-06	0.00109222402292342	4.34980554070639	TRUE	FALSE	FALSE
"CYP11A1"	-0.297579618836618	7.29715523160878	-6.37073782700028	4.55280442887137e-06	0.00110240664481154	4.3176719403467	TRUE	FALSE	FALSE
"GUCA2A"	-0.661762041163539	2.01051411306595	-6.40905601300432	4.21000175666358e-06	0.00104338702359853	4.25956543499507	TRUE	FALSE	FALSE
"PRPF31"	-1.13560988377465	2.16119874262945	-6.46399259561434	3.76434118062567e-06	0.000980759082054472	4.25235964468461	TRUE	FALSE	FALSE
"UCA1"	-0.434204397164081	4.05633198921528	-6.26148763424571	5.69731486288714e-06	0.00133355149890645	4.16966909342518	TRUE	FALSE	FALSE
"ITGB4"	-0.244356058209723	9.28951687744174	-6.31136309294634	5.14190475615742e-06	0.00123090188174105	4.1649276266139	TRUE	FALSE	FALSE
"TNFSF10"	-0.323547887509062	7.54080361751558	-6.2930142432356	5.33944083089205e-06	0.00126382764655699	4.15391579767294	TRUE	FALSE	FALSE
"NFATC2"	-0.396474828444584	4.82002344801016	-6.25037011215652	5.82933660645032e-06	0.00133479135816829	4.13738202300667	TRUE	FALSE	FALSE
"DPP7"	-0.471039766684406	5.61069516041746	-6.25045373147374	5.82833193558199e-06	0.00133479135816829	4.11206449487659	TRUE	FALSE	FALSE
"GPRC5A"	-0.58899903163896	4.14686332712548	-6.22026580157206	6.20289307339491e-06	0.00140505532778642	4.08595080804345	TRUE	FALSE	FALSE
"SCHIP1"	-0.364420672503377	4.48505350368931	-6.21253149218885	6.30279192541754e-06	0.00141249590107283	4.06969043681482	TRUE	FALSE	FALSE
"PITPNC1"	-0.40306132519387	4.64154958125709	-6.15947145723066	7.03438035293192e-06	0.0015436068386965	3.96020461139088	TRUE	FALSE	FALSE
"STBD1"	-0.316128819487107	6.27170653302033	-6.18040849746076	6.73577638471811e-06	0.00149364068758391	3.95223578211366	TRUE	FALSE	FALSE
"MAP3K3"	0.339585718760436	4.3282183749546	6.14497653718898	7.24906790089161e-06	0.0015740668678707	3.94118385983331	TRUE	FALSE	FALSE
"TMEM52B"	-0.878913099991631	0.607099224440358	-6.74834809665232	2.12308805626752e-06	0.000657720191078405	3.93757864550355	TRUE	FALSE	FALSE
"TMEM106B"	0.320888414507472	5.4459319538039	6.14011131254503	7.32263139899973e-06	0.0015740668678707	3.91025170346275	TRUE	FALSE	FALSE
"CACNA1S"	-0.413061012463669	4.00719461707275	-6.1178382239261	7.66935380435338e-06	0.00158740271918249	3.88778234422552	TRUE	FALSE	FALSE
"TOMM34"	-0.311456357611837	6.5462779136343	-6.13323381067607	7.42793515299702e-06	0.00158057456498015	3.85216897392796	TRUE	FALSE	FALSE
"WNT7A"	-0.293799316894273	5.95475352183196	-6.11678978347425	7.68608551014024e-06	0.00158740271918249	3.83416001781972	TRUE	FALSE	FALSE
"CYR61"	-0.45230513618786	4.97800465800965	-6.09490890549241	8.043986922969e-06	0.0016451905681482	3.81878694045536	TRUE	FALSE	FALSE
"KRT7"	-0.268432364438409	7.59541705826053	-6.12170997822407	7.60789012858662e-06	0.00158740271918249	3.80717355144996	TRUE	FALSE	FALSE
"ZNF532"	-0.38555739977968	4.38804933958426	-6.04726096366294	8.88396119883532e-06	0.00174906099639874	3.73835252927565	TRUE	FALSE	FALSE
"CALB2"	-0.44356801622299	4.69421862792681	-6.0393506980874	9.03191767946494e-06	0.00176172572070008	3.71430618785298	TRUE	FALSE	FALSE
"NTN1"	-0.27978209537104	6.63683186474369	-6.06226895546542	8.6100645375808e-06	0.00172742494808264	3.70186964019657	TRUE	FALSE	FALSE
"PNKD"	-0.311640568125732	7.07227677527228	-6.06542441856862	8.55359174935272e-06	0.00172742494808264	3.70137442900215	TRUE	FALSE	FALSE
"SPNS3"	-0.41595956055178	3.07261939692315	-6.01593173095042	9.48500292553881e-06	0.00183312909751744	3.66482975496479	TRUE	FALSE	FALSE
"CASQ1"	-0.32549104751813	4.78859322265293	-5.99069290931366	9.99955759068962e-06	0.00188080964469167	3.6139189587792	TRUE	FALSE	FALSE
"PALM2-AKAP2"	-0.392277163663859	6.86691452040649	-6.00606707763365	9.68279496456406e-06	0.00183789923845785	3.57904829369344	TRUE	FALSE	FALSE
"RP5-1065P14.2"	-0.317178835988202	4.52635305814934	-5.9539964209877	1.07994642123639e-05	0.00195791971182451	3.54918733549564	TRUE	FALSE	FALSE
"ARHGEF33"	-0.497654796624852	3.10061779615431	-5.95406668350112	1.07978713115428e-05	0.00195791971182451	3.54573055587235	TRUE	FALSE	FALSE
"SLC1A6"	-0.644818120364595	1.81580760567	-6.05489798876934	8.74348189360598e-06	0.00173764329783683	3.51920474759856	TRUE	FALSE	FALSE
"NOL4L"	-0.378235499323416	4.9541336142451	-5.95071029473281	1.08742336600905e-05	0.00195791971182451	3.5187228629107	TRUE	FALSE	FALSE
"MYO7A"	-0.250128591879728	6.51840464404402	-5.96446935777024	1.0564681737524e-05	0.00195791971182451	3.50674653804358	TRUE	FALSE	FALSE
"HAS3"	-0.699113784696814	1.85488887827246	-6.00599901605479	9.68417428409859e-06	0.00183789923845785	3.47227924414256	TRUE	FALSE	FALSE
"RP11-800A3.4"	-0.551054236353242	2.55633421487146	-5.93246698679986	1.12991179212327e-05	0.00200022872377049	3.45624993548167	TRUE	FALSE	FALSE
"MGC39584"	-0.490601971453231	2.26265697486233	-5.95711317188888	1.07290371632587e-05	0.00195791971182451	3.41129297451186	TRUE	FALSE	FALSE
"DLX5"	-0.290840233437713	6.02691884291553	-5.91153847471917	1.18076334906699e-05	0.00203884923864305	3.40890053019099	TRUE	FALSE	FALSE
"TNFRSF19"	-0.41802814711193	2.81211467101409	-5.8849520403921	1.24877462698795e-05	0.00213875498309986	3.39970305073266	TRUE	FALSE	FALSE
"OSBPL6"	-0.35812811197138	4.1756058329316	-5.86501798943641	1.30240121082707e-05	0.00221261160542606	3.37755219540271	TRUE	FALSE	FALSE
"GDF15"	-0.349518046647245	7.35877360698505	-5.91473029740285	1.17285837563078e-05	0.00203884923864305	3.37729915702334	TRUE	FALSE	FALSE
"GDPD2"	-0.531767837440865	3.35959796987446	-5.84261012540249	1.36551744860343e-05	0.00222992174978914	3.33396646883047	TRUE	FALSE	FALSE
"ABCA4"	-0.307471581119147	5.27613321301427	-5.85396748537047	1.33314356533022e-05	0.00222568096306138	3.31640339583807	TRUE	FALSE	FALSE
"IRF8"	-0.411500101945252	3.63650679305172	-5.82573194344987	1.41512797123496e-05	0.00227565540778898	3.3066187631588	TRUE	FALSE	FALSE
"FAM47E-STBD1"	-0.310230204402432	6.13387602792452	-5.84487923866275	1.35898541902403e-05	0.00222992174978914	3.26580176507664	TRUE	FALSE	FALSE
"HEY1"	-0.298465449690168	7.99518156541383	-5.85230756131933	1.33782547537228e-05	0.00222568096306138	3.23590473695818	TRUE	FALSE	FALSE
"CDYL2"	-0.287106354786598	5.98910679396554	-5.81711667311822	1.44116135188677e-05	0.00229996250294293	3.21290411669097	TRUE	FALSE	FALSE
"EDN2"	-0.691721200170493	1.03737446756954	-5.94578130959137	1.09873828810729e-05	0.00196152718451426	3.19770599533013	TRUE	FALSE	FALSE
"NFE2L3"	-0.309251725532826	7.76373624797497	-5.8305272515036	1.40084746992677e-05	0.00227001944626749	3.19681293452113	TRUE	FALSE	FALSE
"TRIP6"	-0.26315047454579	6.83689989299195	-5.81104834516076	1.45979341765248e-05	0.00231191861879367	3.17766031581744	TRUE	FALSE	FALSE
