"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"SERPINE1"	-0.876816201302485	6.58949464685981	-13.7482201896643	3.41889314038412e-11	3.81462529403091e-07	15.7365826358997	TRUE	FALSE	FALSE
"RNF144B"	-1.09687821738023	4.39581749808581	-13.7017553531368	3.62159431693811e-11	3.81462529403091e-07	15.2938551234494	TRUE	FALSE	FALSE
"NMNAT2"	-0.969859271466996	5.26912990006057	-12.7508904990024	1.22116542643811e-10	8.57502362444841e-07	14.461286252583	TRUE	FALSE	FALSE
"GH2"	-0.993939516237797	4.90816440514806	-12.4551068812239	1.80920029836038e-10	9.52815337131494e-07	14.0244025998594	TRUE	FALSE	FALSE
"ANGPT4"	-0.953863622079192	7.041578012443	-12.0037264184469	3.34446008026093e-10	1.26205758818503e-06	13.6071865571965	TRUE	FALSE	FALSE
"SYDE1"	-1.1510714808023	6.53659070996846	-11.8407772351879	4.19367849487098e-10	1.26205758818503e-06	13.3777910810409	TRUE	FALSE	FALSE
"NEURL1"	-1.09126783418599	4.68351869834699	-11.9199518708564	3.75592225991335e-10	1.26205758818503e-06	13.3262348967662	TRUE	FALSE	FALSE
"PRSS22"	-0.798931463767932	6.75060285258974	-11.5802976506475	6.0518313341828e-10	1.59359848607369e-06	13.0344249955241	TRUE	FALSE	FALSE
"CASP14"	-1.14290656386089	4.92966578752082	-11.4374830476245	7.41989636283283e-10	1.7367504086604e-06	12.7571539824774	TRUE	FALSE	FALSE
"KRT17"	-1.1085322901339	4.38020815205513	-11.0776359009144	1.25086556521629e-09	2.63507339968465e-06	12.1541924988197	TRUE	FALSE	FALSE
"HAVCR1"	-0.732894661386292	7.43674233778545	-10.7073289333589	2.1700302007819e-09	4.15580510997013e-06	11.8125204118874	TRUE	FALSE	FALSE
"CRISPLD2"	-0.796035425588442	7.80305582877847	-10.4187794525979	3.36636056994963e-09	5.5661794516118e-06	11.3857204804152	TRUE	FALSE	FALSE
"HSPB8"	-0.717520725123174	6.35939663528897	-10.3108123437521	3.97648371030055e-09	5.5845737227461e-06	11.2136355952506	TRUE	FALSE	FALSE
"SLC2A10"	-0.609184863660993	7.81598952342954	-10.2685214668745	4.24602846482256e-09	5.590427227497e-06	11.1592132612958	TRUE	FALSE	FALSE
"DUSP4"	-1.0703307498151	3.79749304885327	-10.3575721546305	3.69916036848786e-09	5.5661794516118e-06	11.0851043198118	TRUE	FALSE	FALSE
"GDF15"	-0.864428513211587	7.35877360698505	-10.2054356391742	4.68412999117558e-09	5.75394981143912e-06	11.0615191895877	TRUE	FALSE	FALSE
"NOL4L"	-0.955958413410618	4.9541336142451	-10.1398899021027	5.18964428070556e-09	5.75394981143912e-06	10.9031713844373	TRUE	FALSE	FALSE
"SEPT3"	-0.766937679215916	6.09116605502556	-10.0460259760876	6.01495989918501e-09	6.20661765623367e-06	10.8079262194452	TRUE	FALSE	FALSE
"AKR1B10"	-1.01759865530855	3.56807568517007	-10.153748807678	5.07819887728041e-09	5.75394981143912e-06	10.7471941734306	TRUE	FALSE	FALSE
"IL2RB"	-1.00977054229383	4.50391516259074	-10.0281428962698	6.18717225770945e-09	6.20661765623367e-06	10.6975121147211	TRUE	FALSE	FALSE
"ISM2"	-0.713496138306054	8.71446328400984	-9.92265467216597	7.31345805082920e-09	6.71968593861856e-06	10.6258920617848	TRUE	FALSE	FALSE
"PADI1"	-1.15430235837861	4.649937247356	-9.92066957423206	7.33659814811672e-09	6.71968593861856e-06	10.5664540047051	TRUE	FALSE	FALSE
"ST3GAL1"	-0.714730069308064	6.1134293658069	-9.82772543915093	8.51033659395915e-09	7.46994794534765e-06	10.4703883552757	TRUE	FALSE	FALSE
"MYL3"	-1.4050047146811	2.57995007962443	-10.3911516429188	3.51252759934048e-09	5.5661794516118e-06	10.2846497693434	TRUE	TRUE	FALSE
"DDIT4"	-0.673532154574596	8.72462741779849	-9.65569067620959	1.12297022352019e-08	9.13506804012411e-06	10.2035172329492	TRUE	FALSE	FALSE
