"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"ANGPT4"	-1.65087798289875	7.041578012443	-28.5288818535903	8.1166336284572e-17	1.70985004017079e-12	28.6726815671589	TRUE	TRUE	TRUE
"NMNAT2"	-1.51109433731562	5.26912990006057	-26.6321641723558	2.83542203145782e-16	1.99103335048968e-12	27.3545721438417	TRUE	TRUE	TRUE
"HAVCR1"	-1.28091855257356	7.43674233778545	-25.9828202523379	4.43710657318068e-16	2.01031872342177e-12	27.0621449586436	TRUE	TRUE	FALSE
"RP11-40A7.2"	-1.94098998077136	4.30268693634056	-26.8299264355456	2.47903148793758e-16	1.99103335048968e-12	27.0610472128111	TRUE	TRUE	TRUE
"HSPB8"	-1.30529331454005	6.35939663528897	-25.6198420107527	5.72577249621693e-16	2.01031872342177e-12	26.7762940857981	TRUE	TRUE	FALSE
"CASP14"	-2.0145277857519	4.92966578752082	-25.8255242900205	4.95341889343227e-16	2.01031872342177e-12	26.7467465686667	TRUE	TRUE	TRUE
"PRSS22"	-1.26546747670018	6.75060285258974	-25.3561897856108	6.9056249066293e-16	2.0781984897579e-12	26.613619462285	TRUE	TRUE	FALSE
"SERPINE1"	-1.14554495734045	6.58949464685981	-25.0055344144541	8.88531075521578e-16	2.33510096900711e-12	26.3654175191802	TRUE	FALSE	FALSE
"SYDE1"	-1.76210762289602	6.53659070996846	-24.8459748079329	9.97622174169943e-16	2.33510096900711e-12	26.2457476116781	TRUE	TRUE	TRUE
"GH2"	-1.40052219579627	4.90816440514806	-23.60650175455	2.51394222351647e-15	5.2958706880598e-12	25.2376870035662	TRUE	TRUE	FALSE
"PTGFRN"	-1.36645250959533	5.47829082636619	-23.3653706433484	3.025098366238e-15	5.71571555325264e-12	25.1176177715653	TRUE	TRUE	FALSE
"CRISPLD2"	-1.26598184901978	7.80305582877847	-23.0982577737033	3.72132768977212e-15	5.71571555325264e-12	24.9809107482505	TRUE	TRUE	FALSE
