"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"NMNAT2"	-1.32194080249188	5.26912990006057	-24.1768473961643	1.63399402397414e-15	3.44217181090393e-11	25.4792528659463	TRUE	TRUE	FALSE
"ADARB1"	1.22697476824315	5.19963466020875	22.1389799365859	7.97966362696141e-15	8.40497969827845e-11	23.9554893262772	TRUE	TRUE	FALSE
"CASP14"	-1.52438398196662	4.92966578752082	-21.1882714807519	1.7529159236401e-14	1.23089756158008e-10	23.2473111313674	TRUE	TRUE	TRUE
"ITGAM"	-1.0300798687046	5.1870909159923	-20.1863940280147	4.16509282609548e-14	2.19354613686318e-10	22.4359419553976	TRUE	FALSE	FALSE
"CDH5"	-0.947053487240006	8.149581245355	-19.9164555648271	5.29450474974485e-14	2.2306807411625e-10	22.324478892509	TRUE	FALSE	FALSE
"NEURL1"	-1.14670332280138	4.68351869834699	-17.9124555791788	3.46929986080477e-13	1.21807118112855e-09	20.393452181776	TRUE	FALSE	FALSE
"FGD3"	-0.944642080264209	4.39404083347769	-17.586007154764	4.79700813365852e-13	1.41467911416899e-09	20.0403564118258	TRUE	FALSE	FALSE
"COL17A1"	-0.86740662924466	6.99949058349074	-17.4731482436908	5.37236917941322e-13	1.41467911416899e-09	20.0357468794179	TRUE	FALSE	FALSE
"PADI1"	-1.44198902001495	4.649937247356	-17.3325165791139	6.19248706861997e-13	1.44945480652831e-09	19.831480001959	TRUE	TRUE	FALSE
"GH2"	-0.93835336712772	4.90816440514806	-16.9184391964097	9.46565234625475e-13	1.73066797147026e-09	19.4416468991832	TRUE	FALSE	FALSE
"SYDE1"	-1.14342797608428	6.53659070996846	-16.7630533879469	1.11259396428965e-12	1.73066797147026e-09	19.3138470235752	TRUE	FALSE	FALSE
"HAVCR1"	-0.809712088861236	7.43674233778545	-16.7351413154691	1.14552637859435e-12	1.73066797147026e-09	19.2847814821107	TRUE	FALSE	FALSE
"SERPINE1"	-0.744986597039521	6.58949464685981	-16.6654375319901	1.23231840748381e-12	1.73066797147026e-09	19.2125480482142	TRUE	FALSE	FALSE
"DUSP4"	-1.21844077470625	3.79749304885327	-16.7224678231834	1.16081587263465e-12	1.73066797147026e-09	19.1389827474922	TRUE	TRUE	FALSE
"KCNS1"	-1.29839187292639	2.88890327065967	-16.9908871466572	8.78255973555749e-13	1.73066797147026e-09	19.0990158408984	TRUE	TRUE	FALSE
"SLC6A19"	-0.875606664263254	5.54534191208702	-15.8315704055709	3.01629183166199e-12	3.97132523286197e-09	18.3212173219398	TRUE	FALSE	FALSE
"PLB1"	-1.06368136424911	4.14429053436824	-15.6694776947887	3.60667907468755e-12	4.22101674374266e-09	18.0986768432492	TRUE	FALSE	FALSE
