"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"133/3663"	"389/17872"	1.45242667392227e-10	7.53954686433049e-07	6.39526397580721e-07	"SMAD3/HEY1/MAFF/SOX15/CMIP/SEC24D/EPAS1/VEGFA/SLC34A2/ADM/WNT7B/PTPN18/GLI3/LIG4/FOSL1/CITED2/PKD2/SALL4/INPP5B/FZD5/GATA3/TET1/BCL2L1/HEG1/YBX3/EGFR/GATA2/ETNK2/PHF6/CHST11/MYO1E/ASCL2/ZFP36L1/FKBP10/MYC/SOCS3/SNAI1/MSH2/OCRL/MFN2/PTH1R/ACVR1C/ST14/PRMT1/NLE1/ZFP14/SMARCB1/BMPR1A/ASF1B/LIF/EIF2S2/POLB/GRB2/MED21/OTUD7B/GATA6/GPI/FGFR2/RNASEH2B/CASP8/SMO/CEBPB/AKAP3/GCM1/ZMIZ1/KLF2/ANGPT1/ELF3/MED1/EPB41L5/TP53/NEK2/WDR19/PSMC4/ATP11A/MAP2K1/ARNT/NCOA1/SLC39A1/MBNL1/SUPT6H/NOTCH2/NSRP1/HES1/E2F8/CIR1/EPN1/TBX3/KLF4/VASH2/BYSL/DNAAF2/PDGFB/TGFBR1/NPM2/SH3PXD2A/DNAJB6/BCL2L11/DHX35/PLOD3/PKD1/YBX1/SIN3A/ACVR1/WDTC1/JUNB/KRT19/MYH9/SPINT1/NDEL1/SBDS/SLC25A20/LATS1/ELL/XAB2/GABPA/RBPJ/LY6E/CNOT1/AXIN1/SETD2/IL10/CHD7/EOMES/SF3B6/PALB2/RCN1/CAPN2/ADCY9/TTLL1/PLK4/ZNF335/HIF1A"	133
"GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN"	"GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN"	"GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN"	"66/3663"	"158/17872"	8.81390327437054e-10	2.28764859486287e-06	1.94045038929958e-06	"HSPB8/PPP1R15A/CREB3L2/ATF3/CLU/STC2/DAB2IP/XBP1/DNAJA1/EDEM2/EDEM1/ERN1/CREB3L1/PPP1R15B/HERPUD1/RNF126/TBL2/AMFR/HSPA5/HSPH1/MFN2/CCND1/EDEM3/KBTBD6/DNAJB14/DNAJB9/BAG3/OPTN/DNAJB4/HDAC6/HSPA2/RNF185/BHLHA15/HSP90AA1/EP300/UFL1/PTPN1/WFS1/UGGT2/SERPINH1/UBE2W/BCL2L11/TOR1A/ERLEC1/RHBDD2/ATF4/EIF2AK3/CTH/HSPA14/ERP27/HSP90AB1/DDRGK1/COPS5/HSPA6/HSPB1/NCK2/ABCA7/HSPD1/ATF6B/UBXN4/FBXO6/YOD1/SERP1/QRICH1/STUB1/DDIT3"	66
"GOBP_MACROAUTOPHAGY"	"GOBP_MACROAUTOPHAGY"	"GOBP_MACROAUTOPHAGY"	"108/3663"	"310/17872"	2.36285512040928e-09	4.08852697668152e-06	3.46800805918316e-06	"HSPB8/NUPR1/STBD1/VPS37C/WDR45B/VPS36/MTM1/KLHL3/TMEM39A/TIGAR/SESN3/ATP6V1B1/ERN1/SESN2/SNX7/PINK1/QSOX1/CASP3/SMURF1/MFN2/VPS41/ULK1/LAMP2/GABARAPL1/USP36/ATG9B/ATG4D/SCOC/SRC/SNX14/BAG3/OPTN/VPS37B/VTA1/UBQLN1/SUPT5H/SNX18/CALM1/RNF41/SPTLC1/HDAC6/ATG16L2/VPS35/PIP4K2C/TP53/ATG13/MAPK8/VPS16/FEZ2/POLDIP2/TP53INP1/MAPK3/SNX32/UFL1/ATG9A/VPS26A/ATG5/SPTLC2/CAPNS1/WIPI1/C9orf72/EXOC1/CHMP2B/ATP6V0E2/SNX4/GAPDH/RB1CC1/ATG7/UBXN6/ATP6V0A1/CHMP1B/VPS26B/UBXN2B/RAB23/NPC1/CHMP4B/SYNPO2/GBA/ATP6V1A/ATG14/FYCO1/PIP4K2B/SMG1/DDRGK1/CHMP5/MFSD8/VPS37D/MAP3K7/STX12/SNX6/VMP1/TSC1/ATP6V1D/RAB33B/ATG101/MTMR3/HUWE1/PIKFYVE/YOD1/SQSTM1/EXOC8/VTI1B/RAB19/CLEC16A/TRIM13/MAP1LC3B/RUBCNL/HIF1A"	108
"GOBP_ENDOSOMAL_TRANSPORT"	"GOBP_ENDOSOMAL_TRANSPORT"	"GOBP_ENDOSOMAL_TRANSPORT"	"86/3663"	"233/17872"	4.55526869363567e-09	5.9115999471657e-06	5.01439182775738e-06	"PICALM/DENND1A/ZFYVE9/VPS36/AP5M1/CORO1C/TBC1D17/ANKRD50/SORL1/DENND5A/CMTM6/LYST/RNF126/ZFYVE16/RAB11A/RAB6A/AP5B1/TMEM87B/SGSM2/VPS29/NDRG4/VPS54/TINAGL1/SNX27/PREPL/DENND1C/BTBD8/ANXA8/DENND1B/VTA1/BET1L/SNX18/TMEM50A/SNX8/TMEM87A/RAB17/ITSN2/ACTN2/VPS35/LAPTM4B/VPS16/TMEM50B/ITSN1/GBF1/BLOC1S2/TBC1D10A/STX6/ATP9A/SNX32/TOM1/VPS26A/ZDHHC2/RAB11B/LEPROTL1/LEPROT/CHMP2B/VPS51/SNX4/UBE2O/SURF4/UBXN6/VPS50/CHMP1B/VPS26B/MICALL1/CCDC22/CHMP4B/SNX9/EVI5/ARHGAP1/ARL1/SNX12/CHMP5/SNX6/EPS15L1/GOSR1/ERC1/PIKFYVE/AGAP2/SQSTM1/GCC2/ANXA8L1/VTI1B/BLOC1S1/SCRIB/CLEC16A"	86
"GOBP_PLACENTA_DEVELOPMENT"	"GOBP_PLACENTA_DEVELOPMENT"	"GOBP_PLACENTA_DEVELOPMENT"	"61/3663"	"148/17872"	6.99784134771269e-09	7.26515888719531e-06	6.16252007525941e-06	"HEY1/SOX15/EPAS1/ADM/TEX19/WNT7B/FOSL1/CITED2/PKD2/FZD5/STC2/ADAM19/EGFR/GATA2/ETNK2/ASCL2/ZFP36L1/SOCS3/SNAI1/TCF23/PRDX3/ST14/PPARG/LEP/BIRC2/LIF/BSG/GRB2/FGFR2/CASP8/CEBPB/GCM1/MED1/MAP2K1/ARNT/NCOA1/NOTCH2/HES1/E2F8/STOX2/VASH2/PDGFB/STC1/DNAJB6/PKD1/PPARD/HSP90AB1/JUNB/KRT19/SPINT1/CCDC134/PTK2/BMPR2/RBPJ/SETD2/IL10/EOMES/DEDD/PLK4/CTSB/HIF1A"	61
"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"112/3663"	"334/17872"	1.38743639430907e-08	1.03743956974866e-05	8.79986559786403e-06	"SLC2A1/AKR1B1/GCH1/EPAS1/LONP1/STK24/FOXO1/MGAT3/SERPINB6/ALDH3B1/ERRFI1/FOS/PKD2/NQO1/PXN/IL6/YBX3/EGFR/DNAJA1/ANKZF1/STOX1/ETV5/ERN1/TNFAIP3/MAPK9/SESN2/MMP2/EPO/PINK1/ZFP36L1/MYC/FZD1/RIPK1/PRDX3/CASP3/OXSR1/PYCR1/KDM6B/CAV1/STX2/STAU2/FOXO3/FBXW7/PNPLA8/TXN/NFE2L1/SRC/DHFRP1/UBQLN1/DHFR/ARL6IP5/PDK1/KLF2/CHUK/HDAC6/RBM11/PCNA/XRCC5/TP53/MAPK8/TP53INP1/LANCL1/ARNT/MAPK3/EFHD1/LRRC8D/ATG5/FYN/ECT2/MAPT/PNPT1/JAK2/LRRC8E/SFPQ/ATG7/GSKIP/SLC1A1/PML/ATF4/AQP1/EIF2AK3/GBA/DAPK1/CAT/SIN3A/GLRX2/CDK1/ZNF277/DDX3X/STK39/PARK7/H19/BRF2/ARNTL/SETX/TSC1/HSPB1/RWDD1/ANKRD2/PRDX2/TSPO/MAPK7/NET1/IL10/STAT6/VRK2/TRPV4/P4HB/DDIT3/HIF1A/AXL/NUDT2"	112
"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS"	"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS"	"GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS"	"91/3663"	"256/17872"	1.39897456910819e-08	1.03743956974866e-05	8.79986559786403e-06	"PPP1R15A/NUPR1/SVIP/CREB3L2/ATF3/CLU/STC2/BCL2L1/DAB2IP/XBP1/ANKZF1/EDEM2/EDEM1/PLA2G6/ERN1/SESN2/USP13/CREB3L1/PPP1R15B/HERPUD1/TBL2/AMFR/HSPA5/TMTC3/GORASP2/CCND1/CAV1/DNAJC10/TRIB3/RNF103/EDEM3/DNAJB14/DNAJB9/UBQLN1/BCAP31/TXNDC12/CEBPB/RNFT1/PDIA4/RNF185/TP53/BHLHA15/CANX/EP300/UFL1/SEC16A/UBAC2/NR1H3/PTPN1/WFS1/UGGT2/FBXO17/RASGRF1/UBXN10/TNFRSF10B/TMEM67/UBXN6/BCL2L11/TOR1A/ERLEC1/PML/RHBDD2/ATF4/HYOU1/SGTB/NR1H2/EIF2AK3/CTH/ERP27/DDX3X/UBE4B/DDRGK1/UBE2G2/PARK7/COPS5/FAM8A1/NCK2/ABCA7/ATF6B/UBXN4/FBXO6/RASGRF2/YOD1/MAN1A1/SERP1/QRICH1/STUB1/P4HB/CCDC47/TRIM13/DDIT3"	91
"GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN"	"GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN"	"GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN"	"50/3663"	"116/17872"	2.76924864151295e-08	1.79689621226172e-05	1.52417987729588e-05	"HSPB8/PPP1R15A/CREB3L2/ATF3/STC2/DAB2IP/XBP1/ERN1/CREB3L1/PPP1R15B/HERPUD1/RNF126/TBL2/AMFR/HSPA5/CCND1/DNAJB14/DNAJB9/BAG3/OPTN/HDAC6/HSPA2/RNF185/BHLHA15/EP300/UFL1/PTPN1/WFS1/UGGT2/UBE2W/BCL2L11/TOR1A/ERLEC1/RHBDD2/ATF4/EIF2AK3/CTH/HSPA14/DDRGK1/COPS5/HSPA6/NCK2/ABCA7/HSPD1/ATF6B/YOD1/SERP1/QRICH1/STUB1/DDIT3"	50
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE"	"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE"	"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE"	"135/3663"	"429/17872"	4.14795512819562e-08	2.39244834116261e-05	2.02934459663652e-05	"SMAD3/HK2/FLNA/VPS37C/HK1/VPS36/CLU/GLI3/FZD5/TGFB1/CACNG4/IPO4/ING1/SEC13/SORL1/DNAJA1/EDEM1/TNFAIP3/SRP68/SGF29/TRAM2/TOMM34/RANBP6/PINK1/HERPUD1/KPNA2/HSPA5/SRP9/PEX1/ZFYVE16/RAB11A/SRPRA/SMURF1/LONP2/KPNA3/MFN2/SUMO1/VPS41/LEP/APOD/IPO13/LAMP2/NFKBIA/TPR/FBXW7/USP36/TSPAN17/BAG3/DNAJC19/VPS37B/SEC61G/TOMM40/BCAP31/SMO/TOMM20/CSNK2A2/ANGPT1/CD68/MED1/TP53/ATG13/VPS13A/MAPK8/POM121/HSP90AA1/IMMP1L/POM121C/NPEPPS/ECT2/MAPT/HPS4/PEX2/RANBP17/AIP/BHLHE40-AS1/JAK2/LEPROT/CSE1L/APPL1/BCL3/PEX14/NUP62CL/TNPO3/CCT6A/BCS1L/PML/PEX10/RAB23/SGTB/KPNB1/ZFAND6/RAN/CHMP4B/TIMM17A/VPS11/HSP90AB1/CDK1/IL10RA/GNPTAB/AP3M1/CALM3/GRPEL1/NUP35/RAC2/VPS37D/NUP214/PEX19/SPCS2/NUP153/ZIC1/TOMM40L/TSPO/HEATR3/RGPD4/TARDBP/RHOU/FIS1/MON1A/HSPD1/PIH1D1/RPAIN/HUWE1/NUP58/TNPO1/SRP14/SEC61A1/SQSTM1/FERMT1/GCC2/NUP98/MAN1A1/SCRIB/CCT5/EFCAB7/DDIT3"	135
"GOBP_HISTONE_MODIFICATION"	"GOBP_HISTONE_MODIFICATION"	"GOBP_HISTONE_MODIFICATION"	"152/3663"	"498/17872"	5.43490494623436e-08	2.82125915759026e-05	2.39307446211561e-05	"PADI1/PHC1/VEGFA/CHD3/GATA3/ARRB1/EID1/TET1/TAF5L/YEATS2/SUV39H1/PER1/KAT6B/HAT1/DDB1/GATA2/NELFA/KAT5/HDAC5/SGF29/BRD4/PINK1/TAF12/PER2/RYBP/KMT2C/USP3/KDM5B/DNMT1/ENY2/HPF1/CDK2/JARID2/KDM4B/CARM1/KAT2B/KDM6B/PRMT1/SMARCB1/LIF/USP36/TAF7/KMT2E/BCL6/JMJD6/DCAF1/TTLL12/DOT1L/MIER2/LEO1/PRMT6/NFYC/PCGF5/MIER3/SETD1A/C6orf89/PADI4/ASXL1/HDAC6/PAF1/UBE2N/SETD5/AKAP8/RCOR1/TP53/KMT5B/MAPK8/PKN1/JADE1/ZBTB7B/RNF20/WDR5B/MAPK3/MEAF6/NCOA1/SETDB2/PHF20L1/EP300/SF3B3/MSL3P1/MTHFR/SMARCAD1/TET3/SUPT6H/JDP2/IWS1/UFL1/PRMT2/ATG5/MLLT1/UIMC1/UBE2E1/KDM6A/JAK2/NOC2L/SETMAR/BRPF1/SFPQ/JADE3/KAT7/TRIM37/PHF1/ACTB/UBR2/MRGBP/MSL2/JMJD4/PAXBP1/KDM5C/USP15/TAF2/SIN3A/KDM2B/CDK1/BAZ2A/USP49/UHRF1/HCFC1/MAP3K7/PARK7/COPRS/N6AMT1/NAA50/MIER1/ZNF274/SETDB1/MBIP/HDAC11/BRMS1L/TRRAP/PIH1D1/HDAC9/SETD2/CRTC2/NFYA/PHF20/HUWE1/BMI1/TADA3/VRK2/KMT5A/ATXN7/FBL/FBXL19/PARP2/CCNA2/SIN3B/OGT/SETD7/PPM1F/ZNF335/CREBBP"	152
