"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"153/4382"	"389/17872"	4.74404263949337e-11	2.48113430045503e-07	2.13032483158723e-07	"PLB1/INPP5D/PLCD4/PLA2G2F/PIGQ/TMEM38B/HMGCS2/DGKQ/SLC44A2/FAM126A/EFR3A/AJUBA/SGPP1/HEXB/GPCPD1/PLPPR3/ABCA2/PIGM/PGAP1/TTC7A/LIPG/MTMR11/INPP4B/SMPD1/SOCS3/PNPLA7/ABHD6/PIGX/INPP5F/TMEM150A/MTMR2/EFR3B/INPP1/LDLR/DGKD/APOC1/MTM1/TTC7B/PLPPR2/MTMR12/PLA2G4B/LPCAT3/CSF1R/AGPAT5/MTMR1/DHRS7B/PRKCD/PDGFRB/PLA2G6/CAPN2/CHRM5/PITPNM1/PIGV/PLCD1/SERAC1/ABHD4/CLN3/GGPS1/MTMR9/HTR2C/PLPP6/ALOX15/PITPNM3/PIP4K2C/PIGF/INPPL1/HMGCS1/FIG4/PEMT/SYNJ1/STOML2/DGKZ/ABHD16B/ETNK2/TAMM41/SLC44A1/PDGFA/IPMK/SYNJ2/OCRL/CHP1/MBOAT2/PLA2G15/LIPC/PIKFYVE/PLA2G12A/APOA2/PIGK/FDPS/PIGO/PIGL/PNPLA8/ATG14/INPP5E/PIK3CB/PLD1/PLCB3/PCSK9/GPX4/FAM126B/SCARB1/LPGAT1/PIGY/CHPT1/ITPKB/CETP/SLC44A3/PIK3CA/SERINC2/PLCB1/PIGZ/DGKH/GPAA1/IMPA1/PIP5K1B/PMVK/DNAJC19/PIK3CD/DPM2/SPTLC1/BPNT1/ABHD16A/NAAA/PIK3C2G/LPIN1/INPP4A/ABCA3/PIGP/GPLD1/SMPDL3B/GNPAT/GATA6/DGKG/INPP5B/TNFAIP8L3/FITM2/PTDSS1/DOLK/SPTLC2/PIGC/LCLAT1/DGKE/PCYT1A/TPTE/FAR1/CEPT1/MPPE1/PIGH/SOCS2/PLBD1/SERINC5/DPM1/CHKA"	153
"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"126/4382"	"309/17872"	1.61480881111919e-10	3.86457119487896e-07	3.31815652960726e-07	"PLB1/INPP5D/PLCD4/PLA2G2F/PIGQ/DGKQ/SLC44A2/FAM126A/EFR3A/AJUBA/GPCPD1/PIGM/PGAP1/TTC7A/MTMR11/INPP4B/SOCS3/PNPLA7/ABHD6/PIGX/INPP5F/TMEM150A/MTMR2/EFR3B/INPP1/LDLR/DGKD/APOC1/MTM1/TTC7B/MTMR12/PLA2G4B/LPCAT3/CSF1R/AGPAT5/MTMR1/DHRS7B/PDGFRB/PLA2G6/CAPN2/CHRM5/PITPNM1/PIGV/PLCD1/SERAC1/ABHD4/CLN3/MTMR9/HTR2C/ALOX15/PITPNM3/PIP4K2C/PIGF/INPPL1/FIG4/PEMT/SYNJ1/STOML2/DGKZ/ABHD16B/ETNK2/TAMM41/SLC44A1/PDGFA/IPMK/SYNJ2/OCRL/MBOAT2/PLA2G15/LIPC/PIKFYVE/APOA2/PIGK/PIGO/PIGL/PNPLA8/ATG14/INPP5E/PIK3CB/PLD1/PLCB3/FAM126B/SCARB1/LPGAT1/PIGY/CHPT1/ITPKB/CETP/SLC44A3/PIK3CA/SERINC2/PLCB1/PIGZ/DGKH/GPAA1/IMPA1/PIP5K1B/DNAJC19/PIK3CD/DPM2/BPNT1/ABHD16A/NAAA/PIK3C2G/LPIN1/INPP4A/ABCA3/PIGP/GPLD1/GNPAT/DGKG/INPP5B/PTDSS1/PIGC/LCLAT1/DGKE/PCYT1A/TPTE/FAR1/CEPT1/MPPE1/PIGH/SOCS2/SERINC5/DPM1/CHKA"	126
"GOBP_GLYCEROLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROLIPID_METABOLIC_PROCESS"	"153/4382"	"396/17872"	2.21677123989233e-10	3.86457119487896e-07	3.31815652960726e-07	"PLB1/INPP5D/PLCD4/PLA2G2F/PIGQ/DGKQ/SLC44A2/FAM126A/EFR3A/AJUBA/GPCPD1/PIGM/PGAP1/TTC7A/LIPG/PCK2/MTMR11/INPP4B/SORL1/SOCS3/INSIG2/PNPLA7/ABHD6/PIGX/INPP5F/SIK1/TMEM150A/MTMR2/PLCE1/EFR3B/INPP1/LDLR/DGKD/APOC1/MTM1/TTC7B/MTMR12/PLA2G4B/LPCAT3/CSF1R/FAAH/AGPAT5/MTMR1/DHRS7B/C3/PDGFRB/MGLL/PLA2G6/CAPN2/CHRM5/PITPNM1/LYPLA2/PIGV/APOBR/PLCD1/SERAC1/ABHD4/CLN3/SIRT1/MTMR9/HTR2C/CAT/ALOX15/PITPNM3/PIP4K2C/PIGF/INPPL1/FIG4/PEMT/SYNJ1/STOML2/DGKZ/ABHD16B/ETNK2/TAMM41/SLC44A1/PDGFA/IPMK/SYNJ2/OCRL/MBOAT2/APOC3/PLA2G15/LIPC/PIKFYVE/APOA2/PIGK/PIGO/PIGL/PNPLA8/ATG14/INPP5E/PIK3CB/LMF1/PLD1/PLCB3/PCSK9/FAM126B/SCARB1/LPGAT1/PIGY/PLIN5/CHPT1/DGAT1/ITPKB/CETP/SLC44A3/PIK3CA/SERINC2/PLCB1/PIGZ/DGKH/GPAA1/IMPA1/PIP5K1B/DAGLB/DNAJC19/PIK3CD/DPM2/BPNT1/ABHD16A/NAAA/SEL1L/PIK3C2G/LPIN1/INPP4A/ABCA3/PIGP/GPLD1/CPT1A/GNPAT/DGKG/INPP5B/FITM2/CAV1/PTDSS1/PIGC/LCLAT1/DGKE/PCYT1A/TPTE/CNEP1R1/FAR1/PNPLA4/CEPT1/MPPE1/PIGH/ACSL1/SOCS2/SERINC5/DPM1/CHKA/CTDNEP1"	153
"GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"106/4382"	"258/17872"	2.74374017094907e-09	3.5874402735159e-06	3.08020936033387e-06	"INPP5D/PIGQ/TMEM38B/HMGCS2/DGKQ/SLC44A2/FAM126A/EFR3A/AJUBA/HEXB/ABCA2/PIGM/PGAP1/TTC7A/INPP4B/SOCS3/PIGX/INPP5F/TMEM150A/MTMR2/EFR3B/INPP1/DGKD/MTM1/TTC7B/LPCAT3/AGPAT5/MTMR1/DHRS7B/PLA2G6/CAPN2/PITPNM1/PIGV/SERAC1/ABHD4/CLN3/GGPS1/HTR2C/ALOX15/PITPNM3/PIP4K2C/PIGF/INPPL1/HMGCS1/FIG4/PEMT/SYNJ1/DGKZ/ETNK2/TAMM41/SLC44A1/PDGFA/IPMK/SYNJ2/OCRL/CHP1/MBOAT2/PIKFYVE/APOA2/PIGK/FDPS/PIGO/PIGL/ATG14/INPP5E/PIK3CB/PLD1/FAM126B/LPGAT1/PIGY/CHPT1/ITPKB/SLC44A3/PIK3CA/PIGZ/DGKH/GPAA1/IMPA1/PIP5K1B/PMVK/PIK3CD/DPM2/SPTLC1/BPNT1/PIK3C2G/LPIN1/INPP4A/PIGP/GNPAT/DGKG/FITM2/PTDSS1/DOLK/SPTLC2/PIGC/LCLAT1/DGKE/PCYT1A/FAR1/CEPT1/MPPE1/PIGH/SOCS2/SERINC5/DPM1/CHKA"	106
"GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS"	"GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS"	"GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS"	"104/4382"	"253/17872"	3.73274963525884e-09	3.90445611848074e-06	3.35240209347667e-06	"INPP5D/PIGQ/DGKQ/SLC44A2/FAM126A/EFR3A/AJUBA/PIGM/PGAP1/TTC7A/PCK2/INPP4B/SOCS3/PIGX/INPP5F/SIK1/TMEM150A/MTMR2/PLCE1/EFR3B/INPP1/LDLR/DGKD/MTM1/TTC7B/LPCAT3/AGPAT5/MTMR1/DHRS7B/C3/PLA2G6/CAPN2/PITPNM1/PIGV/ABHD4/CLN3/HTR2C/ALOX15/PITPNM3/PIP4K2C/PIGF/INPPL1/FIG4/PEMT/SYNJ1/DGKZ/ETNK2/TAMM41/SLC44A1/PDGFA/IPMK/SYNJ2/OCRL/PLA2G15/PIKFYVE/APOA2/PIGK/PIGO/PIGL/ATG14/INPP5E/PIK3CB/PLD1/FAM126B/SCARB1/LPGAT1/PIGY/PLIN5/CHPT1/DGAT1/ITPKB/SLC44A3/PIK3CA/PIGZ/DGKH/GPAA1/IMPA1/PIP5K1B/PIK3CD/DPM2/BPNT1/PIK3C2G/LPIN1/INPP4A/PIGP/GPLD1/GNPAT/DGKG/FITM2/PTDSS1/PIGC/LCLAT1/DGKE/PCYT1A/CNEP1R1/FAR1/CEPT1/MPPE1/PIGH/ACSL1/SOCS2/DPM1/CHKA/CTDNEP1"	104
"GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS"	"GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS"	"GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS"	"73/4382"	"162/17872"	8.3332180487959e-09	7.26378839920042e-06	6.2367558238883e-06	"INPP5D/PLCD4/PIGQ/FAM126A/EFR3A/PIGM/PGAP1/TTC7A/MTMR11/INPP4B/SOCS3/PIGX/INPP5F/TMEM150A/MTMR2/EFR3B/INPP1/MTM1/TTC7B/MTMR12/CSF1R/MTMR1/PDGFRB/CHRM5/PITPNM1/PIGV/PLCD1/MTMR9/HTR2C/PITPNM3/PIP4K2C/PIGF/INPPL1/FIG4/SYNJ1/PDGFA/IPMK/SYNJ2/OCRL/PIKFYVE/PIGK/PIGO/PIGL/ATG14/INPP5E/PIK3CB/PLCB3/FAM126B/LPGAT1/PIGY/ITPKB/PIK3CA/PLCB1/PIGZ/GPAA1/IMPA1/PIP5K1B/PIK3CD/DPM2/BPNT1/PIK3C2G/INPP4A/PIGP/GPLD1/INPP5B/PIGC/LCLAT1/DGKE/TPTE/MPPE1/PIGH/SOCS2/DPM1"	73
"GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"89/4382"	"214/17872"	2.53140168406655e-08	1.89131868680973e-05	1.62390369687638e-05	"INPP5D/PIGQ/DGKQ/SLC44A2/FAM126A/EFR3A/AJUBA/PIGM/PGAP1/TTC7A/INPP4B/SOCS3/PIGX/INPP5F/TMEM150A/MTMR2/EFR3B/INPP1/DGKD/MTM1/TTC7B/LPCAT3/AGPAT5/MTMR1/DHRS7B/PLA2G6/CAPN2/PITPNM1/PIGV/ABHD4/CLN3/HTR2C/ALOX15/PITPNM3/PIP4K2C/PIGF/INPPL1/FIG4/PEMT/SYNJ1/DGKZ/ETNK2/TAMM41/SLC44A1/PDGFA/IPMK/SYNJ2/OCRL/PIKFYVE/APOA2/PIGK/PIGO/PIGL/ATG14/INPP5E/PIK3CB/PLD1/FAM126B/PIGY/CHPT1/ITPKB/SLC44A3/PIK3CA/PIGZ/DGKH/GPAA1/IMPA1/PIP5K1B/PIK3CD/DPM2/BPNT1/PIK3C2G/LPIN1/INPP4A/PIGP/GNPAT/DGKG/PTDSS1/PIGC/LCLAT1/DGKE/PCYT1A/FAR1/CEPT1/MPPE1/PIGH/SOCS2/DPM1/CHKA"	89
"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS"	"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS"	"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS"	"122/4382"	"319/17872"	2.89933220931911e-08	1.89543843184237e-05	1.62744094802044e-05	"SLC2A10/MGAT4A/ST3GAL3/ENTPD5/DSE/ST6GALNAC2/EXTL2/GCNT1/EXT2/ABCA2/TRAK1/NDST1/MAN2A2/ST3GAL6/ST3GAL1/ST3GAL4/CHST15/NDST2/CHST4/ST6GALNAC6/GALNT10/CHST8/CHPF/TNIP1/GALNT11/XXYLT1/B3GNT2/ST6GAL1/B4GALT2/MGAT3/PXYLP1/DPY19L1/CTNNB1/FKRP/CHST11/GLCE/XYLT2/FUT11/B3GNT6/NAGPA/MAN1C1/POMT1/CHSY1/ALG14/TCF7L2/B4GALT5/GALNT1/ST8SIA1/TET1/CCR7/B4GALT7/FUT10/DPY19L3/B3GALT6/SLC35C1/ALG12/GALNT4/PHLDA1/UGGT1/GAL3ST4/VEGFB/B3GALNT2/HS6ST2/CHST3/CSGALNACT1/CHP1/RFT1/POMGNT2/TMEM165/TMTC4/EXTL1/TMTC3/ALG6/CHST10/JAK3/TREX1/XYLT1/B4GALT6/GALNT8/FUT3/UGGT2/MAN1A2/MGAT2/GALNT7/ABCA7/PSEN1/MGAT5B/B3GAT3/ST6GALNAC1/ST3GAL5/HS6ST1/FUT1/PLCB1/DPM2/FUT6/AGO2/POFUT1/MAGT1/IL15/SOAT1/HBEGF/GOLPH3/EDEM3/OGT/RAMP1/NECAB3/ITM2C/MOGS/GOLGA2/PAWR/DOLK/ITM2B/ALG3/ALG11/HS2ST1/RPN1/GALNT2/TMEM59/DPM1/BCL2/FUT4/DPAGT1"	122
"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION"	"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION"	"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION"	"83/4382"	"199/17872"	6.34168966898191e-08	3.43900142823198e-05	2.95275839646526e-05	"CASQ1/TMOD1/OBSCN/TNNT3/SMAD3/SORBS1/MYOZ1/PHACTR1/OBSL1/FRMD7/CSRP2/TTN/SRC/FHDC1/FHOD3/PPM1E/PAK1/NEBL/EPB41L2/EPB41L5/PLEC/ACTN2/CFLAR/ARAP1/SORBS3/ASAP3/PDGFRB/WASF2/RAPGEF3/ACTG1/RHPN1/MYLK3/PFN2/TRPM7/TESK1/ADPRHL1/CDC42/CGNL1/RACGAP1/MYO18A/EPB41L4A/SYNPO2L/ANKRD1/RHPN2/ARHGEF5/DLC1/EPB41/PFN1/CAPN3/PPFIA1/MTOR/MYH3/S100A10/CNN3/CDC42BPB/CLASP1/MYL9/TNNT1/CNN1/LIMCH1/EPB41L1/PXN/LMOD2/BBS4/WNT11/ANLN/CDC42BPG/TNNT2/CARMIL1/CCDC88A/RTKN/CFL2/ABL1/CD47/TNFAIP1/SDC4/PAK2/TPM1/FRMD6/PHLDB2/ITGB1/ARHGEF18/ACTA1"	83
"GOBP_MACROAUTOPHAGY"	"GOBP_MACROAUTOPHAGY"	"GOBP_MACROAUTOPHAGY"	"118/4382"	"310/17872"	6.57552854346459e-08	3.43900142823198e-05	2.95275839646526e-05	"HSPB8/STBD1/MAPK8/KLHL3/GABARAPL1/LAMP2/VPS37C/VPS16/RAB33B/SRC/ATP13A2/ATG4D/VPS36/MAPK3/PINK1/CHMP7/WIPI1/CAPN1/ATG16L2/VAMP8/SESN3/ATP6V0E2/ATP6V1B2/MTM1/VPS37B/WDR45B/MFN2/RAB23/STAM2/STX12/SNX30/LZTS1/RAB43/VIPAS39/SUPT5H/VPS37D/EXOC8/CALM1/LRSAM1/ATG2B/ATP6V1A/RNF41/SLC25A5/CLN3/VMP1/SNAPIN/SIRT1/TRIM13/MAP1LC3B/DDRGK1/ERN1/CLEC16A/PIP4K2C/ULK1/UFC1/FEZ2/CHMP1B/SNX5/VPS13C/LRBA/STX17/UBXN2B/MAP3K7/TMEM39A/PIKFYVE/RUBCNL/ATG5/ATG14/SCOC/C9orf72/TP53/MTOR/ATG9B/ATG13/SNX14/PSEN1/TMEM41B/UBXN2A/LARP1/STAM/ULK3/ATP6V1B1/VPS33A/VCP/CERS1/PIK3CA/SEC22B/RUBCN/POLDIP2/UBQLN1/SPTLC1/SNX6/MFSD8/HIF1A/PRKACA/RB1CC1/UFL1/CALCOCO2/HMOX1/SNX32/ACBD5/SESN2/ATP6V0A2/ATG10/ZFYVE1/FYCO1/ATP6V1C1/VPS39/RIPK2/SPTLC2/PLEKHM1/VAMP7/CHMP1A/SESN1/SNX18/SNF8/AUP1/LIX1L"	118
