"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"97/2041"	"431/14332"	1.8703292839202e-06	0.000694416635631792	0.000642255549562363	"TGM2/COL17A1/SPRY4/EPHA2/ITGB4/CAPN5/TRIP6/ACTN1/APBB1IP/BCAR3/FLOT2/ANXA6/ITGA6/LIMA1/AJUBA/SLA/TPM4/NEDD9/FLNA/PAK1/TLN2/PALLD/MME/CDC42EP1/STARD8/FZD1/PROCR/FHL2/ACTN2/FHL1/MAPK3/LIMD1/ITGAV/CORO1C/FERMT1/VASP/FBLIM1/CPNE3/CTNNA1/CD9/FGFR3/JAK1/ITGA2/EPB41L5/SRP68/PXN/NECTIN2/LASP1/GRB7/LMO7/EVL/CD46/DLC1/SRC/ANXA5/DMD/SDCBP/LIMS1/CAPN1/AKAP12/PLAUR/SHROOM4/SH3KBP1/ACTN4/CNN2/RHOU/RPL38/SORBS3/MRC2/ERBIN/YWHAB/MAP2K1/PLAU/EGFR/TLE2/BSG/ARHGEF2/ARF1/GSN/ARL14EP/FLT1/LAMTOR3/CAPN2/FHL3/HSPG2/EPB41L2/ADGRE5/PRKAR2A/MARCKS/ZYX/YWHAZ/HSPB1/EZR/ITGA5/ZNF185/SVIL/RPL30"	97
"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"94/2041"	"416/14332"	2.2473030279346e-06	0.000694416635631792	0.000642255549562363	"FGD3/SPRY4/MYADM/EPHA2/GDPD2/ITGB4/ACTN1/TUBB3/APBB1IP/PKD2/EPS8L1/ADGRE2/FLOT2/CARMIL2/LIMA1/AJUBA/NEDD9/SWAP70/C2CD5/PAK1/S100A11/TLN2/SSX2IP/PALLD/CLCN3/MTM1/ADORA2A/ITSN1/ITGAV/RAC3/FGD4/CORO1C/FERMT1/VASP/EPB41L3/ACTA1/CTNNA1/ATP6V1B2/CAPG/PIK3CA/KANK1/EPB41L5/INPPL1/MACF1/ANTXR1/MYO1D/PXN/TACR3/EVL/DLC1/BCAS3/SRC/CCDC88A/PLEK2/KLHL2/CNTNAP2/ACTG2/CTNND1/INSR/CDC42BPA/APC/PLCE1/MYO10/PTPRM/EGFR/ARHGEF2/PSTPIP1/ARF1/GSN/SH2D3C/LDB1/TPM1/CLIP1/AAK1/TRPM7/IGF2BP1/NME1/ATP2B1/DGKZ/ATP6AP2/APPL1/RAB22A/STX2/DDN/CYTH3/COBL/DDX58/WASF2/SH3RF1/KCNC3/EZR/ITGA5/SHISA9/CAPZB"	94
"GOCC_CELL_CELL_JUNCTION"	"GOCC_CELL_CELL_JUNCTION"	"GOCC_CELL_CELL_JUNCTION"	"107/2041"	"497/14332"	4.9178670116703e-06	0.000786253699310731	0.000727194274784069	"COL17A1/MYADM/EPHA2/CDH5/CALB2/CLDN19/TRIM29/ACTN1/TJP2/PKD2/FLOT2/SHROOM1/FRMD4A/CLDN4/AJUBA/FLNA/PAK1/S100A11/OBSCN/SSX2IP/GJA5/CCND1/CD53/CDC42EP1/FZD5/GJB6/SLC2A1/AMOTL1/KIFC3/PDZD11/LIMD1/AMOTL2/NECTIN4/VASP/EPB41L3/CTNNA1/NDRG1/YWHAH/CEACAM1/PANX3/CLDN12/PIK3CA/VANGL2/EPB41L5/PXN/SCN5A/NECTIN2/OBSL1/SIRT2/SYNPO/KRT18/PAK2/CDH24/PKP3/PIKFYVE/HEG1/PCDH1/SDCBP/LIMS1/PRKCD/CCDC85B/PERP/YBX3/SHROOM4/VEGFA/SH3KBP1/AHI1/CYTH2/CNTNAP2/VSIG10/CTNND1/CDC42BPA/CNN2/APC/BMPR2/CDC42EP4/PTPRM/ARHGEF2/GRB2/CDHR3/ANK3/ATP1A2/AJAP1/CDK4/CXADR/PATJ/CYTH3/PARD3/MYO1E/TGFBR1/ZYX/DDX58/WASF2/PDLIM2/ADD3/LYN/OCEL1/EZR/ITGA5/GJC2/CLDN7/PPP3CA/CLDN10/MPDZ/SYMPK/PTPRU/POLDIP2"	107
"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"106/2041"	"494/14332"	6.35955892677357e-06	0.000786253699310731	0.000727194274784069	"MYADM/MYL3/GDPD2/MYO7A/TRIP6/ACTN1/GAS7/FLOT2/SHROOM1/TNNT3/ACKR2/TMOD1/CARMIL2/LIMA1/TPM4/SWAP70/MYOZ1/FLNA/PAK1/TLN2/PALLD/NOTCH3/COTL1/CRYAB/ACTN2/GJB6/SLC2A1/RAC3/ARPC4/CORO1C/SH3PXD2A/VASP/FBLIM1/ACTA1/CTNNA1/MYO18A/BARX2/CAPG/SH3PXD2B/ACTR1B/MACF1/MYO1D/STK38L/PXN/STOML2/LASP1/FYN/MICAL2/SYNPO/PAWR/ASAP1/NEBL/DLC1/SRC/DMD/IPP/BAG3/CRK/AFAP1L1/ALDOA/KLHL2/SHROOM4/CALD1/ACTN4/DENND2A/ACTG2/CDC42BPA/CNN2/RHOU/PSTPIP2/ARPC1A/GBP1/ARHGAP6/SIPA1L1/MYL9/CDC42EP4/MYRIP/MYO10/PSTPIP1/GSN/DMTN/ARHGEF5/MYH3/FLT1/TPM1/CAPN2/FHL3/KAT2B/EPB41L2/TAOK2/OPHN1/LLGL2/CCDC102A/MARCKS/RAB22A/MYO1E/COBL/ZYX/DDX58/WASF2/PDLIM2/ARHGAP21/EZR/CAPZB/ZNF185/SVIL"	106
"GOCC_I_BAND"	"GOCC_I_BAND"	"GOCC_I_BAND"	"40/2041"	"139/14332"	6.36127588439103e-06	0.000786253699310731	0.000727194274784069	"MYL3/CASQ1/CACNA1S/ACTN1/ANKRD2/MYOZ1/FLNA/PAK1/OBSCN/PSEN2/PALLD/CACNA1D/CRYAB/MTM1/FHL2/ACTN2/SLC2A1/SCN5A/OBSL1/SYNPO/NEBL/ANKRD1/RYR1/DMD/BAG3/ALDOA/JPH2/FRG1/ACTN4/MYL9/PPP1R12B/CAPN3/FHOD3/ANK3/FHL3/KAT2B/PDLIM2/HSPB1/PPP3CA/SMN1"	40
"GOCC_CELL_PROJECTION_MEMBRANE"	"GOCC_CELL_PROJECTION_MEMBRANE"	"GOCC_CELL_PROJECTION_MEMBRANE"	"76/2041"	"340/14332"	3.04774745245032e-05	0.00313917987602383	0.00290338046786057	"SPRY4/SLC6A19/PLB1/DPEP1/EPHA2/DHRS3/PKD2/EPS8L1/ADGRE2/PHLPP2/LIMA1/C2CD5/PAK1/BBS7/CNGB1/CLCN3/KCNK1/SLC5A6/SLC7A5/ADORA2A/SLC34A2/ITGAV/CORO1C/FERMT1/VASP/EPB41L3/AQP1/RAB25/CEACAM1/ITLN1/KANK1/EPB41L5/SLC11A2/MACF1/ANTXR1/SLC27A4/MYO1D/GPR157/TACR3/ASAP1/PROM2/DLC1/SLC7A9/SRC/DMD/GPR37L1/ACE/FOLR1/PLEK2/ARL13B/CNTNAP2/SLC7A8/INSR/PDE6B/APC/SLC22A5/MYO10/EGFR/ARHGEF2/DMTN/SH2D3C/TPM1/CNGA4/NDRG4/NME1/ATP2B1/ATP6AP2/MFSD10/DDN/DDX58/BBS4/KCNC3/EZR/ITGA5/SHISA9/BBS2"	76
"GOCC_RUFFLE"	"GOCC_RUFFLE"	"GOCC_RUFFLE"	"45/2041"	"178/14332"	6.40227156844146e-05	0.00565229118470975	0.00522771949122363	"FGD3/SPRY4/MYADM/EPHA2/ACTN1/EPS8L1/ADGRE2/CARMIL2/LIMA1/C2CD5/PAK1/S100A11/TLN2/PALLD/CLCN3/MTM1/ITGAV/FGD4/CORO1C/FERMT1/ATP6V1B2/CAPG/KANK1/EPB41L5/MACF1/DLC1/SRC/KLHL2/APC/MYO10/EGFR/ARHGEF2/SH2D3C/TPM1/CLIP1/TRPM7/NME1/APPL1/RAB22A/CYTH3/COBL/DDX58/WASF2/EZR/ITGA5"	45
"GOCC_MEMBRANE_MICRODOMAIN"	"GOCC_MEMBRANE_MICRODOMAIN"	"GOCC_MEMBRANE_MICRODOMAIN"	"72/2041"	"329/14332"	9.9219778345557e-05	0.00766472787719427	0.00708899205811019	"OLR1/ITGAM/MYADM/LY6K/FLOT2/PTGIS/INPP5D/ATP1A1/PSEN2/SLC6A2/MME/CD55/CBLC/ORAI1/SLC2A1/MAPK3/CORO1C/CTNNA1/ITLN1/HK1/MYOF/IGF1R/SCN5A/STOML2/FYN/SELPLG/CD8A/PROM2/RIPK1/DLC1/CASP8/SRC/LAMP2/ADGRG1/SERPINH1/EPHB1/CLN3/PLSCR1/DMD/PIKFYVE/STAT6/HYAL2/SDCBP/GPC1/CRK/BIRC2/TNFRSF1A/KCNE3/INSR/IL6ST/BMPR2/EGFR/BSG/CD24/STX12/LAMTOR3/CAPN2/CARD11/ATP1A2/ATP2B1/PRKAR2A/CXADR/CLIP3/CFLAR/TGFBR1/GNAI2/LRP4/LYN/BMPR1A/ATP1A4/LRP6/EZR"	72
"GOCC_ADHERENS_JUNCTION"	"GOCC_ADHERENS_JUNCTION"	"GOCC_ADHERENS_JUNCTION"	"43/2041"	"172/14332"	0.000121122382763691	0.00831707028310679	0.00769233378253617	"CDH5/TRIM29/TJP2/FLOT2/SHROOM1/FRMD4A/AJUBA/S100A11/SSX2IP/CDC42EP1/KIFC3/PDZD11/LIMD1/NECTIN4/CTNNA1/NDRG1/CEACAM1/EPB41L5/NECTIN2/KRT18/CDH24/PKP3/SDCBP/CCDC85B/SHROOM4/VEGFA/AHI1/CYTH2/CTNND1/APC/BMPR2/CDC42EP4/PTPRM/CDHR3/AJAP1/CXADR/CYTH3/PARD3/MYO1E/ZYX/PDLIM2/LYN/EZR"	43
"GOCC_CONTRACTILE_FIBER"	"GOCC_CONTRACTILE_FIBER"	"GOCC_CONTRACTILE_FIBER"	"55/2041"	"238/14332"	0.000147759457049601	0.00913153444566536	0.00844561949241406	"MYL3/CASQ1/CACNA1S/ACTN1/TNNT3/TMOD1/ANKRD2/TPM4/MYOZ1/FLNA/PAK1/OBSCN/SIMC1/PSEN2/SYNE1/PALLD/CACNA1D/CRYAB/MTM1/FHL2/ACTN2/SLC2A1/CORO1C/ACTA1/SCN5A/OBSL1/SYNPO/NEBL/CMYA5/ANKRD1/RYR1/DMD/BAG3/ALDOA/JPH2/FRG1/CALD1/ACTN4/MTMR12/MYL9/PPP1R12B/CAPN3/FHOD3/ARF1/MYH3/ANK3/TPM1/FHL3/KAT2B/PDLIM2/HSPB1/CAPZB/PPP3CA/SMN1/SVIL"	55
"GOCC_PSEUDOPODIUM"	"GOCC_PSEUDOPODIUM"	"GOCC_PSEUDOPODIUM"	"9/2041"	"18/14332"	0.000340053007805603	0.0191047962567148	0.0176697400228175	"ACTN1/MYOZ1/ACTN2/MAPK3/RAB25/PLA2G6/ACTN4/CAPN2/ARRB1"	9
"GOCC_EARLY_ENDOSOME_MEMBRANE"	"GOCC_EARLY_ENDOSOME_MEMBRANE"	"GOCC_EARLY_ENDOSOME_MEMBRANE"	"41/2041"	"173/14332"	0.000569662888128586	0.0293376387386222	0.0271339428292827	"WLS/OSBPL6/TMEM184A/SNX8/SORL1/FZD5/CLCN3/OCRL/WDR91/GGA2/ZFYVE9/RAB31/MON2/HLA-A/CMTM6/LITAF/EPHB1/CLN3/ZFYVE16/TMEM165/SNX19/PIKFYVE/SNX6/INPP5B/SNX7/STAM/MTMR2/ATP9A/STAM2/EGFR/STX12/SLC39A14/SNX20/INPP5F/CLIP3/SNX3/APPL1/FIG4/SLC9A6/LRP6/STX7"	41
"GOCC_ACTOMYOSIN"	"GOCC_ACTOMYOSIN"	"GOCC_ACTOMYOSIN"	"22/2041"	"77/14332"	0.000814984644346526	0.0387431161697041	0.0358329280874627	"TRIP6/ACTN1/LIMA1/TPM4/PALLD/FBLIM1/ACTA1/MYO18A/PXN/SYNPO/NEBL/BAG3/SHROOM4/ACTN4/CDC42BPA/CNN2/MYL9/TPM1/FHL3/KAT2B/ZYX/PDLIM2"	22
"GOCC_ACTIN_FILAMENT_BUNDLE"	"GOCC_ACTIN_FILAMENT_BUNDLE"	"GOCC_ACTIN_FILAMENT_BUNDLE"	"22/2041"	"78/14332"	0.000985021158965461	0.0410093965742531	0.037928976903116	"TRIP6/ACTN1/LIMA1/TPM4/FLNA/PALLD/CRYAB/FBLIM1/ACTA1/PXN/SYNPO/NEBL/BAG3/SHROOM4/ACTN4/CNN2/MYL9/TPM1/FHL3/MARCKS/ZYX/PDLIM2"	22
"GOCC_SPINDLE"	"GOCC_SPINDLE"	"GOCC_SPINDLE"	"80/2041"	"402/14332"	0.00099537370325857	0.0410093965742531	0.037928976903116	"PKD2/PHLPP2/FAM110A/PLEKHG6/NEK6/NEDD9/HSPA2/CNTRL/GOLGA2/NIN/FBXO5/TTL/CEP85/LIMK2/SMC6/CDC7/CEP170/KIFC2/BEX4/PLK1/CAPG/MICAL3/RASSF1/NUDCD2/NEK7/SIRT2/DYNLT1/FAM83D/CHMP4B/EML4/WDR62/POLB/ANXA11/CEP89/CKAP2/SNCG/TOPORS/TFDP2/KLHL42/LATS2/AUNIP/CSPP1/PKHD1/KIF3A/FAM161A/TBCK/KIF3B/EFHC1/CHMP7/EVI5/MAP7D3/CCDC57/EML2/ASPM/AGBL5/ARHGEF2/INO80/SMC3/SPDL1/HAUS3/OR2A4/NR3C1/CHAMP1/MAP9/TTLL12/CCSAP/DNAAF1/SPAST/PRC1/NEIL2/NEDD1/CDC14A/EPB41/HSPB1/KBTBD8/GPSM2/CYLD/EMD/CCNB1/POLDIP2"	80
"GOCC_LAMELLIPODIUM"	"GOCC_LAMELLIPODIUM"	"GOCC_LAMELLIPODIUM"	"45/2041"	"201/14332"	0.00114473037430483	0.044215210707524	0.0408939863978632	"FGD3/EPHA2/GDPD2/TUBB3/APBB1IP/PKD2/FLOT2/CARMIL2/AJUBA/NEDD9/SWAP70/PAK1/PALLD/ITSN1/ITGAV/RAC3/FGD4/CORO1C/VASP/ACTA1/CTNNA1/CAPG/PIK3CA/INPPL1/ANTXR1/PXN/EVL/CCDC88A/PLEK2/KLHL2/ACTG2/CTNND1/CDC42BPA/APC/PLCE1/MYO10/PTPRM/PSTPIP1/GSN/IGF2BP1/DGKZ/STX2/WASF2/SH3RF1/CAPZB"	45
"GOCC_CLATHRIN_COATED_PIT"	"GOCC_CLATHRIN_COATED_PIT"	"GOCC_CLATHRIN_COATED_PIT"	"20/2041"	"70/14332"	0.0013809391497084	0.046968488032957	0.0434404513743752	"ACKR3/SH3BP4/DGKD/PICALM/TFRC/AP1S1/FNBP1/OCRL/ITSN1/LDLR/LRP12/BMPR2/AAK1/ITSN2/INPP5F/AP2A2/LRP10/SYNJ1/ARRB1/LRP3"	20
"GOCC_PODOSOME"	"GOCC_PODOSOME"	"GOCC_PODOSOME"	"11/2041"	"29/14332"	0.00138257938938206	0.046968488032957	0.0434404513743752	"TPM4/PALLD/SH3PXD2A/SH3PXD2B/ASAP1/SRC/AFAP1L1/RHOU/GSN/ARHGEF5/SVIL"	11
"GOCC_APICAL_JUNCTION_COMPLEX"	"GOCC_APICAL_JUNCTION_COMPLEX"	"GOCC_APICAL_JUNCTION_COMPLEX"	"35/2041"	"148/14332"	0.00144401500424949	0.046968488032957	0.0434404513743752	"CDH5/CLDN19/TJP2/SHROOM1/FRMD4A/CLDN4/CCND1/FZD5/AMOTL1/KIFC3/AMOTL2/VASP/CTNNA1/CLDN12/NECTIN2/SYNPO/YBX3/SHROOM4/CYTH2/CTNND1/APC/ARHGEF2/ANK3/CDK4/CXADR/PATJ/CYTH3/PARD3/TGFBR1/DDX58/OCEL1/CLDN7/CLDN10/MPDZ/SYMPK"	35
