"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"138/3142"	"431/14332"	5.45844771778898e-07	0.000347157274851379	0.000306822219084139	"COL17A1/SPRY4/EPHA2/ACTN1/CDC42EP1/FLNA/BCAR3/ITGA5/TGM2/ITGB4/TRIP6/FLNB/LIMD1/TLN2/PXN/APBB1IP/ITGA6/FHL2/TPM4/CORO1C/EGFR/NEDD9/ITGA2/ITGB1BP1/PAK1/SRP68/PALLD/TES/EZR/PROCR/MRC2/ITGAV/CPNE3/STARD8/TLE2/FZD1/HSPA5/CAPN5/SLA/LIMA1/ARL14EP/AJUBA/CAV1/DLC1/AFAP1/ARF1/ANXA6/USP33/BSG/FHL3/SRC/MAPRE2/DNM2/LPP/MAP4K4/VIM/RPL30/PVR/ACTN4/GSN/CD46/ACTN2/EPB41L5/LRP1/ACTG1/PIP5K1A/LCP1/ARPC5L/FLNC/MAP2K1/ARPC3/MAPK3/PPFIBP1/DCTN4/CD59/ZYX/JAK1/EVL/CD9/JAK2/GIT1/NUMB/ADGRE5/SORBS1/TWF1/ANXA5/RPL22/EPB41L2/CSRP2/SVIL/LIMS1/ACTB/HYOU1/FBLIM1/HMGA1/SYNPO2/FERMT3/SDCBP/CAT/TLN1/FLOT2/NECTIN2/MYH9/FHL1/ARPC1B/RAC2/LMO7/SNTB1/MMP14/IRF2/GRB7/CTNNA1/HSPB1/RPL38/SLC9A1/CSRP1/MDC1/SDC4/ADAM9/RHOU/VASP/PTK2/RPS29/RPL9/ARHGAP22/FLRT1/PCBP2/TNS1/FERMT1/ENG/CAPN2/PRKAR2A/HSPG2/CNN3/TRPV4/LMLN/LASP1/P4HB"	138
"GOCC_PODOSOME"	"GOCC_PODOSOME"	"GOCC_PODOSOME"	"17/3142"	"29/14332"	1.98808405465284e-05	0.00448631313178862	0.00396506324457981	"ARHGEF5/AFAP1L1/TPM4/ASAP1/PALLD/SH3PXD2B/SRC/WDR1/GSN/LCP1/BIN2/SH3PXD2A/SVIL/FERMT3/DBNL/RHOU/ADAM8"	17
"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"127/3142"	"416/14332"	2.11618543952293e-05	0.00448631313178862	0.00396506324457981	"SPRY4/ADGRE2/EPS8L1/FGD3/EPHA2/ACTN1/SWAP70/MACF1/MYADM/ITGA5/ITGB4/MTM1/PKD2/AAK1/TLN2/PXN/APBB1IP/C2CD5/CORO1C/EGFR/BCAS3/NEDD9/INSR/SSX2IP/ITGB1BP1/EPB41L3/KNSTRN/TUBB3/PAK1/KSR1/PALLD/EZR/ACTA1/DDX58/CTNND1/ITGAV/MYO10/WASF2/CORO1A/MYO1D/TACR3/LIMA1/AJUBA/DLC1/STX2/CDC42BPA/ARF1/KLHL2/RAB3IP/TESK1/SRC/DNM2/FGD4/CCDC88A/VIM/CAPZB/RAB22A/HDAC6/GSN/IGF2BP1/EPS8/EPB41L5/PIP5K1A/LCP1/ITSN1/GBF1/ADORA2A/ARPC3/ARHGAP45/APC/PDXP/GDPD2/DGKZ/RAC3/MAPT/EVL/S100A11/KCNC3/INPPL1/APPL1/GIT1/PLCG2/PSTPIP1/TWF1/FAM89B/PSD4/CADM4/COBL/KCNC4/CDC42BPG/PTPRM/FGD6/ACTB/ATF4/ATP6AP2/KANK1/TRPM7/MTMR9/SNX9/TLN1/FLOT2/MYH9/DDX3X/CLIP1/PLCE1/RAC2/KIF18A/NDEL1/DBNL/CTNNA1/TSC1/SH3YL1/ABCA7/SLC9A1/VASP/SLK/CLCN3/SRGAP2/KPTN/FERMT1/ARF4/NME1/EXOC8/TRPV4/ABI2/SCRIB/P4HB"	127
"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"145/3142"	"494/14332"	5.17374116107756e-05	0.00822624844611331	0.00727046784214583	"MYL3/SLC2A1/TMOD1/ACTN1/SWAP70/MACF1/COTL1/FLNA/MYADM/ACKR2/FMN1/ARHGEF5/MICAL2/TRIP6/FLNB/TLN2/PXN/AFAP1L1/JAM3/TPM4/ACTR1B/CORO1C/MYL9/GAS7/MYO18A/BARX2/ASAP1/PAK1/MYO7A/ACTR10/PALLD/EZR/ALDOA/MYO1E/SH3PXD2B/STK38L/ACTA1/NOTCH3/DDX58/MYO10/PDLIM2/SPECC1/WASF2/CORO1A/MYO1D/SIPA1L1/LIMA1/KAT2B/CRK/ARHGAP32/SYNPO/WIPF3/DLC1/CDC42EP4/CDC42BPA/MYO15A/AFAP1/KLHL2/FHL3/SRC/BAG3/WDR1/CALD1/LPP/SPTAN1/CAPZB/RAB22A/ACTN4/GSN/IPP/WIPF2/ACTN2/ACTG1/NEBL/LCP1/ARPC5L/LANCL2/ARHGAP21/ARPC3/BIN2/PDXP/DCTN4/GDPD2/ZYX/FYN/RAC3/SHROOM1/ACACA/SORBS1/PSTPIP1/SPTB/TWF1/EPB41L2/COBL/ZNF268/SH3PXD2A/CLIC4/SVIL/ACTB/GJB6/DAAM1/FBLIM1/SYNPO2/PSTPIP2/SNX9/FERMT3/DAPK1/STOML2/FLOT2/KRT19/MYH9/PPP1R9A/ARPC1B/ZNF74/TOPBP1/RAC2/ACTR1A/DBNL/CTNNA1/TSC1/TMOD3/STX1A/KLHL20/LLGL2/FKBP15/SMTN/TNNT1/LSP1/RHOU/VASP/PTK2/RTKN/ARPC1A/TMOD2/KPTN/OPHN1/GAS2L3/CAPN2/CNN3/TRPV4/ADAM8/LASP1/ROR1/CGN/AXL"	145
"GOCC_RUFFLE"	"GOCC_RUFFLE"	"GOCC_RUFFLE"	"61/3142"	"178/14332"	9.61655275439669e-05	0.0122322551035926	0.0108110298333639	"SPRY4/ADGRE2/EPS8L1/FGD3/EPHA2/ACTN1/MACF1/MYADM/ITGA5/MTM1/TLN2/C2CD5/CORO1C/EGFR/ITGB1BP1/KNSTRN/PAK1/KSR1/PALLD/EZR/DDX58/ITGAV/MYO10/WASF2/LIMA1/DLC1/KLHL2/SRC/DNM2/FGD4/RAB22A/EPS8/EPB41L5/PIP5K1A/LCP1/ARHGAP45/APC/PDXP/S100A11/APPL1/PLCG2/TWF1/PSD4/COBL/FGD6/KANK1/TRPM7/MTMR9/SNX9/TLN1/MYH9/CLIP1/KIF18A/DBNL/SH3YL1/ABCA7/CLCN3/FERMT1/ARF4/NME1/TRPV4"	61
"GOCC_FICOLIN_1_RICH_GRANULE"	"GOCC_FICOLIN_1_RICH_GRANULE"	"GOCC_FICOLIN_1_RICH_GRANULE"	"62/3142"	"185/14332"	0.000173455362298775	0.0183862684036702	0.0162500286785168	"CRISPLD2/STBD1/COTL1/SERPINB6/ASAH1/PLEKHO2/NBEAL2/ACTR1B/IDH1/CD55/SLC2A3/ACTR10/ALDOA/HMGB1/ALDOC/COMMD3/PFKL/PKM/PGM1/PNP/LAMP2/AMPD3/TIMP2/GPI/LTA4H/DERA/GSN/HSP90AA1/BIN2/DSP/DYNC1LI1/FTH1/MIF/SLC11A1/UBR4/GLB1/ATG7/ATP6V0A1/PSMD11/ATP6AP2/DYNLT1/KPNB1/PYGL/CAT/HSP90AB1/DDX3X/NCKAP1L/CTSZ/QPCT/DBNL/HSPA6/AP2A2/PGAM1/PSMD6/PRCP/HUWE1/EEF2/SRP14/DOK3/ADAM8/CTSB/ARL8A"	62
"GOCC_INCLUSION_BODY"	"GOCC_INCLUSION_BODY"	"GOCC_INCLUSION_BODY"	"30/3142"	"74/14332"	0.000231536562011947	0.0207034454507723	0.0182979805870778	"PICALM/CLU/GYS1/EDEM1/PINK1/HERPUD1/SFMBT2/TPR/STRADB/BAG3/UBQLN1/HDAC6/TDP2/MAPT/TRIM66/DVL2/URB2/ZBTB14/TRIM37/ATF4/HSP90AB1/CABIN1/RANGAP1/SLF1/NUP153/PRNP/EEF2/SQSTM1/NUP98/STUB1"	30
"GOCC_RUFFLE_MEMBRANE"	"GOCC_RUFFLE_MEMBRANE"	"GOCC_RUFFLE_MEMBRANE"	"37/3142"	"98/14332"	0.000260420697493991	0.0207034454507723	0.0182979805870778	"SPRY4/ADGRE2/EPS8L1/EPHA2/MACF1/ITGA5/C2CD5/CORO1C/EGFR/PAK1/KSR1/EZR/DDX58/ITGAV/DLC1/SRC/DNM2/EPS8/EPB41L5/PIP5K1A/LCP1/ARHGAP45/APC/PDXP/PLCG2/TWF1/PSD4/KANK1/MTMR9/TLN1/SH3YL1/ABCA7/CLCN3/FERMT1/ARF4/NME1/TRPV4"	37
"GOCC_FICOLIN_1_RICH_GRANULE_LUMEN"	"GOCC_FICOLIN_1_RICH_GRANULE_LUMEN"	"GOCC_FICOLIN_1_RICH_GRANULE_LUMEN"	"44/3142"	"124/14332"	0.000365090562377548	0.0220633278814955	0.0194998627751053	"CRISPLD2/COTL1/ASAH1/PLEKHO2/ACTR1B/IDH1/ACTR10/ALDOA/HMGB1/ALDOC/COMMD3/PFKL/PKM/PGM1/PNP/AMPD3/TIMP2/GPI/LTA4H/DERA/GSN/HSP90AA1/BIN2/FTH1/MIF/GLB1/ATG7/PSMD11/DYNLT1/KPNB1/PYGL/CAT/HSP90AB1/DDX3X/CTSZ/QPCT/DBNL/HSPA6/PGAM1/PSMD6/HUWE1/EEF2/SRP14/CTSB"	44
"GOCC_NUCLEAR_SPECK"	"GOCC_NUCLEAR_SPECK"	"GOCC_NUCLEAR_SPECK"	"119/3142"	"410/14332"	0.000383277195775913	0.0220633278814955	0.0194998627751053	"FYTTD1/NEK6/EAF1/EPAS1/BASP1/GLI3/MOCS2/CKAP4/TAF5L/SMC6/AAGAB/ZNF395/PRPF31/LUC7L3/DZIP1/HDAC5/STK17A/DYRK1A/ATXN2L/MAML2/THOC6/ADAMTS4/SFMBT2/CLK3/RREB1/SUMO1/GADD45A/ZNF217/TOPORS/SF3A2/MAML3/PLCB1/USP36/SRRM1/CDC34/KMT2E/CDYL/DENND1B/MBD4/PCBP1/CPSF6/SETD1A/SRSF5/OIP5/RBM11/PATL1/SF3A1/SPOP/CMYA5/PIP5K1A/PNISR/JADE1/CASC3/LUC7L2/DGKZ/SPRTN/NSRP1/PHF7/MAPT/CIR1/TFIP11/SGK1/ALKBH5/POLDIP3/SF3B2/RNF34/SRSF2/PASD1/INPPL1/DAZAP2/ASCC2/SDE2/ZBTB16/SFPQ/SCAPER/SRSF4/API5/ATP6V0A1/GCAT/SART1/ATF4/SRRM2/SRSF7/SNRNP40/PSPC1/SRPK1/KIF22/SRPK2/SMC4/PIN1/BAZ2A/PRPF6/U2AF1L4/NR3C1/GTF2H2/EFTUD2/CWC15/PRPF19/THRAP3/NDUFB1/DOCK1/DNAAF1/SMURF2/CCNL1/ELL/NRIP1/SLC2A4RG/BMP2K/WRN/HAUS6/RNF113A/DUSP11/POLR2D/PPP1R8/POMP/ZNF638/AKAP17A/PPP1R16B/HIF1A"	119
