"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"162/3699"	"416/14332"	1.74250026037906e-09	1.12217016768411e-06	9.86805410614665e-07	"FGD3/ADGRE2/TUBB3/EPHA2/SPRY4/APBB1IP/ANTXR1/MYADM/CARMIL2/PSD/TACR3/PKD2/AJUBA/PDLIM7/SWAP70/GDPD2/KANK1/ACTN1/PLEK2/SRC/CLCN3/EPS8L2/MACF1/SSX2IP/MCC/PAK1/ARHGAP45/S100A11/CAPG/FLOT2/CORO1C/PLCE1/ARHGEF6/RAC3/ATP6V1B2/MTM1/C2CD5/RAB3IP/DBNL/EPB41L5/CTNNB1/NME1/SNX1/LIMA1/ARHGEF4/SRA1/FERMT1/ATP2B2/ASAP3/CTNNA1/ADORA2A/ITGB4/WASF2/RAPGEF3/INSR/EGFR/IGF2BP1/PDE4A/EXOC8/TLN2/SHISA9/COBL/NEDD9/TRPV4/TRPM7/PALLD/ITGAV/MYLK/APPL2/TESK1/MTMR9/SNX9/VEZT/ACTG2/CDC42/PSD4/ATP6AP2/ATF4/KLHL2/CXCR4/INPPL1/PDE9A/VASP/MYO1D/LMO4/SNX5/DGKZ/EPS8L1/CYTH3/ARHGEF7/FGD4/MYO1C/PARD6A/KCNC3/BAIAP2/ARPC2/DLC1/SCRIB/STX3/DDX58/CLIP1/ATP2B1/DPP9/ARHGAP44/INPP5E/DDN/MYO10/MYO6/WASL/PSD2/MYO5A/APBB2/ABI1/ABCA7/ADAM17/PODXL/STX2/ARPC5/CDC42BPB/TWF2/SH2D3C/ACAP2/PIK3CA/PSTPIP1/AMOT/SLC39A6/PXN/KNSTRN/CDKL5/ABI2/CDC42BPG/CARMIL1/CCDC88A/AAK1/CSPG4/SH3BP1/ARF1/PTPRM/CORO1B/ABL1/BCAS3/SNX2/CADM4/SCYL3/DUOX1/PDXP/SORBS2/TPM1/SPRY2/GIT1/SH3RF1/PHLDB2/TWF1/APPL1/ITGB1/VAMP7/ACTA1/APP/PLEKHO1/NRBP1/FSCN1/CD2AP"	162
"GOCC_RUFFLE"	"GOCC_RUFFLE"	"GOCC_RUFFLE"	"79/3699"	"178/14332"	5.24743502119351e-08	1.68967407682431e-05	1.48585265336953e-05	"FGD3/ADGRE2/EPHA2/SPRY4/MYADM/CARMIL2/PSD/PDLIM7/KANK1/ACTN1/SRC/CLCN3/EPS8L2/MACF1/PAK1/ARHGAP45/S100A11/CAPG/CORO1C/ATP6V1B2/MTM1/C2CD5/DBNL/EPB41L5/NME1/LIMA1/ARHGEF4/FERMT1/ASAP3/WASF2/EGFR/PDE4A/TLN2/COBL/TRPV4/TRPM7/PALLD/ITGAV/APPL2/MTMR9/SNX9/PSD4/KLHL2/PDE9A/SNX5/EPS8L1/CYTH3/ARHGEF7/FGD4/MYO1C/PARD6A/BAIAP2/DLC1/DDX58/CLIP1/INPP5E/MYO10/MYO6/PSD2/MYO5A/ABCA7/ADAM17/PODXL/SH2D3C/ACAP2/AMOT/KNSTRN/CDKL5/CSPG4/ABL1/PDXP/TPM1/SPRY2/TWF1/APPL1/ITGB1/PLEKHO1/FSCN1/CD2AP"	79
"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"176/3699"	"494/14332"	5.7077508843462e-07	0.000122526385650632	0.000107746314939588	"TRIP6/TMOD1/TNNT3/NOTCH3/PSTPIP2/DENND2A/MYADM/SH3PXD2B/CRYAB/BARX2/GAS7/SORBS1/CARMIL2/BIN2/MYOZ1/MYL3/PDLIM7/SWAP70/LLGL2/GDPD2/GJB6/WIPF3/ACTN1/ARPC4/SPTAN1/SRC/MYLPF/ASAP1/MACF1/PAK1/SH3PXD2A/CAPG/FLOT2/GBP1/MYO7A/CORO1C/ACKR2/NEBL/EFR3B/DMTN/RAC3/EPB41L2/MYL5/CRK/AXL/DBNL/ACTN2/LIMA1/MYL4/COTL1/CTNNA1/PLS3/LPXN/TNNI2/WASF2/RAPGEF3/CAPN2/ACTG1/MYLK3/TAX1BP3/TLN2/ZNF74/COBL/ANKRD23/TRPV4/PALLD/MYLK/STK38L/FLT1/KALRN/MYO9A/SYNPO/TPM4/MICAL2/FYN/MYO1E/SHROOM1/SNX9/MYO7B/RHOU/ACTG2/SVIL/TAOK2/SHROOM4/KLHL2/AFAP1/ALDOA/STOML2/VASP/ACTR1A/MYO1D/CGNL1/HSPB7/MYO1C/CALD1/MYO18A/FMN1/SYNPO2L/BAIAP2/ARHGEF5/ARPC2/DLC1/DDX58/CDC42EP4/STX1A/GAS2L3/JAM3/VPS18/SHROOM2/ACTR10/MYO10/CCDC102A/MYO6/TRMT10A/WASL/MYO5A/MYH3/SPPL2B/LPP/ACTL8/ADAM8/CNN3/ADAM17/CGN/ARPC5/CDC42BPB/TWF2/TTC17/KLHL17/BMF/MYL9/TNNT1/PSTPIP1/DGKH/AMOT/LIMCH1/PRICKLE4/NCOA5/KLHL20/PXN/MYO18B/LMOD2/BIN1/EHBP1L1/ANLN/TPM3/TNNT2/CARMIL1/RTKN/PEAK1/CFL2/PDLIM2/MARCKS/CORO1B/ABL1/ADD2/IPP/LASP1/KIF9/PDXP/SORBS2/PAWR/TPM1/NDC1/SPRY2/DHX9/NPM3/TWF1/OPHN1/MYO15A/ACTA1/INTS6/FSCN1/CD2AP/ZNF185/CAPZA2"	176
"GOCC_VACUOLAR_MEMBRANE"	"GOCC_VACUOLAR_MEMBRANE"	"GOCC_VACUOLAR_MEMBRANE"	"162/3699"	"452/14332"	1.05967225271428e-06	0.000170607232686999	0.000150027282094811	"TMEM106B/DRAM1/ACP2/AP1S1/SLC44A2/ABCC10/ATP10B/TMBIM1/AP5S1/SLC39A14/GABARAPL1/LAMP2/PSEN2/ABCA2/ECE1/VPS16/SLC30A2/ATP13A2/MYLPF/CLCN3/CHMP7/CD68/ANXA6/WIPI1/ABHD6/MYO7A/MTMR2/CKAP4/ATG16L2/VAMP8/ATP6V0E2/CSF3R/LDLR/TMEM179B/SLC15A3/ATP6V1B2/ITFG2/SLC22A17/SPPL2A/THBD/SBF2/VAMP1/SLC36A1/MFSD12/CMTM6/EEF1A2/LRRC8E/MANBA/TM9SF1/CPNE3/CLN5/ATP6V1A/TMEM175/CLN3/NEU3/VMP1/ATP6V0A4/YWHAB/BRI3/MAP1LC3B/ATP6AP2/HGSNAT/ENPEP/CLEC16A/P2RX4/ULK1/OSTM1/STK11IP/KIF5B/CHMP1B/ANPEP/SLC38A9/TMEM9B/DTX3L/VPS13A/SLC11A2/LRRC8A/TMEM192/CD63/AP1S3/STX17/VLDLR/PRCP/TMEM165/GDAP2/RUBCNL/ATP11A/KLC2/SLC30A4/ATG14/SLC2A6/VPS18/IFITM3/ABCD4/WDR41/RNF183/PLD1/ENTPD4/MYO6/SLC35F6/SLC3A2/ANKFY1/PCSK9/MTOR/PLEKHF1/SPPL2B/ATP8A1/GNB1/SNX14/PSEN1/GFAP/SCARB1/COL6A1/ABCD1/ATP6V1B1/ABCA5/SYNGR1/VPS33A/SLC12A4/SURF4/RNF13/DAGLB/HPS4/TPCN1/MIOS/AP5B1/MFSD8/WDR11/MAGT1/ZNRF2/LAPTM4B/STX7/RB1CC1/CALCOCO2/ATP6V1F/LRP1/ABCA3/ATRAID/ATP6V0A2/GPLD1/DNAJC5/GNAI1/IFITM2/ATP6V1C1/TMEM9/ITM2C/TSPAN1/VPS39/MREG/ATP11B/ABCB9/AP3M1/PLEKHM1/VAMP7/CHMP1A/CYB561A3/AP2M1/GNAQ/DRAM2/TMEM59/DEPDC5/AP2A2"	162
"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"151/3699"	"431/14332"	1.02609056045385e-05	0.00132160464186456	0.00116218257162984	"COL17A1/TGM2/TRIP6/EPHA2/SPRY4/APBB1IP/CAPN5/SLA/ITGA6/LIMD1/SORBS1/AJUBA/PDLIM7/MME/FGFR3/ACTN1/CSRP2/MAPRE2/SRC/PROCR/MAPK3/PAK1/ANXA6/RHOB/HSPA5/PLAU/CAPN1/FLOT2/STARD8/ENG/CORO1C/EPB41L2/TSPAN4/FLRT1/BCAR3/EPB41L5/PLEC/ACTN2/CTNNB1/SORBS3/FZD1/LIMA1/LIMS1/PTK7/FERMT1/ASAP3/CTNNA1/PDGFRB/ITGB4/LPXN/MAPK1/JAK1/CAPN2/EGFR/ACTG1/CPNE3/TLN2/NEDD9/TRPV4/PALLD/ITGAV/FLT1/LMLN/YWHAB/TPM4/RHOU/SVIL/CDC42/MMP14/CAT/SHROOM4/DCAF6/AFAP1/TSPAN9/FHL1/RRAS2/PRKAR2A/HSPG2/TLE2/VASP/ARHGEF7/MRC2/TNS1/UBOX5/ITGB6/MAP2K1/GRB7/CHP1/ITGA3/TNS3/LMO7/ARPC2/DLC1/FHL2/ITGA2/INPP5E/CDC42EP1/PFN1/FOCAD/PPFIA1/ADGRE5/SLC6A4/LPP/ARL14EP/CNN3/ADAM17/ARPC5/CD9/CLASP1/SDCBP/IL16/ITGA2B/PVR/PPIA/CNN1/EFS/CD99L2/THSD1/HSPB1/IRF2/YWHAZ/PXN/ANXA5/RPS15/GNA12/LRP1/MAPRE1/CSPG4/ARF1/PEAK1/MARCKS/CORO1B/LASP1/SRP68/CAV1/SDC4/SORBS2/MDC1/NUMB/PCBP2/GIT1/ARMC5/PHLDB2/TWF1/PPFIBP1/RPS4X/ITGB1/ERBIN/EPPK1/ZNF185/CALR"	151
"GOCC_LATE_ENDOSOME"	"GOCC_LATE_ENDOSOME"	"GOCC_LATE_ENDOSOME"	"104/3699"	"283/14332"	2.7015634908509e-05	0.00289967814684663	0.00254989676855752	"NMNAT2/ANXA8/TMEM106B/WDR91/PMEL/ATP10B/AP5S1/SLC39A14/LAMP2/VPS37C/UNC13D/VPS16/SLC30A2/RAB7B/SRC/ATP13A2/VPS36/MAPK3/CLCN3/SORL1/CHMP7/CD68/ANXA6/RHOB/SFTPD/ABHD6/VAMP8/LDLR/MTM1/VPS37B/DDIT3/SPPL2A/TSPAN15/MFSD12/BAIAP3/CHMP4BP1/MAPK1/INSR/VIPAS39/EGFR/STEAP3/VPS37D/EXOC8/MVB12B/ATP7B/CLN3/RAB11A/SLC31A1/TMEM25/CLEC16A/CXCR4/FIG4/CHMP1B/CTSH/SLC38A9/SLC11A2/PRKAR1B/TMEM192/CD63/MAP2K1/RNF128/AP1AR/CHID1/TMEM165/CLTCL1/PIKFYVE/MAGI2/SLC30A4/MICALL1/VPS18/IFITM3/NEDD4L/PLD1/PCSK9/MYO5A/ANKRD13A/SNX14/YIPF2/STOML1/ABCA5/VPS33A/CTSL/RNF13/RUBCN/RAP1A/CTSS/LAPTM4B/RAB9B/STX7/ABCA3/FYCO1/IFITM2/TMEM9/VPS39/MREG/GOSR2/MON1A/PLEKHM1/VAMP7/CHMP1A/SLC31A2/CYB561A3/SNF8/TMEM59"	104
"GOCC_ACTIN_FILAMENT"	"GOCC_ACTIN_FILAMENT"	"GOCC_ACTIN_FILAMENT"	"48/3699"	"110/14332"	3.53906012292016e-05	0.0031088262028722	0.00273381578480752	"TMOD1/PSTPIP2/GAS7/PDLIM7/GDPD2/GJB6/WIPF3/ACTN1/SRC/PAK1/ACKR2/DMTN/RAC3/DBNL/ACTN2/COTL1/PLS3/ACTG1/COBL/PALLD/TPM4/MICAL2/FYN/SHROOM4/MYO1C/FMN1/GAS2L3/JAM3/VPS18/MYO6/WASL/MYO5A/TWF2/PSTPIP1/AMOT/PRICKLE4/MYO18B/LMOD2/EHBP1L1/TPM3/CARMIL1/PDLIM2/CORO1B/PAWR/TPM1/TWF1/ACTA1/CD2AP"	48
"GOCC_GOLGI_STACK"	"GOCC_GOLGI_STACK"	"GOCC_GOLGI_STACK"	"62/3699"	"153/14332"	4.54518968417269e-05	0.0031088262028722	0.00273381578480752	"MGAT4A/ST3GAL3/SULF2/GCNT1/ST3GAL1/ST3GAL4/SORL1/CHPF/ST6GAL1/B4GALT2/ARAP1/TMEM87A/GOLIM4/FUT11/CLIP3/NAGPA/PITPNM1/LYPLA2/BCAP31/CHSY1/GCC1/CLN3/B4GALT5/GALNT1/B4GALNT4/USO1/B4GALT7/FUT10/B3GALT6/SAR1B/RAB30/GAL3ST4/TRAPPC4/OCRL/CSGALNACT1/INPP5E/XYLT1/B4GALT6/UXS1/FUT3/MGAT2/GPR89B/MBTPS1/YIPF2/FUT1/GOLGA3/GOLGA2P5/FUT6/HLA-A/GOLPH3/ZFYVE1/NECAB3/GOLGA2/B4GALNT3/TMED3/GOSR1/ASAP2/SLC10A7/GOLGA8O/GALNT2/TMEM59/FUT4"	62
"GOCC_CONTRACTILE_FIBER"	"GOCC_CONTRACTILE_FIBER"	"GOCC_CONTRACTILE_FIBER"	"89/3699"	"238/14332"	4.79077932657884e-05	0.0031088262028722	0.00273381578480752	"CASQ1/CACNA1D/TMOD1/OBSCN/SYNE1/TNNT3/CRYAB/MYOZ1/MYL3/PDLIM7/PSEN2/ANKRD2/OBSL1/RYR1/ACTN1/CSRP2/TTN/FHOD3/MYLPF/PAK1/HABP4/CORO1C/NEBL/MYL5/MTM1/TIMP4/MTMR12/SCN5A/PLEC/ACTN2/CTNNB1/MYL4/TNNI2/STUB1/CACNA1S/JPH2/ANK3/ACTG1/CALM1/DES/PALLD/SYNPO/ADPRHL1/TPM4/SVIL/NOS1AP/ALDOA/CALD1/SYNPO2L/ANKRD1/ANK1/PDE4DIP/FBP2/FHL2/CAPN3/PPP3CA/MYH3/ENO1/PPP1R12B/ARHGEF25/CMYA5/PSEN1/TWF2/MYL9/TNNT1/PRICKLE4/HSPB1/MYO18B/LMOD2/RYR3/BIN1/ANK2/TPM3/TNNT2/ARF1/CFL2/PDLIM2/CAB39/SDC4/SORBS2/TPM1/TWF1/ACTA1/SIMC1/LRRC39/KCTD6/PSMA6/FBXO32/FBXO22"	89
"GOCC_GOLGI_CISTERNA"	"GOCC_GOLGI_CISTERNA"	"GOCC_GOLGI_CISTERNA"	"51/3699"	"120/14332"	4.82736988023633e-05	0.0031088262028722	0.00273381578480752	"ST3GAL3/GCNT1/ST3GAL1/ST3GAL4/SORL1/CHPF/ST6GAL1/B4GALT2/ARAP1/TMEM87A/GOLIM4/FUT11/NAGPA/PITPNM1/BCAP31/CHSY1/GCC1/B4GALT5/GALNT1/B4GALNT4/B4GALT7/FUT10/B3GALT6/SAR1B/RAB30/GAL3ST4/CSGALNACT1/INPP5E/XYLT1/B4GALT6/UXS1/FUT3/GPR89B/YIPF2/FUT1/GOLGA3/GOLGA2P5/FUT6/HLA-A/GOLPH3/NECAB3/GOLGA2/B4GALNT3/TMED3/GOSR1/ASAP2/SLC10A7/GOLGA8O/GALNT2/TMEM59/FUT4"	51
