"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"105/2278"	"440/15910"	4.52332936666203e-08	4.69069255322852e-05	4.36144178932886e-05	"ANXA8/MYBPC2/MYL3/MYO7A/ACTN1/PLEKHG3/EPS8L1/KLHL3/GAS7/ANXA6/SHROOM1/TNNT3/TMOD1/LIMA1/AJUBA/TPM4/KLHL5/FHDC1/MYOZ1/FLNA/SLC6A2/SYNE1/TLN2/PALLD/COTL1/ACTN2/GJB6/WHAMM/S100A4/ARPC4/FGD4/RAI14/CORO1C/FERMT1/VASP/EPB41L3/CTNNA1/MYO18A/YWHAH/CEACAM1/PRKCE/CAPG/MICAL3/INPPL1/MACF1/ANTXR1/MYO1D/STK38L/SSH3/LASP1/MICAL2/SYNPO/PAWR/NEBL/EVL/CCDC88A/DMD/IPP/ALDOA/SPIRE2/FRG1/CLMN/KLHL2/SHROOM4/CALD1/INF2/ACTN4/CNN2/PSTPIP2/ARPC1A/VASH2/GBP1/MYRIP/MYO10/EGFR/FHOD3/CORO2A/INO80/PSTPIP1/GSN/CDK5R2/DMTN/MYH3/TPM1/VPS16/FHL3/TRPM7/EPB41L2/FXYD5/OPHN1/MARCKS/MYO1E/COBL/WASF2/PDLIM2/MARCKSL1/ADD3/EPB41/EZR/PXK/CAPZB/ZNF185/EPB41L1/EMD/SVIL"	105
"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"82/2278"	"334/15910"	3.87367821541925e-07	0.000200850215469488	0.00018675206554337	"EPHA2/CDH5/GPRC5A/STK24/TRIM29/TJP2/TBC1D2/PPME1/EPS8L1/SLC3A2/PICALM/ITGA6/LIMA1/MMP24/SWAP70/FLNA/S100A11/CDC42EP1/NOTCH3/GOLGA2/DHX29/LRRFIP1/VASP/EIF4H/CTNNA1/NDRG1/TBC1D10A/CAPG/GCN1/FASN/TAGLN2/MACF1/LASP1/BZW1/STAT1/KRT18/ASAP1/CD46/USO1/SRC/CHMP4B/PAK2/CDH24/PKP3/ARGLU1/LRRC59/ATXN2L/BAG3/ALDOA/PKM/CALD1/SND1/CTNND1/CNN2/PAICS/YWHAB/APC/KIF5B/BMPR2/IDH1/PTPRM/EGFR/BSG/PPP1R13L/CAST/CDHR3/ANK3/GLOD4/STX5/FXYD5/OLA1/AHSA1/PAK6/MB21D2/WASF2/PTPN1/YWHAZ/ATIC/EZR/CAPZB/RANBP1/EMD"	82
"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"68/2278"	"273/15910"	2.17056856614677e-06	0.000711732700010234	0.000661774504602725	"GAB2/ANXA8/DPEP1/PITPNC1/DENND1A/PXDC1/PICALM/SNX8/OBSCN/TTPAL/AIDA/MTM1/ACTN2/SH3PXD2A/GGA2/CAPG/SH3PXD2B/ARAP1/ZFYVE9/WDR45B/PLEKHF1/WIPI1/GRB7/PIGK/ASAP1/RPS6KC1/BCAS3/CCDC88A/PLEKHA3/PIK3C2B/OSBP/ZFYVE16/SNX19/SNX6/SDCBP/SGK3/VPS36/JPH2/SNX7/PLEK2/STAM/DENND1C/PLCD1/SNX18/FZD7/STAM2/ZCCHC14/ARHGAP33/MYO10/GSN/PITPNB/LAPTM4B/GOLPH3/SNX20/DENND1B/SNX14/SNX3/APPL1/CYTH3/ZCCHC2/PARD3/MYO1E/WDR45/EPB41/OSBPL2/OSBPL8/PXK/SVIL"	68
"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"97/2278"	"432/15910"	2.74535274835192e-06	0.000711732700010234	0.000661774504602725	"NUAK1/MAP3K3/STK24/STK17A/CDK14/MAP2K6/PIM3/NEK6/PHKA2/SRPK2/PAK1/PRKAG1/OBSCN/CDK2/NUAK2/STK10/STK39/PINK1/LIMK2/CDC7/DAPK3/BMP2K/MAPK3/ALPK3/PSKH1/MAPK8/ATR/CPNE3/CHUK/PRKCE/PLK1/PIK3CA/AKT3/STK38L/NEK7/DYRK1A/RPS6KC1/MAPK9/RIPK1/BCR/MKNK1/PAK2/ULK1/MAP3K9/LTBP4/PIKFYVE/ACVR1C/RPS6KL1/MAP2K4/SGK3/PRKCD/PRKAB2/LATS2/CDK8/PNCK/CDC42BPA/SRPK3/MAP3K7/PRKACB/MAP4K3/HUNK/TSSK3/MAP2K1/BMPR2/OXSR1/PKN1/EGFR/BRD4/IRAK1/MAP4K1/SGK1/CDK7/AAK1/TRPM7/DYRK2/MINK1/GRK6/TAOK2/WNK1/CAMKK1/CDK17/ADCK2/EIF2AK3/CDK4/ACVR2A/PAK6/BRAF/MAST2/TGFBR1/NEK4/MAP2K7/BMPR1A/MAPKAPK2/HTATIP2/TAOK1/CCNK/STKLD1"	97
"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"106/2278"	"489/15910"	5.250928381593e-06	0.00108904254634239	0.00101260008369246	"FGD3/SYDE1/PLCD4/PDE6D/ARHGEF33/RGL1/ARHGEF10/PLEKHG3/TBC1D2/SH3BP4/EPS8L1/ARHGAP10/BCAR3/DENND1A/PLEKHG1/PLEKHG6/STXBP5/RALGAPA1/SWAP70/TBC1D22A/OBSCN/WDR41/DENND5A/RGS16/STARD8/OCRL/ERRFI1/ITSN1/FGD4/CHM/MCF2L2/TBC1D10A/SGSM2/RANBP3/ARAP1/ARHGAP23/ARHGAP29/DENND4B/ARHGEF18/CHML/ACAP3/WNT11/RASA2/ASAP1/BCR/DLC1/DEPDC1B/GARNL3/CCDC88A/RASAL2/EVI5L/RALGDS/TBC1D16/TBC1D3F/RIN3/TBC1D3I/SYDE2/RALGPS1/RASAL1/DENND1C/CYTH2/DENND2A/DOCK11/CYSLTR2/RHOU/VPS9D1/TBCK/MYCBP2/ARHGAP6/EVI5/SRGAP1/SIPA1L1/PLCE1/CHN2/ARHGAP33/ARHGEF2/ARHGEF5/FAM13A/SH2D3C/LAMTOR3/RAP1GAP2/ITSN2/RALGPS2/OPHN1/SH2D3A/LLGL2/C9orf72/TBC1D17/TBC1D9/TBC1D22B/FRMD7/DENND1B/TBC1D2B/CYTH3/ARHGAP27/ARHGAP21/TBC1D24/NPRL3/RIN2/ARRB1/GPSM2/RANBP1/SYNGAP1/DEPDC1/ALS2CL/ELMOD2"	106
"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"96/2278"	"446/15910"	1.94429470472185e-05	0.00309608112276504	0.00287875989286177	"NUAK1/EPHA2/MAP3K3/STK24/STK17A/CDK14/MAP2K6/PIM3/NEK6/SRPK2/PAK1/OBSCN/CDK2/FGFR1/NUAK2/FGFR2/STK10/STK39/PINK1/LIMK2/CDC7/DAPK3/BMP2K/MAPK3/ALPK3/PSKH1/MAPK8/ATR/FGFR3/JAK1/PRKCE/PLK1/PIK3CA/AKT3/IGF1R/STK38L/NEK7/FYN/DYRK1A/RPS6KC1/MAPK9/CSF1R/RIPK1/BCR/SRC/MKNK1/PAK2/EPHB1/ULK1/MAP3K9/PIKFYVE/RPS6KL1/MAP2K4/SGK3/PRKCD/LATS2/CDK8/PNCK/INSR/CDC42BPA/SRPK3/MAP3K7/PRKACB/MAP4K3/HUNK/TSSK3/MAP2K1/OXSR1/PKN1/EGFR/IRAK1/MAP4K1/SGK1/CDK7/EPHB3/FLT1/AAK1/TRPM7/DYRK2/MINK1/TAOK2/WNK1/CAMKK1/CDK17/EPHA1/WEE1/EIF2AK3/CDK4/PAK6/BRAF/MAST2/NEK4/MAP2K7/LYN/MAPKAPK2/TAOK1"	96
"GOMF_HISTONE_ACETYLTRANSFERASE_BINDING"	"GOMF_HISTONE_ACETYLTRANSFERASE_BINDING"	"GOMF_HISTONE_ACETYLTRANSFERASE_BINDING"	"12/2278"	"23/15910"	2.08992939820205e-05	0.00309608112276504	0.00287875989286177	"CITED2/GLI3/EID1/SIRT2/STAT1/KANSL1L/BCAS3/PAX6/MTF1/TAF7/PCNA/CEBPB"	12
"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"99/2278"	"469/15910"	3.31282384008826e-05	0.00429424790271441	0.00399282452305375	"HAVCR1/GAB2/ANXA8/DPEP1/PITPNC1/GRAMD1B/ANXA8L1/DENND1A/PXDC1/ANXA6/PICALM/CARMIL2/SNX8/C2CD5/PLA2G2F/OBSCN/TTPAL/MME/SYT17/AIDA/MTM1/ACTN2/MCTP2/SH3PXD2A/CPNE3/GAS6/GGA2/CAPG/SH3PXD2B/ARAP1/ZFYVE9/WDR45B/MYOF/PLEKHF1/WIPI1/SYTL5/STOML2/GRB7/RASA2/PIGK/ASAP1/RPS6KC1/BCAS3/ANXA5/CCDC88A/PLEKHA3/HMGB1/PIK3C2B/OSBP/ZFYVE16/SNX19/SMURF1/SNX6/SYT8/ANXA11/SDCBP/SGK3/PLA2G15/VPS36/JPH2/SNX7/PLEK2/RASAL1/STAM/DENND1C/PLCD1/SNX18/FZD7/STAM2/SHC1/ZCCHC14/ARHGAP33/MYO10/GSN/PLA2G10/SEC14L2/NUP62CL/PITPNB/LAPTM4B/OPHN1/F3/ARL6/GOLPH3/SNX20/DENND1B/SNX14/SNX3/APPL1/CYTH3/ZCCHC2/PARD3/MYO1E/WDR45/EPB41/OSBPL2/OSBPL8/PXK/APOA2/SVIL"	99
"GOMF_GROWTH_FACTOR_BINDING"	"GOMF_GROWTH_FACTOR_BINDING"	"GOMF_GROWTH_FACTOR_BINDING"	"38/2278"	"140/15910"	5.14732148873312e-05	0.00539945485971633	0.00502045439933021	"IL2RB/EPHA2/ITGB4/ITGA6/PXDN/TSKU/FGFR1/IL1RN/FGFR2/ITGAV/LRRC32/FGFR3/LIFR/CRIM1/IGF1R/SCN5A/IL1R1/TGFB3/LTBP4/ACVR1C/HYAL2/SDCBP/GPC1/IL2RG/INSR/IL6ST/SHC1/IGFBPL1/EGFR/API5/COL5A1/IL1R2/FLT1/NRROS/ACVR2A/TGFBR1/NLRP7/COL2A1"	38
"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"79/2278"	"360/15910"	5.20680314341015e-05	0.00539945485971633	0.00502045439933021	"NUAK1/MAP3K3/STK24/STK17A/CDK14/MAP2K6/PIM3/NEK6/SRPK2/PAK1/OBSCN/CDK2/NUAK2/STK10/STK39/PINK1/LIMK2/CDC7/DAPK3/BMP2K/MAPK3/ALPK3/PSKH1/MAPK8/ATR/PRKCE/PLK1/PIK3CA/AKT3/STK38L/NEK7/DYRK1A/RPS6KC1/MAPK9/RIPK1/BCR/MKNK1/PAK2/ULK1/MAP3K9/PIKFYVE/RPS6KL1/MAP2K4/SGK3/PRKCD/LATS2/CDK8/PNCK/CDC42BPA/SRPK3/MAP3K7/PRKACB/MAP4K3/HUNK/TSSK3/MAP2K1/OXSR1/PKN1/IRAK1/MAP4K1/SGK1/CDK7/AAK1/TRPM7/DYRK2/MINK1/TAOK2/WNK1/CAMKK1/CDK17/EIF2AK3/CDK4/PAK6/BRAF/MAST2/NEK4/MAP2K7/MAPKAPK2/TAOK1"	79
