"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"121/3440"	"334/15910"	4.96174353402995e-10	5.26440988960578e-07	4.61703293061314e-07	"CDH5/NDRG1/PICALM/EPS8L1/GCN1/EPHA2/SWAP70/MACF1/PPME1/STK24/GPRC5A/CDC42EP1/FLNA/LRRFIP1/DHX29/FLNB/SLC3A2/GOLGA2/EIF4H/ITGA6/TBC1D2/ARGLU1/IDH1/FASN/FXYD5/DAB2IP/EGFR/ASAP1/SND1/TES/EZR/ALDOA/NOTCH3/ATXN2L/CTNND1/EPCAM/WASF2/HSPA5/BZW1/PKM/OLA1/LRRC59/TJP2/MMP24/LIMA1/CRKL/GLOD4/PFKP/HDLBP/ENO1/KRT18/PAK2/BSG/SRC/BAG3/GOLGA3/CALD1/SPTAN1/EPN2/PCBP1/CAPZB/SCYL1/CD46/CDH24/TBC1D10A/ESYT2/PPFIBP1/APC/RAB11B/FMNL2/TRIM29/S100A11/PTPN1/CHMP2B/NUMB/RSL1D1/TAGLN2/TWF1/EEF1D/PTPRM/CAST/MICALL1/CDH3/RAN/CHMP4B/PKP3/SNX9/UBFD1/TLN1/ARHGAP1/PCMT1/ACVR1/USO1/HSP90AB1/MYH9/DDX3X/PAICS/HCFC1/CHMP5/CDH26/EPS15L1/PARK7/PRDX6/RANGAP1/DBNL/CTNNA1/TMOD3/EEF1G/PLCB3/PPP1R13L/ERC1/VASP/SLK/BMPR2/EEF2/ANK3/EVPL/CNN3/SCRIB/LASP1/CGN"	121
"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"100/3440"	"273/15910"	8.1165838714166e-09	4.30584774378651e-06	3.77634744333278e-06	"DPEP1/GAB2/PICALM/DENND1A/WDR45B/ZCCHC2/ARAP1/OBSCN/PARD3/ZFYVE9/VPS36/MTM1/PXDC1/DAB2IP/BCAS3/PIGK/FRMPD2/ASAP1/OSBP/TOM1L2/SNX7/PITPNC1/MYO1E/SH3PXD2B/AIDA/MYO10/ZFYVE16/PHLDA1/JPH2/ARHGAP32/GGA2/SCARB1/ARHGAP33/RPS6KC1/SNX22/PLCB1/SNX27/DENND1C/SNX14/ANXA8/DENND1B/FZD7/ANXA9/SNX20/CCDC88A/SNX18/SNX8/GSN/SAP30L/ACTN2/LAPTM4B/PIK3C2B/LANCL2/GBF1/MREG/TTPAL/SNX25/ESYT2/SNX32/MPPE1/ZCCHC14/TOM1/MAPT/WIPI1/COMMD1/SGK3/MITD1/ITPR2/RNF34/EXOC1/APPL1/SNX19/SNX4/TWF1/MARK1/OSBPL2/SH3PXD2A/PLEKHA3/SVIL/PITPNA/GOLPH3/PLEKHF1/SNX9/PLCD1/ZFYVE26/SDCBP/TLN1/PITPNB/SNX12/SNX6/GOLPH3L/GRB7/FCHSD2/PASK/SH3YL1/SLC9A1/KRIT1/EXOC8/OGT/RUBCNL"	100
"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"160/3440"	"495/15910"	1.34702460570535e-08	4.76397702217793e-06	4.17813947874924e-06	"NUPR1/ACTN1/IRF2BP2/LMO2/BASP1/MAGED1/RBFOX2/LIMD1/SERTAD2/CITED2/TACC1/PXN/MED15/ARRB1/EID1/FHL2/TAF5L/KAT6B/CDYL2/SUB1/KAT5/ARL2BP/SND1/BRD4/DYRK1A/HMGB1/TAF12/MAML2/PTPN14/PER2/RYBP/TLE2/PSIP1/SFMBT2/KMT2C/CREG1/KDM5B/ZMYND8/ENY2/YY1AP1/CARM1/KAT2B/AJUBA/CCND1/ENO1/NCOR2/MMS19/NMI/HDGF/TRIB3/TFAP2A/RBPMS/ATN1/SMARCB1/MAML3/SS18L2/BIRC2/RERE/FHL3/MED21/CDYL/TRIM21/MIER2/SMARCE1/SPEN/PSMD9/RRP1B/MIER3/ZMIZ1/ASXL1/ACTN4/SAP30L/MED1/SMARCA2/ACTN2/RCOR1/SMARCC1/BEND6/DPF2/TLE6/PKN1/JADE1/RNF20/TAF15/NCOA1/TDP2/MED12/EP300/VGLL1/PRMT2/CBFB/DPF3/HTATIP2/ZZEF1/FIZ1/MYCBP/CIR1/AIP/RSF1/NOC2L/SRSF2/BCL3/MED23/PEX14/HMGB2/TOB1/ARID1A/TRIM14/URI1/KAT7/TLE3/TRIM37/CCAR2/LMCD1/C1QBP/SLC30A9/SMARCA4/HMGA1/ZNF410/ZNF653/SIN3A/KDM2B/TRIM24/SAP30/PRPF6/HCFC1/THRAP3/PARK7/COPS5/RNF4/TAF9B/CEBPZ/SS18/RNF14/MIER1/PPP1R13L/NRIP1/BCL9L/DDX54/TRRAP/HDAC9/NCOA6/LPIN2/TADA3/MED16/MED26/KMT5A/BTG1/PPRC1/NFKBIB/NUP98/FBXL19/PCBD1/GMNN/PA2G4/SIN3B/ANKRD1/TRIM13/CREBBP/C1D"	160
"GOMF_MAGNESIUM_ION_BINDING"	"GOMF_MAGNESIUM_ION_BINDING"	"GOMF_MAGNESIUM_ION_BINDING"	"81/3440"	"222/15910"	2.50812864974662e-07	6.65281124345292e-05	5.83469927993688e-05	"NEK6/PLSCR1/IDH1/ERN1/GEN1/STK38L/PINK1/PRPS1/PIF1/PRKACB/IDH2/ILVBL/PKM/MSH2/MAP2K7/OXSR1/CDK2/IDH3A/PGM1/MORC2/WEE1/ENO1/NUDT7/NUAK2/CDC42BPA/ARF1/PPA2/IRAK4/GCLC/PRPS2/AASDHPPT/ATP10D/SIK1/SNRK/ATP11A/ATP9A/PDXP/TDP2/TKT/HPRT1/PLK1/TPPP/PPA1/IDH3G/MARK1/ENO3/MSH6/PPM1N/CDC42BPG/DUT/SIK3/RAN/TOP2A/XXYLT1/PPM1A/CIB3/ATP10B/SRPK1/SRPK2/NUDT18/IMPA1/MAP3K7/ENDOV/ATP8A1/SRR/RPS6KA2/MAP3K8/LATS1/FIGNL1/CLYBL/EPHX2/WRN/DXO/ATP11B/MTG2/GTPBP10/NME1/ARL3/NUDT16/ATP8B3/RPS6KA1"	81
"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"137/3440"	"432/15910"	5.03525839653526e-07	0.000106848183174478	9.37088088955194e-05	"MAP2K6/NEK6/NUAK1/STK24/MAP3K3/CCNK/OBSCN/AAK1/CDK14/PIM2/EGFR/BCKDK/PHKA2/PIM3/PAK1/KSR1/ERN1/MAPK9/BRD4/STK17A/PRKCE/DYRK1A/STK10/STK38L/LIMK2/PINK1/CPNE3/ATR/MKNK2/MAP3K15/STK31/MAP3K14/PRKACB/CLK3/CDC7/NEK1/RIPK1/MAP2K7/OXSR1/CDK2/RPS6KL1/LATS2/ACVR1C/ULK1/SPEG/MAP2K4/NUAK2/CDC42BPA/RPS6KC1/BMPR1A/PAK2/IRAK4/PRKAG1/TESK1/PRKAB2/DCAF1/PBK/ACVR2B/MAP4K4/NEK7/RIPK4/CHUK/CSNK2A2/HUNK/MAP3K9/SIK1/MAPK8/NEK2/PKN1/SNRK/RPS6KB1/MAP2K1/MAPK3/BRAF/DMPK/HTATIP2/MINK1/CDK16/TRIO/ALPK3/SGK1/PLK1/TRPM6/SGK3/ADCK2/NEK4/CDKL3/CDK17/TESK2/MARK1/DAPK3/TGFBR1/CDC42BPG/SIK3/ADCK1/TRPM7/LTBP1/STK35/EIF2AK3/DAPK1/ACVR1/SRPK1/SRPK2/CDK1/ARAF/SMG1/DAPK2/STK39/PNCK/WNK4/MAP3K7/CSNK1G3/LTBP4/PASK/RPS6KA2/MAP3K8/PDK3/LATS1/MAPK7/BMP2K/SLK/BMPR2/PIKFYVE/CAMK4/IRAK2/VRK2/CDK18/SQSTM1/BUB1B/PPM1D/ENG/STKLD1/PLK4/MAP4K3/SBK2/BCR/RPS6KA1"	137
"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"144/3440"	"469/15910"	2.02905270365585e-06	0.000358804153096476	0.000314681156145925	"HAVCR1/DPEP1/GRAMD1B/GAB2/PICALM/DENND1A/WDR45B/ZCCHC2/ARAP1/OBSCN/PARD3/CPNE7/MYOF/ZFYVE9/GAS6/VPS36/MTM1/PXDC1/C2CD5/PLA2G2F/DAB2IP/BCAS3/PIGK/FRMPD2/OSBPL10/RASAL1/ASAP1/OSBP/TOM1L2/SNX7/PITPNC1/MYO1E/SH3PXD2B/HMGB1/AIDA/MYO10/CPNE3/PLA2G15/ZFYVE16/SMURF1/PHLDA1/JPH2/ARHGAP32/GGA2/SCARB1/ARHGAP33/RPS6KC1/SNX22/PLCB1/ANXA6/SYT17/SNX27/SHC1/DENND1C/SNX14/ANXA8/DENND1B/FZD7/PLTP/ANXA9/SNX20/CCDC88A/SNX18/EPN2/SNX8/GSN/SAP30L/ACTN2/LAPTM4B/PIK3C2B/PLA2G10/RASA2/CPNE2/LANCL2/GBF1/MREG/TTPAL/SNX25/PCTP/ESYT2/BIN2/DYSF/SNX32/UQCC3/MPPE1/ARL6/ZCCHC14/TOM1/MAPT/PTAFR/WIPI1/COMMD1/EPN1/SGK3/MITD1/ITPR2/UNC13B/DOC2A/RNF34/EXOC1/APPL1/SNX19/SNX4/TWF1/MARK1/OSBPL2/PSD4/ANXA5/NUP62CL/SH3PXD2A/PLEKHA3/MICALL1/SVIL/PITPNA/BSCL2/GOLPH3/PLEKHF1/SNX9/PLCD1/ZFYVE26/SDCBP/TLN1/STOML2/PITPNB/NUP35/SNX12/TPP1/SNX6/GOLPH3L/GRB7/FCHSD2/PASK/SH3YL1/SLC9A1/ANXA7/KRIT1/SYT12/OPHN1/EXOC8/PLA2G4B/ANXA8L1/OGT/RUBCNL/AXL"	144
"GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY"	"90/3440"	"266/15910"	2.47386421435649e-06	0.000374967133061748	0.000328856536164081	"NUPR1/ACTN1/LMO2/MAGED1/SERTAD2/CITED2/TACC1/ARRB1/TAF5L/SUB1/KAT5/ARL2BP/BRD4/DYRK1A/HMGB1/TAF12/MAML2/PER2/KMT2C/ENY2/CARM1/KAT2B/MMS19/RBPMS/SMARCB1/MAML3/SS18L2/BIRC2/RERE/MED21/TRIM21/SMARCE1/PSMD9/RRP1B/ZMIZ1/ASXL1/ACTN4/MED1/SMARCA2/ACTN2/SMARCC1/PKN1/JADE1/RNF20/NCOA1/MED12/EP300/VGLL1/PRMT2/CBFB/HTATIP2/ZZEF1/FIZ1/MYCBP/AIP/BCL3/MED23/HMGB2/ARID1A/TRIM14/TRIM37/CCAR2/SLC30A9/SMARCA4/HMGA1/SIN3A/TRIM24/PRPF6/HCFC1/THRAP3/PARK7/COPS5/RNF4/CEBPZ/SS18/RNF14/NRIP1/BCL9L/NCOA6/LPIN2/TADA3/MED16/MED26/PPRC1/NFKBIB/NUP98/PCBD1/ANKRD1/TRIM13/CREBBP"	90
"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"141/3440"	"469/15910"	8.87600774778865e-06	0.00117718052755047	0.00103241984855857	"TRIB1/SMAD3/HEY1/NEK6/EPAS1/ETS2/FLNA/KLF5/LMO2/BHLHE40/TRIP6/FOS/RBFOX2/BHLHE41/CITED2/TACC1/GATA3/FHL2/PER1/KAT6B/BCAS3/DNAJA1/GATA2/HMGN3/HES6/DDX5/KAT5/CRTC3/HDAC5/HMGB1/ZNF703/TAF12/MYC/TCF23/ZMYND8/CRKL/KAT2B/PPARG/NCOR2/MMS19/BBS10/TEAD3/NFKBIA/GABARAPL1/TCF7L2/SMARCB1/CGGBP1/NCL/TAF7/BBS7/BCL6/SRC/PBX1/DCAF1/GATA6/MEF2D/SMARCE1/SPEN/CEBPB/PSMD9/SP1/SETD1A/ASXL1/ACTN4/FOXP1/PCNA/MKKS/MED1/AKAP8/TP53/SIK1/PKN1/FOXH1/ARNT/NCOA1/COMMD6/MED12/EP300/NOTCH2/PRMT2/FIZ1/HES1/HOXA7/AIP/WIPI1/CREM/WFS1/TBX3/NOC2L/PASD1/KLF4/BCL3/HMGB2/ARID1A/DAPK3/IKZF4/ACTB/ATF4/CENPF/NR1H2/SLC30A9/SMARCA4/HMGA1/PPARD/ZNF653/SIN3A/TRIM24/ZNF516/BAZ2A/PRPF6/DDRGK1/HCFC1/EIF4E/THRAP3/PARK7/ARNTL/HOXC13/HSPB1/LATS1/ANKRD2/RNF14/UHRF2/NRIP1/HDAC11/DDX54/RBPJ/HDAC9/CNOT1/NCOA6/CRTC2/TADA3/MED16/BBS2/EOMES/GMNN/ANKRD1/RARG/DDIT3/HIF1A/CREBBP/C1D"	141
"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"111/3440"	"360/15910"	2.38546864111615e-05	0.00281220247580471	0.00246637927338793	"MAP2K6/NEK6/NUAK1/STK24/MAP3K3/OBSCN/AAK1/CDK14/PIM2/PIM3/PAK1/KSR1/ERN1/MAPK9/STK17A/PRKCE/DYRK1A/STK10/STK38L/LIMK2/PINK1/ATR/MKNK2/MAP3K15/STK31/MAP3K14/PRKACB/CLK3/CDC7/NEK1/RIPK1/MAP2K7/OXSR1/CDK2/RPS6KL1/LATS2/ULK1/SPEG/MAP2K4/NUAK2/CDC42BPA/RPS6KC1/PAK2/IRAK4/TESK1/DCAF1/PBK/MAP4K4/NEK7/RIPK4/CSNK2A2/HUNK/MAP3K9/SIK1/MAPK8/NEK2/PKN1/SNRK/RPS6KB1/MAP2K1/MAPK3/BRAF/DMPK/MINK1/CDK16/TRIO/ALPK3/SGK1/PLK1/TRPM6/SGK3/NEK4/CDKL3/CDK17/TESK2/MARK1/DAPK3/CDC42BPG/SIK3/TRPM7/STK35/EIF2AK3/DAPK1/SRPK1/SRPK2/CDK1/ARAF/SMG1/DAPK2/STK39/PNCK/WNK4/MAP3K7/CSNK1G3/PASK/RPS6KA2/MAP3K8/LATS1/MAPK7/BMP2K/SLK/PIKFYVE/CAMK4/VRK2/CDK18/BUB1B/PLK4/MAP4K3/SBK2/BCR/RPS6KA1"	111
"GOMF_GTPASE_BINDING"	"GOMF_GTPASE_BINDING"	"GOMF_GTPASE_BINDING"	"94/3440"	"296/15910"	2.80550679514902e-05	0.00297664270965311	0.00261059790201235	"NDRG1/PICALM/FGD3/SH3BP4/FLNA/ERRFI1/PDE6D/RALBP1/MICAL3/RUSC2/GOLGA4/UNC13D/CORO1C/YBX3/IPO4/SORL1/PAK1/DENND5A/CHM/OCRL/GGA2/ENO1/CAV1/NPC1L1/CDC42EP4/ULK1/YIPF2/IPO13/SGSM2/RIN3/PAK2/USP33/RAB3IP/OPTN/DENND1B/DOCK11/FGD4/RNF41/KIF3A/DMXL2/RIN2/BICD1/EPS8/RIMS3/EXOC2/PKN1/TBC1D7/TNFAIP1/LCP1/CYFIP2/RABGGTA/HSP90AA1/WHAMM/YIPF1/RAB11FIP2/BRAF/FMNL2/ECT2/HPS4/VPS9D1/RANBP17/UNC13B/C9orf72/CSE1L/DVL2/HACE1/DAPK3/TNPO3/GNB1/MICALL1/FGD6/DAAM1/YBX1/KPNB1/EVI5/STOML2/ATG14/ARHGAP1/AP3M1/PLCE1/RANGAP1/FARP1/CDC42SE2/ERC1/INF2/RTKN/CCDC186/SRGAP2/TNPO1/GCC2/PPP6R1/EXOC8/XPO6/ABI2"	94
