"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"114/4099"	"273/15910"	4.73214646539226e-09	3.16796912330332e-06	2.81693139283902e-06	"GAB2/DPEP1/ANXA8/OBSCN/FRMPD2/PITPNC1/PICALM/SNX8/SH3PXD2B/PHLDA3/TTPAL/ZCCHC2/GGA2/PLEK2/PXK/ATP13A2/VPS36/ASAP1/WIPI1/SH3PXD2A/CAPG/MTM1/SGK3/WDR45B/SNX15/PARD3/AIDA/SNX29/FRMPD2B/ACTN2/SBF2/ESYT2/SNX1/ARAP1/PITPNB/ADAP1/GGA3/JPH2/STAM2/SNX30/PITPNM1/EXOC8/PXDC1/PFN2/PLCD1/DAB2IP/ATG2B/RPS6KC1/APPL2/SNX19/MYO1E/SNX9/SNX27/SVIL/DENND1A/ALOX15/SNX20/ZCCHC14/NRGN/SNX5/CYTH3/AMER1/BBS5/RACGAP1/PHLDA1/GRB7/RUBCNL/DENND1C/PIGK/EPB41/PFN1/PLD1/MYO10/ANKFY1/PLEKHF1/PLEKHA3/SNX14/ZFYVE16/SCARB1/FZD7/LDLRAP1/STAM/ITPR2/TWF2/SDCBP/PLCB1/GPAA1/RUBCN/TPCN1/SNX6/ARHGAP33/PIK3C2G/LAPTM4B/RNF34/SESTD1/SNX32/SNX33/CCDC88A/GOLPH3/ZFYVE1/OGT/FCHSD2/BCAS3/SNX2/ZFYVE19/TNFAIP8L3/MREG/ZFYVE9/TWF1/NCF4/APPL1/MPPE1/SNX18/PASK"	114
"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"165/4099"	"432/15910"	5.8557654774553e-09	3.16796912330332e-06	2.81693139283902e-06	"NUAK1/OBSCN/MKNK1/MAP3K3/PRKAG1/STK10/MAPK8/STK40/STK24/PRKCE/PSKH1/PAK6/NEK6/PRKX/PNCK/CDK14/TTN/CDK2/MAST2/MAPK3/PINK1/MAP2K6/PHKA2/RPS6KL1/PAK1/SRPK2/LATS2/ALPK3/SIK1/ENG/DYRK1A/ATR/NEK7/CDK3/SGK3/STK39/BRAF/CDK9/PDK3/LIMK2/PLK1/EIF2AK2/PRKCD/CCNK/AURKA/PRKY/NEK1/MAPK1/BMP2K/EGFR/MYLK3/DCAF1/CAMK1D/CPNE3/ADCK1/CHUK/MAP3K15/RPS6KA2/IRAK1/TRPM7/ACVR1C/ACVR2B/MYLK/STK17A/TNK2/MAPK9/STK38L/TGFBR2/KALRN/RPS6KC1/ACVR1/TESK1/PHKA1/MAP3K14/PKN3/MINK1/ADCK5/TAOK2/PRKAA1/STK31/ERN1/RPS6KB1/MAPKAPK2/SNRK/DYRK1B/ULK1/MAP3K6/MAPK13/MAST4/CAMK2D/PIM3/STK26/WNK1/CAMKK1/ACVR2A/MAP2K1/PRKACB/OXSR1/MAP3K7/PIKFYVE/CDC7/PLK2/PRKCQ/IRAK4/TP53RK/MTOR/CAMK1/LMTK2/BMPR1A/CCND3/EIF2AK3/MAP3K8/IKBKE/GRK7/TESK2/CDC42BPB/PPM1D/ULK3/PDIK1L/ARAF/RIOK3/PIK3CA/MAPK14/HIPK1/IKBKB/PKN1/PRKAG2/MAK/CDK8/CDK1/VRK2/NEK9/GRK4/CDKL5/PRKACA/ADCK2/MAP3K9/CDC42BPG/TSSK3/TAOK1/NLK/MKNK2/AAK1/EEF2K/STK16/MAP4K3/TAOK3/PRKAB2/STK25/CLK3/BRD4/PAK2/RIPK2/LRRK1/NEK4/ALPK1/ATP23/RIPK1/GRK5/BCR/BUB1B/NRBP1/FASTK/RPS6KA1/PASK"	165
"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"180/4099"	"489/15910"	2.91794292229698e-08	1.05240474730844e-05	9.35789414378751e-06	"SYDE1/FGD3/RASAL1/PLCD4/OBSCN/DENND4B/ARHGEF33/PDE6D/DENND2A/EVI5L/RGS16/PSD/RGL1/SH3BP4/SWAP70/PLEKHG3/RALGAPA1/LLGL2/FRMD7/TBC1D22A/ARL2BP/EPS8L2/NET1/ASAP1/PLEKHG1/ARHGAP45/RALGDS/PLEKHG6/STARD8/PLCE1/ARHGEF6/RAB3IP/BCAR3/SGSM3/ARHGAP10/DOCK11/CHML/SBF2/RABEP1/ARAP1/ARHGEF4/TBC1D2/TBC1D24/FAM13A/SGSM2/EIF5/ASAP3/ADAP1/PLEKHG2/ARHGDIB/RAPGEF3/PLEKHG4B/AGFG2/TBC1D22B/ARFGAP3/STXBP5/DAB2IP/RALGPS1/TNK2/KALRN/MYO9A/CHM/ARFGAP2/RHOU/DENND1A/RABGAP1/PSD4/RGS10/ARHGEF12/ITSN2/RGS20/RCC1L/TBCK/RIN2/ACAP3/RANBP1/MCF2L2/EPS8L1/CYTH3/ARHGEF7/FGD4/RACGAP1/RABIF/TBC1D7/DENND2C/OCRL/IQSEC1/ECT2L/MADD/ARHGEF5/DENND1C/MYCBP2/DLC1/CYSLTR2/GARNL3/SH2D3A/ARHGAP44/WDR41/C9orf72/RASGRF1/AGFG1/TBC1D3K/VPS9D1/WASL/PSD2/SOS2/ARHGAP20/SH3BP5/IQSEC2/FAM13B/ARHGEF25/ARHGAP29/TBC1D10A/SIRPA/SLIT2/ARFGEF3/EVI5/CHN2/SH2D3C/ARHGAP40/ACAP2/RASAL2/FARP1/EIF2B2/TBC1D16/ARHGEF9/PLXNB1/SRGAP3/SH3BP5L/PLCB1/ARHGAP23/RASA4/RABEP2/RAP1GAP/EIF2B3/RAP1A/DOCK4/HPS4/TBC1D2B/TBC1D9B/ARHGAP33/RGL3/WNT11/RALGPS2/RUNDC3A/ELMOD3/CYTH2/SESN2/EIF2B4/SMAP1/CCDC88C/CCDC88A/RTKN/RALBP1/SH3BP1/DENND2D/SIPA1L2/RANBP3/DENND4A/AGAP9/GIT1/RGS3/ARHGAP19/MON1A/RPGR/ASAP2/RASA2/ARHGEF18/GPS2/RGPD1/OPHN1/GPS1/RAP1GDS1/BCR/CDC42SE1/SOS1/GNAQ/DEPDC5/AGAP5/FARP2"	180
"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"170/4099"	"469/15910"	2.30698454089866e-07	6.24039318313087e-05	5.54890492205625e-05	"HAVCR1/GAB2/RASAL1/DPEP1/ANXA8/PLA2G2F/OBSCN/FRMPD2/GRAMD1B/PITPNC1/SYT8/PICALM/ANXA8L1/BAD/SNX8/SH3PXD2B/PHLDA3/CARMIL2/PSD/TTPAL/BIN2/MME/ZCCHC2/UNC13B/GGA2/PLEK2/PXK/ATP13A2/VPS36/ASAP1/ANXA6/WIPI1/SH3PXD2A/CAPG/SYT17/CPNE7/APOC1/MTM1/C2CD5/SGK3/WDR45B/SNX15/AXL/PLA2G4B/PARD3/AIDA/SNX29/FRMPD2B/ACTN2/SBF2/ESYT2/SNX1/ARAP1/FAAH/EPN3/BAIAP3/PITPNB/ADAP1/GGA3/MYOF/SYTL5/JPH2/NME4/STAM2/SNX30/PITPNM1/EXOC8/CPNE3/PXDC1/PFN2/PLCD1/DAB2IP/ATG2B/TRIM72/EPN2/SYTL3/RPS6KC1/APPL2/SNX19/MYO1E/SNX9/SNX27/SVIL/DENND1A/SHC1/PSD4/ALOX15/SNX20/ZCCHC14/GAS6/NRGN/STOML2/SNX5/CYTH3/AMER1/BBS5/RACGAP1/PHLDA1/F3/GRB7/APOC3/PLA2G15/RUBCNL/APOA2/DENND1C/PIGK/MCTP2/ARHGAP44/MICALL1/EPB41/PFN1/PLD1/MYO10/ANKFY1/PSD2/PLEKHF1/PLEKHA3/SNX14/ZFYVE16/SCARB1/FZD7/LDLRAP1/STAM/ITPR2/TWF2/SDCBP/CETP/NR5A1/PLCB1/ANXA11/GPAA1/RASA4/RUBCN/TPCN1/SNX6/ARHGAP33/ANXA5/BIN1/PIK3C2G/LAPTM4B/RNF34/ANXA4/SESTD1/ARL6/SNX32/SNX33/CCDC88A/GOLPH3/ZFYVE1/OGT/FCHSD2/BCAS3/SNX2/ZFYVE19/TNFAIP8L3/MREG/BSCL2/ZFYVE9/TWF1/NCF4/CPTP/APPL1/CLINT1/PCYT1A/RASA2/GRK5/OPHN1/MPPE1/SNX18/PASK"	170
"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"127/4099"	"334/15910"	4.32932270411725e-07	9.36865433170973e-05	8.33052831908035e-05	"CDH5/GPRC5A/EPHA2/NDRG1/TRIM29/NOTCH3/PICALM/ITGA6/TJP2/PAICS/STK24/SH3GLB2/PPME1/PAK6/SWAP70/CDH24/SPTAN1/SRC/OLFM4/DHX29/EPS8L2/ASAP1/MACF1/HSPA5/S100A11/PKP2/CAPG/LRRFIP1/EIF4H/SFN/DBNL/PLEC/ESYT2/CTNNB1/SNX1/LIMA1/TBC1D2/EIF5/TAGLN2/PRDX1/CTNNA1/PPP1R13L/WASF2/LRRC59/ANK3/EGFR/GCN1/LYPLA2/DAB2IP/EPN2/ACVR1/YWHAB/SNX9/USO1/P2RX4/OLA1/RPS26/ALDOA/PKM/VASP/KIF5B/RANBP1/SNX5/EPS8L1/CALD1/MMP24/ARGLU1/BAIAP2/NUDC/SCRIB/KLC2/MICALL1/PTPN1/HCFC1/FASN/CDC42EP1/PFN1/PLCB3/GLOD4/SLC3A2/ABI1/ENO1/PDXDC1/CLIC1/EHD1/TBC1D10A/PSEN1/UBFD1/CNN3/CGN/PKP3/LARP1/MB21D2/TWF2/CDHR3/ERC1/GOLGA3/LDHA/PKP4/YWHAZ/CAST/ATXN2L/EIF4G2/ANLN/EFHD2/MAPRE1/FNBP1L/PTPRM/CORO1B/SNX2/ABCF3/LASP1/GOLGA2/PAK2/NUMB/TMPO/PHLDB2/S100P/TWF1/ATIC/CLINT1/PPFIBP1/ITGB1/DIAPH3/FSCN1/SND1/CD2AP"	127
"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"166/4099"	"469/15910"	1.74792920541383e-06	0.000315209900042961	0.00028028198135934	"ETS2/TRIP6/SMAD3/HES1/DGKQ/HEY1/LMO2/PARP10/GABARAPL1/ANKRD2/TACC1/NEK6/BHLHE41/TRIB1/TAF12/PIAS1/FKBP4/SRC/HDAC5/TP73/WIPI1/GRIP1/ID3/SIK1/SMARCA1/TCF3/DDIT3/TAF10/PURA/KLF5/CGGBP1/KLF4/BBS10/PRMT2/CTNNB1/DHRS7B/TACC2/CEBPG/CREM/PARP9/FOS/E2F1/WWP2/SIRT2/EPAS1/BBS7/TCF23/DCAF1/SKI/ARNT2/NRIP1/YWHAH/FOXH1/AKAP8/TCF7L2/FOXP1/KDM5D/SMARCB1/GTF2A2/SIRT1/ZNF653/ZNF516/DDRGK1/BBS1/FAM220A/PTPN2/NR4A3/ATF4/TAF7/NOTCH2/MED24/STAT3/ZNF703/BBS2/LMO4/BBS5/PPARG/DTX3L/CRTC1/VHL/NSD1/ARID5A/TRERF1/GATA3/EGR2/BHLHE40/KAT2A/GTF2A1/SETD6/HES6/ANKRD1/NIF3L1/METTL23/CITED2/HHEX/FHL2/SPEN/TRIB2/HCFC1/YY1/CRTC3/CENPF/TP53/HDAC1/FIZ1/GATA2/PASD1/NKX3-1/TLE4/MTA2/PSMD9/CEBPA/TAF6/NCOA2/MYC/SETD1A/RERG/MAPK14/PRAME/PARP1/WFS1/DMAP1/MLXIPL/PKN1/HSPB1/YWHAZ/NAAA/BBS4/RNF25/SP1/ANXA4/HIF1A/BUD31/TBL1X/PBXIP1/HIRA/KDM1A/MED12/NLK/NR4A2/TAF4/BCAS3/GATA6/SCX/ZBTB8A/NLRP3/SNW1/NCOR2/HDAC11/GBX2/NFKBIA/DHX9/KAT5/COMMD6/SMARCE1/BCOR/PSMA6/JUND/GMNN/BRD8/BCL3/BCL2/CALR/MED25/PAGR1/NFYB"	166
"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"132/4099"	"360/15910"	2.54207519009259e-06	0.000392932193668597	0.000349391988533026	"NUAK1/OBSCN/MKNK1/MAP3K3/STK10/MAPK8/STK40/STK24/PRKCE/PSKH1/PAK6/NEK6/PRKX/PNCK/CDK14/TTN/CDK2/MAST2/MAPK3/PINK1/MAP2K6/RPS6KL1/PAK1/SRPK2/LATS2/ALPK3/SIK1/DYRK1A/ATR/NEK7/CDK3/SGK3/STK39/BRAF/CDK9/LIMK2/PLK1/EIF2AK2/PRKCD/AURKA/PRKY/NEK1/MAPK1/BMP2K/DCAF1/CAMK1D/MAP3K15/RPS6KA2/IRAK1/TRPM7/STK17A/TNK2/MAPK9/STK38L/KALRN/RPS6KC1/TESK1/MAP3K14/PKN3/MINK1/TAOK2/PRKAA1/STK31/ERN1/RPS6KB1/MAPKAPK2/SNRK/DYRK1B/ULK1/MAP3K6/MAPK13/MAST4/CAMK2D/PIM3/STK26/WNK1/CAMKK1/MAP2K1/PRKACB/OXSR1/MAP3K7/PIKFYVE/CDC7/PLK2/PRKCQ/IRAK4/TP53RK/MTOR/CAMK1/LMTK2/EIF2AK3/MAP3K8/TESK2/CDC42BPB/ULK3/PDIK1L/ARAF/RIOK3/PIK3CA/MAPK14/HIPK1/IKBKB/PKN1/MAK/CDK8/CDK1/VRK2/NEK9/CDKL5/PRKACA/MAP3K9/CDC42BPG/TSSK3/TAOK1/NLK/MKNK2/AAK1/STK16/MAP4K3/TAOK3/STK25/CLK3/PAK2/RIPK2/LRRK1/NEK4/ALPK1/RIPK1/BCR/BUB1B/RPS6KA1/PASK"	132
"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"158/4099"	"446/15910"	2.90914227373221e-06	0.000393461492522282	0.000349862636604111	"NUAK1/EPHA2/OBSCN/MKNK1/MAP3K3/FGFR1/STK10/MAPK8/STK40/STK24/PRKCE/PSKH1/PAK6/ERBB4/FGFR3/NEK6/PRKX/PNCK/CDK14/TTN/SRC/CDK2/MAST2/MAPK3/PINK1/MAP2K6/RPS6KL1/PAK1/SRPK2/LATS2/ALPK3/SIK1/IGF1R/DYRK1A/ATR/NEK7/CDK3/SGK3/STK39/BRAF/AXL/CSF1R/CDK9/FGFR4/TYRO3/LIMK2/PLK1/EIF2AK2/PRKCD/AURKA/PDGFRB/PRKY/NEK1/MAPK1/JAK1/BMP2K/INSR/EGFR/DCAF1/CAMK1D/MAP3K15/RPS6KA2/IRAK1/TRPM7/ACVR2B/STK17A/TNK2/MAPK9/STK38L/FLT1/KALRN/RPS6KC1/TESK1/MAP3K14/FYN/PKN3/MINK1/TAOK2/PRKAA1/STK31/ERN1/RPS6KB1/MAPKAPK2/SNRK/DYRK1B/ULK1/MAP3K6/MAPK13/MAST4/FLT4/CAMK2D/PIM3/STK26/WNK1/CAMKK1/MAP2K1/PRKACB/OXSR1/MAP3K7/PIKFYVE/EPHB3/TYK2/CSK/CDC7/PLK2/PRKCQ/FGFR2/JAK3/IRAK4/TP53RK/MTOR/CAMK1/LMTK2/EIF2AK3/MAP3K8/TESK2/CDC42BPB/ULK3/PDIK1L/ARAF/RIOK3/PIK3CA/MAPK14/HIPK1/IKBKB/PKN1/MAK/CDK8/WEE1/CDK1/VRK2/NEK9/CDKL5/PRKACA/MAP3K9/CDC42BPG/TSSK3/TAOK1/NLK/MKNK2/AAK1/STK16/MAP4K3/TAOK3/ABL1/STK25/EPHA10/CLK3/PAK2/RIPK2/LRRK1/NEK4/ALPK1/RIPK1/BCR/BUB1B/RPS6KA1/PASK"	158
"GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY"	"GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY"	"GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY"	"134/4099"	"373/15910"	7.24119201510523e-06	0.000870552195593763	0.000774087661029963	"DUSP4/INPP5D/PLCD4/ALPL/ACP2/DUSP7/DUSP9/UBASH3B/SGPP1/PDE4D/GPCPD1/PLPPR3/PHLPP2/GDPD2/NOCT/MTMR11/DUSP1/PPM1E/INPP4B/SMPD1/INPP5F/MTMR2/PLCE1/EPHX2/GDPD4/INPP1/PPM1M/HDHD2/MTM1/PLPPR2/MTMR12/PNKP/ATP1A2/PDE6B/PXYLP1/FAM83B/DUSP5/DUSP13/SAMHD1/NT5M/MTMR1/PTPN14/DNAJC6/CHRM5/PDE4A/SSH3/PLCD1/PLCL2/PFKFB2/PPM1L/MTMR9/ALPP/PTPN2/PLPP6/DUSP16/PTPN4/PTPRU/INPPL1/PTPN3/PTPRE/PDE9A/FIG4/SYNJ1/DUSP18/GDPD5/SYNJ2/PPP2R1A/OCRL/PPM1J/TNS3/CHRM3/PSPH/PIKFYVE/PPM1A/PTPN18/CDKN3/FBP2/PTPRN/PDE7A/INPP5E/PTPN1/PLD1/PLCB3/STYXL1/STYX/HDDC2/LHPP/PPP3CA/MYH3/HDDC3/NT5DC1/PTPN23/PPM1H/PUDP/PPM1D/CTDSP1/UBLCP1/PPP3R1/PTPN9/PLCB1/ADPRM/IMPA1/PPP1R3B/ATP1A1/BPNT1/PLD6/LPIN1/INPP4A/PPM1B/HMOX1/PPP3CC/PTPRF/G6PC3/PLCXD1/GPLD1/SMPDL3B/EYA1/PTPRM/NT5DC2/INPP5B/PPP2CA/PDXP/LRRK1/DUSP12/TPTE/PTPN6/LRRC39/SSU72/TDP1/MPPE1/CNP/CDC14A/CTDNEP1/NOTUM"	134
"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"153/4099"	"440/15910"	1.32591127183128e-05	0.00143463599612144	0.00127566621310925	"MYBPC2/ANXA8/TMOD1/SYNE1/TNNT3/ANTXR1/S100A4/PSTPIP2/SLC6A2/GAS7/SORBS1/KLHL3/PRKCE/MYOZ1/AJUBA/PHACTR1/MYL3/PDLIM7/PLEKHG3/SPIRE2/GJB6/WIPF3/ACTN1/VPS16/ARPC4/SPTAN1/TTN/PXK/FHDC1/FHOD3/CEACAM1/EPS8L2/MICAL3/MACF1/ANXA6/INF2/CAPG/GBP1/MYO7A/CORO1C/NEBL/DMTN/EPB41L2/RAI14/DBNL/PLEC/ACTN2/SYNE3/LIMA1/FERMT1/MYL4/COTL1/CTNNA1/PLS3/TNNI2/CLMN/WASF2/EGFR/VASH2/CAMSAP3/TLN2/SSH3/COBL/YWHAH/PFN2/TRPV4/TRPM7/PALLD/MYLK/STK38L/MYO9A/SYNPO/TPM4/MICAL2/MYO1E/SHROOM1/MYO7B/SVIL/SHROOM4/KLHL2/AFAP1/CXCR4/INPPL1/ALDOA/VASP/MYO1D/EPS8L1/CDK5R2/WHAMM/FGD4/TNS1/MYO1C/CALD1/MYO18A/FMN1/MSRB2/SYNPO2L/ARPC2/GAS2L3/VPS18/EPB41/PFN1/SHROOM2/MYO10/MYO6/WASL/MYO5A/MYH3/SLC6A4/CNN3/CGN/ARPC5/IMPACT/GCSAM/CORO6/TWF2/KLHL17/CORO2A/PSTPIP1/CNN1/LIMCH1/PRICKLE4/EPB41L1/KLHL20/MYO18B/LMOD2/BIN1/ANLN/TPM3/TNNT2/CCDC88A/CFL2/PDLIM2/MARCKS/CORO1B/KLHL5/ABL1/ADD2/IPP/LASP1/PAWR/TPM1/TWF1/NCALD/ITGB1/OPHN1/MYO15A/SPIRE1/DIAPH3/FSCN1/ZNF185/MARCKSL1/CAPZA2"	153
