"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOBP_ENDOSOMAL_TRANSPORT"	"GOBP_ENDOSOMAL_TRANSPORT"	"GOBP_ENDOSOMAL_TRANSPORT"	"145/6726"	"233/17872"	1.77329889896443e-14	9.33996530084563e-11	7.48332135362988e-11	"PICALM/DENND1A/DENND5A/CORO1C/TBC1D17/CMTM6/ANXA8/ANKRD50/ZFYVE9/SGSM2/SORL1/RNF126/VPS26B/RAB6A/RAB11A/NDRG4/LEPROT/GRIP1/ANXA8L1/LAPTM4B/SNX18/VPS36/SPAG9/ITSN1/DENND1B/SNX8/TMEM50A/CCDC22/AP5M1/ACTN2/TBC1D10A/RAB11B/VPS16/SNX9/VPS51/EPS15L1/STX6/TMEM50B/ZDHHC2/AP5B1/UBE2O/LEPROTL1/TMEM87B/BLOC1S2/GBF1/ATP9A/RAB7B/GCC2/SNX27/ARHGAP44/CLEC16A/LYST/TINAGL1/HEATR5B/USP7/RIC1/RAB17/REPS1/VPS4A/BAIAP3/SURF4/SNX2/SNX12/BTBD8/SQSTM1/CHMP4B/ARL8B/AKAP5/PREPL/ZFYVE16/TOM1/EHD1/DENND1C/EPS15/RAB14/BET1L/AP3D1/CHMP7/ITSN2/TBC1D14/DPY30/ARHGAP1/MICALL1/PLEKHJ1/SNX5/CHMP2B/INPP5F/AGAP2/SNX6/CHMP4BP1/LMAN1/YKT6/ARF6/ERC1/CLTC/VPS26A/ARFRP1/ALS2/CHMP1B/CHMP1A/SNX17/RAB9A/CLTCL1/PIKFYVE/VTI1A/RAB35/GOSR1/UBXN6/SNX1/ATP6AP1/HEATR5A/SNX33/EEA1/VPS29/VTA1/VCP/ANKRD27/GGA1/RAB29/CHMP5/SNX32/RAB10/TMEM87A/EVI5/AP5S1/DENND2A/SORT1/CCDC93/VPS50/VAMP4/VPS54/SNX4/VPS53/RAB13/SNX3/MICALL2/CHMP2A/LAMTOR1/RAB7A/HGS/VAMP3/CHMP3/TMCC1/AP3B1/KIAA1109"	145
"GOBP_HISTONE_MODIFICATION"	"GOBP_HISTONE_MODIFICATION"	"GOBP_HISTONE_MODIFICATION"	"268/6726"	"498/17872"	7.84161113623776e-14	2.06508829272821e-10	1.65457994974617e-10	"PADI1/PHC1/VEGFA/PINK1/CHD3/KAT6B/TET1/GATA2/DDB1/YEATS2/KAT5/SGF29/ARRB1/AKAP8/CDK2/KMT2C/GATA3/HDAC5/MSL2/BRD4/PRMT1/KMT5B/DNMT1/EID1/KDM6B/PER2/PCGF5/RYBP/SUV39H1/USP36/USP3/C6orf89/JMJD6/JARID2/KDM5B/TAF12/CARM1/UBE2E1/TAF5L/NELFA/DOT1L/DCAF1/KMT2E/MEAF6/TET3/BCL6/FBL/RLF/SETD5/NCOA1/DDB2/PRMT6/SETD1A/SF3B3/JDP2/WDR5B/UIMC1/CHTOP/NFYC/PER1/KDM6A/UBR5/LIF/ASXL1/MAPK3/ATXN7/KAT7/SIRT2/MTHFR/KAT2B/PRKCD/BRPF1/KAT14/MTA3/KDM4B/PHF20/UHRF1/SETD2/SETDB1/WAC/SUPT6H/JMJD1C/MAPK8/SREBF1/KMT5A/HPF1/RCOR1/HDAC11/KDM5C/EP300/HCFC1/TTLL12/MIER2/MTA1/TRIM37/KDM7A/ZNF335/PPM1F/SIN3B/AKAP8L/USP49/ASH2L/TAF7/USP7/KDM2B/HDAC6/JADE3/ENY2/EED/BRD1/SFPQ/LEO1/PAF1/PIH1D1/BRPF3/ZBTB7B/MCRS1/BAZ2A/PHF19/TRERF1/BEND3/CDK9/ACTB/ASH1L/BCOR/SMARCB1/CRTC2/TRRAP/ARID5A/KDM3A/MRGBP/JADE1/SKI/SETD3/PADI2/CDK5/FLCN/KAT8/N6AMT1/NSD1/PADI4/ATG5/HDAC10/SIN3A/VPS72/CREBBP/KANSL2/HUWE1/MED24/KMT2A/CUL4B/GATAD2A/RNF8/RAG1/MBD3/DPY30/SNW1/DTX3L/RRP8/SETDB2/NOC2L/AUTS2/MSL1/PAXIP1/MUC1/ATRX/PRMT5/MORF4L2/KDM2A/HAT1/SKP1/EPC2/KANSL1/GATAD2B/KDM5A/PRKD1/NTMT1/NELFE/PRMT2/DNMT3B/PHF20L1/RBM14/PAGR1/PHF1/WBP2/KDM3B/RUVBL2/HDAC4/SIRT7/AURKB/SRCAP/NFYA/ZNF274/CAMK1/MBTD1/MIER3/PYGO2/UCN/RNF168/FBXL19/RIF1/TET2/ZNF451/PRKCA/JAK2/TP53/COPRS/MYB/TAF10/SART3/EZH2/EPC1/SMYD5/ATXN7L3/CTCF/BAZ1B/PRDM2/MSL3P1/NFYB/PCGF1/DMAP1/WDR61/TRIM16/CLOCK/KMT2D/IWS1/SETMAR/ING5/NCAPG2/PADI3/EZH1/SMAD4/SETD7/FBLL1/SUZ12/MAP3K7/MTA2/UBE2N/KDM4A/SUPT7L/RUVBL1/SUDS3/MAP3K12/CCNA2/EHMT1/PRDM6/ATF2/MIER1/RNF20/RNF2/EP400/MLLT1/KMT2B/TADA3/BRCA1/UTY/ISL1/HDAC9/RBBP4/NCOA3/SAP30BP/LMNA/LDB1/KAT6A/PKN1/RCOR3/VRK2/RPS6KA4"	268
"GOBP_REGULATION_OF_AUTOPHAGY"	"GOBP_REGULATION_OF_AUTOPHAGY"	"GOBP_REGULATION_OF_AUTOPHAGY"	"194/6726"	"339/17872"	1.25607969239256e-13	2.20525724661054e-10	1.76688543396554e-10	"HSPB8/FOXO1/SH3BP4/ATP6V1B1/NUPR1/SVIP/DAP/PINK1/TRIM34/GOLGA2/KAT5/TMEM39A/FZD5/ERN1/PLEKHF1/VPS26B/SNX7/USP13/SESN2/ATP6V0E2/TRIB3/DDIT3/UBQLN1/USP36/BAG3/HIF1A/FOXO3/PIK3CB/RNF41/FBXW7/NPRL3/SNX18/SESN3/PIP4K2C/ULK1/CSNK2A2/ATP6V1B2/OSBPL7/TIGAR/WDR41/OPTN/SUPT5H/MAPK3/HMGB1/PRKACA/GPR137/TSC1/SMG1/SIRT2/LEP/MTMR4/NPC1/ATP6V0A1/WAC/RRAGA/MAPK8/SREBF1/BNIP3L/IL10RA/DAPK3/CAMKK2/VDAC1/LEPR/EP300/CASP3/IL10/PIM2/SCOC/BCL2L11/C9orf72/DAPK1/DRAM1/CLEC16A/BNIP3/QSOX1/HDAC6/ATG14/MTM1/TMEM59/TP53INP2/GPSM1/CAPN1/SPTLC2/TP53INP1/TRIM21/MTMR3/ATP13A2/EEF1A2/FYCO1/ATG7/UVRAG/EXOC4/USP10/ATP6V0D1/GAPDH/TPCN2/FEZ2/CHMP4B/ATP6V1A/TRIM38/CDK5/SNX30/FLCN/LZTS1/KAT8/FOXK1/MFSD8/ATG5/TBC1D25/BCL2/EIF4E/SH3GLB1/TRIM14/MET/TRIM5/MCL1/TBC1D14/TSPO/EPM2A/NRBP2/ATG16L1/USP33/BAD/TICAM1/HMOX1/ZKSCAN3/SNX5/PARL/RIPK2/AKT1/WIPI1/CDK5R1/RAB3GAP1/WDR45/FBXL2/SNX6/SOGA1/VPS26A/ACER2/HSPB1/BOK/PIK3C2A/RAB3GAP2/KLHL22/MTMR9/PRKD1/ATP6V1C2/TAB2/LRSAM1/SREBF2/GSK3B/RPTOR/CISD2/POLDIP2/VPS13D/VPS29/ITPR1/SESN1/TP53/PLK2/CAPNS1/WDR24/EIF4G2/SNX32/STAT3/PIP4K2A/TFEB/PAFAH1B2/BMF/TRIM22/MTCL1/PLK3/SLC25A4/HAX1/GPR137B/PIK3R2/SNX4/MAP3K7/DAPK2/ZC3H12A/NLRP6/KDM4A/ATP6V0B/ENDOG/RUBCN/GATA4/TECPR1/EIF4G3/ABL1/GNAI3/CPTP/DNM1L/EXOC8/SEC22B"	194
"GOBP_GOLGI_VESICLE_TRANSPORT"	"GOBP_GOLGI_VESICLE_TRANSPORT"	"GOBP_GOLGI_VESICLE_TRANSPORT"	"173/6726"	"301/17872"	1.59513202896597e-12	2.10039009914094e-09	1.6828642905591e-09	"MACF1/CREB3L2/SEC24D/GOLGA2/MYO18A/COPG1/SPIRE2/SPIRE1/SGSM2/SORL1/GOLGA4/SEC31A/ARCN1/RAB6A/COPA/PEF1/NBAS/GGA2/TFG/ANK3/SEC13/BCAP29/KIF13A/SNX8/PGAP1/CCDC22/PITPNB/SEC24A/MPPE1/OPTN/WHAMM/GOLT1A/BCAP31/BNIP1/VPS51/STX6/SEC31B/CEP19/COG7/GOLPH3L/DNM2/GBF1/ATP9A/TRAPPC6A/COPG2/RAB7B/GCC2/SCYL1/SEC22C/EXOC6/GOLPH3/KRT18/GOLGA5/WHAMMP3/RSC1A1/YIF1A/KIF1C/TMED10/SEC16A/RAB31/SAR1B/SURF4/SNX2/SPTBN1/SNX12/AP3S1/UVRAG/EXOC4/TBC1D20/SEC24B/TRAPPC3/TRAPPC4/SCAMP2/COMMD1/PREPL/AP1G2/TRIP11/VAPA/EPS15/RAB14/ARF4/VPS13A/AP1AR/BET1L/AP3D1/TBC1D14/NRBP2/CUL3/ARL3/RABEP1/WIPI1/PICK1/EXOC6B/LMAN1/EXOC2/YKT6/TRAPPC6B/SCAP/COPB1/GAS1/ARFRP1/MYO1B/COPB2/PRKD1/VTI1A/AMN/ARF5/GOSR1/SNX1/KDELR3/RAB1B/SCAMP1/VAMP2/COPZ1/COG4/SEC24C/CTAGE3P/RAB33B/EXOC5/ERGIC2/SEC23A/RNF215/AP1G1/VCP/GGA1/NAPG/LYPLA1/RAB29/SYS1/SPAST/ATL2/ARFGEF2/TMED1/RAB10/COPE/ANK1/TMED6/INSIG1/SEC22A/BBS2/BLZF1/TRAPPC11/SORT1/CCDC93/ARFGAP3/PRKCI/KLHL12/COG8/VAMP4/GOSR2/TMEM115/VPS54/RABIF/TICAM2/HYOU1/ERGIC1/RAB13/SNX3/GABARAPL2/COG5/TRAPPC5/IER3IP1/CNST/PLPP3/KDELR2/RNF139/LMAN2L/GOLGA7/VAMP3/ACSL3/EXOC8/ZW10/SEC22B"	173
"GOBP_NUCLEAR_TRANSPORT"	"GOBP_NUCLEAR_TRANSPORT"	"GOBP_NUCLEAR_TRANSPORT"	"176/6726"	"308/17872"	2.04245857022635e-12	2.15152585787644e-09	1.72383503327104e-09	"SMAD3/FYTTD1/GAS6/ING1/IPO4/GLI3/FLNA/THOC6/APOD/PTPN14/SMG7/STRADA/STRADB/RANGAP1/SMO/AGFG1/BAG3/HYAL2/TCF7L2/PRKAG1/RANBP3/SEC13/SMURF1/FERMT1/KPNA3/IPO7/NFKBIA/CHTOP/NUP160/NUP153/UBR5/KPNA2/SUMO1/THOC2/PRKACA/ZC3H11A/TSC1/MED1/SMG1/KPNB1/HSP90AB1/LEP/IPO13/PRKCD/DUSP16/TNPO3/SETD2/SUPT6H/PPP3CA/NUP58/RGS14/AKAP8L/HTATIP2/UPF3B/POM121C/XPOT/ZIC1/AAAS/ENY2/APPL1/CTDSPL2/NUP205/BCL3/POLDIP3/NUP62CL/ALKBH5/POM121/NUP188/TXN/ANP32B/STK4/SQSTM1/DDX19B/NF1/DDX39B/ANKLE1/HSPA9/HHEX/CDK5/TPR/PTPN11/XPO7/PKIG/EMD/NSUN2/FRAT1/UPF2/NUP98/AHCYL1/HNRNPA1/BARD1/RANBP17/ANGPT1/PML/TGFB1/BACH2/MAPK14/NXT2/AKT1/MALT1/NXF1/NMD3/DDX39A/RBM22/PHB2/POLR2D/PKD1/NUP155/THOC7/PIK3R1/CPSF6/NXT1/PRKD1/SUFU/ZC3H11B/THOC5/RANBP6/APPL2/ANP32A/AXIN1/GSK3B/EGR2/NUP93/SIRT7/TARDBP/NCBP2/CAMK1/TNPO1/SRSF3/FAM53A/JAK2/TP53/NOLC1/STAT3/SFN/ANKRD54/HNRNPA2B1/ATXN1/UPF3A/DMAP1/XPO6/ZPR1/RAB23/IWS1/TNPO2/LZTS2/PIK3R2/PPM1A/CALR/LSG1/ZC3H12A/CRY2/THOC3/NUP88/PPP1CC/IPO5/ELAVL1/ECT2/ATF2/EFCAB7/PCID2/RPAIN/ALYREF/PPP1R12A/LMNA/NUP214/HEATR3/STYX/KPNA6/POM121L2/NCBP1/NUP133/RAE1/KPNA1/RSRC1/SMG5"	176
"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS"	"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS"	"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS"	"167/6726"	"294/17872"	1.45269054589156e-11	1.27522018420181e-08	1.02172568394373e-08	"SMAD3/ING1/TFRC/TRIM29/IPO4/GLI3/FLNA/ARL2BP/GBP2/APOD/TOR1AIP2/MAGED1/SESN2/RANGAP1/SMO/BAG3/HYAL2/BYSL/ZBTB16/EIF2AK3/SEC13/LATS2/FERMT1/KPNA3/HDGF/IPO7/FYN/TESK1/LIMK2/NFKBIA/NUP153/UBR5/LIF/KPNA2/TAF3/CTNNA1/SUMO1/KAT7/MED1/SYNE1/KPNB1/HSP90AB1/LEP/IPO13/PRKCD/CTDNEP1/OTUD7B/NVL/SRC/TNPO3/PPP3CA/LATS1/NUP58/YAP1/PARP1/FERMT2/POM121C/ZIC1/APPL1/PAF1/DNAJB6/MFHAS1/BCL3/NUP62CL/MCRS1/TOR1A/POM121/ATP13A2/PLK1/NUP188/TXN/STK4/SQSTM1/NF1/CIZ1/HHEX/CDK5/TPR/FLCN/TERT/PKIG/WWTR1/FBXO4/CARD10/SUN1/RPF2/SIN3A/NUP98/MSX1/SIX1/BARD1/RANBP17/ANGPT1/DTX3L/PML/TGFB1/MAPK14/NXT2/AKT1/SUN2/BANP/NMD3/PIN1/F2/RBM22/SKP1/PHB2/NUP155/PIK3R1/NF2/BBS4/NXT1/PRKD1/SUFU/RANBP6/APPL2/PIKFYVE/DVL1/GSK3B/NUP93/TOR1AIP1/TARDBP/TBRG1/TNPO1/FAM53A/JAK2/TP53/POLR1A/NOLC1/STAT3/ARL2/DMAP1/ZPR1/RAB23/TNPO2/LZTS2/PIK3R2/CALR/OSBPL8/ZC3H12A/CRY2/COL1A1/SUPT7L/NUP88/XPA/IPO5/ELAVL1/ECT2/ATF2/GLUL/NR5A1/TOR1B/EFCAB7/TOPORS/RPAIN/NOL8/MORC3/LMNA/NUP214/HEATR3/HNRNPU/KPNA6/DKC1/POM121L2/NUP133/KPNA1/PINX1"	167
"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"210/6726"	"389/17872"	2.69730829137991e-11	2.02953182438542e-08	1.62609156994617e-08	"SMAD3/HEY1/EPAS1/CMIP/ADM/MAFF/SOX15/EGFR/ST14/SEC24D/WNT7B/INPP5B/CITED2/VEGFA/PKD2/SALL4/EIF2S2/GLI3/GCM1/SLC34A2/ETNK2/PTPN18/TET1/FOSL1/GATA2/OCRL/PHF6/YBX3/FZD5/GATA3/SPINT1/BCL2L1/PRMT1/ASCL2/CASP8/HEG1/ASF1B/ZFP36L1/FGFR2/SMO/LIG4/MYC/WDTC1/HIF1A/BYSL/NLE1/SOCS3/ARNT/PTH1R/CEBPB/RNASEH2B/SNAI1/PSMC4/SLC30A1/NCOA1/CHST11/AKAP3/WDR74/MYO1E/GATA6/CNOT1/NPM2/CCDC24/CHTOP/BMPR1A/MFN2/MAP2K1/GPI/LIF/ATP11A/NOTCH2/CUL4A/ZBED6/VASH2/MED1/ZMIZ1/EOMES/OTUD7B/TCTN1/SETD2/SUPT6H/KRT19/FLVCR1/XAB2/ADCY9/DBN1/ACVR1C/LATS1/YAP1/CIR1/KLF4/SLC25A20/SP3/DHX35/IL10/HES1/ADAMTS3/BCL2L11/ELF3/ZNF335/E2F8/RBPJ/MED21/JUNB/ACVR1B/DNAJB6/GRB2/MYH9/OVOL2/GNA12/CHD7/XRCC2/BCOR/SMARCB1/SLC39A1/STK4/UNK/COPS2/ATP7A/FKBP10/TBX3/EPN1/PDGFB/TGFBR1/CCNB1/FLCN/ELL/NSUN2/EMG1/GNA13/MYBPHL/SIN3A/ZFAND5/MSX1/MBD3/PLOD3/MGAT1/CPT2/ANGPT1/CUL3/ACVR1/KLF2/ADAM10/SH3PXD2A/AKT1/SENP2/YBX1/NDEL1/STMN3/NR2F2/PTCH1/HM13/SMAD2/VASH1/CCM2/PKD1/ANKS6/EPB41L5/BPTF/ALS2/NMT1/ARMC5/RTCB/LY6E/FURIN/AXIN1/GRHL2/CDX2/MIB1/CNOT2/PLCD3/SEC24C/POLB/NBN/SMG9/TP53/TFEB/HS6ST1/ZPR1/MT-ND4/MAFG/ZFP14/NCAPG2/RRP7A/SMAD4/FBLL1/SMIM14/INPP5K/SPINT2/CAPN2/ENDOG/CCDC62/GGNBP2/NSRP1/RCN1/ATF2/SLC39A3/WDR19/CMTM3/TGFB3/DNAAF2/FOXC1/ZNF568/ALKBH1/C5/NDUFA2/CNOT3/NEK2/MBNL1/AR"	210
"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"173/6726"	"309/17872"	3.19773126769453e-11	2.10530632336838e-08	1.68680324370886e-08	"PLB1/PLA2G2F/PLCD4/DGKD/SYNJ2/INPP5D/INPP5B/OSBPL10/ETNK2/PLA2G15/OCRL/CSF1R/PLSCR1/SLC44A1/TTC7B/MTMR11/MTMR2/MTMR1/LPGAT1/SLC44A2/CHPT1/INPP4B/PIK3CB/SOCS3/FAM126A/AJUBA/TTC7A/PISD/PIP4K2C/PIGX/EFR3B/PIGM/PGAP1/LCLAT1/LPCAT3/PIGY/HTR2C/SERINC2/INPPL1/AGPAT3/LDLR/MPPE1/GDPD1/INPP4A/AGPAT5/CDIPT/EFR3A/SOCS2/PIP5K1C/SERINC5/LPCAT1/DGKQ/SMG1/IPMK/NR1H3/MTMR4/MBOAT2/PIK3C2B/LIPH/DNAJC19/PIK3CD/ABCA3/ETNK1/FIG4/PIGN/PIP5KL1/PIGK/PIGQ/PCYT2/STOML2/AGPAT2/PTDSS1/ATG14/PLCD1/PIGO/MTM1/SERAC1/SCARB1/PLA2G10/MTMR3/PIGU/PLA2G6/GDPD3/NR1H2/ABHD12/PIP5K1A/UVRAG/ITPKA/PITPNM2/PIGF/DGKZ/INPP1/PDGFB/FAR1/IMPA2/PLA2G4B/ABHD16A/DPM3/PLCB3/CEPT1/SYNJ1/PIP5K1B/PITPNM1/PNPLA8/DGKG/SOCS4/MTMR10/TPTE/GNPAT/CHRM5/DBI/INPP5F/DHRS7B/MTMR12/LIPC/PHB2/SLA2/LPIN1/APOA2/PLD1/PIGZ/PRDX6/PIK3C2A/PIK3R1/MTMR9/INPP5E/PIKFYVE/TAMM41/PIGB/GPAM/PI4KA/PLD2/PIGP/PLCB1/PI4KAP2/PNPLA6/PIPSL/SH3YL1/GPCPD1/RAB38/PGP/ABHD5/DGKH/PLCB2/PIP4K2A/MTMR7/PLA2G4F/MBOAT1/BPNT1/IMPA1/DPM1/CISH/PIK3C2G/MTMR6/PIK3R2/SMPD4/INPP5K/OSBPL8/CDS2/CAPN2/SLC44A3/ABHD6/ITPKB/GPAT2/SERINC3/CHKB/PI4KAP1/PIGS/ACSL3/PLCG1/PTPMT1/PCYT1A/PIGA"	173
"GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT"	"GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT"	"GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT"	"132/6726"	"223/17872"	4.38032655544086e-11	2.56346444083411e-08	2.05388645155116e-08	"SMAD3/GAS6/SVIP/PINK1/GLI3/ITGAM/FLNA/EDEM1/RHOU/FZD5/APOD/EDEM2/SORL1/PTPN14/BCAS3/B3GAT3/RANGAP1/SMO/USP36/LEPROT/BAG3/HYAL2/TCF7L2/NPEPPS/ANK3/FERMT1/FBXW7/FYN/ATG13/CSNK2A2/UBR5/SUMO1/PRKACA/BCAP31/HSP90AB1/LEP/ICE1/ZDHHC2/PRKCD/SLC1A1/C2CD5/HPS4/ERBB2/MAPK8/SREBF1/CIB1/TM9SF4/BNIP3L/NUP58/GCC2/OAZ2/FIS1/ARHGAP44/PCNT/ZIC1/CTDSPL2/ATP13A2/SAR1B/TXN/ANP32B/VPS11/NF1/UBE2G2/AKAP5/CDK5/TPR/PTPN11/PKIG/EMD/FRAT1/ITGB1BP1/ERLEC1/C11orf65/SH3GLB1/HUWE1/BARD1/ANGPT1/TGFB1/PARL/MAPK14/PTPN1/CDK5R1/NDEL1/PDCD5/UBL5/LMAN1/SH3TC2/RBM22/UBAC2/BAG4/NMT1/PIK3R1/PRKD1/SUFU/CD81/LCP1/SREBF2/GSK3B/CEP131/RAC2/SIRT7/VAMP2/TARDBP/CAMK1/PCM1/JAK2/NOLC1/RAB29/SFN/INSIG1/PRNP/DMAP1/MTCL1/ZPR1/RAB23/TMEM30A/PLK3/HAX1/PIK3R2/CDC42/INPP5K/PPM1A/ZC3H12A/MICALL2/UBE2J2/IPO5/ECT2/EFCAB7/BBC3/MIEF1/TCAF1/OAZ3"	132
"GOBP_DEPHOSPHORYLATION"	"GOBP_DEPHOSPHORYLATION"	"GOBP_DEPHOSPHORYLATION"	"225/6726"	"425/17872"	6.34330347477905e-11	3.34101794016612e-08	2.67687406635676e-08	"DUSP4/SMAD3/NUAK1/NOCT/SMPD1/UBASH3B/SWAP70/PPP1R15A/DNAJC6/CDH5/SYNJ2/ALPL/ITGA2/INPP5D/INPP5B/PPP1R15B/PINK1/PTPN18/OCRL/PPP1R36/PTPRM/ACP2/MTMR11/MTMR2/PTPN14/MTMR1/ATP1A1/PHLPP2/RCAN1/SMG7/DUSP9/NT5M/DUSP1/PPM1K/PTPRE/PPP3CC/PPP2R2A/DUSP5/DLC1/INPP4B/PPP1R3B/SYMPK/PPM1M/EPHX2/NT5DC3/PLPP6/PTPRF/HSP90B1/INPPL1/ENTPD6/TIGAR/INPP4A/CALM2/DUSP7/CDC25B/TSC1/HSP90AB1/MTMR4/PRKCD/DUSP16/CTDNEP1/PPM1J/CTDSPL/TNS3/NUDT16/SRC/MINPP1/FIG4/PPP3CA/CDKN3/PPM1L/PHLPP1/PTPN12/PFKFB4/PTPN3/TIPRL/PPA2/PPM1F/RPRD1B/LPIN2/CPPED1/IQGAP1/FBXW11/MTM1/GNAI2/PPP1CB/CTDSPL2/MFHAS1/SEMA4D/DUSP18/MTMR3/GNA12/CALM3/ATP1A2/PTPRJ/PPM1D/PTP4A1/INPP1/UBLCP1/ITGA1/ILKAP/PPP5C/PTPN11/STYXL1/PPM1E/PPP3R1/PTPN9/IMPA2/BOD1/BCL2/CALM1/SYNJ1/CDC25A/PPM1N/SSH3/MEF2C/NCEH1/PPP6R2/PPP4R3A/PPP2R5E/MTMR10/G6PC3/PPP2R3A/TPTE/HDHD2/PTPN21/TGFB1/CHRM5/LPIN3/PPP2R5B/DUSP11/SSH1/INPP5F/PTPN1/PPP2R3C/NSMF/PPP6R1/CDC14A/PIN1/BOD1L1/MTMR12/SGPP1/PPP2R3B/BAG4/PLPPR2/LPIN1/PDXP/DUSP13/PLPP5/CTDSP1/MTMR9/FKBP1B/RPAP2/INPP5E/ACP5/PPP1R16B/ACP1/NPNT/MAGI2/PTPRG/NT5C3A/PFKFB2/GSK3B/SLC39A10/SSH2/CTTNBP2NL/YWHAB/PPP3CB/TNS2/PTPRU/LHPP/POLB/PHPT1/PPP1R9B/PTPRA/MDP1/PPP2R1B/JAK2/PPP2R1A/PTPN4/NT5C2/PGP/PPP2R5C/PPP2CB/PTBP1/NCKAP1L/PPP1R7/MTMR7/PPP2R2C/TIMM50/PDP1/BPNT1/IMPA1/MASTL/MTMR6/DUSP10/INPP5K/PPM1A/ALPP/CRY2/ARMT1/PPP1CC/CA3/MYH3/DUSP15/PUDP/DUSP6/PPARGC1B/NCK1/PLPP3/SBF1/PPP6R3/SPPL3/NANP/ANKLE2/ARPP19/PPP1R12A/NT5C3B/NT5C/STYX/HDDC2/ENSA/PTPMT1/PPP1R2/SMG5"	225
