"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"40/2100"	"54/5245"	3.56240236796858e-07	4.10582932497707e-05	2.99746453266577e-05	"PLCD4/SYNJ2/INPP5B/OCRL/INPP4B/PIK3CB/IPPK/TPI1/PIP4K2C/INPPL1/INPP4A/CDIPT/ALDH6A1/PIP5K1C/IPMK/PIK3C2B/PIK3CD/MINPP1/PLCE1/PLCD1/PIP5K1A/ITPKA/INPP1/IMPA2/PLCB3/SYNJ1/PIP5K1B/PIK3C2A/INPP5E/PIKFYVE/PI4KA/PLCB1/PLCD3/PLCB2/PIP4K2A/IMPA1/PIK3C2G/INPP5K/ITPKB/PLCG1"	40
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"	"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"	"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"	"52/2100"	"76/5245"	4.41487024191082e-07	4.10582932497707e-05	2.99746453266577e-05	"PLCD4/DGKD/SYNJ2/INPP5D/INPP5B/OCRL/ITPR2/INPP4B/PIK3CB/IPPK/PIP4K2C/INPPL1/INPP4A/CALM2/CDIPT/PIP5K1C/DGKQ/PIK3C2B/PIK3CD/PLCE1/PIK3R5/PLCD1/CALM3/PIP5K1A/ITPKA/DGKZ/INPP1/IMPA2/PLCB3/CALM1/SYNJ1/PIP5K1B/DGKG/PIK3C2A/PIK3R1/INPP5E/PIKFYVE/PI4KA/PLCB1/PLCD3/ITPR1/PRKCA/DGKH/PLCB2/PIP4K2A/IMPA1/PIK3C2G/PIK3R2/INPP5K/CDS2/ITPKB/PLCG1"	52
"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"172/2100"	"325/5245"	8.50579293860088e-07	5.27359162193254e-05	3.84999048799829e-05	"SMAD3/WNT6/FOXO1/EPAS1/AXIN2/ITGA6/SLC2A1/EGFR/FGFR1/IL6/ITGA2/CCND1/PPARG/WNT7B/VEGFA/FOS/GLI3/WNT7A/BRAF/WNT9A/RALBP1/CSF1R/FZD5/CDK2/BCL2L1/FZD1/RUNX1/SKP2/CASP8/RAC3/FGF1/FGFR2/SMO/IGF1R/MYC/PGF/CYCS/FZD4/TCF7L2/HIF1A/CRKL/PIK3CB/JAK1/TFG/ARNT/ZBTB16/MMP2/FZD6/PIAS1/FGF11/NFKBIA/RALGDS/PTK2/FZD8/HSP90B1/FZD7/LAMA1/MAP2K1/NFKB2/CTNNA1/ITGAV/MAPK3/FZD3/LAMC2/ITGA3/HSP90AB1/LAMB3/CUL2/PAX8/BCR/PIK3CD/E2F1/COL4A1/CBLC/CCNE2/ERBB2/STAT1/MAPK8/CDKN1B/DAPK3/PIK3R5/EP300/CASP3/WNT10B/CDKN2B/DAPK1/MSH3/APPL1/CCNE1/DVL2/CHUK/GRB2/COL4A2/LAMB4/PIAS3/CDKN2A/STK4/ARAF/WNT11/PDGFB/TGFBR1/TPR/CCDC6/BCL2/CREBBP/MAPK9/MET/CDK4/RASSF1/BAD/EGLN1/PML/TGFB1/FGF22/MSH6/CASP9/FZD10/VEGFB/AKT1/TRAF4/LAMC1/PTCH1/SMAD2/RELA/NKX3-1/PLD1/TRAF3/PIK3R1/SUFU/FGF17/FGF21/DVL1/CTBP2/AXIN1/GSK3B/RAC2/BIRC2/STAT5B/PRKCA/MITF/TP53/FH/LAMC3/CSF3R/STAT3/CSF2RA/HSP90AA1/LAMA2/PPARD/TRAF2/SMAD4/MAX/PIK3R2/CDC42/DAPK2/LAMB1/FGF8/TCF7L1/VHL/RAC1/RAF1/STK36/TGFB3/LAMA5/EGLN2/ABL1/DVL3/CBL/PLCG1/SOS2/RALA/AR"	172
"KEGG_ENDOCYTOSIS"	"KEGG_ENDOCYTOSIS"	"KEGG_ENDOCYTOSIS"	"103/2100"	"181/5245"	2.31511987285886e-06	0.000107653074087937	7.85922272628401e-05	"IL2RB/PARD3/DNAJC6/EGFR/TFRC/NEDD4L/VPS37C/ARRB1/CSF1R/ARAP1/ERBB3/ASAP1/RAB11A/FGFR2/IGF1R/SMURF1/RNF41/ACAP3/IQSEC1/VPS36/GIT1/VPS37B/HSPA2/LDLR/RAB11B/PIP5K1C/PSD4/SRC/CBLC/DNM2/EPN2/PSD/EPN3/DAB2/SH3KBP1/GRK3/F2R/STAMBP/ITCH/SH3GLB2/VPS4A/HSPA6/RAB31/PIP5K1A/RAB11FIP2/CLTB/CHMP4B/WWP1/ARAP3/EPN1/EHD1/EPS15/PRKCZ/SH3GLB1/MET/AGAP1/PIP5K1B/PARD6A/RAB22A/RABEP1/CHMP2B/IQSEC2/AGAP2/PARD6B/LDLRAP1/ARF6/CLTC/PLD1/CHMP1B/CLTCL1/PIKFYVE/DNM1/PLD2/GRK4/GRK2/GIT2/VPS37A/EEA1/AP2A2/VTA1/SMAP1/CHMP5/SH3GL1/HSPA8/VPS45/STAM2/ARFGAP3/HLA-E/PRKCI/CDC42/RAB5B/CXCR4/CHMP2A/FGFR4/HLA-C/AP2M1/HGS/CBL/VPS37D/CHMP3/USP8/DNM1L/RAB11FIP5"	103
"KEGG_LYSOSOME"	"KEGG_LYSOSOME"	"KEGG_LYSOSOME"	"73/2100"	"121/5245"	4.11560865097345e-06	0.000153100641816212	0.000111771266521174	"SMPD1/PLA2G15/HEXB/ACP2/ASAH1/NAGA/IDS/ABCA2/HGSNAT/AP1S3/LAMP2/ARSG/CTSB/GGA2/FUCA1/LAPTM4B/MANBA/NPC1/ATP6V0A1/CTSL/AP4E1/ENTPD4/GNPTAB/SLC11A2/GLB1/IDUA/LIPA/CTSZ/CTSV/AGA/CD68/AP1S1/AP3S1/CLTB/ARSB/ATP6V0D1/DNASE2/GUSB/MFSD8/CTSK/AP3D1/LAPTM4A/GM2A/SLC17A5/ARSA/SLC11A1/CD63/CTSH/HYAL1/CTSS/CLTC/AP3B2/MCOLN1/CLTCL1/ACP5/ATP6AP1/AP1G1/GGA1/SGSH/PSAPL1/GALNS/CTSD/TCIRG1/TPP1/SORT1/CTSF/AP3M2/PPT2/ATP6V0B/CTSE/ABCB9/AP3B1/CTSC"	73
"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"48/2100"	"73/5245"	6.99674173933326e-06	0.000216898993919331	0.000158347313048068	"SMAD3/ACTN1/NECTIN4/PARD3/EGFR/FGFR1/PTPRM/INSR/RAC3/IGF1R/TCF7L2/WASF2/ACTG1/SNAI1/FYN/SSX2IP/PTPRF/CSNK2A2/CTNND1/ACTN2/CTNNA1/MAPK3/ACTN4/SRC/ERBB2/SORBS1/EP300/IQGAP1/CSNK2A1/ACTB/PTPRJ/TGFBR1/CREBBP/MET/WASL/NECTIN2/PTPN1/VCL/SMAD2/ACP1/LMO7/RAC2/WASF3/SMAD4/CDC42/MAP3K7/TCF7L1/RAC1"	48
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"	"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"	"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"	"116/2100"	"213/5245"	9.93796767800038e-06	0.000264065998301153	0.00019278162864091	"ACTN1/ITGA6/FGD3/EGFR/FGFR1/ITGA2/ITGA5/PAK1/ITGAM/BRAF/CHRM4/ITGB4/PXN/RAC3/FGF1/FGFR2/PAK2/CRKL/PIK3CB/WASF2/ITGB5/MYL9/ACTG1/LIMK2/PIP4K2C/GIT1/FGF11/PTK2/EZR/ACTN2/MAP2K1/ITGAV/MAPK3/PIP5K1C/ITGA3/CYFIP2/PIK3CD/ACTN4/ARPC1B/DOCK1/PIK3R5/ARHGEF7/F2R/IQGAP1/MYH14/PPP1CB/GSN/MYH9/ITGB6/ARPC1A/GNA12/TIAM1/ACTB/PIP5K1A/ARAF/MYL7/ITGA1/PDGFB/TIAM2/ARPC5L/GNA13/SSH3/PIP5K1B/SLC9A1/DIAPH3/WASL/ARHGEF12/ABI2/FGF22/CHRM5/RRAS2/SSH1/GNG12/PDGFC/MYH10/VCL/PDGFD/F2/ENAH/PIK3R1/ARPC5/PIKFYVE/FGF17/FGF21/ARPC2/SSH2/MYL5/BCAR1/RAC2/CHRM3/PAK4/TMSB4Y/ITGB3/MYLK3/PIP4K2A/PFN1/NCKAP1L/CYFIP1/ITGAL/RRAS/PIK3R2/CDC42/PAK6/FGF8/PPP1CC/ARPC3/RAC1/RAF1/MYLK2/VAV1/FGFR4/MRAS/ARPC4/ARHGEF1/PPP1R12A/SOS2"	116
"KEGG_MAPK_SIGNALING_PATHWAY"	"KEGG_MAPK_SIGNALING_PATHWAY"	"KEGG_MAPK_SIGNALING_PATHWAY"	"140/2100"	"267/5245"	1.76067945941888e-05	0.00040935797431489	0.000298852171401363	"DUSP4/PLA2G2F/MAP2K6/EGFR/FGFR1/FOS/CACNA1S/PAK1/FLNA/ECSIT/BRAF/MAP3K3/ARRB1/GADD45A/FLNB/NFATC2/DUSP9/RAC3/DUSP1/CACNB3/FGF1/DDIT3/FGFR2/PPP3CC/PAK2/DUSP5/MYC/ATF4/CACNG4/CRKL/RASGRF1/MAP2K7/PRKACB/MKNK2/MAP3K8/GADD45B/FGF11/TNFRSF1A/MAP3K14/HSPA2/FLNC/MAP2K1/NFKB2/MAPK3/DUSP7/PRKACA/CDC25B/MAPKAPK2/DUSP16/CACNA1D/RASGRF2/PPP3CA/MAPK8/RASA2/RPS6KA2/CASP3/MAPK12/MAP4K4/MAPKAPK5/TAOK2/CACNA1E/HSPA6/CHUK/CACNA1F/GRB2/MAPK7/PLA2G10/GNA12/PLA2G6/RAPGEF2/MAPKAPK3/STK4/MAP2K3/NF1/MAP3K1/PPP5C/PDGFB/TGFBR1/PPP3R1/MAP2K4/PLA2G4B/MAPK9/MEF2C/NR4A1/MKNK1/TGFB1/FGF22/RRAS2/MAPK14/AKT1/GNG12/MAPK8IP2/JMJD7-PLA2G4B/RELA/LAMTOR3/HSPB1/IL1R2/TAOK3/MAPK13/TAB2/FGF17/FGF21/NTF4/RAC2/RPS6KA1/IL1R1/PPP3CB/PRKCA/TP53/MAP3K5/CACNG6/RASGRP2/HSPA8/MAP3K2/TRAF2/RRAS/MAP4K2/DUSP10/MAX/CDC42/PPM1A/MAP3K7/GADD45G/FGF8/MAP3K12/CACNA1C/ATF2/RAC1/RAF1/IL1A/DUSP6/TGFB3/FGFR4/MRAS/JUND/PRKX/SOS2/RPS6KA4/STMN1/ELK1"	140
"KEGG_PANCREATIC_CANCER"	"KEGG_PANCREATIC_CANCER"	"KEGG_PANCREATIC_CANCER"	"45/2100"	"70/5245"	3.20851887241514e-05	0.00066309390029913	0.000484092321101232	"SMAD3/EGFR/CCND1/VEGFA/BRAF/RALBP1/BCL2L1/RAC3/PGF/PIK3CB/JAK1/RALGDS/MAP2K1/MAPK3/PIK3CD/E2F1/ERBB2/STAT1/MAPK8/PIK3R5/CHUK/CDKN2A/ARAF/TGFBR1/MAPK9/CDK4/BAD/TGFB1/CASP9/VEGFB/AKT1/SMAD2/RELA/PLD1/PIK3R1/RAC2/TP53/STAT3/SMAD4/PIK3R2/CDC42/RAC1/RAF1/TGFB3/RALA"	45
"KEGG_FOCAL_ADHESION"	"KEGG_FOCAL_ADHESION"	"KEGG_FOCAL_ADHESION"	"107/2100"	"199/5245"	4.54099951223288e-05	0.000844625909275316	0.000616619933766359	"ACTN1/ITGA6/FLT4/EGFR/ITGA2/CCND1/ITGA5/VEGFA/TLN2/PAK1/CAV1/FLNA/BRAF/ITGB4/COL6A3/FLNB/PXN/VWF/RAC3/PAK2/IGF1R/PGF/CRKL/PIK3CB/RASGRF1/ITGB5/MYL9/ACTG1/RAPGEF1/FYN/PTK2/FLNC/ACTN2/LAMA1/MAP2K1/SHC1/ITGAV/MAPK3/LAMC2/PIP5K1C/ITGA3/LAMB3/PIK3CD/ACTN4/SRC/COL4A1/DOCK1/COL2A1/ERBB2/COL5A1/MAPK8/PIK3R5/PPP1CB/GRB2/COL4A2/ITGB6/LAMB4/ACTB/TLN1/VASP/MYL7/ITGA1/THBS3/PDGFB/BCL2/MAPK9/MET/PARVA/ZYX/BAD/VEGFB/AKT1/PDGFC/VTN/VCL/PDGFD/LAMC1/PIK3R1/GSK3B/CAV2/MYL5/BCAR1/RAC2/PAK4/BIRC2/PRKCA/ITGB3/LAMC3/MYLK3/LAMA2/PIK3R2/CDC42/LAMB1/COL1A1/CAPN2/PAK6/COL5A2/PPP1CC/RAC1/RAF1/MYLK2/VAV1/LAMA5/PPP1R12A/SHC3/SOS2/ELK1"	107
