"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES"	"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES"	"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES"	"27/2551"	"50/10646"	4.42785693456116e-06	0.00553924902513601	0.005075722317618	"XBP1/TSPYL2/EDEM1/ERN1/GFPT1/SEC31A/HSPA5/SRPRA/HDGF/FKBP14/EXTL1/SHC1/DNAJB9/ACADVL/WIPI1/WFS1/KDELR3/HYOU1/TLN1/TPP1/PPP2R5B/ARFGAP1/GOSR2/YIF1A/MYDGF/SERP1/PLA2G4B"	27
"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"41/2551"	"92/10646"	1.08554498059772e-05	0.00679008385363876	0.00622188675721538	"CREB3L2/ATF3/EXOSC5/XBP1/TSPYL2/EDEM1/ERN1/CREB3L1/HERPUD1/GFPT1/SEC31A/HSPA5/SRPRA/HDGF/DCP2/FKBP14/EXTL1/EIF2S2/SHC1/DNAJB9/CEBPB/NFYC/ACADVL/WIPI1/WFS1/KDELR3/ATF4/HYOU1/EIF2AK3/TLN1/TPP1/PPP2R5B/EXOSC3/ARFGAP1/GOSR2/NFYA/YIF1A/MYDGF/SERP1/PLA2G4B/DDIT3"	41
"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"101/2551"	"293/10646"	2.56464545799993e-05	0.0106945715598597	0.00979964527635763	"ST3GAL1/SLC2A1/STAB2/AKR1B1/HK2/HAS3/HK1/ACAN/B4GALT5/HEXB/GYS1/CHSY1/B3GNT2/SEC13/PHKA2/EXT1/UBB/CHST11/ALDOA/GLCE/DSE/XYLT1/ALDOC/SLC35B3/PRPS1/PRKACB/PFKL/ST3GAL6/PKM/PGM1/B4GALT6/PAPSS1/NDST1/PFKP/ENO1/MANBA/SDC1/CHST15/TPR/RPE/B3GNT3/PRPS2/PCK2/CHST14/TPI1/GPI/B3GAT3/PFKFB4/EXT2/CALM1/DERA/CHPF/SDC3/GYG2/HGSNAT/AKR1A1/POM121/GALE/TKFC/TKT/HS2ST1/SLC37A1/POM121C/PPP2CA/SLC35D2/UST/HMMR/GBE1/FUT11/IDUA/GAPDH/PYGB/ENO3/DCXR/SLC26A2/CHSY3/GLB1/B4GALT3/AAAS/MAN2B2/PYGL/KHK/CHST2/NUP35/NUP214/NUP153/PGK1/SLC25A11/SLC9A1/SDC4/FUT1/PGAM1/B4GALT2/IDS/NUP58/UBC/GPC4/NUP98/HSPG2/HS6ST3/FUT3"	101
"REACTOME_CILIUM_ASSEMBLY"	"REACTOME_CILIUM_ASSEMBLY"	"REACTOME_CILIUM_ASSEMBLY"	"73/2551"	"202/10646"	6.03724722942433e-05	0.0178822921646328	0.0163858943727419	"PDE6D/PKD2/ASAP1/TUBB3/CNTRL/CNGB1/CEP250/DYNC2H1/TUBB4B/RAB11A/IFT80/SFI1/DYNC2LI1/BBS10/CEP164/TTC30B/CEP192/CETN2/BBS7/RAB3IP/ARL13B/EXOC6/SMO/KIF3A/HDAC6/AHI1/MKKS/NINL/TUBAL3/CEP131/EXOC2/IFT57/NEK2/WDR19/GBF1/HSP90AA1/IFT43/ARL6/IFT46/CEP70/HAUS8/PLK1/NEDD1/B9D2/EXOC1/TMEM67/TTC21B/BBS12/PKD1/DYNC1I2/IFT140/IFT52/TUBA1A/CEP78/CDK1/ACTR1A/SDCCAG8/CEP63/HAUS6/CEP72/CEP97/BBS2/AKAP9/TNPO1/CLUAP1/PRKAR2B/ARF4/TTC26/EXOC8/PLK4/ARL3/CCT5/IFT81"	73
"REACTOME_RHO_GTPASE_CYCLE"	"REACTOME_RHO_GTPASE_CYCLE"	"REACTOME_RHO_GTPASE_CYCLE"	"143/2551"	"450/10646"	7.14719910656786e-05	0.0178822921646328	0.0163858943727419	"SYDE1/PICALM/FGD3/EPHA2/ACTN1/SWAP70/STBD1/CDC42EP1/TRIP10/PLEKHG1/ARHGAP10/PLEKHG6/BASP1/ARHGEF5/ARAP1/OBSCN/RALBP1/PLEKHG3/CKAP4/TPM4/ALDH3A2/PAK1/SLC1A5/VANGL1/CPD/FAM13A/DEPDC1B/STK10/SHMT2/STARD8/ARHGEF18/LBR/WASF2/ADD3/TJP2/OCRL/ARHGAP32/NDUFA5/CAV1/WIPF3/DLC1/CDC42EP4/SRGAP1/CDC42BPA/ARHGAP33/RAPGEF1/PAK2/SRRM1/RHPN2/GRB2/ARL13B/SRC/PLEKHG4/RASAL2/GOLGA3/BCAP31/TMEM59/SPEN/DOCK11/FGD4/ABCD3/CCDC88A/SPTAN1/VIM/CAPZB/VANGL2/TMEM87A/MTMR1/RALGAPA1/ITSN2/WIPF2/ACTG1/FAM91A1/PKN1/TNFAIP1/CYFIP2/ITSN1/RNF20/HSP90AA1/ARHGAP21/ARHGAP45/LRRC1/WHAMM/DDX4/DSP/ARHGAP23/FMNL2/ECT2/RAC3/TRIO/DOCK6/ARHGAP20/GIT1/ARHGAP40/SEMA4F/TWF1/RHPN1/SH3PXD2A/AAAS/CCT6A/ACTB/C1QBP/DAAM1/TFRC/MTX1/SYDE2/FRS2/ARHGAP1/ELMO2/PGRMC2/FLOT2/HSP90AB1/TIAM1/DDRGK1/RAC2/NCKAP1L/PDE5A/FARP1/GRB7/DOCK1/WDR91/TMOD3/TOR1AIP1/NCK2/CDC42SE2/ARHGEF10/NET1/RHOU/SLK/DNMBP/RTKN/ARHGAP22/CEP97/RASGRF2/SRGAP2/VRK2/UBXN11/OPHN1/ABI2/SCRIB/KCTD3/DLG5/BCR"	143
"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR"	"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR"	"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR"	"9/2551"	"11/10646"	8.73741209160492e-05	0.0182175042109963	0.0166930557329084	"EPAS1/VEGFA/CITED2/EPO/HIGD1A/ARNT/EP300/HIF1A/CREBBP"	9
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"	"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"	"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"	"67/2551"	"186/10646"	0.000133148438661138	0.0237955281092977	0.0218043082258615	"SEC24D/MGAT3/B4GALT5/COPG1/GOLGA2/COPA/CD55/SEC13/ARCN1/MGAT4A/TUBB3/ACTR10/SEC31A/TUBB4B/B4GALT6/GOLGB1/SEC22C/ARF1/SEC24A/F8/MGAT4B/BET1L/SPTAN1/MAN1C1/CAPZB/TFG/TUBAL3/SAR1B/ST6GAL1/CHST10/GBF1/FUCA1/DCTN4/MANEA/DYNC1LI1/SEC16A/CD59/TRAPPC4/GORASP1/TRAPPC6B/NAPG/KDELR3/SPTB/B4GALT3/COPG2/DYNC1I2/KDELR2/COL7A1/TUBA1A/CTSC/USO1/TRAPPC6A/ACTR1A/MAN2A2/CTSZ/GOSR1/KDELR1/ARFGAP1/TRAPPC3/GOSR2/B4GALT2/ANK3/ARF4/PPP6R1/CNIH1/MAN1A1/FUT3"	67
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES"	"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES"	"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES"	"11/2551"	"16/10646"	0.000187814698712241	0.0293695235111267	0.0269118693286356	"FOXO1/CITED2/PINK1/FOXO3/BCL6/NFYC/EP300/BCL2L11/NFYA/DDIT3/CREBBP"	11
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION"	"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION"	"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION"	"100/2551"	"305/10646"	0.000246896909800157	0.0324843864865898	0.0297660792493553	"ST3GAL1/SEC24D/MGAT3/MPI/FPGT/ST6GALNAC2/B4GALT5/COPG1/GOLGA2/COPA/CD55/SEC13/ARCN1/MGAT4A/EDEM2/TUBB3/EDEM1/ACTR10/UBB/SLC35A1/AMFR/GFPT1/SEC31A/TUBB4B/ST3GAL6/ST3GAL5/RAD23B/B4GALT6/GOLGB1/SEC22C/RNF103/RPN1/EDEM3/ARF1/SEC24A/F8/MGAT4B/BET1L/SPTAN1/MAN1C1/CAPZB/RNF185/TFG/TUBAL3/SAR1B/GMPPB/ST6GAL1/CHST10/GBF1/CANX/FUCA1/DCTN4/MANEA/DYNC1LI1/SEC16A/CD59/ALG6/UGGT2/DOLPP1/TRAPPC4/GORASP1/TRAPPC6B/NAPG/GMPPA/KDELR3/SPTB/GLB1/B4GALT3/COPG2/DYNC1I2/KDELR2/COL7A1/TUBA1A/CTSC/USO1/SRD5A3/TRAPPC6A/ACTR1A/MAGT1/MAN2A2/CTSZ/GOSR1/KDELR1/DPM1/ARFGAP1/TRAPPC3/DPAGT1/NANS/GOSR2/B4GALT2/GANAB/UBC/ANK3/ARF4/PPP6R1/CNIH1/ALG3/MAN1A1/FUT3/TRIM13"	100
"REACTOME_MAPK3_ERK1_ACTIVATION"	"REACTOME_MAPK3_ERK1_ACTIVATION"	"REACTOME_MAPK3_ERK1_ACTIVATION"	"8/2551"	"10/10646"	0.000301075625204976	0.0324843864865898	0.0297660792493553	"IL6/MAP2K1/MAPK3/JAK1/IL6ST/JAK2/IL6R/CDK1"	8
