"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"REACTOME_RHO_GTPASE_CYCLE"	"REACTOME_RHO_GTPASE_CYCLE"	"REACTOME_RHO_GTPASE_CYCLE"	"270/4563"	"450/10646"	6.20248505369041e-14	7.85234607797206e-11	6.45711338747349e-11	"SYDE1/ACTN1/STBD1/SWAP70/PLEKHG1/FGD3/PICALM/OBSCN/PLEKHG6/ARHGAP29/CDC42EP1/EPHA2/TFRC/TRIP10/PAK1/CAV1/BASP1/TJP2/ARHGAP10/OCRL/FAM13A/RHOU/RALBP1/SHMT2/DOCK11/CPD/SRGAP1/VANGL1/ARAP1/DAAM1/SEMA4F/TPM4/ARHGAP21/SLC1A5/FMNL2/MTMR1/WIPF3/PLEKHG3/FGD4/ARHGAP45/RAC3/ARHGEF18/RASAL2/STK10/PAK2/STARD8/FARP1/SYDE2/DLC1/LRRC1/ARHGAP33/ALDH3A2/ARHGEF5/WASF2/RHPN1/LBR/TRIO/ACTG1/RAPGEF1/RHPN2/CHN2/GIT1/ITSN1/SPEN/C1QBP/MSI2/GRB7/MPP7/SPTAN1/ARHGAP32/WHAMM/DSP/DEPDC1B/BCAP31/HSP90AB1/ARHGEF39/NHS/BCR/KTN1/CYFIP2/WDR91/RASGRF2/SRC/DOCK1/GOLGA3/DOCK9/WIPF2/ELMO2/DBN1/UHRF1BP1L/PLEKHG5/PGRMC2/NCK2/DNMBP/FERMT2/ARHGEF7/MTX1/ARHGAP44/RTKN/TMOD3/SRRM1/UBXN11/ARL13B/CDC42BPA/IQGAP1/AAAS/CEP97/RHOV/TMEM59/TNFAIP1/FAM83B/DOCK7/GRB2/OPHN1/DOCK5/PDE5A/ARHGDIA/FLOT2/DDX4/SPTBN1/CCDC88A/TIAM1/ACTB/HINT2/TUBA1B/ARHGAP23/MYO9B/COPS2/CCP110/DDX39B/ARHGEF16/RBMX/ARAP3/NDUFA5/ARHGAP12/CDC42SE2/ABI1/TIAM2/EMD/MYO6/ARHGAP20/ARHGEF3/VANGL2/GNA13/NOXA1/CKAP4/BAIAP2L1/ANLN/FAM13B/ITSN2/ARHGAP6/DIAPH3/WASL/FAM135A/ARHGAP1/DDRGK1/VIM/ARHGAP19/CUL3/RALGAPA1/PREX1/FMNL1/PARD6A/CAPZB/PLEKHG4/NISCH/MCAM/ARHGEF12/ABI2/ARHGAP17/SH3PXD2A/ARHGEF40/CDC42EP4/RRAS2/FAM91A1/ARHGDIB/PARD6B/LMAN1/YKT6/SH3BP1/ARHGEF2/CLTC/PLD1/ADD3/ALS2/PIK3R1/PKP4/CDC42EP3/TAOK3/RHOC/WWP2/PLD2/ATP6AP1/DBT/DEF6/NSFL1C/ABCD3/GIT2/RAC2/TOR1AIP1/KIF14/FAM169A/PAK4/VCP/SH3RF1/SPATA13/HNRNPC/CDC42BPB/FNBP1/DSG2/FNBP1L/NCKAP1L/LEMD3/ARHGEF9/KCTD13/TMEM87A/ARHGAP39/AKAP12/CYFIP1/HSP90AA1/SAMM50/RHOBTB2/DOCK8/FRS2/POTEE/STAM2/ARFGAP3/WASF3/ARHGAP31/CCDC187/PIK3R2/CDC42/SRGAP2/MCF2L/WDR81/PAK6/RHOG/ECT2/LAMTOR1/RNF20/TEX2/RAC1/ACBD5/CDC42EP2/VAV1/NCK1/TWF1/ZAP70/ARMCX3/RAB7A/PKN3/HGS/WIPF1/EPSTI1/DOCK6/PLXNB1/ARHGEF1/HSPE1/ANKLE2/VAMP3/COPS4/NGEF/ARHGEF11/PKN1/VRK2/ARHGAP22/SOS2/TXNL1/PKN2/ARHGAP8"	270
"REACTOME_RAC1_GTPASE_CYCLE"	"REACTOME_RAC1_GTPASE_CYCLE"	"REACTOME_RAC1_GTPASE_CYCLE"	"118/4563"	"184/10646"	3.81150353602947e-09	2.41268173830665e-06	1.98398789322797e-06	"SWAP70/PLEKHG1/PLEKHG6/ARHGAP29/CDC42EP1/EPHA2/TFRC/PAK1/CAV1/ARHGAP10/FAM13A/RALBP1/DOCK11/SRGAP1/VANGL1/ARAP1/ARHGAP21/SLC1A5/WIPF3/PLEKHG3/ARHGAP45/ARHGEF18/PAK2/FARP1/SYDE2/DLC1/ARHGAP33/ARHGEF5/WASF2/LBR/TRIO/CHN2/GIT1/MPP7/ARHGAP32/DEPDC1B/ARHGEF39/NHS/BCR/KTN1/CYFIP2/RASGRF2/DOCK1/DOCK9/WIPF2/FERMT2/ARHGEF7/ARHGAP44/CDC42BPA/IQGAP1/DOCK7/OPHN1/DOCK5/ARHGDIA/TIAM1/ARHGAP23/MYO9B/ARAP3/ARHGAP12/ABI1/TIAM2/EMD/ARHGAP20/GNA13/NOXA1/BAIAP2L1/FAM13B/DIAPH3/WASL/ARHGAP1/PREX1/FMNL1/PARD6A/PLEKHG4/NISCH/MCAM/ABI2/ARHGAP17/CDC42EP4/ARHGDIB/YKT6/SH3BP1/PLD1/ALS2/PIK3R1/TAOK3/PLD2/DEF6/GIT2/PAK4/SPATA13/NCKAP1L/LEMD3/ARHGAP39/CYFIP1/DOCK8/WASF3/ARHGAP31/PIK3R2/CDC42/SRGAP2/MCF2L/PAK6/ECT2/LAMTOR1/RAC1/VAV1/RAB7A/WIPF1/DOCK6/VAMP3/NGEF/ARHGEF11/PKN1/VRK2/ARHGAP22/SOS2/PKN2"	118
"REACTOME_CDC42_GTPASE_CYCLE"	"REACTOME_CDC42_GTPASE_CYCLE"	"REACTOME_CDC42_GTPASE_CYCLE"	"99/4563"	"155/10646"	9.15752285683092e-08	3.86447464558265e-05	3.17782108961606e-05	"SYDE1/PLEKHG1/FGD3/ARHGAP29/CDC42EP1/TFRC/PAK1/CAV1/ARHGAP10/RALBP1/DOCK11/SRGAP1/VANGL1/ARAP1/DAAM1/ARHGAP21/FMNL2/WIPF3/PLEKHG3/FGD4/ARHGAP45/PAK2/STARD8/FARP1/DLC1/ARHGAP33/ARHGEF5/LBR/TRIO/GIT1/ITSN1/ARHGAP32/DEPDC1B/BCR/KTN1/WDR91/RASGRF2/DOCK9/WIPF2/DNMBP/ARHGEF7/ARHGAP44/CDC42BPA/IQGAP1/DOCK7/OPHN1/ARHGDIA/TIAM1/MYO9B/ARHGEF16/ARAP3/CDC42SE2/ARHGAP20/GNA13/FAM13B/DIAPH3/WASL/ARHGAP1/PREX1/FMNL1/PARD6A/PLEKHG4/ARHGEF12/ARHGAP17/SH3PXD2A/CDC42EP4/ARHGDIB/YKT6/PLD1/PIK3R1/CDC42EP3/DEF6/GIT2/PAK4/SPATA13/CDC42BPB/FNBP1/FNBP1L/ARHGEF9/ARHGAP39/DOCK8/ARFGAP3/ARHGAP31/PIK3R2/CDC42/SRGAP2/MCF2L/WDR81/PAK6/ECT2/LAMTOR1/CDC42EP2/RAB7A/WIPF1/DOCK6/VAMP3/NGEF/ARHGEF11/ARHGAP22"	99
"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"63/4563"	"92/10646"	5.63308700116825e-07	0.000178287203586975	0.000146608501161984	"ATF3/CREB3L2/EIF2S2/XBP1/EXOSC5/EDEM1/HERPUD1/DCP2/ERN1/FKBP14/GFPT1/SEC31A/DDIT3/ATF4/CEBPB/EIF2AK3/HDGF/TSPYL2/DNAJB9/NFYC/HSP90B1/SHC1/WFS1/EXTL1/PDIA6/ASNS/EXTL3/CREB3L1/SSR1/MYDGF/HSPA5/YIF1A/CEBPG/ACADVL/ATP6V0D1/TLN1/MBTPS1/PDIA5/PLA2G4B/SRPRA/KHSRP/PPP2R5B/EXOSC7/WIPI1/ZBTB17/EIF2S3/KDELR3/SULT1A3/SERP1/NFYA/DNAJC3/MBTPS2/NFYB/DIS3/TPP1/GOSR2/HYOU1/CALR/PARN/CUL7/LMNA/EXTL2/EXOSC3"	63
"REACTOME_RAC2_GTPASE_CYCLE"	"REACTOME_RAC2_GTPASE_CYCLE"	"REACTOME_RAC2_GTPASE_CYCLE"	"60/4563"	"88/10646"	1.31248754821221e-06	0.00028971183181992	0.000238234806410494	"SYDE1/STBD1/SWAP70/CDC42EP1/EPHA2/TFRC/PAK1/CAV1/VANGL1/ARHGAP21/PAK2/WASF2/LBR/TRIO/GIT1/MPP7/ARHGAP32/DEPDC1B/NHS/BCR/DOCK1/PGRMC2/MTX1/IQGAP1/OPHN1/ARHGDIA/TIAM1/ABI1/EMD/BAIAP2L1/DIAPH3/ARHGAP1/PREX1/MCAM/ABI2/ARHGAP17/CDC42EP4/LMAN1/PIK3R1/TAOK3/PLD2/DEF6/GIT2/RAC2/PAK4/DSG2/NCKAP1L/LEMD3/ARHGAP39/CYFIP1/SAMM50/PIK3R2/CDC42/LAMTOR1/VAV1/ARMCX3/RAB7A/ANKLE2/VAMP3/VRK2"	60
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA"	"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA"	"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA"	"140/4563"	"242/10646"	1.4991528312959e-06	0.00028971183181992	0.000238234806410494	"FYTTD1/THOC6/SNRPA/SYMPK/SEC13/SLBP/SART1/CASC3/SF3B3/CSTF3/CHTOP/NUP160/ZCRB1/NUP153/GTF2F1/THOC2/ZC3H11A/HNRNPUL1/PCBP1/PRPF19/SF3A2/RBM17/PRPF31/WBP11/SF3B1/SRSF4/CSTF2T/POLR2K/TFIP11/RNPC3/XAB2/NUP58/SNRNP200/SF3A1/U2AF2/CTNNBL1/GPKOW/SRRM1/UPF3B/HNRNPK/POM121C/AAAS/DDX46/LSM8/NUP205/POLDIP3/POM121/SRRM2/NUP188/LSM4/DDX5/POLR2L/SRSF9/SRSF5/NUP37/U2AF1/SF3B2/DDX39B/HNRNPF/U2AF1L4/RBMX/TPR/HNRNPR/NUP98/EIF4E/LSM7/HNRNPA1/SNW1/SNRPA1/POLR2C/HNRNPD/PPIL1/SNRNP25/U2SURP/YBX1/PCF11/NXF1/DDX39A/CWC27/EFTUD2/PRPF3/CHERP/PUF60/DHX38/RBM22/CWC25/POLR2D/NUP155/THOC7/SF3B4/WBP4/EIF4A3/SNRPD2/HNRNPA3/NXT1/THOC5/POLR2E/PRPF6/SNRPB/FIP1L1/NUP93/NCBP2/RBM5/SLU7/SRSF3/CPSF1/HNRNPC/CPSF4/PTBP1/POLR2H/SF3A3/HSPA8/PCBP2/HNRNPA2B1/PPWD1/CWC22/LSM3/THOC3/ZRSR2/NUP88/CCAR1/ELAVL1/PHF5A/CWC15/NDC1/SRSF2/ALYREF/LSM5/NUP210/SRRT/NUP214/SUGP1/HNRNPU/HNRNPL/NCBP1/NUP133/RAE1/DHX15/SNRNP27/PPIL3"	140
"REACTOME_RHOG_GTPASE_CYCLE"	"REACTOME_RHOG_GTPASE_CYCLE"	"REACTOME_RHOG_GTPASE_CYCLE"	"52/4563"	"74/10646"	1.60188216646085e-06	0.00028971183181992	0.000238234806410494	"STBD1/CDC42EP1/EPHA2/TFRC/CAV1/SHMT2/VANGL1/ARHGAP21/PLEKHG3/PAK2/ARHGEF5/LBR/TRIO/ITSN1/MPP7/ARHGAP32/DEPDC1B/KTN1/DOCK1/ELMO2/PGRMC2/OPHN1/DOCK5/ARHGDIA/ARHGEF16/NDUFA5/EMD/DIAPH3/ARHGAP1/PREX1/MCAM/ARHGDIB/LMAN1/YKT6/PLD1/PIK3R1/PAK4/DSG2/LEMD3/ARHGAP39/CYFIP1/ARFGAP3/CDC42/MCF2L/RHOG/LAMTOR1/VAV1/RAB7A/HSPE1/ANKLE2/VAMP3/VRK2"	52
"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"165/4563"	"293/10646"	1.83430765796127e-06	0.000290279186872372	0.00023870135180575	"STAB2/ST3GAL1/HK2/SLC2A1/AKR1B1/ACAN/HK1/PHKA2/XYLT1/ST3GAL6/CHPF/HAS3/TKFC/GBE1/SDC3/HEXB/EXT1/EXT2/PGM1/CHSY1/PYGB/CHST15/B3GNT2/GYS1/IDS/PRPS1/GYG2/DSE/DCXR/B4GALT5/B3GAT3/HGSNAT/PCK2/FUT11/TKT/SLC35D2/HYAL2/ENO1/PKM/NDST1/ALDOA/PFKP/UBB/TPI1/XYLB/SEC13/PRKACB/SLC37A1/B4GAT1/FUT3/B4GALT3/CHST11/FUT4/PYGL/NUP160/NUP153/ST3GAL3/GPI/MANBA/B4GALT6/GALE/MAN2B2/PRKACA/PRPS2/PFKL/CHST14/CHSY3/GPC4/HS3ST3B1/PGK1/KHK/GLCE/GLB1/AKR1A1/ALDOC/SLC35B3/NUP58/PFKFB4/UGP2/SLC35B2/GPC1/SLC26A2/SDC1/IDUA/POM121C/XYLT2/AAAS/HPSE2/PGM2L1/NUP205/HS2ST1/FUT1/CSPG5/POM121/MDH2/NUP188/SHPK/HSPG2/SDC4/NUP37/ARSB/GAPDH/HS6ST3/ST3GAL4/HMMR/SLC25A12/B4GALT2/UST/TPR/B3GNT3/GUSB/DERA/ADPGK/TALDO1/AGRN/BPGM/NUP98/CALM1/SLC9A1/EPM2A/PGAM1/G6PC3/PGD/RPE/FUT10/B3GALT6/HYAL1/UBC/PGM2/RBKS/GALK1/NUP155/HS3ST3A1/SLC37A4/PFKFB2/NUP93/B4GALT4/PPP2R1B/PPP2R1A/SGSH/PGP/GNPDA1/PPP2CB/CHST3/GLB1L/HS6ST1/PAPSS1/GALNS/ST3GAL2/GOT2/CHST2/AGL/SLC25A10/NUP88/SLC25A13/GYG1/SLC25A11/GAPDHS/NDC1/PYGM/NUP210/NUP214/HK3/NUP133/RAE1"	165
"REACTOME_RHOQ_GTPASE_CYCLE"	"REACTOME_RHOQ_GTPASE_CYCLE"	"REACTOME_RHOQ_GTPASE_CYCLE"	"43/4563"	"59/10646"	2.73956418866523e-06	0.000385365362538909	0.000316892278665487	"SYDE1/OBSCN/CDC42EP1/TFRC/TRIP10/PAK1/CAV1/VANGL1/ARHGAP21/SLC1A5/PLEKHG3/PAK2/DLC1/ARHGAP33/GIT1/ITSN1/MPP7/ARHGAP32/DEPDC1B/ARHGEF7/ARL13B/CDC42BPA/IQGAP1/OPHN1/DIAPH3/WASL/ARHGAP1/PREX1/ARHGAP17/CDC42EP4/CDC42EP3/WWP2/GIT2/PAK4/CDC42BPB/FNBP1/ARHGEF9/CDC42/SRGAP2/LAMTOR1/CDC42EP2/RAB7A/VAMP3"	43
"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES"	"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES"	"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES"	"37/4563"	"50/10646"	7.59763771295649e-06	0.00092059284685806	0.000757018645998687	"XBP1/EDEM1/ERN1/FKBP14/GFPT1/SEC31A/HDGF/TSPYL2/DNAJB9/SHC1/WFS1/EXTL1/PDIA6/EXTL3/SSR1/MYDGF/HSPA5/YIF1A/ACADVL/ATP6V0D1/TLN1/PDIA5/PLA2G4B/SRPRA/PPP2R5B/WIPI1/ZBTB17/KDELR3/SULT1A3/SERP1/DNAJC3/TPP1/GOSR2/HYOU1/CUL7/LMNA/EXTL2"	37
