NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH14	myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]	828	1.339969515800476	-0.008593459	No	
row_1	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1343	1.0978347063064575	-0.0076884455	No	
row_2	ROR1	receptor tyrosine kinase like orphan receptor 1 [Source:HGNC Symbol;Acc:HGNC:10256]	3132	0.6888596415519714	-0.077957764	No	
row_3	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	4181	0.5469179749488831	-0.11578688	No	
row_4	TLNRD1	talin rod domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13519]	4258	0.5393275022506714	-0.10681027	No	
row_5	XIRP1	xin actin binding repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14301]	4421	0.5212295055389404	-0.10241517	No	
row_6	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	4699	0.488537460565567	-0.10434565	No	
row_7	MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	5494	0.4083782434463501	-0.13314664	No	
row_8	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	6396	0.3143337368965149	-0.16932558	No	
row_9	SYNPO2	synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]	6446	0.30972132086753845	-0.16442941	No	
row_10	MICALL2	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]	7013	0.26323220133781433	-0.185614	No	
row_11	RFLNB	refilin B [Source:HGNC Symbol;Acc:HGNC:28705]	7017	0.2629108130931854	-0.1795923	No	
row_12	GAS2L1	growth arrest specific 2 like 1 [Source:HGNC Symbol;Acc:HGNC:16955]	7346	0.2351859211921692	-0.18993048	No	
row_13	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	7642	0.21494553983211517	-0.19914828	No	
row_14	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	7935	0.19340577721595764	-0.2087263	No	
