NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH14	myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]	828	1.339969515800476	-0.0076102274	No	
row_1	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1343	1.0978347063064575	-0.0059004244	No	
row_2	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	2411	0.8137000203132629	-0.03779072	No	
row_3	ROR1	receptor tyrosine kinase like orphan receptor 1 [Source:HGNC Symbol;Acc:HGNC:10256]	3132	0.6888596415519714	-0.05592907	No	
row_4	CDC42BPA	CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]	3212	0.6765313148498535	-0.043384448	No	
row_5	DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	3998	0.5700231194496155	-0.06753865	No	
row_6	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	4181	0.5469179749488831	-0.06310716	No	
row_7	TLNRD1	talin rod domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13519]	4258	0.5393275022506714	-0.05373602	No	
row_8	XIRP1	xin actin binding repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14301]	4421	0.5212295055389404	-0.0489592	No	
row_9	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	4699	0.488537460565567	-0.05053132	No	
row_10	MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	5494	0.4083782434463501	-0.07903013	No	
row_11	SYNPO2	synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]	6446	0.30972132086753845	-0.1175033	No	
row_12	MICALL2	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]	7013	0.26323220133781433	-0.13849287	No	
row_13	CDC42BPB	CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]	7071	0.25851964950561523	-0.13499515	No	
row_14	GAS2L1	growth arrest specific 2 like 1 [Source:HGNC Symbol;Acc:HGNC:16955]	7346	0.2351859211921692	-0.14254995	No	
row_15	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	7642	0.21494553983211517	-0.15160927	No	
row_16	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	7935	0.19340577721595764	-0.16104457	No	
row_17	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	8529	0.1485588401556015	-0.18611264	No	
row_18	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	9315	0.09280620515346527	-0.22180903	No	
row_19	PRICKLE4	prickle planar cell polarity protein 4 [Source:HGNC Symbol;Acc:HGNC:16805]	9326	0.09220395982265472	-0.22006227	No	
row_20	CORO1B	coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]	9923	0.049845140427351	-0.24766287	No	
row_21	MYL12B	myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]	9965	0.0473211370408535	-0.24849997	No	
row_22	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	10104	0.03738194331526756	-0.25426573	No	
row_23	FHOD1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	12920	-0.15641972422599792	-0.38653857	No	
row_24	SIPA1L3	signal induced proliferation associated 1 like 3 [Source:HGNC Symbol;Acc:HGNC:23801]	13148	-0.1733057051897049	-0.39331838	No	
row_25	PDCD6IP	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]	13380	-0.18988387286663055	-0.3998906	No	
row_26	ILK	integrin linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	13672	-0.21217772364616394	-0.40882352	No	
row_27	XIRP2	xin actin binding repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14303]	13756	-0.21712610125541687	-0.40758362	No	
row_28	CNN2	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	14249	-0.2539753019809723	-0.42522046	No	
row_29	FBLIM1	filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]	14463	-0.2714047133922577	-0.42895097	No	
row_30	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	14760	-0.2930178940296173	-0.43617034	No	
row_31	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	15016	-0.31592151522636414	-0.44085413	No	
row_32	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	15321	-0.34334075450897217	-0.447243	No	
row_33	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	15360	-0.347919762134552	-0.4406647	No	
row_34	PGM5	phosphoglucomutase 5 [Source:HGNC Symbol;Acc:HGNC:8908]	15391	-0.35077595710754395	-0.43363065	No	
row_35	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	15663	-0.3762418329715729	-0.4376288	No	
row_36	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]	15822	-0.39259302616119385	-0.43576992	No	
row_37	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	15905	-0.3984306752681732	-0.43009657	No	
row_38	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]	16720	-0.4815662205219269	-0.45779186	No	
row_39	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	16810	-0.4898798167705536	-0.45024502	No	
row_40	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	17700	-0.6002943515777588	-0.47869363	Yes	
row_41	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	17834	-0.6176009178161621	-0.4701843	Yes	
row_42	DCTN4	dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]	17997	-0.6446049213409424	-0.46242347	Yes	
row_43	ABLIM1	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]	18122	-0.6646159887313843	-0.452342	Yes	
row_44	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	18223	-0.6845748424530029	-0.4406178	Yes	
row_45	FHL3	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]	18330	-0.7083422541618347	-0.42860878	Yes	
row_46	FERMT2	FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767]	18491	-0.7353055477142334	-0.41855755	Yes	
row_47	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	18705	-0.7768116593360901	-0.41006407	Yes	
row_48	LPP	LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]	18757	-0.7889445424079895	-0.39344725	Yes	
