NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBPHL	myosin binding protein H like [Source:HGNC Symbol;Acc:HGNC:30434]	84	2.430389165878296	0.013192361	No	
row_1	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	135	2.206564426422119	0.026447527	No	
row_2	TMOD2	tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]	199	2.035370111465454	0.037853133	No	
row_3	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	276	1.8617157936096191	0.047391687	No	
row_4	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	279	1.8543998003005981	0.060478322	No	
row_5	SCN3B	sodium voltage-gated channel beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:20665]	377	1.7212821245193481	0.06799681	No	
row_6	ADPRHL1	ADP-ribosylhydrolase like 1 [Source:HGNC Symbol;Acc:HGNC:21303]	380	1.7204798460006714	0.08013133	No	
row_7	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	546	1.5538280010223389	0.083151095	No	
row_8	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	652	1.4616742134094238	0.08843469	No	
row_9	PRKD1	protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]	1116	1.187528133392334	0.07435253	No	
row_10	TNNI1	troponin I1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11945]	1134	1.1814879179000854	0.081925325	No	
row_11	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	1298	1.1171634197235107	0.0819379	No	
row_12	MTM1	myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]	1317	1.1079301834106445	0.088939086	No	
row_13	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	1347	1.0965982675552368	0.095324546	No	
row_14	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1396	1.0828245878219604	0.100687735	No	
row_15	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	1701	0.984978437423706	0.092900895	No	
row_16	ITGB1BP2	integrin subunit beta 1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6154]	1786	0.9648905396461487	0.09567423	No	
row_17	MYLK2	myosin light chain kinase 2 [Source:HGNC Symbol;Acc:HGNC:16243]	2281	0.8443645238876343	0.07764419	No	
row_18	SYNC	syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:28897]	2294	0.8420298099517822	0.08304684	No	
row_19	HABP4	hyaluronan binding protein 4 [Source:HGNC Symbol;Acc:HGNC:17062]	2354	0.8271254301071167	0.08605698	No	
row_20	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	2411	0.8137000203132629	0.08911762	No	
row_21	CAVIN4	caveolae associated protein 4 [Source:HGNC Symbol;Acc:HGNC:33742]	2457	0.805723249912262	0.092656694	No	
row_22	SIMC1	SUMO interacting motifs containing 1 [Source:HGNC Symbol;Acc:HGNC:24779]	2491	0.7995624542236328	0.09673577	No	
row_23	PARVB	parvin beta [Source:HGNC Symbol;Acc:HGNC:14653]	2876	0.7303489446640015	0.08324663	No	
row_24	NEB	nebulin [Source:HGNC Symbol;Acc:HGNC:7720]	3635	0.6182941198348999	0.050765745	No	
row_25	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	3654	0.6153342127799988	0.05426479	No	
row_26	MYBPC3	myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]	3825	0.5949862003326416	0.05022438	No	
row_27	KCTD6	potassium channel tetramerization domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22235]	3852	0.5921986699104309	0.053169742	No	
row_28	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	3921	0.5818331837654114	0.053998113	No	
row_29	LMOD1	leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]	3929	0.5808411240577698	0.05778708	No	
row_30	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	3959	0.5761363506317139	0.0604723	No	
row_31	MYL5	myosin light chain 5 [Source:HGNC Symbol;Acc:HGNC:7586]	4007	0.5688016414642334	0.06222967	No	
row_32	FBXO32	F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]	4049	0.5633227825164795	0.064239986	No	
row_33	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	4181	0.5469179749488831	0.06175518	No	
row_34	MYOM1	myomesin 1 [Source:HGNC Symbol;Acc:HGNC:7613]	4382	0.5251214504241943	0.055758562	No	
row_35	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	4699	0.488537460565567	0.04385845	No	
row_36	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	4873	0.4674854576587677	0.038765617	No	
row_37	TNNI3	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	4924	0.46266767382621765	0.039622474	No	
row_38	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	4940	0.46061089634895325	0.04216746	No	
row_39	SLC4A1	solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]	5153	0.4393036663532257	0.034976915	No	
row_40	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	5169	0.43767455220222473	0.03735883	No	
row_41	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	5318	0.42437607049942017	0.033175755	No	
row_42	KLHL40	kelch like family member 40 [Source:HGNC Symbol;Acc:HGNC:30372]	5428	0.4153765141963959	0.030826047	No	
row_43	LRRC27	leucine rich repeat containing 27 [Source:HGNC Symbol;Acc:HGNC:29346]	5784	0.37723809480667114	0.016237302	No	
row_44	RTN2	reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]	6185	0.33572331070899963	-8.358441E-4	No	
row_45	MTMR12	myotubularin related protein 12 [Source:HGNC Symbol;Acc:HGNC:18191]	6428	0.31097739934921265	-0.010398228	No	
row_46	SYNPO2	synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]	6446	0.30972132086753845	-0.009023299	No	
row_47	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	6493	0.3054662048816681	-0.009089473	No	
row_48	LRRC39	leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:HGNC:28228]	6592	0.2967809736728668	-0.011747193	No	
row_49	TMOD4	tropomodulin 4 [Source:HGNC Symbol;Acc:HGNC:11874]	6610	0.296053022146225	-0.010469439	No	
row_50	TNNC2	troponin C2, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11944]	6615	0.29545506834983826	-0.008563489	No	
row_51	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	6790	0.28094354271888733	-0.015031202	No	
row_52	TWF1	twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]	6934	0.2682096064090729	-0.020081298	No	
row_53	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]	7140	0.2531527578830719	-0.02825474	No	
row_54	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	7198	0.24803154170513153	-0.029264398	No	
row_55	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	7479	0.22527337074279785	-0.041284796	No	
row_56	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	7627	0.21604248881340027	-0.046900377	No	
