NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPS	centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]	775	1.378807783126831	0.17236225	Yes	
row_1	CENPI	centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]	2542	0.789804995059967	0.20734034	Yes	
row_2	CENPU	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]	2595	0.7790041565895081	0.3233297	Yes	
row_3	CENPX	centromere protein X [Source:HGNC Symbol;Acc:HGNC:11422]	3638	0.61802738904953	0.36709154	Yes	
row_4	H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	3970	0.5746301412582397	0.43853864	Yes	
row_5	CENPK	centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]	5066	0.4477972090244293	0.45385042	Yes	
row_6	CENPC	centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854]	5902	0.3658349812030792	0.4692326	Yes	
row_7	ITGB3BP	integrin subunit beta 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6157]	7718	0.20849807560443878	0.4134232	No	
row_8	CENPW	centromere protein W [Source:HGNC Symbol;Acc:HGNC:21488]	8736	0.1331540197134018	0.38463494	No	
row_9	CENPN	centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]	9067	0.11132360249757767	0.38565516	No	
row_10	CENPQ	centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]	9113	0.10733842849731445	0.39981276	No	
row_11	CENPH	centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]	9308	0.09365300089120865	0.40470335	No	
row_12	CENPP	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]	10709	-0.004624734167009592	0.33789468	No	
row_13	H3-3A	H3.3 histone A [Source:HGNC Symbol;Acc:HGNC:4764]	10885	-0.015848714858293533	0.33186644	No	
row_14	CENPM	centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]	11289	-0.04334098473191261	0.31902534	No	
row_15	CENPT	centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]	11435	-0.053928352892398834	0.3202362	No	
row_16	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	12625	-0.1372217983007431	0.28377235	No	
row_17	CENPO	centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]	15202	-0.33137524127960205	0.20995654	No	
row_18	CENPL	centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]	15702	-0.37983158230781555	0.24367073	No	
