NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TTC30A	tetratricopeptide repeat domain 30A [Source:HGNC Symbol;Acc:HGNC:25853]	1053	1.216961145401001	0.09750195	Yes	
row_1	TTC30B	tetratricopeptide repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:26425]	1152	1.1743754148483276	0.23586586	Yes	
row_2	IFT46	intraflagellar transport 46 [Source:HGNC Symbol;Acc:HGNC:26146]	1634	1.0048797130584717	0.33510935	Yes	
row_3	IFT80	intraflagellar transport 80 [Source:HGNC Symbol;Acc:HGNC:29262]	2148	0.8742362856864929	0.4168918	Yes	
row_4	IFT57	intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]	2308	0.8386879563331604	0.51141304	Yes	
row_5	TRIM59	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	5744	0.3821713924407959	0.39234003	No	
row_6	IFT52	intraflagellar transport 52 [Source:HGNC Symbol;Acc:HGNC:15901]	6312	0.3235500156879425	0.40442127	No	
row_7	IFT25	intraflagellar transport 25 [Source:HGNC Symbol;Acc:HGNC:25019]	6957	0.2663559913635254	0.40582082	No	
row_8	TRAF3IP1	TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]	6982	0.26486390829086304	0.43693534	No	
row_9	IFT74	intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424]	7600	0.21732161939144135	0.43366233	No	
row_10	IFT22	intraflagellar transport 22 [Source:HGNC Symbol;Acc:HGNC:21895]	7983	0.18879365921020508	0.43824524	No	
row_11	IFT27	intraflagellar transport 27 [Source:HGNC Symbol;Acc:HGNC:18626]	8390	0.15844528377056122	0.4379731	No	
row_12	TTC26	tetratricopeptide repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21882]	8445	0.15399639308452606	0.4541326	No	
row_13	IFT81	intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313]	9472	0.08155620843172073	0.41459528	No	
row_14	CLUAP1	clusterin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19009]	10735	-0.006378973834216595	0.35451803	No	
row_15	IFT20	intraflagellar transport 20 [Source:HGNC Symbol;Acc:HGNC:30989]	13279	-0.1831464171409607	0.25420803	No	
row_16	IFT88	intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]	14453	-0.270606130361557	0.23061669	No	
row_17	IFT172	intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]	17709	-0.6009508371353149	0.14688015	No	
