NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	276	1.8617157936096191	0.008294673	No	
row_1	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	279	1.8543998003005981	0.029785162	No	
row_2	SCN3B	sodium voltage-gated channel beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:20665]	377	1.7212821245193481	0.045121282	No	
row_3	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	652	1.4616742134094238	0.048855934	No	
row_4	PRKD1	protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]	1116	1.187528133392334	0.040238224	No	
row_5	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	1298	1.1171634197235107	0.04447014	No	
row_6	MTM1	myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]	1317	1.1079301834106445	0.056495298	No	
row_7	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	1347	1.0965982675552368	0.06785536	No	
row_8	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1396	1.0828245878219604	0.07813414	No	
row_9	ITGB1BP2	integrin subunit beta 1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6154]	1786	0.9648905396461487	0.0705115	No	
row_10	SYNC	syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:28897]	2294	0.8420298099517822	0.055739064	No	
row_11	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	2411	0.8137000203132629	0.059588898	No	
row_12	CAVIN4	caveolae associated protein 4 [Source:HGNC Symbol;Acc:HGNC:33742]	2457	0.805723249912262	0.066787295	No	
row_13	PARVB	parvin beta [Source:HGNC Symbol;Acc:HGNC:14653]	2876	0.7303489446640015	0.05502866	No	
row_14	NEB	nebulin [Source:HGNC Symbol;Acc:HGNC:7720]	3635	0.6182941198348999	0.025485514	No	
