NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBLL1	fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458]	2103	0.8835805654525757	-0.07583928	No	
row_1	RRP36	ribosomal RNA processing 36 [Source:HGNC Symbol;Acc:HGNC:21374]	5105	0.44442155957221985	-0.20810194	No	
row_2	UTP23	UTP23 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:28224]	5684	0.3885027766227722	-0.22465745	No	
row_3	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	6215	0.3329174518585205	-0.24052477	No	
row_4	NIP7	nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]	6812	0.27880698442459106	-0.2611819	No	
row_5	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	6994	0.2644588053226471	-0.2621617	No	
row_6	UTP14C	UTP14C small subunit processome component [Source:HGNC Symbol;Acc:HGNC:20321]	7367	0.2337014079093933	-0.27329788	No	
row_7	NSA2	NSA2 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:30728]	8268	0.16782230138778687	-0.31194645	No	
row_8	C1orf131	chromosome 1 open reading frame 131 [Source:HGNC Symbol;Acc:HGNC:25332]	8286	0.1666710525751114	-0.30786243	No	
row_9	RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	8588	0.1447596698999405	-0.3181786	No	
row_10	KRI1	KRI1 homolog [Source:HGNC Symbol;Acc:HGNC:25769]	8591	0.14442528784275055	-0.31402308	No	
row_11	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]	8617	0.14282584190368652	-0.3110286	No	
row_12	WDR75	WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]	8633	0.1416950523853302	-0.30758312	No	
row_13	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]	8745	0.1323118805885315	-0.30906346	No	
row_14	RIOK2	RIO kinase 2 [Source:HGNC Symbol;Acc:HGNC:18999]	8956	0.11841703206300735	-0.31574783	No	
row_15	MAK16	MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]	9180	0.10239555686712265	-0.32353354	No	
row_16	IMP3	IMP U3 small nucleolar ribonucleoprotein 3 [Source:HGNC Symbol;Acc:HGNC:14497]	9193	0.1015550047159195	-0.3211246	No	
row_17	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	9398	0.08662071079015732	-0.32845455	No	
row_18	PDCD11	programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408]	9460	0.08253773301839828	-0.32897878	No	
row_19	KRR1	KRR1 small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]	9500	0.079799123108387	-0.3285181	No	
row_20	RPF1	ribosome production factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:30350]	9753	0.06268693506717682	-0.33887756	No	
row_21	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	10355	0.018403228372335434	-0.36744404	No	
row_22	EBNA1BP2	EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531]	10418	0.013417559675872326	-0.37005183	No	
row_23	UTP6	UTP6 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279]	10513	0.007618874777108431	-0.37438023	No	
row_24	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	10643	-0.0010359493317082524	-0.3805976	No	
row_25	WDR3	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]	10717	-0.005127598997205496	-0.38398224	No	
row_26	FCF1	FCF1 rRNA-processing protein [Source:HGNC Symbol;Acc:HGNC:20220]	10842	-0.012072752229869366	-0.3896325	No	
row_27	UTP3	UTP3 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24477]	10918	-0.018729254603385925	-0.39271355	No	
row_28	RRS1	ribosome biogenesis regulator 1 homolog [Source:HGNC Symbol;Acc:HGNC:17083]	10993	-0.02513052150607109	-0.39555767	No	
row_29	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	11105	-0.03169995918869972	-0.4000004	No	
row_30	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	11160	-0.035311464220285416	-0.4015761	No	
row_31	WDR36	WD repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:30696]	11216	-0.03908860310912132	-0.40308902	No	
row_32	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	11253	-0.041044823825359344	-0.4036241	No	
row_33	SNU13	small nuclear ribonucleoprotein 13 [Source:HGNC Symbol;Acc:HGNC:7819]	11336	-0.046201881021261215	-0.40623528	No	
row_34	UTP15	UTP15 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:25758]	11357	-0.047830961644649506	-0.40579563	No	
row_35	FTSJ3	FtsJ RNA 2'-O-methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17136]	11376	-0.04916582256555557	-0.40521982	No	
row_36	EIF6	eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]	11989	-0.09331434220075607	-0.4321134	No	
row_37	RRP15	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]	12104	-0.10183747857809067	-0.43463635	No	
row_38	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	12209	-0.10903020203113556	-0.43646318	No	
row_39	NOP58	NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]	12281	-0.11396689713001251	-0.43654636	No	
row_40	UTP14A	UTP14A small subunit processome component [Source:HGNC Symbol;Acc:HGNC:10665]	12359	-0.12018192559480667	-0.43673712	No	
row_41	ZNF622	zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]	12450	-0.12611263990402222	-0.4373829	Yes	
row_42	DIMT1	DIM1 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:30217]	12475	-0.1281515210866928	-0.43477207	Yes	
row_43	RPS5	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	12583	-0.1350838541984558	-0.43597707	Yes	
row_44	LTV1	LTV1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:21173]	12592	-0.13540209829807281	-0.43237785	Yes	
row_45	RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	12632	-0.137697234749794	-0.43021244	Yes	
row_46	PNO1	partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]	12675	-0.14055681228637695	-0.42810816	Yes	
