NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]	8745	0.1323118805885315	-0.4049137	No	
row_1	RIOK2	RIO kinase 2 [Source:HGNC Symbol;Acc:HGNC:18999]	8956	0.11841703206300735	-0.40007892	No	
row_2	FTSJ3	FtsJ RNA 2'-O-methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17136]	11376	-0.04916582256555557	-0.5104967	No	
row_3	LTV1	LTV1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:21173]	12592	-0.13540209829807281	-0.55197096	No	
row_4	NOC4L	nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]	13548	-0.20205532014369965	-0.5724894	No	
row_5	SLX9	SLX9 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15811]	16695	-0.4785352051258087	-0.66371626	Yes	
row_6	UTP20	UTP20 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]	17751	-0.6048247814178467	-0.6381741	Yes	
row_7	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	17888	-0.6245954632759094	-0.565826	Yes	
row_8	RRP1B	ribosomal RNA processing 1B [Source:HGNC Symbol;Acc:HGNC:23818]	17930	-0.6351464986801147	-0.48756465	Yes	
row_9	NOP14	NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]	17993	-0.6439850926399231	-0.40919924	Yes	
row_10	NOB1	NIN1 (RPN12) binding protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:29540]	18141	-0.6695877909660339	-0.33169758	Yes	
row_11	RRP1	ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785]	18555	-0.7469644546508789	-0.25724578	Yes	
row_12	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	18999	-0.8451091051101685	-0.17184174	Yes	
row_13	TSR1	TSR1 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:25542]	19500	-1.0097044706344604	-0.06839256	Yes	
row_14	RIOK1	RIO kinase 1 [Source:HGNC Symbol;Acc:HGNC:18656]	19521	-1.0199671983718872	0.059495684	Yes	
