NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	135	2.206564426422119	0.02128753	No	
row_1	POPDC2	popeye domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17648]	287	1.8321006298065186	0.03707702	No	
row_2	STAC3	SH3 and cysteine rich domain 3 [Source:HGNC Symbol;Acc:HGNC:28423]	310	1.8110275268554688	0.058851644	No	
row_3	DTNA	dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]	543	1.5551786422729492	0.0672236	No	
row_4	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	941	1.2791979312896729	0.06411955	No	
row_5	DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	1193	1.1555571556091309	0.06653081	No	
row_6	FKRP	fukutin related protein [Source:HGNC Symbol;Acc:HGNC:17997]	1237	1.1381173133850098	0.0788011	No	
row_7	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	1305	1.1134190559387207	0.08959694	No	
row_8	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	1347	1.0965982675552368	0.10144051	No	
row_9	AKAP6	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	1925	0.9236025810241699	0.08512949	No	
row_10	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	2220	0.8571850061416626	0.08169405	No	
row_11	SYNC	syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:28897]	2294	0.8420298099517822	0.08877639	No	
row_12	CAVIN4	caveolae associated protein 4 [Source:HGNC Symbol;Acc:HGNC:33742]	2457	0.805723249912262	0.09108819	No	
row_13	SLC27A6	solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000]	2848	0.7361533641815186	0.08147446	No	
row_14	FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	2990	0.7089537978172302	0.08358339	No	
row_15	POPDC3	popeye domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17649]	3158	0.6841678619384766	0.08411985	No	
row_16	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	3527	0.634794294834137	0.07429382	No	
row_17	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]	3697	0.610744297504425	0.07380735	No	
row_18	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	3718	0.6082221269607544	0.08050911	No	
row_19	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	4212	0.543674647808075	0.06347681	No	
row_20	CLCN1	chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]	4902	0.464822381734848	0.03595251	No	
row_21	DTNBP1	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	5000	0.45489904284477234	0.036989395	No	
row_22	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	5261	0.42967861890792847	0.02980977	No	
row_23	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	5401	0.4174635708332062	0.028339343	No	
row_24	SLC8B1	solute carrier family 8 member B1 [Source:HGNC Symbol;Acc:HGNC:26175]	5462	0.411822646856308	0.03062585	No	
row_25	SGCE	sarcoglycan epsilon [Source:HGNC Symbol;Acc:HGNC:10808]	5853	0.3704656660556793	0.016400065	No	
row_26	RTN2	reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]	6185	0.33572331070899963	0.004595053	No	
row_27	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	6219	0.3324359655380249	0.007188664	No	
row_28	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	6392	0.31509512662887573	0.0028280972	No	
row_29	BVES	blood vessel epicardial substance [Source:HGNC Symbol;Acc:HGNC:1152]	6520	0.3036743402481079	5.0404127E-4	No	
row_30	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	7479	0.22527337074279785	-0.043076288	No	
row_31	PDE9A	phosphodiesterase 9A [Source:HGNC Symbol;Acc:HGNC:8795]	7727	0.20819686353206635	-0.052419305	No	
row_32	CCDC78	coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153]	7760	0.20530924201011658	-0.051380556	No	
row_33	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	7915	0.19448547065258026	-0.056390032	No	
row_34	SNTA1	syntrophin alpha 1 [Source:HGNC Symbol;Acc:HGNC:11167]	8499	0.15070019662380219	-0.08273964	No	
row_35	SCN1B	sodium voltage-gated channel beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:10586]	9066	0.11142393946647644	-0.10876082	No	
row_36	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	9107	0.1078188493847847	-0.109339274	No	
row_37	FXYD1	FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:HGNC:4025]	9142	0.10524237155914307	-0.109659486	No	
row_38	KCNJ11	potassium inwardly rectifying channel subfamily J member 11 [Source:HGNC Symbol;Acc:HGNC:6257]	9223	0.09921814501285553	-0.11228468	No	
row_39	UTRN	utrophin [Source:HGNC Symbol;Acc:HGNC:12635]	9300	0.0940304547548294	-0.11478148	No	
row_40	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	9666	0.06818961352109909	-0.13160814	No	
row_41	CIB2	calcium and integrin binding family member 2 [Source:HGNC Symbol;Acc:HGNC:24579]	9816	0.05854171887040138	-0.13808987	No	
