NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZCRB1	zinc finger CCHC-type and RNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:29620]	1601	1.0134007930755615	-0.06179594	No	
row_1	RNPC3	RNA binding region (RNP1, RRM) containing 3 [Source:HGNC Symbol;Acc:HGNC:18666]	2105	0.8833138346672058	-0.07225687	No	
row_2	ARMC7	armadillo repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:26168]	2749	0.7532406449317932	-0.0915878	No	
row_3	LSM8	LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]	3018	0.7038539052009583	-0.09346487	No	
row_4	PTBP2	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]	3843	0.5930876135826111	-0.12413643	No	
row_5	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25 [Source:HGNC Symbol;Acc:HGNC:14161]	3890	0.586186945438385	-0.11708243	No	
row_6	DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	4358	0.5279510617256165	-0.13142513	No	
row_7	PPIL1	peptidylprolyl isomerase like 1 [Source:HGNC Symbol;Acc:HGNC:9260]	4385	0.5245846509933472	-0.1243749	No	
row_8	GEMIN2	gem nuclear organelle associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10884]	4897	0.4656809866428375	-0.14184433	No	
row_9	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]	5116	0.4433860778808594	-0.14541826	No	
row_10	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	5304	0.4256916642189026	-0.14776507	No	
row_11	SNRPGP15	small nuclear ribonucleoprotein polypeptide G pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:49371]	5908	0.36525940895080566	-0.17130023	No	
row_12	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28954]	6341	0.3200410008430481	-0.1872362	No	
row_13	CWC15	CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]	6349	0.31897568702697754	-0.18252088	No	
row_14	TTF2	transcription termination factor 2 [Source:HGNC Symbol;Acc:HGNC:12398]	6397	0.3139510154724121	-0.17983043	No	
row_15	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	6583	0.2980342209339142	-0.18410334	No	
row_16	PLRG1	pleiotropic regulator 1 [Source:HGNC Symbol;Acc:HGNC:9089]	6617	0.29514196515083313	-0.18103018	No	
row_17	MFAP1	microfibril associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7032]	6622	0.2947205901145935	-0.1765534	No	
row_18	ZMAT2	zinc finger matrin-type 2 [Source:HGNC Symbol;Acc:HGNC:26433]	6708	0.2875450551509857	-0.17612946	No	
row_19	CRIPT	CXXC repeat containing interactor of PDZ3 domain [Source:HGNC Symbol;Acc:HGNC:14312]	6801	0.2798480689525604	-0.17616795	No	
row_20	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	6830	0.2769645154476166	-0.17313974	No	
row_21	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	6896	0.2712746858596802	-0.17200106	No	
row_22	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]	6965	0.26590725779533386	-0.17109336	No	
row_23	PPIL3	peptidylprolyl isomerase like 3 [Source:HGNC Symbol;Acc:HGNC:9262]	6998	0.26429757475852966	-0.16846046	No	
row_24	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	7052	0.2605353891849518	-0.16690843	No	
row_25	RBM41	RNA binding motif protein 41 [Source:HGNC Symbol;Acc:HGNC:25617]	7251	0.24338462948799133	-0.17267974	No	
row_26	PRPF40B	pre-mRNA processing factor 40 homolog B [Source:HGNC Symbol;Acc:HGNC:25031]	7307	0.2387450784444809	-0.17157035	No	
row_27	API5	apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594]	7434	0.22801019251346588	-0.1740839	No	
row_28	RBMXL1	RBMX like 1 [Source:HGNC Symbol;Acc:HGNC:25073]	7697	0.21047858893871307	-0.18348916	No	
row_29	SUGP1	SURP and G-patch domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18643]	8077	0.18308544158935547	-0.19901843	No	
row_30	SF3B5	splicing factor 3b subunit 5 [Source:HGNC Symbol;Acc:HGNC:21083]	8196	0.172380268573761	-0.20202467	No	
row_31	SF3B6	splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096]	8456	0.1533527672290802	-0.21218948	No	
row_32	CLNS1A	chloride nucleotide-sensitive channel 1A [Source:HGNC Symbol;Acc:HGNC:2080]	8856	0.12498379498720169	-0.22961228	No	
row_33	YJU2B	YJU2 splicing factor homolog B [Source:HGNC Symbol;Acc:HGNC:28118]	9079	0.11033939570188522	-0.23865949	No	
row_34	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041]	9631	0.07071634382009506	-0.26433435	No	
