NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESPNL	espin like [Source:HGNC Symbol;Acc:HGNC:27937]	229	1.9760905504226685	0.19591855	Yes	
row_1	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	1249	1.1333400011062622	0.26548344	Yes	
row_2	MORN4	MORN repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:24001]	2666	0.767733633518219	0.2776159	Yes	
row_3	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]	2771	0.7487529516220093	0.35101986	Yes	
row_4	ESPN	espin [Source:HGNC Symbol;Acc:HGNC:13281]	3824	0.5950842499732971	0.362621	Yes	
row_5	LHFPL5	LHFPL tetraspan subfamily member 5 [Source:HGNC Symbol;Acc:HGNC:21253]	3869	0.5887513756752014	0.42216066	Yes	
row_6	STRC	stereocilin [Source:HGNC Symbol;Acc:HGNC:16035]	4482	0.5148686170578003	0.4465757	Yes	
row_7	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	4702	0.48803722858428955	0.48712954	Yes	
row_8	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	6492	0.3054776191711426	0.4328644	No	
row_9	EPS8	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	6512	0.3045016825199127	0.46383938	No	
row_10	CDH23	cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]	9638	0.0699416995048523	0.3204895	No	
row_11	STRCP1	stereocilin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33915]	9983	0.046108879148960114	0.30873227	No	
row_12	WHRN	whirlin [Source:HGNC Symbol;Acc:HGNC:16361]	11401	-0.05109003186225891	0.24576095	No	
row_13	EPS8L2	EPS8 like 2 [Source:HGNC Symbol;Acc:HGNC:21296]	15762	-0.3860737383365631	0.07597344	No	
row_14	TMC1	transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513]	16024	-0.40997692942619324	0.10632679	No	
row_15	PDZD7	PDZ domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26257]	19839	-1.1623467206954956	0.044165894	No	
