NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL7A	BAF chromatin remodeling complex subunit BCL7A [Source:HGNC Symbol;Acc:HGNC:1004]	741	1.4010883569717407	0.0029685441	No	
row_1	BCL11A	BCL11 transcription factor A [Source:HGNC Symbol;Acc:HGNC:13221]	1553	1.0324910879135132	-0.007664048	No	
row_2	BCL7C	BAF chromatin remodeling complex subunit BCL7C [Source:HGNC Symbol;Acc:HGNC:1006]	3015	0.7039808034896851	-0.05885238	No	
row_3	DPF1	double PHD fingers 1 [Source:HGNC Symbol;Acc:HGNC:20225]	3637	0.6180543303489685	-0.07177528	No	
row_4	SS18	SS18 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:11340]	4862	0.4694354236125946	-0.117994815	No	
row_5	BAZ1A	bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960]	5455	0.4127753973007202	-0.13520278	No	
row_6	ACTR5	actin related protein 5 [Source:HGNC Symbol;Acc:HGNC:14671]	5906	0.36538776755332947	-0.14685269	No	
row_7	MBD3	methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:HGNC:6918]	5978	0.35754522681236267	-0.1403806	No	
row_8	SS18L1	SS18L1 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:15592]	6700	0.2884002923965454	-0.16727717	No	
row_9	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	7151	0.25226786732673645	-0.18206166	No	
row_10	SUZ12	SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]	7450	0.22733893990516663	-0.19018185	No	
row_11	BCL7B	BAF chromatin remodeling complex subunit BCL7B [Source:HGNC Symbol;Acc:HGNC:1005]	7775	0.20402364432811737	-0.20020622	No	
row_12	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	7784	0.20348957180976868	-0.19495459	No	
row_13	ZNHIT1	zinc finger HIT-type containing 1 [Source:HGNC Symbol;Acc:HGNC:21688]	8246	0.16937974095344543	-0.2125682	No	
row_14	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]	8671	0.1386084407567978	-0.22924411	No	
row_15	TFPT	TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]	8834	0.12600640952587128	-0.23359141	No	
row_16	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	9055	0.11210515350103378	-0.24113044	No	
row_17	ACTR6	actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]	9062	0.11168325692415237	-0.238326	No	
row_18	INO80E	INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]	9136	0.10565129667520523	-0.23893075	No	
row_19	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	9755	0.06262356787919998	-0.26709962	No	
row_20	BRD7	bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]	9796	0.06038892641663551	-0.26736176	No	
row_21	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]	9920	0.05031070113182068	-0.27191946	No	
row_22	RBBP7	RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]	10007	0.04423534497618675	-0.2748551	No	
row_23	UCHL5	ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:HGNC:19678]	10341	0.019658342003822327	-0.29042378	No	
row_24	BRD8	bromodomain containing 8 [Source:HGNC Symbol;Acc:HGNC:19874]	10362	0.017806299030780792	-0.29089814	No	
row_25	ACTL6A	actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]	10636	-6.14686228800565E-4	-0.30409122	No	
row_26	HMGXB4	HMG-box containing 4 [Source:HGNC Symbol;Acc:HGNC:5003]	10921	-0.018903637304902077	-0.31730977	No	
row_27	CFDP1	craniofacial development protein 1 [Source:HGNC Symbol;Acc:HGNC:1873]	11028	-0.027307594195008278	-0.32168227	No	
row_28	DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	11073	-0.029836183413863182	-0.3229846	No	
row_29	ARID2	AT-rich interaction domain 2 [Source:HGNC Symbol;Acc:HGNC:18037]	11322	-0.04565659910440445	-0.33371982	No	
row_30	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	11382	-0.049520768225193024	-0.33520252	No	
row_31	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	11730	-0.07494354248046875	-0.3499167	No	
row_32	PHF10	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	12037	-0.09647409617900848	-0.3620503	No	
row_33	MBD2	methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:HGNC:6917]	12544	-0.13251566886901855	-0.3828629	No	
row_34	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	12789	-0.1479276716709137	-0.3905706	No	
row_35	ING3	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	13107	-0.17088396847248077	-0.40117458	No	
row_36	PBRM1	polybromo 1 [Source:HGNC Symbol;Acc:HGNC:30064]	13161	-0.17440392076969147	-0.3989064	No	
row_37	CDK2AP2	cyclin dependent kinase 2 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:30833]	13286	-0.1834605187177658	-0.39982286	No	
row_38	RBBP4	RB binding protein 4, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9887]	13465	-0.19675567746162415	-0.40298387	No	
