NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SNORD121B	1	ENSG00000238300	
KRT16P2	1	ENSG00000227300	
KRT16P1	1	ENSG00000214856	
SNORD121A	1	ENSG00000238886	
KRT16P6	1	ENSG00000226145	
CRHBP	1	ENSG00000145708	
RNU1-134P	1	ENSG00000199805	
ENSG00000228528	1	ENSG00000228528	
OR8Q1P	1	ENSG00000255341	
BBX	1	ENSG00000114439	
EXOC3-AS1	1	ENSG00000221990	
GSTK1	1	ENSG00000197448	
WDR83OS	1	ENSG00000105583	
DHDH	1	ENSG00000104808	
BCR	1	ENSG00000186716	
ORAI3	1	ENSG00000175938	
ORAI2	1	ENSG00000160991	
ORAI1	1	ENSG00000276045	
VOPP1	1	ENSG00000154978	
CLEC20A	1	ENSG00000188585	
COL13A1	1	ENSG00000197467	
SHMT2	1	ENSG00000182199	
SHMT1	1	ENSG00000176974	
B3GLCT	1	ENSG00000187676	
FOXP1-IT1	1	ENSG00000242094	
FAM187B2P	1	ENSG00000262497	
PLBD1-AS1	1	ENSG00000256751	
RDH11	1	ENSG00000072042	
RDH10	1	ENSG00000121039	
RDH16	1	ENSG00000139547	
RDH14	1	ENSG00000240857	
SNORA63B	1	ENSG00000200418	
RDH13	10	ENSG00000160439:ENSG00000276826:ENSG00000278284:ENSG00000274418:ENSG00000273944:ENSG00000276341:ENSG00000274504:ENSG00000276684:ENSG00000275474:ENSG00000278149	
SNORA63C	1	ENSG00000201448	
SNORA63D	1	ENSG00000201229	
GTF2IRD2B	1	ENSG00000174428	
SNORA63E	1	ENSG00000199363	
SRP72P2	1	ENSG00000188451	
GSTM4	1	ENSG00000168765	
GSTM3	1	ENSG00000134202	
GSTM2	1	ENSG00000213366	
GSTM1	1	ENSG00000134184	
NEBL	1	ENSG00000078114	
TMEM254-AS1	1	ENSG00000230091	
SPAG5-AS1	1	ENSG00000227543	
DHFR	1	ENSG00000228716	
PKIB	1	ENSG00000135549	
GLDCP1	1	ENSG00000248590	
DCLRE1CP1	1	ENSG00000237470	
STRC	1	ENSG00000242866	
L1TD1	1	ENSG00000240563	
STRN	1	ENSG00000115808	
PKIG	1	ENSG00000168734	
GSTM5	1	ENSG00000134201	
GTF2H2C	1	ENSG00000183474	
ENSG00000179066	1	ENSG00000179066	
KCNC3	1	ENSG00000131398	
KCNC4	1	ENSG00000116396	
BBC3	1	ENSG00000105327	
GLT1D1	1	ENSG00000151948	
CTDNEP1P1	1	ENSG00000241889	
CTDNEP1P2	1	ENSG00000251467	
AJUBA-DT	1	ENSG00000258457	
ZNF32-AS2	1	ENSG00000230565	
MYBPC3	1	ENSG00000134571	
KCND1	1	ENSG00000102057	
MYBPC2	1	ENSG00000086967	
FLJ20021	1	ENSG00000254531	
GSTO2	1	ENSG00000065621	
ANKRD49P1	1	ENSG00000228446	
GSTO1	1	ENSG00000148834	
KCND3	1	ENSG00000171385	
BGN	1	ENSG00000182492	
CDK2AP2P2	1	ENSG00000237451	
CDK2AP2P1	1	ENSG00000278647	
RPL3P4	1	ENSG00000232573	
TMEFF1	1	ENSG00000241697	
RPL3P7	1	ENSG00000225093	
EIF1B-AS1	1	ENSG00000280739	
GTF2H2B	1	ENSG00000226259	
RPL3P2	7	ENSG00000227656:ENSG00000237448:ENSG00000229430:ENSG00000228461:ENSG00000227939:ENSG00000227672:ENSG00000223927	
RPS7P11	2	ENSG00000282052:ENSG00000213326	
RPS7P10	1	ENSG00000226525	
PKN3	1	ENSG00000160447	
ANKRD36P1	1	ENSG00000188399	
GSTP1	1	ENSG00000084207	
SYNPO2	1	ENSG00000172403	
PTAFR	1	ENSG00000169403	
ADAM22	1	ENSG00000008277	
ADAM21	1	ENSG00000139985	
ADAM20	1	ENSG00000134007	
KCNA6	1	ENSG00000151079	
SDAD1	1	ENSG00000198301	
PAXBP1-AS1	1	ENSG00000238197	
GOLGA6L9-AS1	1	ENSG00000278202	
ADAM28	1	ENSG00000042980	
BORCS7-ASMT	1	ENSG00000270316	
ADAM23	1	ENSG00000114948	
STX6	1	ENSG00000135823	
STX5	1	ENSG00000162236	
STX4	1	ENSG00000103496	
STX3	1	ENSG00000166900	
BID	1	ENSG00000015475	
STX2	1	ENSG00000111450	
RPS7P14	1	ENSG00000213695	
SPDEF	1	ENSG00000124664	
MBD3	1	ENSG00000071655	
ARL5AP4	1	ENSG00000224806	
