NAME	TITLE	SCORE	
FAM111A	FAM111 trypsin like peptidase A [Source:HGNC Symbol;Acc:HGNC:24725]	4.223003	
LINC03007	long intergenic non-protein coding RNA 3007 [Source:HGNC Symbol;Acc:HGNC:56132]	3.7908607	
SLC30A4	solute carrier family 30 member 4 [Source:HGNC Symbol;Acc:HGNC:11015]	3.7406933	
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17 [Source:HGNC Symbol;Acc:HGNC:16347]	3.5317802	
LINC00891	long intergenic non-protein coding RNA 891 [Source:HGNC Symbol;Acc:HGNC:48577]	3.4954584	
PCYT1B	phosphate cytidylyltransferase 1B, choline [Source:HGNC Symbol;Acc:HGNC:8755]	3.417345	
FIGLA	folliculogenesis specific bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:24669]	3.417345	
SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]	3.417345	
LINC02896	long intergenic non-protein coding RNA 2896 [Source:HGNC Symbol;Acc:HGNC:55427]	3.417345	
C11orf16	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	3.3933375	
EXTL3-AS1	EXTL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27985]	3.236614	
SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	3.1493003	
EXTL1	exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]	3.1451318	
ENSG00000235480	novel transcript	3.1228616	
SLAIN1	SLAIN motif family member 1 [Source:HGNC Symbol;Acc:HGNC:26387]	3.1090505	
C1orf226	chromosome 1 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34351]	3.077972	
ENSG00000249635	novel transcript	3.0410278	
FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	2.9863265	
SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	2.973791	
WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	2.9657934	
IQCN	IQ motif containing N [Source:HGNC Symbol;Acc:HGNC:29350]	2.942858	
C10orf143	chromosome 10 open reading frame 143 [Source:HGNC Symbol;Acc:HGNC:48677]	2.9381561	
SLC5A4-AS1	SLC5A4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53163]	2.9119897	
FAM157D	family with sequence similarity 157 member D [Source:HGNC Symbol;Acc:HGNC:56252]	2.9119897	
SULT1C2	sulfotransferase family 1C member 2 [Source:HGNC Symbol;Acc:HGNC:11456]	2.9119897	
H2BC6	H2B clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4753]	2.9079542	
ABTB3	ankyrin repeat and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23844]	2.9017496	
C1orf232	chromosome 1 open reading frame 230 [Source:HGNC Symbol;Acc:HGNC:53426]	2.8888056	
ISLR2	immunoglobulin superfamily containing leucine rich repeat 2 [Source:HGNC Symbol;Acc:HGNC:29286]	2.86885	
RNU2-11P	RNA, U2 small nuclear 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:48504]	2.832308	
ZNF503-AS1	ZNF503 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27370]	2.824927	
HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	2.8103726	
NPAS1	neuronal PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:7894]	2.79803	
RNU2-27P	RNA, U2 small nuclear 27, pseudogene [Source:HGNC Symbol;Acc:HGNC:48520]	2.79803	
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]	2.7952538	
SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	2.7916522	
CA13	carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]	2.7866373	
FAM227B	family with sequence similarity 227 member B [Source:HGNC Symbol;Acc:HGNC:26543]	2.7533536	
CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	2.7383816	
ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	2.7317188	
CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	2.731079	
RANBP3-DT	RANBP3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55312]	2.7303646	
PDE7B	phosphodiesterase 7B [Source:HGNC Symbol;Acc:HGNC:8792]	2.7265902	
LINC00543	long intergenic non-protein coding RNA 543 [Source:HGNC Symbol;Acc:HGNC:43678]	2.6997805	
SCARA5	scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701]	2.6918168	
FTCDNL1	formiminotransferase cyclodeaminase N-terminal like [Source:HGNC Symbol;Acc:HGNC:48661]	2.689348	
IL17RD	interleukin 17 receptor D [Source:HGNC Symbol;Acc:HGNC:17616]	2.6880062	
NOL4	nucleolar protein 4 [Source:HGNC Symbol;Acc:HGNC:7870]	2.678175	
SESN3	sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]	2.6736574	
SH2D6	SH2 domain containing 6 [Source:HGNC Symbol;Acc:HGNC:30439]	2.6693406	
CYP2U1	cytochrome P450 family 2 subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:20582]	2.6667414	
NPW	neuropeptide W [Source:HGNC Symbol;Acc:HGNC:30509]	2.6573596	
ENSG00000246465	novel transcript  LOC100506705	2.6408	
BTNL8	butyrophilin like 8 [Source:HGNC Symbol;Acc:HGNC:26131]	2.622306	
MIR6719	microRNA 6719 [Source:HGNC Symbol;Acc:HGNC:50012]	2.6036963	
CYP3A43	cytochrome P450 family 3 subfamily A member 43 [Source:HGNC Symbol;Acc:HGNC:17450]	2.6036963	
LINC01562	long intergenic non-protein coding RNA 1562 [Source:HGNC Symbol;Acc:HGNC:51335]	2.6036963	
RPSAP5	ribosomal protein SA pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:20139]	2.6036963	
KIAA1210	KIAA1210 [Source:HGNC Symbol;Acc:HGNC:29218]	2.6036963	
SERPINI1	serpin family I member 1 [Source:HGNC Symbol;Acc:HGNC:8943]	2.6011324	
PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	2.597935	
ANKRD34A	ankyrin repeat domain 34A [Source:HGNC Symbol;Acc:HGNC:27639]	2.5931551	
CCDC92B	coiled-coil domain containing 92B [Source:HGNC Symbol;Acc:HGNC:52279]	2.5802605	
ODAD1	outer dynein arm docking complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:26560]	2.575929	
MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	2.5256906	
KCNIP2-AS1	KCNIP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48680]	2.5041192	
ATP6V0E2-AS1	ATP6V0E2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44180]	2.5027888	
STOX1	storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]	2.5011828	
CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	2.4909682	
FAM111A-DT	FAM111A divergent transcript [Source:HGNC Symbol;Acc:HGNC:53752]	2.4883606	
DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	2.4869466	
NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	2.4632678	
DNAJC8P4	DNAJC8 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:56542]	2.4632678	
TMEM231P1	TMEM231 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:53870]	2.4632678	
P2RX3	purinergic receptor P2X 3 [Source:HGNC Symbol;Acc:HGNC:8534]	2.4632678	
