NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH14	myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]	718	1.339969515800476	-0.0069495626	No	
row_1	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1154	1.0978347063064575	-0.004451315	No	
row_2	ROR1	receptor tyrosine kinase like orphan receptor 1 [Source:HGNC Symbol;Acc:HGNC:10256]	2721	0.6888596415519714	-0.07200123	No	
row_3	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	3640	0.5469179749488831	-0.10824288	No	
row_4	TLNRD1	talin rod domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13519]	3706	0.5393275022506714	-0.0990671	No	
row_5	XIRP1	xin actin binding repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14301]	3848	0.5212295055389404	-0.09437825	No	
row_6	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	4088	0.488537460565567	-0.09569461	No	
row_7	MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	4798	0.4083782434463501	-0.12401409	No	
row_8	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	5614	0.3143337368965149	-0.16020547	No	
row_9	SYNPO2	synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]	5662	0.30972132086753845	-0.15545307	No	
row_10	MICALL2	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]	6179	0.26323220133781433	-0.1768606	No	
row_11	RFLNB	refilin B [Source:HGNC Symbol;Acc:HGNC:28705]	6183	0.2629108130931854	-0.17085424	No	
row_12	GAS2L1	growth arrest specific 2 like 1 [Source:HGNC Symbol;Acc:HGNC:16955]	6485	0.2351859211921692	-0.1814272	No	
row_13	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	6750	0.21494553983211517	-0.19049713	No	
row_14	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	7011	0.19340577721595764	-0.19985849	No	
row_15	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	7545	0.1485588401556015	-0.22486444	No	
row_16	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	8260	0.09280620515346527	-0.2608531	No	
row_17	PRICKLE4	prickle planar cell polarity protein 4 [Source:HGNC Symbol;Acc:HGNC:16805]	8270	0.09220395982265472	-0.2591715	No	
row_18	VIL1	villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]	8704	0.0595611110329628	-0.28091964	No	
row_19	CORO1B	coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]	8815	0.049845140427351	-0.28563032	No	
row_20	MYL12B	myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]	8851	0.0473211370408535	-0.28639123	No	
row_21	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	8980	0.03738194331526756	-0.2923564	No	
row_22	RFLNA	refilin A [Source:HGNC Symbol;Acc:HGNC:27051]	11009	-0.11591722071170807	-0.39804032	No	
row_23	FHOD1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	11584	-0.15641972422599792	-0.42505348	No	
