NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPN	sialophorin [Source:HGNC Symbol;Acc:HGNC:11249]	66	2.445939064025879	0.05008503	No	
row_1	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	183	2.012122631072998	0.08798816	No	
row_2	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	1117	1.1134190559387207	0.062516496	No	
row_3	VWA1	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	1287	1.050862193107605	0.076516144	No	
row_4	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	1461	0.984978437423706	0.08885783	No	
row_5	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	2588	0.7100713849067688	0.04422752	No	
row_6	COL23A1	collagen type XXIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22990]	3204	0.6117443442344666	0.024759382	No	
row_7	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	3285	0.6008887887001038	0.03365375	No	
row_8	HMCN1	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]	3542	0.5604584217071533	0.03225317	No	
row_9	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	3580	0.55442875623703	0.04242789	No	
row_10	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	3665	0.5437161326408386	0.04985524	No	
row_11	CASK	calcium/calmodulin dependent serine protein kinase [Source:HGNC Symbol;Acc:HGNC:1497]	3874	0.5186425447463989	0.0501041	No	
row_12	EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	4314	0.4598514437675476	0.036715325	No	
row_13	LOXL1	lysyl oxidase like 1 [Source:HGNC Symbol;Acc:HGNC:6665]	4472	0.4418138861656189	0.038006555	No	
row_14	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	4621	0.4267667531967163	0.03944909	No	
row_15	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	4977	0.3869418501853943	0.028952722	No	
row_16	SMOC1	SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]	4988	0.3850691616535187	0.036858585	No	
row_17	ERBIN	erbb2 interacting protein [Source:HGNC Symbol;Acc:HGNC:15842]	6881	0.20329837501049042	-0.05982927	No	
row_18	VWA2	von Willebrand factor A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24709]	6992	0.19452594220638275	-0.06144586	No	
row_19	NTN4	netrin 4 [Source:HGNC Symbol;Acc:HGNC:13658]	7223	0.17411845922470093	-0.069924824	No	
row_20	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	7490	0.15262390673160553	-0.080799446	No	
row_21	LAD1	ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]	8033	0.11081874370574951	-0.10734504	No	
row_22	MEGF9	multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]	8148	0.10142210125923157	-0.11121623	No	
row_23	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	8465	0.07685676217079163	-0.12642457	No	
row_24	COL4A3	collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]	8471	0.07612518966197968	-0.12502325	No	
row_25	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]	8718	0.0583239383995533	-0.13689569	No	
row_26	COL8A2	collagen type VIII alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2216]	9381	0.0054013715125620365	-0.172167	No	
row_27	CD151	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	9390	0.004773665219545364	-0.17249003	No	
row_28	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	9851	-0.029252490028738976	-0.19643988	No	
row_29	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	9912	-0.03314337506890297	-0.19892092	No	
row_30	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	9913	-0.03324636444449425	-0.1981922	No	
row_31	SERPINF1	serpin family F member 1 [Source:HGNC Symbol;Acc:HGNC:8824]	10438	-0.07226765900850296	-0.22462054	No	
row_32	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	10774	-0.09759455919265747	-0.24039002	No	
row_33	THBS4	thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]	11607	-0.15781047940254211	-0.28140864	No	
row_34	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	12518	-0.2291346937417984	-0.32503363	No	
row_35	LAMB1	laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]	12520	-0.22920450568199158	-0.32006308	No	
row_36	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	12715	-0.24592837691307068	-0.32504353	No	
row_37	LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	12888	-0.2621409296989441	-0.3284925	No	
row_38	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	13465	-0.31228137016296387	-0.35243973	No	
row_39	RELL2	RELT like 2 [Source:HGNC Symbol;Acc:HGNC:26902]	13668	-0.3320923447608948	-0.35595918	No	
row_40	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	13816	-0.3481834828853607	-0.35618567	No	
row_41	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	14067	-0.37338197231292725	-0.3613661	No	
row_42	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	14798	-0.451754629611969	-0.39048886	No	
row_43	FREM1	FRAS1 related extracellular matrix 1 [Source:HGNC Symbol;Acc:HGNC:23399]	14962	-0.4703521430492401	-0.38889283	No	
row_44	COL18A1	collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	15110	-0.48570579290390015	-0.38610494	No	
row_45	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	15315	-0.5115795135498047	-0.38579705	No	
row_46	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	15642	-0.5537815690040588	-0.3910861	No	
row_47	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	15900	-0.5922202467918396	-0.39184394	Yes	
row_48	ANXA2P2	annexin A2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:539]	15910	-0.5940680503845215	-0.37930351	Yes	
row_49	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	16195	-0.6388025283813477	-0.38048372	Yes	
row_50	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	16212	-0.6403445601463318	-0.36730313	Yes	
row_51	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	16335	-0.6613421440124512	-0.35932893	Yes	
row_52	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	16624	-0.7210067510604858	-0.35892108	Yes	
row_53	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364]	16838	-0.7647800445556641	-0.35354435	Yes	
row_54	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	16878	-0.7737597823143005	-0.33866897	Yes	
row_55	FREM2	FRAS1 related extracellular matrix 2 [Source:HGNC Symbol;Acc:HGNC:25396]	16889	-0.7763767838478088	-0.3221859	Yes	
row_56	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	17028	-0.8094502091407776	-0.31182063	Yes	
row_57	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	17138	-0.8393846750259399	-0.2992489	Yes	
row_58	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	17241	-0.8676329255104065	-0.28568378	Yes	
row_59	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	17305	-0.8850558400154114	-0.26965186	Yes	
row_60	P3H2	prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]	17545	-0.9841770529747009	-0.260856	Yes	
row_61	MMRN2	multimerin 2 [Source:HGNC Symbol;Acc:HGNC:19888]	17750	-1.0700693130493164	-0.24830642	Yes	
row_62	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	17860	-1.1240432262420654	-0.22949517	Yes	
row_63	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	18216	-1.374717116355896	-0.21834017	Yes	
row_64	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	18291	-1.4659922122955322	-0.19016258	Yes	
row_65	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	18439	-1.6579608917236328	-0.16167966	Yes	
row_66	COLQ	collagen like tail subunit of asymmetric acetylcholinesterase [Source:HGNC Symbol;Acc:HGNC:2226]	18501	-1.7744922637939453	-0.12604499	Yes	
row_67	COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	18549	-1.895877718925476	-0.08700121	Yes	
row_68	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	18604	-2.0679612159729004	-0.044559695	Yes	
row_69	LAMB4	laminin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]	18674	-2.4475088119506836	0.005399365	Yes	
