NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEP19	centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]	187	2.0043563842773438	0.01936033	Yes	
row_1	CCDC92	coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]	405	1.6468700170516968	0.031867098	Yes	
row_2	AGBL2	AGBL carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:26296]	474	1.5578124523162842	0.051065512	Yes	
row_3	WDR62	WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]	529	1.4988714456558228	0.07015091	Yes	
row_4	STARD9	StAR related lipid transfer domain containing 9 [Source:HGNC Symbol;Acc:HGNC:19162]	654	1.3946123123168945	0.08394977	Yes	
row_5	SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	699	1.3530802726745605	0.10143362	Yes	
row_6	CCDC102B	coiled-coil domain containing 102B [Source:HGNC Symbol;Acc:HGNC:26295]	770	1.3122639656066895	0.11692322	Yes	
row_7	CIBAR1	CBY1 interacting BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30452]	797	1.2923153638839722	0.13448201	Yes	
row_8	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	962	1.1834160089492798	0.14303617	Yes	
row_9	TEDC1	tubulin epsilon and delta complex 1 [Source:HGNC Symbol;Acc:HGNC:20127]	1091	1.1247671842575073	0.1526625	Yes	
row_10	FBF1	Fas binding factor 1 [Source:HGNC Symbol;Acc:HGNC:24674]	1167	1.094570279121399	0.16469081	Yes	
row_11	TSGA10	testis specific 10 [Source:HGNC Symbol;Acc:HGNC:14927]	1342	1.0298620462417603	0.17045602	Yes	
row_12	CEP55	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	1370	1.0180641412734985	0.1839387	Yes	
row_13	DZIP1	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]	1610	0.9388348460197449	0.18487981	Yes	
row_14	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	1623	0.9345203042030334	0.1979423	Yes	
row_15	LRRCC1	leucine rich repeat and coiled-coil centrosomal protein 1 [Source:HGNC Symbol;Acc:HGNC:29373]	1698	0.9138585329055786	0.20737378	Yes	
row_16	AHI1	Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575]	1972	0.8441253304481506	0.20510079	Yes	
row_17	SFI1	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	2205	0.7878317832946777	0.20420289	Yes	
row_18	CETN2	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	2385	0.7520066499710083	0.20562442	Yes	
row_19	ODAD3	outer dynein arm docking complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28303]	2436	0.7415972352027893	0.21381758	Yes	
row_20	CEP97	centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244]	2450	0.7398157119750977	0.22397067	Yes	
row_21	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	2535	0.7218088507652283	0.23004858	Yes	
row_22	CEP164	centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]	2676	0.6960524320602417	0.23274282	Yes	
row_23	TSKS	testis specific serine kinase substrate [Source:HGNC Symbol;Acc:HGNC:30719]	2722	0.6888254880905151	0.24043037	Yes	
row_24	CEP78	centrosomal protein 78 [Source:HGNC Symbol;Acc:HGNC:25740]	2751	0.6834710836410522	0.24895188	Yes	
row_25	NIN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	2768	0.6812080144882202	0.25808433	Yes	
row_26	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	2785	0.6777858734130859	0.26716658	Yes	
row_27	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	2827	0.670475959777832	0.2747997	Yes	
row_28	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2907	0.6568573117256165	0.2801934	Yes	
row_29	ARMC9	armadillo repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:20730]	2990	0.6454901099205017	0.28525928	Yes	
