NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AP1S3	adaptor related protein complex 1 subunit sigma 3 [Source:HGNC Symbol;Acc:HGNC:18971]	177	2.033594846725464	0.19529049	Yes	
row_1	STON1	stonin 1 [Source:HGNC Symbol;Acc:HGNC:17003]	333	1.7205290794372559	0.3602367	Yes	
row_2	BTBD8	BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:21019]	1126	1.1102030277252197	0.42976943	Yes	
row_3	AP3M2	adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]	3196	0.6124228835105896	0.3810894	Yes	
row_4	CLBA1	clathrin binding box of aftiphilin containing 1 [Source:HGNC Symbol;Acc:HGNC:20126]	3260	0.6041668653488159	0.43855345	Yes	
row_5	AP1G2	adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556]	4985	0.38553813099861145	0.38543016	No	
row_6	AP1S2	adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]	5098	0.3725333511829376	0.41696176	No	
row_7	AP3B1	adaptor related protein complex 3 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:566]	7058	0.1881854385137558	0.3314382	No	
row_8	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	7220	0.1745098978281021	0.34042102	No	
row_9	AP4B1	adaptor related protein complex 4 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:572]	7297	0.16824650764465332	0.3533061	No	
row_10	AP3M1	adaptor related protein complex 3 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:569]	7684	0.13757716119289398	0.34657204	No	
row_11	AFTPH	aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]	8257	0.09305979311466217	0.3254373	No	
row_12	AP4M1	adaptor related protein complex 4 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:574]	9002	0.03544297441840172	0.2893297	No	
row_13	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	9260	0.014166769571602345	0.27705073	No	
row_14	AP1M1	adaptor related protein complex 1 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:13667]	9763	-0.022055231034755707	0.25250062	No	
row_15	AP2S1	adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]	10007	-0.03953054919838905	0.2435217	No	
row_16	AP2A1	adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]	10177	-0.051425669342279434	0.23968655	No	
row_17	AP1M2	adaptor related protein complex 1 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:558]	10200	-0.05350601673126221	0.24389999	No	
row_18	AP1B1	adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]	10689	-0.0916946679353714	0.22710733	No	
row_19	AP1G1	adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]	13053	-0.2770424783229828	0.128985	No	
row_20	SYNRG	synergin gamma [Source:HGNC Symbol;Acc:HGNC:557]	13292	-0.29479658603668213	0.14597128	No	
row_21	STON2	stonin 2 [Source:HGNC Symbol;Acc:HGNC:30652]	14166	-0.38506969809532166	0.13818263	No	
row_22	AP1S1	adaptor related protein complex 1 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:559]	14967	-0.4706347584724426	0.14290105	No	
row_23	AP2A2	adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]	15932	-0.597148597240448	0.15161034	No	
