NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WDTC1	WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:29175]	1729	0.904513418674469	-0.008206383	No	
row_1	GLMN	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	3085	0.6313263773918152	-0.021840954	No	
row_2	DCAF16	DDB1 and CUL4 associated factor 16 [Source:HGNC Symbol;Acc:HGNC:25987]	6439	0.23968644440174103	-0.1784561	No	
row_3	DCAF17	DDB1 and CUL4 associated factor 17 [Source:HGNC Symbol;Acc:HGNC:25784]	6528	0.23174332082271576	-0.16162014	No	
row_4	DCAF4	DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]	7014	0.19270502030849457	-0.16959126	No	
row_5	CRBN	cereblon [Source:HGNC Symbol;Acc:HGNC:30185]	7126	0.1841624528169632	-0.15840301	No	
row_6	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]	7623	0.14282584190368652	-0.17159516	No	
row_7	DCAF11	DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258]	7723	0.1336137056350708	-0.16446307	No	
row_8	WDR77	WD repeat domain 77 [Source:HGNC Symbol;Acc:HGNC:29652]	7908	0.12053835391998291	-0.16308057	No	
row_9	DTL	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	8280	0.09128871560096741	-0.17439213	No	
row_10	AMBRA1	autophagy and beclin 1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:25990]	8554	0.06930343061685562	-0.18251795	No	
row_11	DET1	DET1 partner of COP1 E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:25477]	8681	0.06138794496655464	-0.18353668	No	
row_12	COP1	COP1 E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:17440]	8780	0.05265319347381592	-0.18387312	No	
row_13	DCAF5	DDB1 and CUL4 associated factor 5 [Source:HGNC Symbol;Acc:HGNC:20224]	8930	0.04140157625079155	-0.1879758	No	
row_14	DCAF8	DDB1 and CUL4 associated factor 8 [Source:HGNC Symbol;Acc:HGNC:24891]	8964	0.03874656930565834	-0.1861365	No	
row_15	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	10110	-0.04614738002419472	-0.24293526	No	
row_16	DCAF7	DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]	10460	-0.07346519082784653	-0.25472903	No	
row_17	DCAF6	DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]	10473	-0.07429856061935425	-0.24846633	No	
row_18	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	11248	-0.13374528288841248	-0.27733353	No	
row_19	DCAF12	DDB1 and CUL4 associated factor 12 [Source:HGNC Symbol;Acc:HGNC:19911]	11372	-0.14169292151927948	-0.27073124	No	
row_20	DCAF4L1	DDB1 and CUL4 associated factor 4 like 1 [Source:HGNC Symbol;Acc:HGNC:27723]	13975	-0.3661528527736664	-0.37553048	Yes	
row_21	DCAF15	DDB1 and CUL4 associated factor 15 [Source:HGNC Symbol;Acc:HGNC:25095]	14234	-0.3924751579761505	-0.35283086	Yes	
row_22	CUL4B	cullin 4B [Source:HGNC Symbol;Acc:HGNC:2555]	14371	-0.403783917427063	-0.32257178	Yes	
row_23	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein [Source:HGNC Symbol;Acc:HGNC:16181]	14624	-0.4307857155799866	-0.29599267	Yes	
row_24	DCAF10	DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:HGNC:23686]	15036	-0.47690311074256897	-0.2736116	Yes	
row_25	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	15648	-0.5545771718025208	-0.2546841	Yes	
row_26	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	16022	-0.6084821820259094	-0.21805097	Yes	
row_27	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	16083	-0.6179825663566589	-0.16383651	Yes	
row_28	DDA1	DET1 and DDB1 associated 1 [Source:HGNC Symbol;Acc:HGNC:28360]	16451	-0.6854308843612671	-0.11973414	Yes	
row_29	FBXW5	F-box and WD repeat domain containing 5 [Source:HGNC Symbol;Acc:HGNC:13613]	16942	-0.7888830900192261	-0.07258235	Yes	
row_30	DCAF1	DDB1 and CUL4 associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30911]	16994	-0.8009751439094543	-8.8627543E-4	Yes	
row_31	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	17650	-1.031665325164795	0.060019102	Yes	
