NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PADI2	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]	891	1.225941777229309	-0.0056746025	No	
row_1	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	1037	1.1477830410003662	0.025816757	No	
row_2	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	1260	1.0581260919570923	0.05013145	No	
row_3	CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	1315	1.0395896434783936	0.082784	No	
row_4	PSIP1	PC4 and SRSF1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9527]	2930	0.6533243656158447	0.018926226	No	
row_5	NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor [Source:HGNC Symbol;Acc:HGNC:29843]	5413	0.337698757648468	-0.10207322	No	
row_6	H3-5	H3.5 histone [Source:HGNC Symbol;Acc:HGNC:33164]	5560	0.3209091126918793	-0.09890025	No	
row_7	SKIC8	SKI8 subunit of superkiller complex [Source:HGNC Symbol;Acc:HGNC:30300]	5986	0.2802249491214752	-0.11201706	No	
row_8	EXOSC3	exosome component 3 [Source:HGNC Symbol;Acc:HGNC:17944]	6233	0.25832945108413696	-0.11632341	No	
row_9	ZC3H8	zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941]	6299	0.2528422176837921	-0.11115163	No	
row_10	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	6319	0.2508077025413513	-0.10359291	No	
row_11	ICE2	interactor of little elongation complex ELL subunit 2 [Source:HGNC Symbol;Acc:HGNC:29885]	6596	0.22648437321186066	-0.11058988	No	
row_12	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	6857	0.20488320291042328	-0.1174708	No	
