NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	193	1.994646430015564	0.011159204	No	
row_1	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	561	1.469284176826477	0.0072920527	No	
row_2	PARD6A	par-6 family cell polarity regulator alpha [Source:HGNC Symbol;Acc:HGNC:15943]	728	1.3364989757537842	0.012797172	No	
row_3	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	757	1.3197112083435059	0.02554	No	
row_4	MTM1	myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]	1129	1.1079301834106445	0.017556487	No	
row_5	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1154	1.0978347063064575	0.02811889	No	
row_6	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1542	0.9620003700256348	0.017699692	No	
row_7	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	1605	0.9398750066757202	0.0245138	No	
row_8	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	1644	0.9277200102806091	0.03248693	No	
row_9	FGD2	FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3664]	1667	0.9220286011695862	0.041258782	No	
row_10	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2125	0.8053075075149536	0.02538463	No	
row_11	KLHL2	kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]	2304	0.768674373626709	0.024114162	No	
row_12	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	2372	0.754876434803009	0.028662149	No	
row_13	C2CD5	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	2692	0.6942377090454102	0.019007798	No	
row_14	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	2908	0.656657874584198	0.014538817	No	
row_15	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	3065	0.634794294834137	0.01300566	No	
row_16	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	3368	0.588858425617218	0.0031275214	No	
row_17	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	3821	0.523996889591217	-0.015514971	No	
row_18	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	3928	0.5104653835296631	-0.015702404	No	
row_19	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	3938	0.5089284181594849	-0.010691657	No	
row_20	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:24035]	3962	0.5053353905677795	-0.0064723487	No	
row_21	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	4088	0.488537460565567	-0.007917974	No	
row_22	IFIT5	interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]	4127	0.483612060546875	-0.0047396086	No	
row_23	FGD5	FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]	4256	0.46666866540908813	-0.00658262	No	
row_24	MTMR9	myotubularin related protein 9 [Source:HGNC Symbol;Acc:HGNC:14596]	4509	0.4376455843448639	-0.015405285	No	
row_25	KNSTRN	kinetochore localized astrin (SPAG5) binding protein [Source:HGNC Symbol;Acc:HGNC:30767]	4665	0.4218480885028839	-0.019183733	No	
row_26	PLEKHO1	pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]	4706	0.41783690452575684	-0.016823022	No	
row_27	NF2	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor [Source:HGNC Symbol;Acc:HGNC:7773]	4729	0.41579288244247437	-0.01351669	No	
row_28	FSCN3	fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]	4819	0.4061751365661621	-0.013916152	No	
row_29	ARHGAP18	Rho GTPase activating protein 18 [Source:HGNC Symbol;Acc:HGNC:21035]	4864	0.4009745419025421	-0.011952536	No	
row_30	PACSIN1	protein kinase C and casein kinase substrate in neurons 1 [Source:HGNC Symbol;Acc:HGNC:8570]	4872	0.39944592118263245	-0.008016285	No	
row_31	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	4916	0.39478328824043274	-0.006065752	No	
row_32	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]	4923	0.39381492137908936	-0.0021365338	No	
row_33	RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	4967	0.3882264494895935	-2.5679145E-4	No	
row_34	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	5003	0.3835740387439728	0.002002806	No	
row_35	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	5005	0.3832937479019165	0.006087236	No	
row_36	HIP1R	huntingtin interacting protein 1 related [Source:HGNC Symbol;Acc:HGNC:18415]	5021	0.3821439743041992	0.009406605	No	
row_37	TMEM87A	transmembrane protein 87A [Source:HGNC Symbol;Acc:HGNC:24522]	5243	0.3569446802139282	0.0013792387	No	
row_38	ARHGEF26	Rho guanine nucleotide exchange factor 26 [Source:HGNC Symbol;Acc:HGNC:24490]	5318	0.34862765669822693	0.0011648796	No	
row_39	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	5538	0.3237588107585907	-0.007113253	No	
row_40	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]	5641	0.31134358048439026	-0.009235442	No	
row_41	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	5694	0.30618396401405334	-0.008725307	No	
row_42	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	5704	0.3055053651332855	-0.0059107956	No	
row_43	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	5705	0.3054776191711426	-0.0026127386	No	
row_44	SH3YL1	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]	5712	0.3051483929157257	3.5920058E-4	No	
row_45	EPS8	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	5724	0.3045016825199127	0.0030553548	No	
row_46	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	5749	0.30218827724456787	0.0050276453	No	
row_47	CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	6043	0.2741456925868988	-0.007764411	No	
row_48	PPP1R9B	protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:HGNC:9298]	6081	0.27064841985702515	-0.0068315244	No	
row_49	MTMR6	myotubularin related protein 6 [Source:HGNC Symbol;Acc:HGNC:7453]	6096	0.2695644497871399	-0.0046738484	No	
row_50	TWF1	twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]	6110	0.2682096064090729	-0.0024770387	No	
row_51	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	6143	0.2653317451477051	-0.0013327501	No	
row_52	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	6326	0.2503487467765808	-0.008414307	No	
row_53	PTK6	protein tyrosine kinase 6 [Source:HGNC Symbol;Acc:HGNC:9617]	6351	0.24775630235671997	-0.007029685	No	
row_54	TRPM7	transient receptor potential cation channel subfamily M member 7 [Source:HGNC Symbol;Acc:HGNC:17994]	6487	0.23512724041938782	-0.011748833	No	
row_55	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	6522	0.2323111593723297	-0.011068569	No	
row_56	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	6577	0.22741273045539856	-0.011516402	No	
row_57	PDE4A	phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]	6650	0.22156332433223724	-0.012995075	No	
row_58	PDE9A	phosphodiesterase 9A [Source:HGNC Symbol;Acc:HGNC:8795]	6824	0.20819686353206635	-0.020047875	No	
row_59	FGD1	FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]	6833	0.2071179896593094	-0.018241832	No	
row_60	KIF18A	kinesin family member 18A [Source:HGNC Symbol;Acc:HGNC:29441]	6855	0.20506620407104492	-0.017156828	No	
row_61	SH3BGRL3	SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]	6919	0.20018532872200012	-0.018382464	No	
row_62	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	6921	0.2000935673713684	-0.016275935	No	
row_63	AMOT	angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]	6939	0.19829463958740234	-0.0150489975	No	
row_64	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	7081	0.18679441511631012	-0.020612529	No	
row_65	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	7215	0.17469008266925812	-0.02587666	No	
row_66	BAIAP2	BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]	7664	0.13943934440612793	-0.048455942	No	
row_67	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	7803	0.12788039445877075	-0.054494254	No	
row_68	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]	7941	0.11814141273498535	-0.06058395	No	
row_69	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	7948	0.11740035563707352	-0.05963901	No	
row_70	ABCA7	ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]	8159	0.10067238658666611	-0.069841824	No	
row_71	DIAPH1	diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]	8169	0.09985163807868958	-0.06924763	No	
row_72	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	8193	0.09798936545848846	-0.069426194	No	
row_73	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	8260	0.09280620515346527	-0.07197242	No	
row_74	TIRAP	TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192]	8277	0.09145490825176239	-0.0718452	No	
row_75	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	8299	0.0895531177520752	-0.07200733	No	
row_76	RINL	Ras and Rab interactor like [Source:HGNC Symbol;Acc:HGNC:24795]	8418	0.08025481551885605	-0.07748461	No	
row_77	THEM4	thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]	8453	0.07754435390233994	-0.07847527	No	
row_78	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	8462	0.07695168256759644	-0.07807455	No	
row_79	SH2D3C	SH2 domain containing 3C [Source:HGNC Symbol;Acc:HGNC:16884]	8475	0.07600616663694382	-0.07789908	No	
