NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	1111	1.1171634197235107	-0.029892987	No	
row_1	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	1158	1.0965982675552368	-0.0034192805	No	
row_2	GSTM2	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	1515	0.9720000624656677	0.0032019885	No	
row_3	TMEM38B	transmembrane protein 38B [Source:HGNC Symbol;Acc:HGNC:25535]	1541	0.9622750878334045	0.027253976	No	
row_4	JPH3	junctophilin 3 [Source:HGNC Symbol;Acc:HGNC:14203]	1654	0.9242442846298218	0.045653664	No	
row_5	AKAP6	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	1658	0.9236025810241699	0.069860935	No	
row_6	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	2842	0.6671207547187805	0.024247004	No	
row_7	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	3180	0.6153342127799988	0.022473572	No	
row_8	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]	3217	0.610744297504425	0.03666326	No	
row_9	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	3451	0.5761363506317139	0.039413	No	
row_10	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	3575	0.5555022954940796	0.047496304	No	
row_11	FSD2	fibronectin type III and SPRY domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18024]	4327	0.45789003372192383	0.01944652	No	
row_12	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	4712	0.4174635708332062	0.009941143	No	
row_13	JSRP1	junctional sarcoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:24963]	4809	0.40719059109687805	0.01555428	No	
row_14	RTN2	reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]	5425	0.33572331070899963	-0.008451367	No	
