NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	156	2.0757529735565186	0.07149522	Yes	
row_1	SPSB2	splA/ryanodine receptor domain and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:29522]	605	1.4301323890686035	0.10256019	Yes	
row_2	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	1193	1.0864348411560059	0.112980746	Yes	
row_3	FBXL2	F-box and leucine rich repeat protein 2 [Source:HGNC Symbol;Acc:HGNC:13598]	1310	1.0413155555725098	0.14683038	Yes	
row_4	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	1327	1.0344856977462769	0.18576008	Yes	
row_5	FBXO48	F-box protein 48 [Source:HGNC Symbol;Acc:HGNC:33857]	2417	0.7458882331848145	0.15626326	Yes	
row_6	FBXO44	F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847]	2615	0.7045859098434448	0.17283523	Yes	
row_7	FBXO15	F-box protein 15 [Source:HGNC Symbol;Acc:HGNC:13617]	2890	0.66001296043396	0.18357909	Yes	
row_8	FBXO3	F-box protein 3 [Source:HGNC Symbol;Acc:HGNC:13582]	3040	0.6376137137413025	0.20013994	Yes	
row_9	FBXO32	F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]	3527	0.5633227825164795	0.19583867	Yes	
row_10	FBXL6	F-box and leucine rich repeat protein 6 [Source:HGNC Symbol;Acc:HGNC:13603]	3541	0.5607205033302307	0.21670847	Yes	
row_11	FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	3649	0.5456326603889465	0.23197582	Yes	
row_12	FBXO33	F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833]	3708	0.5390467643737793	0.24960785	Yes	
row_13	NCCRP1	NCCRP1, F-box associated domain containing [Source:HGNC Symbol;Acc:HGNC:33739]	3825	0.5238414406776428	0.2635563	Yes	
row_14	FBXL17	F-box and leucine rich repeat protein 17 [Source:HGNC Symbol;Acc:HGNC:13615]	4015	0.49892735481262207	0.27264643	Yes	
row_15	FBXL15	F-box and leucine rich repeat protein 15 [Source:HGNC Symbol;Acc:HGNC:28155]	4311	0.4602116346359253	0.2745843	Yes	
row_16	FBXL4	F-box and leucine rich repeat protein 4 [Source:HGNC Symbol;Acc:HGNC:13601]	4700	0.4183639883995056	0.26994404	No	
row_17	FBXL18	F-box and leucine rich repeat protein 18 [Source:HGNC Symbol;Acc:HGNC:21874]	5330	0.3471926748752594	0.24969067	No	
row_18	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	5716	0.30508652329444885	0.24085423	No	
row_19	TMEM183A	transmembrane protein 183A [Source:HGNC Symbol;Acc:HGNC:20173]	5897	0.28851503133773804	0.2423331	No	
row_20	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	5931	0.28458932042121887	0.25151482	No	
row_21	AMN1	antagonist of mitotic exit network 1 homolog [Source:HGNC Symbol;Acc:HGNC:27281]	6433	0.2399984449148178	0.23397763	No	
row_22	FBXO31	F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]	6458	0.23808220028877258	0.24185161	No	
row_23	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	6475	0.23572948575019836	0.25006253	No	
row_24	FBXL5	F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]	6789	0.2113475501537323	0.24146782	No	
row_25	FBXO25	F-box protein 25 [Source:HGNC Symbol;Acc:HGNC:13596]	7299	0.1681080162525177	0.22073844	No	
row_26	CCNF	cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]	7974	0.11569055914878845	0.18917765	No	
row_27	FBXW4	F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]	7981	0.11507963389158249	0.19328286	No	
row_28	FBXL20	F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]	8090	0.10596556961536407	0.19158795	No	
row_29	FBXL16	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	8192	0.0980139747262001	0.18996124	No	
row_30	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	8320	0.08767479658126831	0.18654779	No	
