NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK5R2	cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776]	98	2.2840163707733154	0.021503827	Yes	
row_1	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	126	2.1880433559417725	0.045693714	Yes	
row_2	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	183	2.012122631072998	0.06626573	Yes	
row_3	CXADR	CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]	239	1.8675525188446045	0.08519739	Yes	
row_4	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	246	1.8543998003005981	0.10660481	Yes	
row_5	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]	252	1.8335647583007812	0.12782176	Yes	
row_6	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	349	1.7023686170578003	0.1426173	Yes	
row_7	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	481	1.5538280010223389	0.1537938	Yes	
row_8	GPRIN1	G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:HGNC:24835]	510	1.5167968273162842	0.1700645	Yes	
row_9	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	563	1.4673677682876587	0.18446788	Yes	
row_10	SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	619	1.423528790473938	0.19819658	Yes	
row_11	MYH14	myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]	718	1.339969515800476	0.20863827	Yes	
row_12	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	758	1.318745732307434	0.22199786	Yes	
