NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	243	1.8617157936096191	0.06562955	Yes	
row_1	AP3B2	adaptor related protein complex 3 subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:567]	1108	1.117879033088684	0.06665931	Yes	
row_2	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	1485	0.9768744111061096	0.08781564	Yes	
row_3	RANGAP1	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]	2495	0.7292463183403015	0.06468476	Yes	
row_4	BLOC1S2	biogenesis of lysosomal organelles complex 1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:20984]	2517	0.7251601815223694	0.0941845	Yes	
row_5	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	2533	0.7218088507652283	0.12386339	Yes	
row_6	TRAK2	trafficking kinesin protein 2 [Source:HGNC Symbol;Acc:HGNC:13206]	2759	0.6821005940437317	0.14064212	Yes	
row_7	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	2782	0.6777858734130859	0.1680879	Yes	
row_8	AGTPBP1	ATP/GTP binding carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17258]	2962	0.6490660309791565	0.1859301	Yes	
row_9	AP3M2	adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]	3193	0.6124228835105896	0.19949926	Yes	
row_10	ACTR10	actin related protein 10 [Source:HGNC Symbol;Acc:HGNC:17372]	3226	0.6091357469558716	0.22351164	Yes	
row_11	KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	3492	0.56795734167099	0.23333254	Yes	
row_12	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	3990	0.5023282766342163	0.22798295	Yes	
row_13	DLG2	discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901]	4076	0.48982903361320496	0.24412468	Yes	
row_14	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	4162	0.4784044027328491	0.25978395	Yes	
row_15	AP3S1	adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]	4321	0.45839908719062805	0.27069703	Yes	
row_16	ARL8A	ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]	4323	0.457979679107666	0.28998315	Yes	
row_17	DTNBP1	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	4353	0.45489904284477234	0.30764273	Yes	
row_18	KIF1C	kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]	4402	0.44894713163375854	0.32403556	Yes	
