NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	3792	0.5279510617256165	-0.18248825	No	
row_1	PPIL1	peptidylprolyl isomerase like 1 [Source:HGNC Symbol;Acc:HGNC:9260]	3815	0.5245846509933472	-0.1633086	No	
row_2	SNRPGP15	small nuclear ribonucleoprotein polypeptide G pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:49371]	5166	0.36525940895080566	-0.22139628	No	
row_3	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28954]	5562	0.3200410008430481	-0.23011999	No	
row_4	CWC15	CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]	5569	0.31897568702697754	-0.21806286	No	
row_5	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	5788	0.2980342209339142	-0.2181662	No	
row_6	PLRG1	pleiotropic regulator 1 [Source:HGNC Symbol;Acc:HGNC:9089]	5818	0.29514196515083313	-0.20826511	No	
row_7	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	6073	0.2712746858596802	-0.21133389	No	
row_8	PPIL3	peptidylprolyl isomerase like 3 [Source:HGNC Symbol;Acc:HGNC:9262]	6161	0.26429757475852966	-0.20573434	No	
row_9	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	6210	0.2605353891849518	-0.19819322	No	
row_10	SF3B6	splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096]	7469	0.1533527672290802	-0.2595797	No	
row_11	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041]	8536	0.07071634382009506	-0.31389573	No	
row_12	ISY1	ISY1 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:29201]	8864	0.046051815152168274	-0.3296121	No	
row_13	CRNKL1	crooked neck pre-mRNA splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:15762]	9023	0.03302692249417305	-0.3367878	No	
row_14	CACTIN	cactin, spliceosome C complex subunit [Source:HGNC Symbol;Acc:HGNC:29938]	9056	0.031089896336197853	-0.33729416	No	
row_15	PPIE	peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]	9158	0.02267114259302616	-0.34182066	No	
row_16	SYF2	SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]	9214	0.016946472227573395	-0.34410703	No	
row_17	MAGOH	mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]	9228	0.01542121171951294	-0.34420446	No	
row_18	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	9364	0.006053330842405558	-0.35119575	No	
row_19	SNRPB2	small nuclear ribonucleoprotein polypeptide B2 [Source:HGNC Symbol;Acc:HGNC:11155]	9408	0.002449869876727462	-0.35340238	No	
row_20	BCAS2	BCAS2 pre-mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:975]	9635	-0.011132813058793545	-0.36506754	No	
row_21	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide [Source:HGNC Symbol;Acc:HGNC:11160]	9810	-0.026889177039265633	-0.37333784	No	
row_22	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]	9873	-0.030819740146398544	-0.37546054	No	
row_23	RBM8A	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]	9896	-0.032511986792087555	-0.3753765	No	
row_24	AQR	aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]	9934	-0.03526296839118004	-0.37598857	No	
row_25	MAGOHB	mago homolog B, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:25504]	10061	-0.04358164966106415	-0.3810418	No	
row_26	CDC5L	cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]	10085	-0.045107223093509674	-0.38052246	No	
row_27	CDC40	cell division cycle 40 [Source:HGNC Symbol;Acc:HGNC:17350]	10249	-0.05779409408569336	-0.38700467	No	
row_28	SNRPF	small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:HGNC:11162]	10413	-0.07089699059724808	-0.39297837	No	
row_29	DHX8	DEAH-box helicase 8 [Source:HGNC Symbol;Acc:HGNC:2749]	10465	-0.07429280877113342	-0.39282525	No	
row_30	DDX23	DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]	10853	-0.10457487404346466	-0.40948218	No	
row_31	ESS2	ess-2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:16817]	10928	-0.11031574755907059	-0.40916228	No	
row_32	WDR83	WD repeat domain 83 [Source:HGNC Symbol;Acc:HGNC:32672]	11105	-0.12424145638942719	-0.41376173	No	
row_33	SRSF1	serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	11208	-0.1314219832420349	-0.41412154	No	
row_34	SNRPE	small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]	11221	-0.13216520845890045	-0.409635	No	
row_35	RALY	RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]	11276	-0.13573163747787476	-0.40725824	No	
row_36	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	11468	-0.14899416267871857	-0.41170004	No	
row_37	PRPF8	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]	11478	-0.14961838722229004	-0.40637565	No	
row_38	HNRNPM	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]	11943	-0.18570131063461304	-0.424006	No	
row_39	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	12025	-0.19270195066928864	-0.42086363	No	
row_40	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	12649	-0.239932119846344	-0.44490033	Yes	
row_41	BUD31	BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]	12673	-0.24236860871315002	-0.43672603	Yes	
row_42	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]	12924	-0.2656933069229126	-0.43979728	Yes	
row_43	HNRNPC	heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]	13107	-0.2822488248348236	-0.43858624	Yes	
row_44	SF3A3	splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]	13154	-0.2858881950378418	-0.4299542	Yes	
row_45	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]	13229	-0.29118552803993225	-0.42261538	Yes	
row_46	PRPF6	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]	13265	-0.29370278120040894	-0.4130913	Yes	
row_47	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	13340	-0.2998143434524536	-0.40541762	Yes	
row_48	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	13369	-0.30215486884117126	-0.39519083	Yes	
row_49	SLU7	SLU7 homolog, splicing factor [Source:HGNC Symbol;Acc:HGNC:16939]	13418	-0.30799198150634766	-0.38580808	Yes	
row_50	DHX38	DEAH-box helicase 38 [Source:HGNC Symbol;Acc:HGNC:17211]	13420	-0.3082132041454315	-0.37390098	Yes	
