NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RIMS3	regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]	123	2.1949243545532227	0.12020304	Yes	
row_1	PKD2	polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]	272	1.8116581439971924	0.21693633	Yes	
row_2	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	563	1.4673677682876587	0.28620657	Yes	
row_3	PCLO	piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]	776	1.3082637786865234	0.3504507	Yes	
row_4	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	1011	1.158713459968567	0.40488338	Yes	
row_5	BSN	bassoon presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:1117]	1585	0.9450823068618774	0.4288853	Yes	
row_6	RIMS4	regulating synaptic membrane exocytosis 4 [Source:HGNC Symbol;Acc:HGNC:16183]	1760	0.8970431089401245	0.47140747	Yes	
row_7	CLTB	clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]	2457	0.7380744814872742	0.47688913	Yes	
row_8	TCHP	trichoplein keratin filament binding [Source:HGNC Symbol;Acc:HGNC:28135]	2835	0.6677168011665344	0.49533242	Yes	
row_9	UNC13A	unc-13 homolog A [Source:HGNC Symbol;Acc:HGNC:23150]	2931	0.6525211930274963	0.5279485	Yes	
row_10	ACTR1A	actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]	3626	0.5480376482009888	0.5225614	No	
row_11	UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	5281	0.3521590828895569	0.45462573	No	
row_12	CTBP2	C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]	5682	0.3071420192718506	0.45101655	No	
row_13	SAPCD2	suppressor APC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28055]	6237	0.25767987966537476	0.43633163	No	
row_14	GPSM2	G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]	6865	0.2039792388677597	0.41464925	No	
row_15	CLASP2	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]	9428	6.046897615306079E-4	0.27794936	No	
row_16	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	9825	-0.027902569621801376	0.25842622	No	
row_17	CLTA	clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	9903	-0.03303736820816994	0.25622478	No	
row_18	SPTBN5	spectrin beta, non-erythrocytic 5 [Source:HGNC Symbol;Acc:HGNC:15680]	9997	-0.03949397802352905	0.2535423	No	
row_19	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	10209	-0.05468432232737541	0.24543945	No	
row_20	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	11240	-0.1336960345506668	0.1981896	No	
row_21	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	11319	-0.13859742879867554	0.20203139	No	
row_22	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	11807	-0.17503057420253754	0.18614891	No	
row_23	MYO5B	myosin VB [Source:HGNC Symbol;Acc:HGNC:7603]	12041	-0.19404740631580353	0.1849208	No	
row_24	CLASP1	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	12768	-0.25085675716400146	0.16066214	No	
row_25	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	13197	-0.2887517809867859	0.15449646	No	
row_26	PHLDB2	pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]	13580	-0.32416480779647827	0.15283109	No	
row_27	ERC1	ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:HGNC:17072]	14306	-0.3982347249984741	0.1371376	No	
row_28	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	14308	-0.3984306752681732	0.16009554	No	
row_29	PPFIA3	PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247]	16235	-0.6457939743995667	0.09460203	No	
row_30	CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	16505	-0.7008646130561829	0.12072377	No	
