NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYO1D	myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]	164	2.0529263019561768	0.013656279	No	
row_1	DAGLA	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]	497	1.534359097480774	0.012613802	No	
row_2	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	561	1.469284176826477	0.025308363	No	
row_3	SHISA7	shisa family member 7 [Source:HGNC Symbol;Acc:HGNC:35409]	609	1.4271059036254883	0.038400788	No	
row_4	KCNC4	potassium voltage-gated channel subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:6236]	754	1.3211569786071777	0.04512351	No	
row_5	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	757	1.3197112083435059	0.05945785	No	
row_6	ADGRV1	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]	1006	1.161643624305725	0.058848705	No	
row_7	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	1502	0.9728108644485474	0.042905696	No	
row_8	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1540	0.9620003700256348	0.05144556	No	
row_9	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	1603	0.9398750066757202	0.05840044	No	
row_10	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	1642	0.9277200102806091	0.06651145	No	
row_11	FGD2	FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3664]	1665	0.9220286011695862	0.07541961	No	
row_12	ITGA8	integrin subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:6144]	1824	0.8825291395187378	0.076590374	No	
row_13	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2123	0.8053075075149536	0.06939608	No	
row_14	KCNC3	potassium voltage-gated channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:6235]	2308	0.7676527500152588	0.06791316	No	
row_15	SHISA8	shisa family member 8 [Source:HGNC Symbol;Acc:HGNC:18351]	2378	0.7528969049453735	0.072445914	No	
row_16	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	2569	0.7141427993774414	0.07005515	No	
row_17	C2CD5	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	2689	0.6942377090454102	0.07126027	No	
row_18	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	2905	0.656657874584198	0.06689758	No	
row_19	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	3062	0.634794294834137	0.06546477	No	
row_20	ATP6AP2	ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]	3231	0.6082624197006226	0.06309706	No	
row_21	MYO1G	myosin IG [Source:HGNC Symbol;Acc:HGNC:13880]	3285	0.6004383563995361	0.06682087	No	
row_22	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	3365	0.588858425617218	0.06902139	No	
row_23	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	3925	0.5104653835296631	0.044581156	No	
row_24	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	3935	0.5089284181594849	0.049666993	No	
row_25	IFIT5	interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]	4124	0.483612060546875	0.044860926	No	
row_26	FGD5	FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]	4253	0.46666866540908813	0.043092303	No	
row_27	MTMR9	myotubularin related protein 9 [Source:HGNC Symbol;Acc:HGNC:14596]	4506	0.4376455843448639	0.0343455	No	
row_28	PLEKHO1	pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]	4703	0.41783690452575684	0.028389929	No	
row_29	NF2	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor [Source:HGNC Symbol;Acc:HGNC:7773]	4726	0.41579288244247437	0.03175829	No	
row_30	PACSIN1	protein kinase C and casein kinase substrate in neurons 1 [Source:HGNC Symbol;Acc:HGNC:8570]	4868	0.39944592118263245	0.028555753	No	
