NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ODAD1	outer dynein arm docking complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:26560]	55	2.5759289264678955	0.038663432	Yes	
row_1	KIF7	kinesin family member 7 [Source:HGNC Symbol;Acc:HGNC:30497]	241	1.8645572662353516	0.058855407	Yes	
row_2	NDE1	nudE neurodevelopment protein 1 [Source:HGNC Symbol;Acc:HGNC:17619]	286	1.784368872642517	0.08532113	Yes	
row_3	KATNAL2	katanin catalytic subunit A1 like 2 [Source:HGNC Symbol;Acc:HGNC:25387]	336	1.7162574529647827	0.11041805	Yes	
row_4	DNAL4	dynein axonemal light chain 4 [Source:HGNC Symbol;Acc:HGNC:2955]	426	1.614211082458496	0.13171904	Yes	
row_5	DYNLT2B	dynein light chain Tctex-type 2B [Source:HGNC Symbol;Acc:HGNC:28482]	432	1.6105834245681763	0.15747075	Yes	
row_6	DNAI4	dynein axonemal intermediate chain 4 [Source:HGNC Symbol;Acc:HGNC:26252]	535	1.4922232627868652	0.17610306	Yes	
row_7	KATNAL1	katanin catalytic subunit A1 like 1 [Source:HGNC Symbol;Acc:HGNC:28361]	617	1.424715518951416	0.19477206	Yes	
row_8	EML1	EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330]	669	1.3825434446334839	0.21437024	Yes	
row_9	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	741	1.3295204639434814	0.23203813	Yes	
row_10	DYNC2H1	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	799	1.2915056943893433	0.2498434	Yes	
row_11	DNAH10	dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]	812	1.282322645187378	0.26991606	Yes	
row_12	CFAP70	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]	959	1.1857202053070068	0.28123456	Yes	
row_13	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	1392	1.009069800376892	0.2743459	Yes	
row_14	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	1485	0.9768744111061096	0.2851892	Yes	
row_15	DYNLL2	dynein light chain LC8-type 2 [Source:HGNC Symbol;Acc:HGNC:24596]	1877	0.8662602305412292	0.27819437	Yes	
row_16	DISC1	DISC1 scaffold protein [Source:HGNC Symbol;Acc:HGNC:2888]	1880	0.8659062385559082	0.29207632	Yes	
row_17	DNAH12	dynein axonemal heavy chain 12 [Source:HGNC Symbol;Acc:HGNC:2943]	1935	0.8522667288780212	0.30294645	Yes	
row_18	KIF27	kinesin family member 27 [Source:HGNC Symbol;Acc:HGNC:18632]	2245	0.7783139944076538	0.29893273	Yes	
row_19	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:24595]	2456	0.7382023930549622	0.29958558	Yes	
row_20	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	2533	0.7218088507652283	0.30716702	Yes	
row_21	DNAH2	dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948]	2760	0.6818746328353882	0.30605093	Yes	
row_22	KIF21B	kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]	2896	0.6580008268356323	0.30943424	Yes	
row_23	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]	3124	0.6241402626037598	0.3073317	Yes	
row_24	ACTR10	actin related protein 10 [Source:HGNC Symbol;Acc:HGNC:17372]	3226	0.6091357469558716	0.3117508	Yes	
row_25	KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	3492	0.56795734167099	0.30670068	Yes	
row_26	DYNC2I2	dynein 2 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:28296]	3576	0.5545654296875	0.3112044	Yes	
row_27	ACTR1A	actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]	3626	0.5480376482009888	0.3174279	Yes	
row_28	KIF18B	kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102]	3702	0.5394436717033386	0.3221168	Yes	
row_29	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	3742	0.5343001484870911	0.32865518	Yes	
row_30	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	3990	0.5023282766342163	0.32351103	Yes	
row_31	KIF25	kinesin family member 25 [Source:HGNC Symbol;Acc:HGNC:6390]	4027	0.4968402683734894	0.32960528	Yes	
row_32	KIF28P	kinesin family member 28, pseudogene [Source:HGNC Symbol;Acc:HGNC:49205]	4355	0.454757958650589	0.31939802	No	
row_33	KIF1C	kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]	4402	0.44894713163375854	0.32418168	No	
