NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCGF5	polycomb group ring finger 5 [Source:HGNC Symbol;Acc:HGNC:28264]	268	1.8151713609695435	0.19238777	Yes	
row_1	CBX6	chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556]	1191	1.0866172313690186	0.26694658	Yes	
row_2	CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	1314	1.0395896434783936	0.37881058	Yes	
row_3	CBX7	chromobox 7 [Source:HGNC Symbol;Acc:HGNC:1557]	1776	0.8923412561416626	0.4558315	Yes	
row_4	CBX4	chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]	4677	0.4201168417930603	0.34902486	No	
row_5	PCGF2	polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929]	7008	0.19292187690734863	0.24674453	No	
row_6	BMI1	BMI1 proto-oncogene, polycomb ring finger [Source:HGNC Symbol;Acc:HGNC:1066]	7364	0.16142819821834564	0.24619474	No	
row_7	PCGF6	polycomb group ring finger 6 [Source:HGNC Symbol;Acc:HGNC:21156]	7508	0.15073049068450928	0.25573176	No	
row_8	PCGF3	polycomb group ring finger 3 [Source:HGNC Symbol;Acc:HGNC:10066]	9276	0.012066749855875969	0.16288076	No	
row_9	CBX8	chromobox 8 [Source:HGNC Symbol;Acc:HGNC:15962]	9430	4.990137531422079E-4	0.15477888	No	
row_10	RNF2	ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]	12856	-0.25994324684143066	0.0017390673	No	
row_11	PCGF1	polycomb group ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17615]	13858	-0.3531019687652588	-0.011434207	No	
row_12	PHC3	polyhomeotic homolog 3 [Source:HGNC Symbol;Acc:HGNC:15682]	14254	-0.39457330107688904	0.012429352	No	
row_13	PHC2	polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]	16066	-0.6170082092285156	-0.0138881495	No	
row_14	PHC1	polyhomeotic homolog 1 [Source:HGNC Symbol;Acc:HGNC:3182]	18217	-1.3864628076553345	0.029328782	No	
