NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	85	2.3656411170959473	0.063852526	No	
row_1	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	1117	1.1134190559387207	0.040970653	No	
row_2	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	1511	0.9725736379623413	0.04809619	No	
row_3	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	1771	0.8939525485038757	0.06010646	No	
row_4	ITGA8	integrin subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:6144]	1824	0.8825291395187378	0.082843564	No	
row_5	EMILIN1	elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]	2094	0.8111109137535095	0.091924645	No	
row_6	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2123	0.8053075075149536	0.113711186	No	
row_7	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	2410	0.7468687295913696	0.12002689	No	
row_8	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	2877	0.6620579957962036	0.11427577	No	
row_9	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	2923	0.6539905071258545	0.13077952	No	
row_10	NLGN1	neuroligin 1 [Source:HGNC Symbol;Acc:HGNC:14291]	3341	0.5930965542793274	0.12565205	No	
row_11	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	3913	0.5117925405502319	0.10994793	No	
row_12	ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	4096	0.48653918504714966	0.114292525	No	
row_13	ITGAE	integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]	5322	0.34750229120254517	0.0589046	No	
row_14	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	5709	0.305138498544693	0.04710788	No	
row_15	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	5866	0.2902575433254242	0.047166605	No	
row_16	ITGA9	integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]	6026	0.27509185671806335	0.04662663	No	
row_17	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	8568	0.06818961352109909	-0.08713188	No	
row_18	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	9146	0.023413337767124176	-0.11727598	No	
row_19	ITGAD	integrin subunit alpha D [Source:HGNC Symbol;Acc:HGNC:6146]	9721	-0.019034605473279953	-0.14738643	No	
row_20	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	9905	-0.03314337506890297	-0.15620334	No	
row_21	ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	9947	-0.03586355224251747	-0.15735655	No	
row_22	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]	11459	-0.14804401993751526	-0.23378795	No	
row_23	EMILIN2	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]	11798	-0.1742834597826004	-0.24680385	No	
